ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,170.80","1,181.00","1,165.20","1,170.80","1,169.00","1,169.10","1,172.10","2,157.45","1,084.05","1,27,261","14,91,62,371.00","13,652"
"12-Aug-2025","EQ","1,160.10","1,181.90","1,160.10","1,162.80","1,173.30","1,170.80","1,173.95","2,157.45","1,084.05","1,74,828","20,52,39,314.50","19,616"
"11-Aug-2025","EQ","1,166.00","1,172.00","1,154.00","1,166.00","1,160.00","1,162.80","1,162.52","2,157.45","1,084.05","1,61,640","18,79,09,021.20","14,080"
"08-Aug-2025","EQ","1,187.00","1,188.00","1,161.40","1,187.00","1,164.70","1,166.00","1,175.07","2,157.45","1,084.05","1,38,851","16,31,59,838.30","15,026"
"07-Aug-2025","EQ","1,185.10","1,195.40","1,167.00","1,196.20","1,192.60","1,187.00","1,183.69","2,157.45","1,084.05","4,72,544","55,93,44,958.70","32,234"
"06-Aug-2025","EQ","1,208.00","1,212.00","1,183.00","1,208.00","1,197.00","1,196.20","1,190.60","2,157.45","1,084.05","2,82,617","33,64,84,516.60","21,524"
"05-Aug-2025","EQ","1,208.90","1,216.30","1,201.50","1,210.00","1,210.00","1,208.00","1,207.95","2,157.45","1,084.05","1,33,379","16,11,15,479.40","14,951"
"04-Aug-2025","EQ","1,186.00","1,216.40","1,181.30","1,181.90","1,209.90","1,210.00","1,197.63","2,157.45","1,084.05","1,83,401","21,96,46,788.50","21,349"
"01-Aug-2025","EQ","1,205.60","1,227.00","1,178.10","1,205.60","1,184.90","1,181.90","1,206.52","2,157.45","1,084.05","6,27,523","75,71,20,200.70","31,055"
"31-Jul-2025","EQ","1,215.00","1,224.00","1,202.00","1,224.30","1,202.00","1,205.60","1,212.95","2,157.45","1,084.05","3,68,176","44,65,77,341.80","38,353"
"30-Jul-2025","EQ","1,230.00","1,237.10","1,220.00","1,232.40","1,227.40","1,224.30","1,226.21","2,157.45","1,084.05","3,82,810","46,94,04,352.80","23,542"
"29-Jul-2025","EQ","1,234.00","1,239.30","1,210.20","1,233.60","1,230.90","1,232.40","1,225.92","2,157.45","1,084.05","2,67,349","32,77,48,399.80","20,361"
"28-Jul-2025","EQ","1,237.00","1,272.90","1,221.40","1,243.20","1,235.00","1,233.60","1,241.27","2,157.45","1,084.05","6,29,314","78,11,46,317.20","36,166"
"25-Jul-2025","EQ","1,213.00","1,301.70","1,206.00","1,241.60","1,241.00","1,243.20","1,262.82","2,157.45","1,084.05","27,91,955","3,52,57,47,940.90","1,22,119"
"24-Jul-2025","EQ","1,281.60","1,285.30","1,231.00","1,280.30","1,242.20","1,241.60","1,251.73","2,157.45","1,084.05","5,48,779","68,69,22,484.30","33,915"
"23-Jul-2025","EQ","1,271.00","1,287.80","1,262.00","1,271.20","1,280.70","1,280.30","1,276.98","2,157.45","1,084.05","3,30,233","42,16,99,549.60","28,122"
"22-Jul-2025","EQ","1,281.90","1,290.50","1,268.20","1,283.10","1,275.00","1,271.20","1,275.21","2,157.45","1,084.05","1,51,942","19,37,57,520.10","13,565"
"21-Jul-2025","EQ","1,278.90","1,288.80","1,264.10","1,278.60","1,285.30","1,283.10","1,278.22","2,157.45","1,084.05","1,71,584","21,93,22,713.90","22,190"
"18-Jul-2025","EQ","1,291.10","1,296.30","1,275.20","1,296.40","1,276.30","1,278.60","1,282.03","2,157.45","1,084.05","2,15,759","27,66,08,657.80","19,406"
"17-Jul-2025","EQ","1,305.00","1,306.00","1,292.30","1,304.00","1,292.60","1,296.40","1,298.10","2,157.45","1,084.05","1,54,925","20,11,07,670.90","12,959"
"16-Jul-2025","EQ","1,305.40","1,316.60","1,300.10","1,305.40","1,306.80","1,304.00","1,307.83","2,157.45","1,084.05","2,44,584","31,98,73,690.90","17,108"
"15-Jul-2025","EQ","1,295.00","1,317.70","1,291.40","1,293.80","1,305.00","1,305.40","1,307.49","2,157.45","1,084.05","5,09,181","66,57,50,865.00","22,745"
"14-Jul-2025","EQ","1,270.00","1,296.10","1,254.10","1,271.30","1,296.10","1,293.80","1,283.96","2,157.45","1,084.05","2,51,280","32,26,34,316.20","19,983"
"11-Jul-2025","EQ","1,286.00","1,294.90","1,262.00","1,293.90","1,269.90","1,271.30","1,279.48","2,157.45","1,084.05","7,57,277","96,89,17,208.50","17,956"
"10-Jul-2025","EQ","1,291.20","1,297.00","1,276.90","1,291.20","1,296.00","1,293.90","1,286.85","2,157.45","1,084.05","2,21,020","28,44,19,387.30","13,024"
"09-Jul-2025","EQ","1,289.90","1,311.60","1,277.30","1,289.90","1,286.00","1,291.20","1,299.98","2,157.45","1,084.05","3,63,439","47,24,63,730.60","23,111"
"08-Jul-2025","EQ","1,296.50","1,306.90","1,285.00","1,296.50","1,288.40","1,289.90","1,293.97","2,157.45","1,084.05","2,91,240","37,68,55,611.80","24,180"
"07-Jul-2025","EQ","1,293.50","1,299.00","1,280.10","1,294.40","1,298.30","1,296.50","1,291.20","2,157.45","1,084.05","2,07,422","26,78,23,824.90","15,671"
"04-Jul-2025","EQ","1,297.00","1,301.40","1,285.30","1,297.30","1,294.50","1,294.40","1,291.85","2,157.45","1,084.05","2,00,390","25,88,73,294.80","13,925"
"03-Jul-2025","EQ","1,297.80","1,309.00","1,294.30","1,295.70","1,298.70","1,297.30","1,300.52","2,157.45","1,084.05","2,81,479","36,60,68,740.60","15,831"
"02-Jul-2025","EQ","1,301.00","1,307.50","1,285.40","1,294.60","1,297.10","1,295.70","1,298.04","2,157.45","1,084.05","2,88,614","37,46,32,253.10","19,019"
"01-Jul-2025","EQ","1,290.00","1,302.70","1,278.60","1,288.60","1,292.10","1,294.60","1,290.40","2,157.45","1,084.05","3,46,076","44,65,77,598.10","23,569"
"30-Jun-2025","EQ","1,308.90","1,309.00","1,279.00","1,303.60","1,289.90","1,288.60","1,288.32","2,157.45","1,084.05","4,80,216","61,86,71,155.80","30,433"
"27-Jun-2025","EQ","1,298.00","1,324.90","1,294.00","1,295.50","1,301.90","1,303.60","1,309.49","2,157.45","1,084.05","6,74,332","88,30,27,659.40","44,248"
"26-Jun-2025","EQ","1,301.00","1,307.50","1,271.60","1,296.60","1,299.80","1,295.50","1,287.95","2,157.45","1,084.05","5,90,491","76,05,23,714.00","40,395"
"25-Jun-2025","EQ","1,313.00","1,327.40","1,293.10","1,308.70","1,298.00","1,296.60","1,309.62","2,157.45","1,084.05","5,86,039","76,74,88,356.30","43,745"
"24-Jun-2025","EQ","1,320.00","1,326.60","1,298.60","1,309.30","1,308.50","1,308.70","1,312.73","2,157.45","1,084.05","5,67,084","74,44,26,880.30","30,996"
"23-Jun-2025","EQ","1,299.90","1,317.00","1,291.60","1,306.60","1,308.80","1,309.30","1,306.21","2,157.45","1,084.05","2,49,555","32,59,71,316.90","21,646"
"20-Jun-2025","EQ","1,282.80","1,309.00","1,279.20","1,289.20","1,309.00","1,306.60","1,296.49","2,157.45","1,084.05","3,68,257","47,74,40,377.80","27,459"
"19-Jun-2025","EQ","1,356.00","1,356.00","1,283.00","1,356.50","1,285.00","1,289.20","1,300.05","2,157.45","1,084.05","19,04,020","2,47,53,29,946.00","87,492"
"18-Jun-2025","EQ","1,335.00","1,361.00","1,322.40","1,331.60","1,357.00","1,356.50","1,341.85","2,157.45","1,084.05","6,02,697","80,87,28,985.20","33,959"
