Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-03,EQ,534.1,537.85,531.4,530.4,535.95,535.5,535.11,610.75,503.65,"13,37,219","71,55,60,552.90","38,224",543.7034560991264,549.6947898744081,551.3708063693327
2023-11-06,EQ,536.9,539.55,533.35,535.5,537.5,537.95,537.84,610.75,503.65,"4,78,913","25,75,78,868.30","15,094",543.4778303697489,549.4622197778851,551.2372660074489
2023-11-07,EQ,539.0,539.9,532.85,537.95,535.5,536.1,536.28,610.75,503.65,"8,23,342","44,15,39,310.55","37,597",543.1885036885823,549.1976213664418,551.0866464451857
2023-11-08,EQ,538.7,539.8,533.4,536.1,538.2,539.25,538.53,610.75,503.65,"7,76,461","41,81,45,972.35","28,100",543.0340525635398,549.000638765126,550.9688688686167
2023-11-09,EQ,540.0,540.0,533.0,539.25,534.25,534.85,534.77,610.75,503.65,"13,66,713","73,08,75,963.25","18,319",542.713109325754,548.7204280965096,550.8084821137052
2023-11-10,EQ,532.65,535.0,526.7,534.85,533.5,533.35,531.78,610.75,503.65,"13,61,649","72,41,00,929.90","21,412",542.3459285678813,548.4160631837075,550.6347658737678
2023-11-12,EQ,535.0,537.05,534.0,533.35,535.8,535.6,535.79,610.75,503.65,"88,683","4,75,15,675.25","4,470",542.081382349533,548.1622797543272,550.4851662133324
2023-11-13,EQ,535.5,535.8,525.95,535.6,530.1,530.1,528.84,610.75,503.65,"9,79,880","51,82,00,575.60","39,971",541.6115242181787,547.8046108483009,550.2823287385728
2023-11-15,EQ,523.05,527.5,516.7,530.1,524.75,526.0,524.51,610.75,503.65,"33,98,705","1,78,26,58,656.75","63,642",540.9993075821717,547.3728363760573,550.0407135272438
2023-11-16,EQ,532.25,535.4,526.2,526.0,534.4,534.9,532.63,610.75,503.65,"16,12,231","85,87,18,844.40","41,525",540.7601190495376,547.1258495171255,549.890059661301
2023-11-17,EQ,535.8,542.6,531.65,534.9,542.0,540.7,539.37,610.75,503.65,"15,12,369","81,57,22,008.35","23,111",540.7577614397519,546.998604972232,549.7986162815866
2023-11-20,EQ,540.7,545.45,537.2,540.7,542.7,543.2,542.99,610.75,503.65,"19,10,044","1,03,71,33,722.30","36,716",540.853535500938,546.9233850717918,549.7329584081381
2023-11-21,EQ,545.65,545.65,539.25,543.2,540.2,540.85,542.15,610.75,503.65,"13,79,849","74,80,86,221.30","33,925",540.8533968538425,546.8031200208652,549.644570762286
2023-11-22,EQ,540.7,541.95,537.55,540.85,541.95,541.0,539.85,610.75,503.65,"6,80,568","36,74,01,445.65","19,111",540.859145996829,546.6882067531253,549.5585551328105
2023-11-23,EQ,541.0,542.0,535.25,541.0,538.15,540.35,538.99,610.75,503.65,"8,00,753","43,15,98,650.40","17,663",540.8391794871495,546.5626977085091,549.4669277185537
2023-11-24,EQ,542.0,542.1,536.0,540.35,536.5,537.35,538.01,610.75,503.65,"4,40,877","23,71,98,002.50","11,801",540.7023489190261,546.3802680509148,549.346361273593
2023-11-28,EQ,536.5,537.35,531.05,537.35,534.3,533.8,534.0,610.75,503.65,"22,51,292","1,20,21,92,179.90","79,189",540.4316685692604,546.1311538320847,549.1916711116667
2023-11-29,EQ,533.8,536.05,532.0,533.8,535.65,534.6,533.73,610.75,503.65,"18,15,670","96,90,83,224.25","57,452",540.2029756841914,545.9028141522415,549.0464803543366
2023-11-30,EQ,534.6,540.4,533.0,534.6,540.25,538.05,537.04,610.75,503.65,"31,67,951","1,70,13,22,189.95","39,193",540.1185452652036,545.7473128819,548.9370626393682
2023-12-01,EQ,540.0,544.4,537.7,538.05,542.0,541.15,540.4,610.75,503.65,"15,84,387","85,62,02,389.15","43,808",540.1589944704898,545.6562769832485,548.8595794290262
2023-12-04,EQ,544.9,548.9,541.7,541.15,547.0,547.0,545.74,610.75,503.65,"21,25,643","1,16,00,45,308.15","53,604",540.4272691971373,545.6828853598179,548.8410761511255
2023-12-05,EQ,548.95,552.5,546.8,547.0,551.4,552.0,550.6,610.75,503.65,"17,48,869","96,29,32,109.65","53,257",540.8811017776418,545.8079767388314,548.8725082292239
2023-12-06,EQ,554.75,554.9,549.3,552.0,550.8,550.05,550.98,610.75,503.65,"10,28,497","56,66,85,278.60","33,294",541.2406664138127,545.8919771994485,548.8842245652515
2023-12-07,EQ,550.05,550.95,537.45,550.05,545.5,545.8,544.98,610.75,503.65,"11,50,700","62,71,06,363.85","35,271",541.4194638093495,545.8901558687664,548.8535357636073
2023-12-08,EQ,548.9,556.25,545.8,545.8,548.25,547.5,549.53,610.75,503.65,"24,53,675","1,34,83,59,544.80","44,107",541.6579162089829,545.922033970375,548.8400677460589
2023-12-11,EQ,548.0,551.35,545.05,547.5,551.0,550.5,548.96,604.85,503.65,"12,78,433","70,18,05,995.65","39,325",542.0046645929444,546.0126867630407,548.8565844849041
2023-12-12,EQ,550.5,553.6,546.7,550.5,549.05,549.0,549.5,604.85,503.65,"14,18,773","77,96,14,763.75","35,719",542.2789914716525,546.0718414806042,548.8580115049549
2023-12-13,EQ,547.55,549.35,543.1,549.0,547.1,547.55,545.52,604.85,503.65,"16,28,806","88,85,43,935.90","64,809",542.4856976884505,546.1011119463349,548.8449964651046
2023-12-14,EQ,548.7,549.7,544.6,547.55,547.0,547.45,547.11,604.85,503.65,"20,78,199","1,13,70,05,172.20","35,453",542.6803762104721,546.1278226008628,548.8311159032628
2023-12-15,EQ,547.95,548.0,537.25,547.45,540.65,539.7,542.29,604.85,503.65,"26,55,593","1,44,00,98,252.80","44,052",542.5634987120222,546.0005389850041,548.7402590286035
2023-12-18,EQ,539.7,543.05,537.3,539.7,542.5,540.5,539.81,597.1,503.65,"27,00,975","1,45,80,10,369.90","44,133",542.4825771939038,545.8916174209446,548.6582664014533
2023-12-19,EQ,541.45,551.5,539.7,540.5,548.05,548.2,545.89,597.1,503.65,"21,55,547","1,17,66,82,557.80","46,484",542.7067898529664,545.9373279670644,548.6537065367622
2023-12-20,EQ,550.0,551.4,532.3,548.2,535.5,534.95,540.34,597.1,503.65,"36,85,894","1,99,16,39,301.75","60,442",542.4026020155952,545.7197571162314,548.5173512478392
