ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,274.00","2,292.30","2,253.90","2,253.40","2,271.30","2,270.80","2,268.38","2,343.00","1,601.00","3,85,405","87,42,45,344.00","18,422"
"12-Aug-2025","EQ","2,226.80","2,277.00","2,224.60","2,224.60","2,258.80","2,253.40","2,254.14","2,343.00","1,601.00","7,53,610","1,69,87,43,188.10","32,525"
"11-Aug-2025","EQ","2,255.20","2,272.00","2,218.90","2,243.40","2,232.10","2,224.60","2,234.33","2,343.00","1,601.00","4,58,913","1,02,53,61,416.00","20,119"
"08-Aug-2025","EQ","2,270.70","2,276.80","2,238.20","2,267.10","2,245.00","2,243.40","2,253.03","2,343.00","1,601.00","3,49,347","78,70,89,377.00","18,746"
"07-Aug-2025","EQ","2,253.20","2,279.00","2,240.90","2,250.80","2,267.60","2,267.10","2,256.93","2,343.00","1,601.00","2,49,358","56,27,82,323.80","22,690"
"06-Aug-2025","EQ","2,262.00","2,269.50","2,228.40","2,242.70","2,252.00","2,250.80","2,244.84","2,343.00","1,601.00","3,61,301","81,10,62,477.90","29,327"
"05-Aug-2025","EQ","2,234.00","2,250.00","2,222.00","2,226.80","2,250.00","2,242.70","2,237.34","2,343.00","1,601.00","3,94,017","88,15,50,779.70","25,857"
"04-Aug-2025","EQ","2,200.00","2,233.90","2,191.70","2,204.40","2,220.00","2,226.80","2,214.78","2,343.00","1,601.00","1,28,559","28,47,30,444.60","17,272"
"01-Aug-2025","EQ","2,239.00","2,240.20","2,185.80","2,235.50","2,185.80","2,204.40","2,213.68","2,343.00","1,601.00","1,59,022","35,20,24,285.90","22,196"
"31-Jul-2025","EQ","2,180.10","2,250.20","2,180.10","2,239.50","2,226.90","2,235.50","2,234.43","2,343.00","1,601.00","2,03,797","45,53,69,763.80","23,483"
"30-Jul-2025","EQ","2,195.10","2,258.70","2,195.00","2,198.60","2,234.20","2,239.50","2,220.29","2,343.00","1,601.00","3,52,725","78,31,50,776.30","23,301"
