ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,056.05","1,088.00","987.05","1,058.40","1,006.00","1,003.20","1,046.15","1,120.00","515.05","3,56,957","37,34,32,102.85","14,169"
"12-Aug-2025","EQ","1,015.05","1,066.00","1,011.55","1,016.95","1,060.00","1,058.40","1,043.40","1,120.00","515.05","3,43,799","35,87,18,311.60","11,570"
"11-Aug-2025","EQ","962.30","1,033.90","900.10","989.25","1,015.00","1,016.95","968.70","1,120.00","515.05","8,22,832","79,70,75,560.55","26,146"
"08-Aug-2025","EQ","1,075.00","1,090.75","976.50","1,083.80","988.00","989.25","1,038.51","1,120.00","515.05","3,84,048","39,88,38,935.80","14,195"
"07-Aug-2025","EQ","1,035.00","1,120.00","1,025.55","1,050.40","1,088.00","1,083.80","1,089.63","1,120.00","515.05","11,85,215","1,29,14,40,300.30","36,742"
"06-Aug-2025","EQ","1,045.00","1,055.00","986.00","1,052.75","1,046.00","1,050.40","1,029.82","1,059.00","515.05","4,05,546","41,76,41,349.05","15,412"
"05-Aug-2025","EQ","1,020.05","1,059.00","1,020.05","1,018.10","1,048.00","1,052.75","1,039.81","1,059.00","515.05","3,64,816","37,93,38,842.50","12,114"
"04-Aug-2025","EQ","999.90","1,024.05","993.70","1,004.45","1,021.45","1,018.10","1,011.94","1,045.50","515.05","3,11,024","31,47,37,453.30","10,322"
"01-Aug-2025","EQ","977.15","1,045.50","975.00","980.55","996.45","1,004.45","1,022.64","1,045.50","515.05","9,44,683","96,60,73,588.20","30,289"
"31-Jul-2025","EQ","913.00","987.00","898.85","937.95","984.95","980.55","963.01","987.00","515.05","5,52,273","53,18,44,472.45","17,574"
"30-Jul-2025","EQ","938.00","942.00","925.50","938.30","937.95","937.95","936.90","958.00","515.05","2,50,671","23,48,53,775.60","5,210"
"29-Jul-2025","EQ","919.00","958.00","902.75","924.10","937.75","938.30","936.39","958.00","515.05","7,33,579","68,69,16,224.15","17,445"
"28-Jul-2025","EQ","879.55","930.50","865.40","879.55","922.40","924.10","908.97","945.75","515.05","8,98,609","81,68,06,593.50","23,540"
"25-Jul-2025","EQ","884.80","916.55","870.15","888.45","880.00","879.55","890.21","945.75","515.05","20,31,184","1,80,81,80,157.45","60,220"
"24-Jul-2025","EQ","854.00","945.75","846.00","846.25","882.00","888.45","913.34","945.75","515.05","75,08,019","6,85,74,01,114.50","1,67,449"
"23-Jul-2025","EQ","771.95","868.00","771.35","774.35","853.00","846.25","845.10","868.00","515.05","45,22,789","3,82,21,98,182.40","1,30,250"
"22-Jul-2025","EQ","775.90","807.90","769.00","773.90","771.45","774.35","790.33","807.90","515.05","5,85,912","46,30,61,403.60","27,404"
"21-Jul-2025","EQ","771.90","780.00","753.55","770.75","775.00","773.90","768.52","784.00","515.05","3,22,855","24,81,19,204.10","16,715"
"18-Jul-2025","EQ","769.40","784.00","763.85","762.90","766.00","770.75","772.59","784.00","515.05","3,36,226","25,97,66,135.65","18,153"
"17-Jul-2025","EQ","761.05","773.50","748.00","758.10","770.00","762.90","759.62","773.50","515.05","3,04,726","23,14,76,802.65","15,761"
"16-Jul-2025","EQ","744.10","765.00","738.20","746.75","756.50","758.10","753.98","765.00","515.05","2,94,767","22,22,47,384.45","14,862"
"15-Jul-2025","EQ","738.10","751.75","735.95","735.95","744.10","746.75","745.42","765.00","515.05","3,52,334","26,26,36,497.40","17,191"
"14-Jul-2025","EQ","733.95","765.00","720.00","732.15","733.75","735.95","743.82","765.00","515.05","12,99,508","96,65,99,651.60","65,270"
"11-Jul-2025","EQ","673.20","744.50","668.30","673.10","726.00","732.15","723.22","744.50","515.05","34,53,708","2,49,77,97,147.30","1,09,979"
"10-Jul-2025","EQ","669.75","681.80","660.00","667.30","673.00","673.10","671.37","740.00","515.05","1,28,079","8,59,88,475.05","8,507"
"09-Jul-2025","EQ","668.95","682.70","662.20","669.05","669.75","667.30","669.78","740.00","515.05","1,39,920","9,37,16,196.25","10,059"
"08-Jul-2025","EQ","662.00","678.00","653.70","661.40","666.75","669.05","668.66","740.00","515.05","2,47,776","16,56,78,869.60","15,766"
"07-Jul-2025","EQ","657.00","667.00","642.85","647.20","658.25","661.40","657.20","740.00","515.05","3,78,721","24,88,95,291.65","24,234"
"04-Jul-2025","EQ","620.15","660.00","620.00","622.60","659.15","647.20","642.43","740.00","515.05","1,91,925","12,32,98,338.85","6,813"
"03-Jul-2025","EQ","625.50","630.25","619.75","625.50","622.00","622.60","623.61","740.00","515.05","35,107","2,18,92,903.00","2,419"
"02-Jul-2025","EQ","619.00","634.95","616.15","621.60","624.25","625.50","625.98","740.00","515.05","91,013","5,69,71,897.20","6,616"
"01-Jul-2025","EQ","631.90","632.05","615.60","626.05","621.70","621.60","620.97","740.00","515.05","45,499","2,82,53,546.35","5,216"
"30-Jun-2025","EQ","622.35","632.70","620.40","620.45","625.05","626.05","626.25","740.00","515.05","44,064","2,75,94,961.25","3,247"
"27-Jun-2025","EQ","628.45","633.85","618.35","628.45","623.00","620.45","624.89","740.00","515.05","95,557","5,97,12,426.45","6,891"
"26-Jun-2025","EQ","623.00","637.15","613.50","621.35","625.00","628.45","627.30","740.00","515.05","1,12,155","7,03,55,336.35","6,456"
"25-Jun-2025","EQ","609.40","626.40","609.40","608.00","622.00","621.35","620.64","740.00","515.05","91,024","5,64,93,023.05","7,041"
"24-Jun-2025","EQ","605.00","619.50","605.00","602.35","609.40","608.00","612.55","740.00","515.05","58,040","3,55,52,585.20","6,573"
"23-Jun-2025","EQ","602.65","604.60","593.95","605.65","604.00","602.35","599.11","740.00","515.05","77,770","4,65,93,131.20","8,047"
"20-Jun-2025","EQ","593.00","609.30","591.80","591.75","607.00","605.65","602.58","740.00","515.05","58,392","3,51,85,629.00","4,195"
"19-Jun-2025","EQ","608.05","611.15","590.25","608.05","593.00","591.75","597.01","740.00","515.05","94,598","5,64,76,139.00","6,453"
"18-Jun-2025","EQ","611.75","615.10","603.05","611.75","607.00","608.05","608.96","740.00","515.05","41,229","2,51,06,835.60","3,379"
"17-Jun-2025","EQ","620.15","626.10","609.25","620.25","609.25","611.75","617.60","740.00","515.05","53,074","3,27,78,506.55","4,354"
"16-Jun-2025","EQ","624.75","626.95","602.20","624.75","619.10","620.25","612.35","740.00","515.05","1,11,086","6,80,23,093.50","7,184"
"13-Jun-2025","EQ","626.00","645.00","612.50","631.90","627.95","624.75","631.77","740.00","515.05","1,38,093","8,72,43,362.15","9,730"
"12-Jun-2025","EQ","637.90","645.45","627.30","634.75","632.80","631.90","635.55","740.00","515.05","1,36,149","8,65,28,920.85","7,993"
"11-Jun-2025","EQ","628.10","639.00","623.60","623.80","633.50","634.75","632.16","740.00","515.05","1,44,847","9,15,65,969.00","8,058"
"10-Jun-2025","EQ","630.80","633.40","621.15","627.75","622.70","623.80","627.32","740.00","515.05","87,393","5,48,22,982.15","5,707"
"09-Jun-2025","EQ","606.10","635.35","605.00","606.05","626.80","627.75","625.50","740.00","515.05","4,56,938","28,58,13,029.70","18,616"
"06-Jun-2025","EQ","600.50","614.40","598.50","600.00","604.25","606.05","608.17","740.00","450.00","1,21,499","7,38,92,219.30","8,875"
"05-Jun-2025","EQ","597.00","606.40","596.75","595.65","602.00","600.00","601.26","740.00","450.00","75,700","4,55,15,120.80","6,383"
"04-Jun-2025","EQ","598.00","599.95","586.95","593.85","594.80","595.65","594.35","740.00","450.00","70,243","4,17,49,075.00","5,334"
"03-Jun-2025","EQ","603.00","608.00","592.05","602.35","595.00","593.85","597.02","740.00","450.00","66,247","3,95,51,096.80","4,020"
"02-Jun-2025","EQ","601.05","612.35","601.05","604.90","603.00","602.35","605.86","740.00","450.00","74,445","4,51,03,442.05","3,258"
"30-May-2025","EQ","605.00","606.65","599.00","605.05","604.80","604.90","602.91","740.00","450.00","52,211","3,14,78,752.25","3,382"
"29-May-2025","EQ","613.15","613.30","602.00","607.80","605.00","605.05","608.43","740.00","450.00","46,216","2,81,19,144.75","2,675"
"28-May-2025","EQ","608.00","615.10","596.05","605.35","612.00","607.80","604.63","740.00","450.00","1,13,992","6,89,23,003.35","7,048"
"27-May-2025","EQ","612.00","614.05","602.55","610.70","605.00","605.35","605.79","740.00","450.00","68,324","4,13,89,841.20","3,993"
"26-May-2025","EQ","615.75","618.45","607.00","612.05","610.85","610.70","611.09","740.00","450.00","78,175","4,77,71,869.55","4,942"
"23-May-2025","EQ","618.00","618.00","607.30","611.25","612.00","612.05","612.23","740.00","450.00","58,702","3,59,39,252.90","3,921"
"22-May-2025","EQ","615.00","623.00","608.00","616.85","611.00","611.25","614.67","740.00","450.00","77,280","4,75,02,004.25","5,150"
"21-May-2025","EQ","603.90","626.60","597.55","600.70","615.50","616.85","616.92","740.00","450.00","2,75,899","17,02,06,858.15","10,805"
"20-May-2025","EQ","617.00","617.00","597.95","608.55","603.00","600.70","604.94","740.00","450.00","1,23,238","7,45,51,736.50","5,533"
"19-May-2025","EQ","617.00","622.35","606.60","616.75","609.25","608.55","613.36","740.00","450.00","1,42,998","8,77,08,985.80","8,051"
"16-May-2025","EQ","636.35","636.35","613.05","660.20","617.90","616.75","619.14","740.00","450.00","3,42,454","21,20,26,189.50","14,443"
"15-May-2025","EQ","653.45","665.35","648.85","654.25","659.00","660.20","658.88","740.00","450.00","1,56,232","10,29,38,424.10","10,385"
"14-May-2025","EQ","644.70","663.80","635.65","635.35","650.00","654.25","654.05","740.00","450.00","1,72,870","11,30,66,048.40","12,218"
"13-May-2025","EQ","631.00","647.55","628.20","640.60","636.25","635.35","638.41","740.00","450.00","1,20,762","7,70,96,091.65","9,659"
"12-May-2025","EQ","590.00","653.75","590.00","559.90","639.05","640.60","625.60","740.00","450.00","6,57,593","41,13,89,105.55","32,815"
"09-May-2025","EQ","541.85","564.90","541.85","561.90","562.00","559.90","553.05","740.00","450.00","72,228","3,99,45,687.65","7,005"
"08-May-2025","EQ","560.95","580.90","560.00","557.55","560.05","561.90","570.44","740.00","450.00","95,747","5,46,17,897.25","7,026"
"07-May-2025","EQ","559.90","566.55","550.00","560.90","561.00","557.55","557.33","740.00","450.00","1,27,103","7,08,38,737.10","9,680"
"06-May-2025","EQ","586.00","594.90","558.00","588.70","559.00","560.90","570.30","740.00","450.00","1,17,917","6,72,48,499.20","9,352"
"05-May-2025","EQ","586.00","595.90","582.15","585.75","589.25","588.70","589.63","740.00","450.00","62,749","3,69,98,768.85","6,598"
"02-May-2025","EQ","587.05","597.45","583.90","591.55","584.40","585.75","589.35","740.00","450.00","62,508","3,68,39,271.40","6,137"
"30-Apr-2025","EQ","601.00","601.80","588.05","604.95","588.05","591.55","594.50","740.00","450.00","73,245","4,35,44,159.40","6,529"
"29-Apr-2025","EQ","603.40","615.95","599.30","604.70","603.80","604.95","605.68","740.00","450.00","56,534","3,42,41,392.40","5,837"
"28-Apr-2025","EQ","599.45","613.55","597.20","605.15","603.40","604.70","606.46","740.00","450.00","65,090","3,94,74,770.95","6,877"
"25-Apr-2025","EQ","636.65","639.45","595.05","633.50","604.95","605.15","608.73","740.00","450.00","1,64,212","9,99,59,962.00","13,675"
"24-Apr-2025","EQ","618.00","638.25","613.85","613.90","637.10","633.50","630.87","740.00","450.00","1,99,432","12,58,16,209.10","14,324"
"23-Apr-2025","EQ","615.00","623.00","596.50","607.35","613.50","613.90","606.92","740.00","450.00","2,34,893","14,25,60,914.65","15,146"
"22-Apr-2025","EQ","626.60","626.60","605.00","620.60","609.15","607.35","614.58","740.00","450.00","2,00,021","12,29,29,596.80","12,385"
"21-Apr-2025","EQ","632.60","634.60","616.30","621.45","619.15","620.60","625.09","740.00","450.00","1,76,521","11,03,41,468.65","17,668"
"17-Apr-2025","EQ","600.20","626.55","593.35","603.90","617.30","621.45","614.11","740.00","450.00","1,71,777","10,54,90,645.95","11,110"
"16-Apr-2025","EQ","606.50","622.40","600.00","597.20","603.00","603.90","610.38","740.00","450.00","97,778","5,96,82,194.00","9,070"
"15-Apr-2025","EQ","575.55","607.90","575.55","570.45","602.00","597.20","587.00","740.00","450.00","2,52,121","14,79,94,854.20","11,455"
"11-Apr-2025","EQ","581.00","581.00","563.40","549.05","571.45","570.45","568.38","740.00","450.00","1,02,820","5,84,40,979.20","8,980"
"09-Apr-2025","EQ","560.00","560.00","545.60","566.55","548.00","549.05","550.45","740.00","450.00","72,020","3,96,43,401.20","7,187"
"08-Apr-2025","EQ","550.00","576.40","550.00","534.15","572.00","566.55","563.36","740.00","450.00","2,20,268","12,40,91,192.35","17,540"
"07-Apr-2025","EQ","555.00","563.05","522.00","603.25","550.00","534.15","539.39","740.00","450.00","3,84,284","20,72,80,471.55","29,679"
"04-Apr-2025","EQ","640.00","644.10","596.05","639.35","606.25","603.25","607.40","740.00","450.00","1,37,463","8,34,95,398.05","17,853"
"03-Apr-2025","EQ","625.00","651.00","616.00","636.80","640.10","639.35","638.56","740.00","450.00","97,491","6,22,53,922.20","8,438"
"02-Apr-2025","EQ","634.05","638.60","616.35","634.05","633.70","636.80","629.84","740.00","450.00","60,717","3,82,42,024.15","5,493"
"01-Apr-2025","EQ","632.50","647.85","631.50","641.60","633.00","634.05","637.78","740.00","450.00","45,261","2,88,66,359.10","4,924"
"28-Mar-2025","EQ","650.10","658.45","635.55","647.65","640.50","641.60","646.11","740.00","450.00","92,075","5,94,90,599.55","7,638"
"27-Mar-2025","EQ","631.95","660.00","624.10","636.75","650.05","647.65","646.43","740.00","450.00","1,55,781","10,07,01,259.55","12,984"
"26-Mar-2025","EQ","627.50","651.40","626.95","633.85","636.65","636.75","643.15","740.00","450.00","85,232","5,48,17,262.80","9,365"
"25-Mar-2025","EQ","654.20","658.00","628.75","650.95","632.00","633.85","640.81","740.00","450.00","1,57,447","10,08,94,259.00","14,842"
"24-Mar-2025","EQ","610.00","655.85","610.00","603.65","650.00","650.95","639.27","740.00","450.00","3,61,499","23,10,96,934.25","28,188"
"21-Mar-2025","EQ","593.45","614.80","593.45","597.05","607.00","603.65","607.34","740.00","450.00","93,715","5,69,17,268.55","7,538"
"20-Mar-2025","EQ","605.00","611.50","593.10","599.50","600.00","597.05","602.87","740.00","450.00","86,438","5,21,11,248.25","5,771"
"19-Mar-2025","EQ","598.50","606.10","594.55","597.90","599.90","599.50","600.57","740.00","450.00","62,866","3,77,55,555.80","2,738"
