ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","479.60","483.40","473.25","478.60","474.00","474.30","476.97","588.00","363.15","78,139","3,72,69,728.60","7,492"
"12-Aug-2025","EQ","475.50","481.75","472.00","473.70","479.05","478.60","477.33","588.00","363.15","98,206","4,68,76,885.05","9,810"
"11-Aug-2025","EQ","463.40","476.30","459.00","465.15","475.50","473.70","468.29","588.00","363.15","1,00,058","4,68,56,196.30","9,093"
"08-Aug-2025","EQ","472.00","475.35","461.55","471.95","462.40","465.15","467.32","588.00","363.15","1,08,575","5,07,39,785.30","7,898"
"07-Aug-2025","EQ","462.50","476.05","458.00","467.40","470.90","471.95","467.26","588.00","363.15","1,77,472","8,29,25,787.45","14,914"
"06-Aug-2025","EQ","472.90","473.45","461.75","473.30","465.50","467.40","466.57","588.00","363.15","1,15,384","5,38,35,282.50","12,735"
"05-Aug-2025","EQ","485.00","486.40","471.05","483.40","472.55","473.30","477.69","588.00","363.15","1,93,396","9,23,83,467.35","26,256"
"04-Aug-2025","EQ","474.00","490.00","468.30","458.75","487.40","483.40","475.01","588.00","363.15","5,18,085","24,60,94,639.65","25,625"
"01-Aug-2025","EQ","477.00","490.50","454.80","481.10","456.05","458.75","473.99","588.00","363.15","2,91,566","13,81,98,481.00","13,583"
"31-Jul-2025","EQ","480.00","489.00","466.60","481.25","479.70","481.10","481.44","588.00","363.15","1,57,652","7,58,99,731.80","8,929"
"30-Jul-2025","EQ","484.35","505.00","479.40","474.10","483.60","481.25","489.81","588.00","363.15","9,57,112","46,87,99,508.35","32,249"
"29-Jul-2025","EQ","462.20","481.20","456.25","462.30","477.35","474.10","468.15","588.00","363.15","1,11,799","5,23,38,152.30","7,121"
"28-Jul-2025","EQ","465.20","471.40","460.50","464.55","462.65","462.30","465.12","588.00","363.15","78,621","3,65,68,364.50","5,996"
"25-Jul-2025","EQ","472.95","474.00","461.05","474.25","462.25","464.55","466.65","588.00","363.15","1,02,622","4,78,88,572.05","6,467"
"24-Jul-2025","EQ","479.60","484.40","471.40","478.65","473.50","474.25","476.10","588.00","363.15","73,189","3,48,45,154.15","5,201"
"23-Jul-2025","EQ","487.00","491.30","477.75","486.00","478.60","478.65","481.48","588.00","363.15","1,21,897","5,86,91,043.95","6,353"
"22-Jul-2025","EQ","490.40","493.00","485.05","488.85","485.30","486.00","487.90","588.00","363.15","62,101","3,02,98,906.55","3,623"
"21-Jul-2025","EQ","486.00","490.50","477.05","486.75","490.00","488.85","485.26","588.00","363.15","1,09,599","5,31,84,007.85","4,911"
"18-Jul-2025","EQ","495.20","500.50","485.00","497.45","485.00","486.75","490.42","588.00","363.15","1,27,187","6,23,74,439.10","5,670"
"17-Jul-2025","EQ","504.35","504.90","496.10","502.55","497.00","497.45","499.50","588.00","363.15","55,043","2,74,93,878.65","3,013"
"16-Jul-2025","EQ","498.80","505.50","498.80","498.60","501.00","502.55","502.62","588.00","363.15","1,03,878","5,22,11,232.75","6,535"
"15-Jul-2025","EQ","490.90","502.65","490.90","489.90","498.20","498.60","497.12","588.00","363.15","94,602","4,70,28,387.70","6,416"
"14-Jul-2025","EQ","492.55","494.30","486.05","492.55","489.90","489.90","489.91","588.00","363.15","81,755","4,00,52,229.15","5,221"
