ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","185.00","187.05","176.32","185.59","177.00","177.21","179.02","209.40","171.72","13,67,329","24,47,84,802.30","13,324"
"12-Aug-2025","EQ","177.98","187.40","176.46","177.46","185.40","185.59","183.37","209.40","171.72","11,59,998","21,27,13,467.99","16,241"
"11-Aug-2025","EQ","176.60","178.08","171.72","177.71","177.00","177.46","175.78","209.40","171.72","8,94,754","15,72,79,243.98","10,376"
"08-Aug-2025","EQ","182.00","182.00","175.05","181.40","175.05","177.71","178.43","209.40","172.41","3,62,276","6,46,40,587.13","5,291"
"07-Aug-2025","EQ","175.91","182.75","172.41","178.10","181.40","181.40","177.62","209.40","172.41","8,81,941","15,66,53,328.97","11,985"
"06-Aug-2025","EQ","182.60","182.91","173.10","182.57","177.61","178.10","177.85","209.40","173.10","8,62,781","15,34,46,879.48","10,353"
"05-Aug-2025","EQ","180.55","186.01","180.48","180.48","182.50","182.57","182.69","209.40","176.90","5,51,104","10,06,80,119.87","6,496"
"04-Aug-2025","EQ","182.00","182.99","177.26","180.40","181.99","180.48","180.42","209.40","176.90","8,38,969","15,13,67,186.99","7,574"
"01-Aug-2025","EQ","187.00","188.29","178.79","185.30","179.30","180.40","182.89","209.40","176.90","7,79,538","14,25,71,220.91","5,850"
"17-Jul-2025","EQ","240.65","242.35","232.01","240.23","235.60","235.27","236.17","252.67","115.11","32,94,459","77,80,54,488.88","43,594"
"16-Jul-2025","EQ","240.00","244.19","238.10","240.36","239.40","240.23","240.78","252.67","115.11","26,92,800","64,83,63,825.74","25,143"
"15-Jul-2025","EQ","245.50","248.65","238.57","248.35","239.94","240.36","244.34","252.67","115.11","48,16,084","1,17,67,79,840.42","53,685"
"14-Jul-2025","EQ","241.50","249.80","235.95","241.29","248.20","248.35","245.49","252.67","115.11","52,12,617","1,27,96,28,243.74","43,058"
"11-Jul-2025","EQ","243.39","246.90","238.50","242.33","240.30","241.29","242.47","252.67","115.11","33,01,622","80,05,47,112.65","32,722"
"10-Jul-2025","EQ","240.12","245.12","239.50","238.56","243.00","242.33","242.14","252.67","115.11","37,71,202","91,31,42,175.05","29,985"
"09-Jul-2025","EQ","251.00","252.67","237.10","246.65","238.10","238.56","242.80","252.67","115.11","92,04,394","2,23,48,40,014.86","65,575"
"08-Jul-2025","EQ","236.43","248.00","233.46","235.38","247.50","246.65","242.42","248.00","115.11","94,81,367","2,29,84,98,931.68","57,381"
"07-Jul-2025","EQ","230.54","240.90","230.10","230.54","236.00","235.38","236.71","244.90","115.11","65,54,869","1,55,16,07,027.71","43,343"
"04-Jul-2025","EQ","231.00","234.45","227.50","229.25","230.74","230.54","231.08","244.90","115.11","33,23,202","76,79,30,315.16","30,534"
"03-Jul-2025","EQ","226.00","231.00","222.47","225.84","229.30","229.25","226.60","244.90","115.11","29,67,152","67,23,67,357.92","24,794"
"02-Jul-2025","EQ","230.00","233.40","225.00","229.66","226.00","225.84","229.08","244.90","115.11","33,68,861","77,17,53,898.01","33,098"
"01-Jul-2025","EQ","234.78","236.40","226.00","234.48","229.49","229.66","229.82","244.90","115.11","32,64,952","75,03,58,199.30","27,132"
"30-Jun-2025","EQ","236.70","236.70","229.33","227.85","234.71","234.48","233.45","244.90","115.11","52,07,020","1,21,55,92,005.28","40,947"
"27-Jun-2025","EQ","233.45","235.40","227.01","232.67","227.60","227.85","230.87","244.90","115.11","30,52,323","70,46,92,628.81","29,076"
"26-Jun-2025","EQ","228.69","235.00","222.65","226.64","232.10","232.67","229.64","244.90","115.11","64,65,701","1,48,48,05,714.19","47,292"
"25-Jun-2025","EQ","217.80","230.00","217.27","216.32","226.91","226.64","225.12","244.90","115.11","65,01,546","1,46,36,39,743.61","51,047"
"24-Jun-2025","EQ","219.00","222.25","213.14","215.78","216.21","216.32","216.00","244.90","115.11","40,94,456","88,43,83,641.34","31,443"
"23-Jun-2025","EQ","204.95","218.40","204.95","206.17","215.70","215.78","213.47","244.90","115.11","61,01,367","1,30,24,38,498.34","40,439"
"20-Jun-2025","EQ","211.94","217.39","204.60","212.03","207.75","206.17","209.77","244.90","115.11","78,79,491","1,65,28,91,159.51","73,361"
"19-Jun-2025","EQ","222.00","224.63","211.00","221.43","211.95","212.03","216.07","244.90","115.11","36,58,840","79,05,81,452.23","37,769"
"18-Jun-2025","EQ","223.50","227.85","217.35","223.59","220.51","221.43","222.15","244.90","115.11","45,69,097","1,01,50,35,615.03","42,896"
"17-Jun-2025","EQ","233.60","234.70","221.05","232.61","222.72","223.59","226.54","244.90","115.11","54,46,512","1,23,38,28,007.88","51,819"
"16-Jun-2025","EQ","241.00","242.89","228.15","239.93","232.00","232.61","233.78","244.90","115.11","60,29,715","1,40,96,37,933.43","54,412"
"13-Jun-2025","EQ","218.01","244.90","217.11","224.05","241.10","239.93","237.76","244.90","115.11","2,14,32,767","5,09,57,64,384.44","1,59,628"
"12-Jun-2025","EQ","227.01","232.20","221.00","227.60","223.99","224.05","226.79","235.80","115.11","45,23,956","1,02,59,96,407.08","40,526"
"11-Jun-2025","EQ","226.70","235.80","223.49","225.30","226.61","227.60","229.46","235.80","115.11","90,54,301","2,07,76,40,215.77","63,384"
"10-Jun-2025","EQ","218.00","226.25","213.00","217.53","225.40","225.30","221.27","228.95","115.11","68,06,286","1,50,60,50,973.13","45,865"
"09-Jun-2025","EQ","221.00","222.39","213.00","218.88","216.90","217.53","216.95","228.95","115.11","45,49,078","98,69,34,273.97","36,533"
"06-Jun-2025","EQ","217.00","222.40","213.02","215.12","219.10","218.88","218.80","228.95","115.11","92,15,011","2,01,62,27,817.89","65,303"
"05-Jun-2025","EQ","211.00","217.90","210.60","209.58","215.80","215.12","215.06","228.95","115.11","86,79,105","1,86,65,18,579.43","65,187"
