ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,363.80","1,374.00","1,312.30","1,367.30","1,338.00","1,343.60","1,340.57","1,502.30","902.60","1,01,644","13,62,61,124.10","11,868"
"11-Aug-2025","EQ","1,352.30","1,377.90","1,321.40","1,352.30","1,363.00","1,367.30","1,353.96","1,502.30","902.60","48,783","6,60,50,198.30","6,389"
"08-Aug-2025","EQ","1,350.00","1,368.00","1,325.00","1,344.30","1,353.10","1,352.30","1,346.40","1,502.30","902.60","58,697","7,90,29,386.80","6,345"
"07-Aug-2025","EQ","1,377.50","1,377.50","1,311.20","1,377.60","1,344.00","1,344.30","1,341.48","1,502.30","902.60","73,286","9,83,11,928.60","9,759"
"06-Aug-2025","EQ","1,376.00","1,396.20","1,362.00","1,382.60","1,377.50","1,377.60","1,377.67","1,502.30","902.60","73,526","10,12,94,809.30","10,817"
"05-Aug-2025","EQ","1,387.00","1,399.00","1,361.00","1,377.00","1,382.00","1,382.60","1,376.42","1,502.30","902.60","40,399","5,56,06,038.40","6,238"
"04-Aug-2025","EQ","1,386.00","1,391.80","1,362.30","1,374.30","1,384.60","1,377.00","1,378.15","1,502.30","902.60","60,536","8,34,27,666.10","8,283"
"01-Aug-2025","EQ","1,437.50","1,439.50","1,366.90","1,429.60","1,370.00","1,374.30","1,397.35","1,502.30","902.60","83,347","11,64,65,066.00","9,839"
"31-Jul-2025","EQ","1,400.00","1,460.00","1,400.00","1,424.50","1,427.10","1,429.60","1,439.92","1,502.30","902.60","1,55,145","22,33,95,762.30","16,725"
"30-Jul-2025","EQ","1,426.20","1,442.00","1,399.00","1,422.20","1,424.10","1,424.50","1,418.54","1,502.30","902.60","1,05,065","14,90,39,039.20","10,418"
"29-Jul-2025","EQ","1,385.90","1,433.50","1,348.10","1,385.90","1,425.00","1,422.20","1,402.68","1,502.30","902.60","1,17,831","16,52,78,785.70","11,861"
"28-Jul-2025","EQ","1,391.40","1,414.90","1,366.10","1,397.50","1,388.00","1,385.90","1,389.51","1,502.30","902.60","97,838","13,59,46,737.40","11,354"
