ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","16,088.00","16,120.00","15,801.00","16,088.00","15,823.00","15,828.00","15,908.93","19,148.90","11,559.90","1,64,396","2,61,53,65,158.00","38,225"
"11-Aug-2025","EQ","15,780.00","16,195.00","15,780.00","15,864.00","16,064.00","16,088.00","16,055.11","19,148.90","11,559.90","2,98,880","4,79,85,51,687.00","57,363"
"08-Aug-2025","EQ","16,690.00","16,700.00","15,810.00","16,663.00","15,816.00","15,864.00","16,141.14","19,148.90","10,950.05","3,28,403","5,30,07,98,525.00","64,062"
"07-Aug-2025","EQ","16,250.00","16,698.00","16,250.00","16,513.00","16,666.00","16,663.00","16,538.67","19,148.90","10,950.05","2,32,821","3,85,05,48,579.00","47,401"
"06-Aug-2025","EQ","16,849.00","16,881.00","16,458.00","16,849.00","16,500.00","16,513.00","16,615.07","19,148.90","10,950.05","2,50,727","4,16,58,46,670.00","49,554"
"05-Aug-2025","EQ","17,002.00","17,099.00","16,763.00","17,002.00","16,835.00","16,849.00","16,890.00","19,148.90","10,950.05","2,08,975","3,52,95,86,857.00","37,644"
"04-Aug-2025","EQ","16,896.00","17,129.00","16,820.00","16,848.00","17,010.00","17,002.00","16,972.35","19,148.90","10,950.05","2,08,266","3,53,47,63,519.00","42,086"
"01-Aug-2025","EQ","16,869.00","17,149.00","16,787.00","16,841.00","16,856.00","16,848.00","16,991.41","19,148.90","10,950.05","3,41,381","5,80,05,43,914.00","64,997"
"31-Jul-2025","EQ","16,360.00","16,933.00","16,128.00","16,765.00","16,822.00","16,841.00","16,630.52","19,148.90","10,950.05","5,61,218","9,33,33,45,307.00","95,981"
"30-Jul-2025","EQ","16,770.00","16,882.00","16,660.00","16,784.00","16,755.00","16,765.00","16,767.70","19,148.90","10,950.05","1,48,613","2,49,18,97,462.00","29,683"
"29-Jul-2025","EQ","16,744.00","16,814.00","16,584.00","16,744.00","16,799.00","16,784.00","16,725.19","19,148.90","10,950.05","1,91,247","3,19,86,41,621.00","33,680"
"28-Jul-2025","EQ","16,749.00","16,969.00","16,601.00","16,700.00","16,750.00","16,744.00","16,820.57","19,148.90","10,950.05","3,11,066","5,23,23,06,978.00","52,878"
"25-Jul-2025","EQ","16,810.00","16,910.00","16,668.00","16,768.00","16,700.00","16,700.00","16,798.95","19,148.90","10,620.00","3,72,154","6,25,17,96,202.00","65,607"
"24-Jul-2025","EQ","16,595.00","16,833.00","16,569.00","16,556.00","16,755.00","16,768.00","16,737.93","19,148.90","10,620.00","4,04,842","6,77,62,18,780.00","71,595"
"23-Jul-2025","EQ","16,440.00","16,669.00","16,208.00","16,112.00","16,555.00","16,556.00","16,500.14","19,148.90","10,620.00","8,66,173","14,29,19,73,706.00","1,30,913"
"22-Jul-2025","EQ","16,350.00","16,350.00","16,051.00","16,281.00","16,110.00","16,112.00","16,183.14","19,148.90","10,620.00","3,09,302","5,00,54,77,707.00","47,268"
"21-Jul-2025","EQ","15,978.00","16,320.00","15,860.00","15,960.00","16,290.00","16,281.00","16,187.77","19,148.90","10,620.00","5,22,627","8,46,01,68,083.00","68,368"
"18-Jul-2025","EQ","16,140.00","16,195.00","15,882.00","16,107.00","15,950.00","15,960.00","16,044.14","19,148.90","10,620.00","2,24,808","3,60,68,51,551.00","42,839"
"17-Jul-2025","EQ","16,160.00","16,238.00","16,056.00","16,099.00","16,101.00","16,107.00","16,147.70","19,148.90","10,620.00","2,45,713","3,96,76,99,875.00","42,303"
"16-Jul-2025","EQ","16,376.00","16,450.00","16,011.00","15,823.00","16,104.00","16,099.00","16,222.38","19,148.90","10,620.00","8,31,255","13,48,49,36,423.00","1,22,088"
"15-Jul-2025","EQ","15,945.00","16,000.00","15,756.00","15,898.00","15,804.00","15,823.00","15,847.29","19,148.90","10,620.00","2,03,686","3,22,78,71,902.00","38,565"
"14-Jul-2025","EQ","15,779.00","15,990.00","15,710.00","15,786.00","15,909.00","15,898.00","15,886.31","19,148.90","10,620.00","2,23,601","3,55,21,93,698.00","43,481"
"11-Jul-2025","EQ","15,820.00","15,930.00","15,671.00","15,849.00","15,783.00","15,786.00","15,808.21","19,148.90","10,620.00","2,84,865","4,50,32,06,894.00","55,179"
"10-Jul-2025","EQ","15,710.00","15,899.00","15,636.00","15,710.00","15,809.00","15,849.00","15,783.66","19,148.90","10,620.00","3,40,971","5,38,17,71,759.00","54,055"
"09-Jul-2025","EQ","15,544.00","15,860.00","15,532.00","15,473.00","15,720.00","15,710.00","15,736.12","19,148.90","10,620.00","5,69,738","8,96,54,64,642.00","92,556"
"08-Jul-2025","EQ","15,480.00","15,525.00","15,231.00","15,433.00","15,450.00","15,473.00","15,414.39","19,148.90","10,620.00","2,86,161","4,41,09,96,548.00","51,758"
"07-Jul-2025","EQ","15,240.00","15,668.00","15,118.00","15,202.00","15,401.00","15,433.00","15,466.30","19,148.90","10,620.00","6,21,604","9,61,39,14,592.00","1,14,393"
"04-Jul-2025","EQ","15,025.00","15,282.00","14,929.00","15,074.00","15,200.00","15,202.00","15,177.14","19,148.90","10,620.00","4,66,319","7,07,73,86,511.00","83,101"
"03-Jul-2025","EQ","15,200.00","15,291.00","15,038.00","15,163.00","15,063.00","15,074.00","15,158.62","19,148.90","10,620.00","3,66,937","5,56,22,59,685.00","70,681"
"02-Jul-2025","EQ","14,716.00","15,256.00","14,678.00","14,716.00","15,174.00","15,163.00","14,981.55","19,148.90","10,620.00","8,99,590","13,47,72,51,886.00","1,27,755"
"01-Jul-2025","EQ","14,600.00","14,863.00","14,376.00","14,983.00","14,679.00","14,716.00","14,571.19","19,148.90","10,620.00","8,53,874","12,44,19,60,431.00","1,34,538"
"30-Jun-2025","EQ","14,588.00","15,108.00","14,425.00","14,473.00","14,989.00","14,983.00","14,800.78","19,148.90","10,620.00","8,84,481","13,09,10,06,296.00","1,26,034"
"27-Jun-2025","EQ","14,446.00","14,954.00","14,415.00","14,315.00","14,510.00","14,473.00","14,681.66","19,148.90","10,620.00","13,10,517","19,24,05,61,485.00","1,75,754"
"26-Jun-2025","EQ","14,150.00","14,410.00","14,033.00","14,165.00","14,302.00","14,315.00","14,189.89","19,148.90","10,620.00","7,30,817","10,37,02,12,804.00","1,01,582"
"25-Jun-2025","EQ","14,515.00","14,585.00","14,054.00","14,506.00","14,125.00","14,165.00","14,212.84","19,148.90","10,620.00","6,70,992","9,53,67,01,455.00","1,07,265"
"24-Jun-2025","EQ","14,701.00","14,774.00","14,444.00","14,571.00","14,500.00","14,506.00","14,591.66","19,148.90","10,620.00","5,14,681","7,51,00,51,966.00","77,725"
"23-Jun-2025","EQ","13,800.00","14,808.00","13,280.00","14,047.00","14,540.00","14,571.00","14,389.47","19,148.90","10,620.00","7,27,767","10,47,21,84,449.00","1,11,787"
"20-Jun-2025","EQ","14,000.00","14,150.00","13,862.00","14,004.00","14,040.00","14,047.00","14,041.12","19,148.90","10,620.00","5,66,174","7,94,97,15,460.00","69,128"
"19-Jun-2025","EQ","14,391.00","14,490.00","13,950.00","14,367.00","13,958.00","14,004.00","14,190.20","19,148.90","10,620.00","2,59,353","3,68,02,70,159.00","48,563"
"18-Jun-2025","EQ","14,248.00","14,530.00","14,183.00","14,243.00","14,375.00","14,367.00","14,398.54","19,148.90","10,620.00","2,73,242","3,93,42,86,723.00","54,211"
"17-Jun-2025","EQ","14,390.00","14,548.00","14,207.00","14,313.00","14,220.00","14,243.00","14,330.63","19,148.90","10,620.00","5,75,475","8,24,69,21,294.00","68,357"
"16-Jun-2025","EQ","14,311.00","14,435.00","14,127.00","14,311.00","14,320.00","14,313.00","14,291.38","19,148.90","10,620.00","3,10,958","4,44,40,17,521.00","53,140"
