ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","6,732.00","6,732.00","6,515.50","6,738.00","6,666.50","6,646.00","6,609.95","8,937.00","5,444.15","7,864","5,19,80,678.00","3,204"
"11-Aug-2025","EQ","6,694.00","6,858.00","6,325.00","6,694.00","6,702.00","6,738.00","6,571.36","8,937.00","5,444.15","17,777","11,68,19,124.00","5,026"
"08-Aug-2025","EQ","6,550.00","6,725.00","6,450.00","6,503.00","6,630.00","6,694.00","6,621.08","8,937.00","5,444.15","8,689","5,75,30,538.50","2,807"
"07-Aug-2025","EQ","6,542.50","6,604.00","6,426.00","6,554.00","6,500.00","6,503.00","6,493.70","8,937.00","5,444.15","5,099","3,31,11,387.50","2,045"
"06-Aug-2025","EQ","6,641.00","6,750.00","6,525.00","6,641.00","6,533.00","6,554.00","6,585.28","8,937.00","5,444.15","4,961","3,26,69,592.50","2,708"
"05-Aug-2025","EQ","6,591.50","6,675.00","6,572.00","6,591.50","6,673.00","6,641.00","6,617.74","8,937.00","5,444.15","3,291","2,17,78,982.50","1,455"
"04-Aug-2025","EQ","6,479.50","6,648.50","6,422.00","6,416.00","6,588.00","6,591.50","6,569.04","8,937.00","5,444.15","6,993","4,59,37,301.50","3,358"
"01-Aug-2025","EQ","6,692.00","6,694.50","6,363.00","6,620.00","6,422.00","6,416.00","6,494.06","8,937.00","5,444.15","7,260","4,71,46,861.00","2,353"
"31-Jul-2025","EQ","6,691.00","6,715.00","6,550.50","6,696.50","6,635.00","6,620.00","6,632.64","8,937.00","5,444.15","4,770","3,16,37,705.50","1,739"
"30-Jul-2025","EQ","6,750.00","6,815.00","6,655.50","6,752.50","6,710.00","6,696.50","6,732.14","8,937.00","5,444.15","4,836","3,25,56,639.00","2,094"
"29-Jul-2025","EQ","6,719.50","6,786.00","6,610.50","6,659.50","6,711.00","6,752.50","6,691.14","8,937.00","5,444.15","9,755","6,52,72,026.50","2,836"
"28-Jul-2025","EQ","6,870.00","6,970.00","6,600.00","7,008.50","6,645.50","6,659.50","6,782.25","8,937.00","5,444.15","17,557","11,90,75,976.50","5,103"
"25-Jul-2025","EQ","7,185.00","7,185.00","7,001.00","7,172.50","7,006.00","7,008.50","7,059.13","8,937.00","5,444.15","6,483","4,57,64,368.00","1,673"
"24-Jul-2025","EQ","7,187.50","7,219.50","7,140.50","7,187.50","7,200.00","7,172.50","7,176.08","8,937.00","5,444.15","5,959","4,27,62,239.50","2,040"
"23-Jul-2025","EQ","7,245.00","7,258.00","7,150.00","7,232.00","7,176.00","7,187.50","7,186.93","8,937.00","5,444.15","3,992","2,86,90,205.50","1,550"
"22-Jul-2025","EQ","7,230.00","7,288.00","7,203.00","7,215.50","7,243.50","7,232.00","7,236.46","8,937.00","5,444.15","3,886","2,81,20,869.50","1,763"
"21-Jul-2025","EQ","7,302.00","7,465.00","7,162.00","7,266.00","7,250.00","7,215.50","7,317.58","8,937.00","5,444.15","13,782","10,08,50,858.50","5,835"
"18-Jul-2025","EQ","7,285.00","7,329.00","7,182.00","7,285.00","7,293.50","7,266.00","7,275.18","8,937.00","5,444.15","6,754","4,91,36,572.50","2,087"
"17-Jul-2025","EQ","7,250.00","7,320.00","7,213.50","7,227.00","7,305.00","7,285.00","7,275.56","8,937.00","5,444.15","7,657","5,57,08,968.00","2,479"
"16-Jul-2025","EQ","7,222.00","7,329.00","7,193.00","7,222.00","7,210.00","7,227.00","7,251.81","8,937.00","5,444.15","4,989","3,61,79,279.50","1,919"
"15-Jul-2025","EQ","6,990.00","7,338.50","6,950.00","6,978.50","7,234.00","7,222.00","7,143.11","8,937.00","5,444.15","32,744","23,38,93,888.50","6,626"
"14-Jul-2025","EQ","7,150.00","7,154.50","6,927.00","7,102.50","6,970.00","6,978.50","7,005.87","8,937.00","5,444.15","16,027","11,22,83,056.50","3,475"
"11-Jul-2025","EQ","7,232.50","7,260.00","7,077.00","7,232.50","7,088.00","7,102.50","7,129.88","8,937.00","5,444.15","4,298","3,06,44,226.00","1,381"
"10-Jul-2025","EQ","7,245.00","7,274.00","7,153.50","7,226.00","7,229.50","7,232.50","7,215.40","8,937.00","5,444.15","4,339","3,13,07,606.50","1,655"
"09-Jul-2025","EQ","7,220.00","7,284.50","7,165.00","7,214.00","7,247.00","7,226.00","7,216.42","8,937.00","5,444.15","3,343","2,41,24,493.00","1,553"
"08-Jul-2025","EQ","7,200.00","7,249.50","7,096.00","7,169.00","7,204.00","7,214.00","7,184.70","8,937.00","5,444.15","4,798","3,44,72,183.50","2,054"
"07-Jul-2025","EQ","7,261.00","7,299.50","7,155.00","7,261.00","7,155.00","7,169.00","7,221.04","8,937.00","5,444.15","5,242","3,78,52,698.00","1,451"
"04-Jul-2025","EQ","7,200.00","7,278.00","7,175.50","7,200.00","7,273.00","7,261.00","7,246.99","8,937.00","5,444.15","9,185","6,65,63,631.50","2,673"
"03-Jul-2025","EQ","7,101.50","7,250.50","7,101.50","7,161.50","7,164.00","7,200.00","7,208.16","8,937.00","5,444.15","5,171","3,72,73,408.50","1,822"
"02-Jul-2025","EQ","7,245.00","7,245.00","7,068.00","7,207.00","7,160.00","7,161.50","7,155.80","8,937.00","5,444.15","5,316","3,80,40,253.00","1,674"
"01-Jul-2025","EQ","7,190.00","7,260.50","7,137.50","7,190.00","7,182.50","7,207.00","7,199.63","8,937.00","5,444.15","7,105","5,11,53,375.50","2,193"
"30-Jun-2025","EQ","7,174.00","7,247.00","7,097.50","7,147.00","7,199.50","7,190.00","7,163.64","8,937.00","5,444.15","8,193","5,86,91,709.50","2,474"
"27-Jun-2025","EQ","7,299.00","7,400.00","7,120.00","7,299.00","7,174.00","7,147.00","7,227.38","8,937.00","5,444.15","27,711","20,02,78,037.50","6,375"
"26-Jun-2025","EQ","7,150.00","7,327.00","7,080.00","7,149.00","7,300.00","7,299.00","7,254.94","8,937.00","5,444.15","24,451","17,73,90,455.50","5,402"
"25-Jun-2025","EQ","6,984.00","7,300.00","6,921.00","6,957.00","7,150.00","7,149.00","7,141.41","8,937.00","5,444.15","14,269","10,19,00,820.00","3,700"
"24-Jun-2025","EQ","7,120.00","7,150.00","6,922.50","7,009.50","6,922.50","6,957.00","6,990.72","8,937.00","5,444.15","10,046","7,02,28,816.00","3,887"
"23-Jun-2025","EQ","7,051.00","7,094.00","6,941.00","7,051.00","7,000.00","7,009.50","6,999.57","8,937.00","5,444.15","6,062","4,24,31,366.00","3,266"
"20-Jun-2025","EQ","7,051.00","7,159.00","6,970.00","7,051.00","7,070.00","7,051.00","7,049.05","8,937.00","5,444.15","8,234","5,80,41,917.50","3,874"
"19-Jun-2025","EQ","7,340.00","7,340.00","7,000.00","7,279.00","7,050.00","7,051.00","7,162.12","8,937.00","5,444.15","15,403","11,03,18,087.50","4,699"
