ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","4,099.00","4,145.90","3,945.60","4,094.30","3,982.80","3,989.30","4,010.68","4,200.00","2,168.00","91,539","36,71,34,072.70","17,564"
"12-Aug-2025","EQ","4,102.00","4,115.00","4,046.00","4,108.90","4,100.00","4,094.30","4,083.70","4,200.00","2,168.00","46,931","19,16,52,260.60","12,908"
"11-Aug-2025","EQ","4,113.40","4,200.00","4,068.20","4,109.30","4,075.00","4,108.90","4,140.55","4,200.00","2,168.00","1,24,903","51,71,67,604.70","28,302"
"08-Aug-2025","EQ","4,108.00","4,150.90","4,020.00","4,114.50","4,100.00","4,109.30","4,113.38","4,200.00","2,168.00","1,62,981","67,04,03,045.10","31,829"
"07-Aug-2025","EQ","3,940.00","4,148.50","3,898.80","3,951.60","4,128.00","4,114.50","4,053.11","4,200.00","2,168.00","2,10,988","85,51,58,483.20","40,100"
"06-Aug-2025","EQ","3,970.00","3,991.50","3,860.00","3,977.10","3,955.00","3,951.60","3,921.95","4,200.00","2,168.00","79,199","31,06,14,306.50","15,161"
"05-Aug-2025","EQ","4,035.00","4,049.10","3,956.70","4,087.30","3,966.00","3,977.10","3,993.45","4,200.00","2,168.00","1,17,911","47,08,72,009.90","22,265"
"04-Aug-2025","EQ","3,829.00","4,200.00","3,782.10","3,799.20","4,000.00","4,087.30","4,006.00","4,200.00","2,168.00","4,47,087","1,79,10,28,437.90","51,952"
"01-Aug-2025","EQ","3,815.00","3,943.00","3,750.00","3,767.20","3,790.00","3,799.20","3,854.34","3,943.00","2,168.00","2,45,463","94,60,97,330.40","43,322"
"31-Jul-2025","EQ","3,722.00","3,825.00","3,708.40","3,784.10","3,770.00","3,767.20","3,773.04","3,920.90","2,168.00","60,394","22,78,69,261.40","11,912"
"30-Jul-2025","EQ","3,722.00","3,872.60","3,722.00","3,722.00","3,770.00","3,784.10","3,817.49","3,920.90","2,168.00","1,49,615","57,11,53,434.90","27,336"
"29-Jul-2025","EQ","3,768.00","3,814.40","3,706.00","3,774.10","3,725.90","3,722.00","3,734.37","3,920.90","2,168.00","85,768","32,02,89,556.00","12,279"
"28-Jul-2025","EQ","3,683.30","3,830.00","3,659.50","3,646.80","3,779.00","3,774.10","3,771.68","3,920.90","2,168.00","2,75,512","1,03,91,43,852.00","49,474"
"25-Jul-2025","EQ","3,738.70","3,920.90","3,615.10","3,659.00","3,654.00","3,646.80","3,776.77","3,920.90","2,168.00","6,20,008","2,34,16,29,329.50","76,995"
"24-Jul-2025","EQ","3,681.80","3,757.50","3,626.00","3,681.80","3,655.00","3,659.00","3,660.83","3,877.00","2,168.00","28,284","10,35,43,051.80","9,754"
"23-Jul-2025","EQ","3,745.00","3,785.00","3,664.80","3,736.00","3,680.00","3,681.80","3,706.32","3,877.00","2,168.00","37,481","13,89,16,492.50","10,187"
"22-Jul-2025","EQ","3,700.00","3,766.60","3,690.80","3,712.20","3,740.00","3,736.00","3,734.13","3,877.00","2,168.00","34,953","13,05,18,878.80","7,389"
"21-Jul-2025","EQ","3,715.70","3,749.90","3,642.00","3,715.70","3,710.00","3,712.20","3,701.41","3,877.00","2,168.00","27,688","10,24,84,778.10","9,510"
"18-Jul-2025","EQ","3,696.00","3,770.70","3,661.20","3,669.10","3,718.00","3,715.70","3,714.29","3,877.00","2,168.00","83,464","31,00,09,372.40","18,622"
"17-Jul-2025","EQ","3,572.00","3,710.00","3,572.00","3,572.00","3,666.00","3,669.10","3,664.96","3,877.00","2,168.00","1,73,983","63,76,41,500.80","22,791"
"16-Jul-2025","EQ","3,590.00","3,625.90","3,547.50","3,563.20","3,579.00","3,572.00","3,580.48","3,877.00","2,168.00","33,392","11,95,59,327.00","10,754"
"15-Jul-2025","EQ","3,592.00","3,636.20","3,549.70","3,592.00","3,563.00","3,563.20","3,578.17","3,877.00","2,168.00","44,248","15,83,26,810.60","8,798"
"14-Jul-2025","EQ","3,475.00","3,619.00","3,439.00","3,481.20","3,605.20","3,592.00","3,547.34","3,877.00","2,168.00","57,703","20,46,92,283.00","15,541"
"11-Jul-2025","EQ","3,393.30","3,574.20","3,369.60","3,410.30","3,470.00","3,481.20","3,461.12","3,877.00","2,168.00","1,30,913","45,31,05,621.50","22,977"
"10-Jul-2025","EQ","3,380.40","3,421.40","3,338.60","3,372.00","3,410.00","3,410.30","3,386.06","3,877.00","2,168.00","29,442","9,96,92,419.70","8,349"
"09-Jul-2025","EQ","3,389.90","3,412.00","3,321.00","3,368.80","3,365.00","3,372.00","3,357.78","3,877.00","2,168.00","34,765","11,67,33,092.70","11,303"
"08-Jul-2025","EQ","3,395.00","3,483.60","3,355.50","3,413.70","3,369.80","3,368.80","3,381.33","3,877.00","2,168.00","27,564","9,32,02,892.40","11,312"
"07-Jul-2025","EQ","3,390.00","3,444.40","3,352.00","3,406.50","3,414.00","3,413.70","3,376.97","3,877.00","2,168.00","34,496","11,64,91,948.10","8,084"
"04-Jul-2025","EQ","3,437.70","3,479.00","3,388.00","3,414.40","3,398.00","3,406.50","3,424.09","3,877.00","2,168.00","26,519","9,08,03,560.00","7,734"
"03-Jul-2025","EQ","3,420.00","3,485.00","3,396.10","3,439.10","3,430.00","3,414.40","3,432.86","3,877.00","2,168.00","42,375","14,54,67,533.50","10,184"
"02-Jul-2025","EQ","3,472.00","3,479.90","3,414.00","3,472.60","3,435.00","3,439.10","3,439.58","3,877.00","2,168.00","24,772","8,52,05,216.70","6,942"
"01-Jul-2025","EQ","3,501.20","3,508.30","3,445.40","3,501.20","3,453.50","3,472.60","3,473.12","3,877.00","2,168.00","30,458","10,57,84,283.70","7,160"
"30-Jun-2025","EQ","3,543.10","3,550.20","3,435.00","3,509.60","3,493.00","3,501.20","3,479.40","3,877.00","2,168.00","42,112","14,65,24,531.90","9,500"
"27-Jun-2025","EQ","3,548.00","3,566.50","3,441.50","3,513.60","3,523.10","3,509.60","3,496.11","3,877.00","2,168.00","79,723","27,87,20,322.10","20,151"
"26-Jun-2025","EQ","3,509.90","3,548.50","3,480.00","3,509.90","3,514.80","3,513.60","3,502.05","3,877.00","2,168.00","27,609","9,66,87,993.90","6,575"
"25-Jun-2025","EQ","3,548.00","3,639.80","3,493.80","3,508.20","3,510.00","3,509.90","3,553.02","3,877.00","2,168.00","68,331","24,27,81,656.10","13,035"
"24-Jun-2025","EQ","3,499.90","3,554.70","3,481.90","3,481.70","3,500.00","3,508.20","3,523.17","3,877.00","2,168.00","31,944","11,25,44,183.90","6,277"
"23-Jun-2025","EQ","3,389.00","3,505.80","3,383.00","3,390.20","3,461.50","3,481.70","3,471.86","3,877.00","2,168.00","37,256","12,93,47,601.00","9,649"
"20-Jun-2025","EQ","3,469.10","3,490.00","3,369.20","3,472.60","3,430.00","3,390.20","3,421.45","3,877.00","2,168.00","44,495","15,22,37,290.30","7,515"
"19-Jun-2025","EQ","3,595.00","3,635.90","3,442.50","3,616.80","3,456.50","3,472.60","3,499.52","3,877.00","2,168.00","35,932","12,57,44,930.70","6,653"
"18-Jun-2025","EQ","3,647.00","3,650.00","3,495.30","3,625.70","3,649.00","3,616.80","3,575.98","3,877.00","2,168.00","38,193","13,65,77,242.20","5,353"
"17-Jun-2025","EQ","3,640.00","3,655.00","3,575.00","3,608.50","3,602.50","3,625.70","3,623.11","3,877.00","2,168.00","32,192","11,66,35,053.80","5,100"
"16-Jun-2025","EQ","3,550.10","3,625.00","3,475.30","3,576.80","3,625.00","3,608.50","3,547.48","3,877.00","2,168.00","21,599","7,66,22,073.50","4,362"
"13-Jun-2025","EQ","3,649.70","3,649.70","3,546.10","3,678.70","3,562.50","3,576.80","3,577.77","3,877.00","2,168.00","43,400","15,52,75,245.80","7,965"
"12-Jun-2025","EQ","3,660.10","3,780.00","3,428.00","3,676.10","3,653.00","3,678.70","3,623.86","3,877.00","2,168.00","1,24,690","45,18,58,838.30","15,842"
"11-Jun-2025","EQ","3,685.00","3,759.90","3,630.20","3,688.70","3,652.00","3,676.10","3,693.59","3,877.00","2,168.00","45,252","16,71,42,227.10","7,454"
"10-Jun-2025","EQ","3,678.00","3,730.00","3,635.20","3,647.80","3,725.00","3,688.70","3,670.86","3,877.00","2,168.00","27,161","9,97,04,287.40","5,667"
"09-Jun-2025","EQ","3,567.60","3,668.70","3,567.60","3,606.30","3,645.00","3,647.80","3,637.09","3,877.00","2,168.00","36,305","13,20,44,689.30","5,718"
"06-Jun-2025","EQ","3,585.00","3,615.20","3,576.70","3,572.60","3,600.00","3,606.30","3,601.29","3,877.00","2,114.00","16,445","5,92,23,159.50","3,441"
"05-Jun-2025","EQ","3,502.20","3,618.00","3,502.20","3,502.20","3,570.00","3,572.60","3,547.91","3,877.00","2,114.00","87,066","30,89,02,176.40","6,608"
"04-Jun-2025","EQ","3,535.00","3,561.30","3,482.50","3,527.50","3,514.70","3,502.20","3,528.42","3,877.00","2,114.00","35,057","12,36,95,849.50","6,591"
"03-Jun-2025","EQ","3,431.00","3,557.00","3,431.00","3,465.40","3,490.00","3,527.50","3,506.69","3,877.00","2,114.00","26,049","9,13,45,855.50","7,840"
"02-Jun-2025","EQ","3,525.90","3,570.00","3,436.90","3,542.10","3,461.90","3,465.40","3,509.68","3,877.00","2,114.00","37,008","12,98,86,144.60","8,504"
"30-May-2025","EQ","3,533.00","3,560.40","3,479.30","3,509.60","3,520.00","3,542.10","3,541.93","3,877.00","2,114.00","1,93,899","68,67,76,529.90","19,595"
"29-May-2025","EQ","3,390.00","3,520.20","3,390.00","3,363.00","3,496.00","3,509.60","3,484.45","3,877.00","2,114.00","79,303","27,63,27,043.30","9,578"
"28-May-2025","EQ","3,450.00","3,537.60","3,337.40","3,407.40","3,385.00","3,363.00","3,420.69","3,877.00","2,114.00","1,09,986","37,62,27,938.50","21,366"
"27-May-2025","EQ","3,346.40","3,425.00","3,330.10","3,363.20","3,403.00","3,407.40","3,396.50","3,877.00","2,114.00","28,066","9,53,26,233.10","7,396"
"26-May-2025","EQ","3,377.00","3,396.10","3,327.50","3,356.80","3,352.10","3,363.20","3,359.13","3,877.00","2,114.00","33,696","11,31,89,320.50","5,743"
"23-May-2025","EQ","3,365.00","3,387.90","3,320.60","3,379.00","3,345.10","3,356.80","3,368.76","3,877.00","2,114.00","26,854","9,04,64,791.20","5,363"
"22-May-2025","EQ","3,381.80","3,405.50","3,361.10","3,409.90","3,370.00","3,379.00","3,380.37","3,877.00","2,114.00","28,051","9,48,22,846.70","4,883"
"21-May-2025","EQ","3,380.00","3,494.00","3,335.00","3,363.20","3,386.50","3,409.90","3,419.56","3,877.00","2,114.00","1,10,291","37,71,46,357.30","14,030"
"20-May-2025","EQ","3,282.90","3,395.00","3,240.10","3,283.40","3,356.90","3,363.20","3,348.48","3,877.00","2,114.00","95,077","31,83,63,170.20","11,671"
"19-May-2025","EQ","3,285.50","3,295.00","3,203.70","3,301.80","3,286.00","3,283.40","3,261.47","3,877.00","2,114.00","60,121","19,60,83,028.10","10,375"
"16-May-2025","EQ","3,175.00","3,324.00","3,125.00","3,156.00","3,286.00","3,301.80","3,238.47","3,877.00","2,114.00","3,07,265","99,50,67,256.70","38,959"
"15-May-2025","EQ","2,880.80","3,209.00","2,878.80","2,748.70","3,152.00","3,156.00","3,059.77","3,877.00","2,114.00","18,29,637","5,59,82,61,474.00","1,32,758"
"14-May-2025","EQ","2,705.10","2,771.90","2,681.60","2,704.40","2,755.00","2,748.70","2,725.23","3,877.00","2,114.00","45,877","12,50,25,219.50","12,369"
"13-May-2025","EQ","2,624.00","2,730.10","2,565.10","2,591.20","2,690.00","2,704.40","2,660.46","3,877.00","2,114.00","57,052","15,17,84,511.70","12,511"
"12-May-2025","EQ","2,514.80","2,599.50","2,486.00","2,449.40","2,584.00","2,591.20","2,555.72","3,877.00","2,114.00","37,421","9,56,37,739.70","9,588"
"09-May-2025","EQ","2,353.30","2,483.80","2,353.30","2,453.60","2,439.00","2,449.40","2,428.71","3,877.00","2,114.00","29,894","7,26,03,918.10","9,534"
"08-May-2025","EQ","2,445.00","2,509.90","2,425.20","2,428.80","2,444.00","2,453.60","2,465.59","3,877.00","2,114.00","23,030","5,67,82,551.70","7,754"
"07-May-2025","EQ","2,376.10","2,444.70","2,364.00","2,407.10","2,421.30","2,428.80","2,400.11","3,877.00","2,114.00","41,350","9,92,44,506.70","9,610"
"06-May-2025","EQ","2,516.10","2,516.10","2,370.10","2,491.20","2,425.00","2,407.10","2,437.80","3,877.00","2,114.00","40,199","9,79,97,220.80","10,215"
"05-May-2025","EQ","2,511.00","2,541.40","2,475.00","2,498.60","2,484.10","2,491.20","2,499.58","3,877.00","2,114.00","22,701","5,67,42,972.40","6,987"
"02-May-2025","EQ","2,530.80","2,541.70","2,481.00","2,515.10","2,500.00","2,498.60","2,498.87","3,877.00","2,114.00","41,234","10,30,38,525.00","8,584"
"30-Apr-2025","EQ","2,601.10","2,601.10","2,500.00","2,601.10","2,500.00","2,515.10","2,525.71","3,877.00","2,114.00","54,174","13,68,28,016.50","14,061"
"29-Apr-2025","EQ","2,555.80","2,607.90","2,540.00","2,543.10","2,590.00","2,601.10","2,576.80","3,877.00","2,114.00","19,930","5,13,55,631.90","5,410"
"28-Apr-2025","EQ","2,532.00","2,601.60","2,530.70","2,563.60","2,542.00","2,543.10","2,553.69","3,877.00","2,114.00","25,685","6,55,91,571.30","7,701"
"25-Apr-2025","EQ","2,637.00","2,648.10","2,531.00","2,655.00","2,558.90","2,563.60","2,576.31","3,877.00","2,114.00","29,772","7,67,01,805.50","9,511"
"24-Apr-2025","EQ","2,640.00","2,671.30","2,605.60","2,644.20","2,654.00","2,655.00","2,644.05","3,877.00","2,114.00","42,899","11,34,26,946.10","9,458"
"23-Apr-2025","EQ","2,585.00","2,694.00","2,565.00","2,563.40","2,631.00","2,644.20","2,645.85","3,877.00","2,114.00","90,305","23,89,33,426.10","21,130"
"22-Apr-2025","EQ","2,599.90","2,608.00","2,542.00","2,580.40","2,550.10","2,563.40","2,578.63","3,877.00","2,114.00","19,183","4,94,65,929.80","5,086"
"21-Apr-2025","EQ","2,549.00","2,597.60","2,505.00","2,503.20","2,582.00","2,580.40","2,564.43","3,877.00","2,114.00","34,159","8,75,98,398.80","7,751"
"17-Apr-2025","EQ","2,515.00","2,515.00","2,478.10","2,517.20","2,495.00","2,503.20","2,497.89","3,877.00","2,114.00","23,670","5,91,24,954.90","6,327"
"16-Apr-2025","EQ","2,540.20","2,558.00","2,495.00","2,506.10","2,510.00","2,517.20","2,517.49","3,877.00","2,114.00","21,291","5,35,99,824.00","7,573"
"15-Apr-2025","EQ","2,420.00","2,559.00","2,420.00","2,402.20","2,503.40","2,506.10","2,502.29","3,877.00","2,114.00","59,227","14,82,03,266.90","17,937"
"11-Apr-2025","EQ","2,500.00","2,522.55","2,371.10","2,414.05","2,413.95","2,402.20","2,404.26","3,877.00","2,114.00","1,27,591","30,67,61,943.80","26,311"
"09-Apr-2025","EQ","2,479.00","2,479.00","2,385.05","2,502.15","2,406.00","2,414.05","2,414.28","3,877.00","2,114.00","56,761","13,70,37,186.20","14,612"
"08-Apr-2025","EQ","2,511.10","2,575.00","2,443.00","2,496.75","2,481.20","2,502.15","2,497.26","3,877.00","2,114.00","49,798","12,43,58,315.55","14,440"
"07-Apr-2025","EQ","2,168.00","2,550.00","2,168.00","2,643.65","2,509.90","2,496.75","2,446.33","3,877.00","2,114.00","91,535","22,39,24,923.80","25,085"
"04-Apr-2025","EQ","2,781.65","2,798.95","2,585.00","2,781.35","2,611.35","2,643.65","2,658.89","3,877.00","2,114.00","48,093","12,78,73,870.15","10,072"
"03-Apr-2025","EQ","2,700.75","2,801.35","2,695.20","2,745.40","2,790.05","2,781.35","2,755.31","3,877.00","2,114.00","27,967","7,70,57,793.00","7,938"
"02-Apr-2025","EQ","2,737.90","2,759.85","2,676.40","2,737.60","2,735.00","2,745.40","2,732.83","3,877.00","2,114.00","27,973","7,64,45,456.80","7,973"
"01-Apr-2025","EQ","2,760.00","2,795.00","2,705.00","2,777.00","2,727.80","2,737.60","2,746.09","3,877.00","2,114.00","21,958","6,02,98,723.45","8,366"
"28-Mar-2025","EQ","2,795.00","2,795.00","2,724.60","2,763.15","2,771.00","2,777.00","2,759.62","3,877.00","2,114.00","54,204","14,95,82,330.40","14,398"
"27-Mar-2025","EQ","2,742.65","2,793.00","2,694.45","2,742.65","2,757.00","2,763.15","2,740.01","3,877.00","2,114.00","45,542","12,47,85,394.95","10,851"
"26-Mar-2025","EQ","2,780.00","2,799.80","2,722.60","2,769.60","2,730.00","2,742.65","2,752.56","3,877.00","2,114.00","52,778","14,52,74,658.85","9,858"
"25-Mar-2025","EQ","2,759.50","2,815.00","2,725.00","2,758.20","2,757.00","2,769.60","2,774.06","3,877.00","2,114.00","1,46,102","40,52,96,348.35","16,694"
"24-Mar-2025","EQ","2,735.00","2,789.90","2,714.85","2,749.30","2,750.50","2,758.20","2,745.64","3,877.00","2,114.00","42,443","11,65,33,189.00","10,757"
"21-Mar-2025","EQ","2,595.00","2,772.60","2,585.05","2,620.80","2,750.00","2,749.30","2,670.00","3,877.00","2,114.00","1,17,567","31,39,03,491.90","22,345"
"20-Mar-2025","EQ","2,612.50","2,650.20","2,592.00","2,584.50","2,615.25","2,620.80","2,623.92","3,877.00","2,114.00","37,935","9,95,38,550.20","9,366"
