ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,159.90","1,161.10","1,130.40","1,168.40","1,142.00","1,138.50","1,143.68","1,246.80","639.00","3,69,837","42,29,75,349.50","28,659"
"12-Aug-2025","EQ","1,148.00","1,175.00","1,141.70","1,148.40","1,160.00","1,168.40","1,159.94","1,246.80","639.00","2,10,319","24,39,56,587.70","18,449"
"11-Aug-2025","EQ","1,122.00","1,159.00","1,122.00","1,117.60","1,141.10","1,148.40","1,141.62","1,246.80","639.00","4,83,013","55,14,18,685.70","36,598"
"08-Aug-2025","EQ","1,135.00","1,157.70","1,052.00","1,143.20","1,093.10","1,117.60","1,131.42","1,246.80","639.00","2,74,377","31,04,36,645.40","24,947"
"07-Aug-2025","EQ","1,210.00","1,225.00","1,133.10","1,196.60","1,141.00","1,143.20","1,172.34","1,246.80","639.00","5,31,658","62,32,83,066.30","38,906"
"06-Aug-2025","EQ","1,187.00","1,246.10","1,167.50","1,195.50","1,197.00","1,196.60","1,208.48","1,246.80","639.00","12,68,857","1,53,33,82,713.30","77,908"
"05-Aug-2025","EQ","1,191.00","1,207.50","1,180.10","1,191.10","1,181.20","1,195.50","1,195.98","1,246.80","639.00","4,37,731","52,35,18,864.10","28,014"
"04-Aug-2025","EQ","1,205.00","1,212.30","1,190.00","1,204.60","1,194.90","1,191.10","1,199.33","1,246.80","639.00","2,37,673","28,50,48,929.50","38,620"
"01-Aug-2025","EQ","1,233.50","1,242.00","1,193.30","1,233.50","1,203.00","1,204.60","1,222.31","1,246.80","639.00","2,48,769","30,40,72,128.00","20,543"
"31-Jul-2025","EQ","1,224.10","1,246.80","1,210.00","1,236.20","1,228.00","1,233.50","1,233.98","1,246.80","639.00","2,94,912","36,39,15,635.00","22,362"
"30-Jul-2025","EQ","1,212.00","1,246.50","1,204.10","1,208.80","1,228.00","1,236.20","1,228.34","1,246.50","639.00","4,16,631","51,17,65,006.10","23,804"
