ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","100.76","101.78","99.00","100.76","99.95","99.48","100.16","236.60","86.25","12,58,083","12,60,09,868.09","12,847"
"12-Aug-2025","EQ","100.50","101.97","100.01","100.21","100.60","100.76","101.17","236.60","86.25","8,23,907","8,33,57,190.95","8,887"
"11-Aug-2025","EQ","100.93","101.00","98.57","100.71","100.30","100.21","99.73","236.60","86.25","16,98,005","16,93,41,907.19","23,669"
"08-Aug-2025","EQ","102.65","104.71","99.55","102.17","99.90","100.71","102.15","236.60","86.25","17,58,483","17,96,34,381.80","17,315"
"07-Aug-2025","EQ","102.31","103.35","98.00","108.31","102.40","102.17","100.99","236.60","86.25","52,43,430","52,95,16,482.49","43,218"
"06-Aug-2025","EQ","110.40","110.81","107.00","110.50","108.00","108.31","108.46","236.60","86.25","14,64,763","15,88,65,347.35","13,997"
"05-Aug-2025","EQ","110.00","112.10","109.15","110.44","110.55","110.50","110.69","236.60","86.25","7,67,164","8,49,20,401.65","7,904"
"04-Aug-2025","EQ","107.49","111.00","106.55","108.50","110.40","110.44","108.73","236.60","86.25","13,58,450","14,76,98,430.44","15,268"
"01-Aug-2025","EQ","111.00","112.13","107.60","110.95","107.65","108.50","109.94","236.60","86.25","11,30,963","12,43,43,164.20","9,601"
"31-Jul-2025","EQ","111.51","112.95","110.10","113.74","111.17","110.95","111.51","236.60","86.25","10,01,394","11,16,63,666.92","14,874"
"30-Jul-2025","EQ","114.79","115.05","113.00","114.46","113.30","113.74","113.86","236.60","86.25","9,94,204","11,32,04,702.87","8,758"
"29-Jul-2025","EQ","110.25","115.28","109.35","110.52","115.28","114.46","112.61","236.60","86.25","16,38,221","18,44,75,323.04","16,133"
"28-Jul-2025","EQ","115.10","115.75","110.00","115.58","110.53","110.52","112.70","236.60","86.25","13,58,558","15,31,11,825.23","15,086"
"25-Jul-2025","EQ","117.98","117.98","114.55","117.70","115.00","115.58","115.95","236.60","86.25","16,76,671","19,44,12,735.04","22,009"
"24-Jul-2025","EQ","114.00","119.80","112.45","114.00","118.24","117.70","116.80","236.60","86.25","46,15,543","53,90,76,120.43","33,169"
"23-Jul-2025","EQ","113.70","114.67","112.10","113.65","113.89","114.00","113.68","236.60","86.25","19,79,406","22,50,09,753.11","15,400"
"22-Jul-2025","EQ","116.80","117.40","113.21","116.40","113.70","113.65","114.99","236.60","86.25","14,54,133","16,72,10,750.51","13,122"
"21-Jul-2025","EQ","116.25","117.40","114.88","116.17","116.45","116.40","116.29","236.60","86.25","12,92,595","15,03,11,953.13","12,867"
"18-Jul-2025","EQ","120.53","120.65","115.25","120.23","116.25","116.17","117.07","236.60","86.25","25,35,118","29,67,84,566.91","27,777"
"17-Jul-2025","EQ","120.60","121.66","119.10","120.40","120.45","120.23","120.26","236.60","86.25","10,34,367","12,43,97,850.93","9,150"
"16-Jul-2025","EQ","119.70","121.10","119.24","119.02","120.60","120.40","120.34","236.60","86.25","15,85,922","19,08,51,464.72","12,032"
"15-Jul-2025","EQ","120.00","121.44","116.88","119.88","119.50","119.02","119.46","236.60","86.25","23,11,990","27,61,96,050.07","21,870"
"14-Jul-2025","EQ","123.00","123.00","119.70","123.25","120.00","119.88","120.80","236.60","86.25","23,95,715","28,93,91,130.46","18,394"
"11-Jul-2025","EQ","122.90","127.57","122.61","122.72","123.18","123.25","124.76","236.60","86.25","36,36,996","45,37,44,121.32","22,837"
"10-Jul-2025","EQ","124.49","125.40","122.00","124.71","123.00","122.72","123.36","236.60","86.25","16,45,640","20,30,06,515.15","13,457"
"09-Jul-2025","EQ","122.50","125.50","122.34","122.28","124.80","124.71","124.25","236.60","86.25","14,92,763","18,54,80,728.08","14,068"
"08-Jul-2025","EQ","123.35","124.80","121.89","123.59","122.30","122.28","123.11","236.60","86.25","14,67,429","18,06,50,670.57","14,203"
"07-Jul-2025","EQ","125.87","126.98","123.05","125.87","123.70","123.59","124.69","236.60","86.25","14,30,827","17,84,16,149.26","16,473"
"04-Jul-2025","EQ","130.99","131.11","124.48","130.48","126.14","125.87","125.98","236.60","86.25","47,98,696","60,45,28,106.51","38,769"
"03-Jul-2025","EQ","127.14","132.40","126.06","126.91","131.08","130.48","130.15","236.60","86.25","34,49,014","44,89,02,028.32","34,276"
"02-Jul-2025","EQ","128.65","128.99","124.56","128.65","127.30","126.91","126.13","236.60","86.25","23,78,355","29,99,71,249.62","24,834"
"01-Jul-2025","EQ","131.54","132.89","128.05","131.54","128.80","128.65","129.61","236.60","86.25","25,97,103","33,66,22,342.38","45,032"
"30-Jun-2025","EQ","133.40","135.59","130.63","133.06","131.50","131.54","132.70","236.60","86.25","23,89,501","31,70,85,759.78","28,945"
"27-Jun-2025","EQ","137.71","138.09","132.70","137.04","133.00","133.06","134.65","236.60","86.25","30,95,482","41,68,18,135.84","44,358"
"26-Jun-2025","EQ","135.50","138.75","134.70","133.43","136.72","137.04","136.72","236.60","86.25","57,61,654","78,77,48,084.56","57,295"
"25-Jun-2025","EQ","126.50","134.00","126.14","125.51","134.00","133.43","131.98","236.60","86.25","84,68,395","1,11,76,48,465.96","75,912"
"24-Jun-2025","EQ","125.95","128.24","124.40","124.89","125.25","125.51","126.32","236.60","86.25","22,16,498","27,99,82,549.89","16,824"
"23-Jun-2025","EQ","122.14","126.26","121.68","122.19","125.56","124.89","123.64","236.60","86.25","19,76,309","24,43,47,010.02","18,087"
"20-Jun-2025","EQ","122.00","125.60","121.25","122.49","122.48","122.19","123.25","236.60","86.25","32,04,509","39,49,66,648.90","30,370"
"19-Jun-2025","EQ","127.29","127.99","121.21","127.75","121.90","122.49","123.74","236.60","86.25","33,29,774","41,20,25,655.89","27,803"
"18-Jun-2025","EQ","123.40","129.50","122.41","124.22","127.30","127.75","127.18","236.60","86.25","42,20,860","53,67,92,365.48","32,655"
"17-Jun-2025","EQ","128.00","130.43","123.50","127.95","124.30","124.22","126.72","236.60","86.25","25,14,621","31,86,45,550.36","18,095"
"16-Jun-2025","EQ","129.00","129.40","123.47","128.30","128.00","127.95","127.16","236.60","86.25","45,10,480","57,35,72,733.37","32,271"
"13-Jun-2025","EQ","127.00","133.00","126.00","131.06","128.48","128.30","129.51","236.60","86.25","71,96,004","93,19,43,666.35","47,060"
"12-Jun-2025","EQ","129.60","134.73","127.50","128.30","131.00","131.06","131.64","236.60","86.25","1,25,75,290","1,65,54,46,024.23","79,458"
"11-Jun-2025","EQ","120.00","129.70","118.95","118.47","129.24","128.30","124.60","236.60","86.25","1,56,53,680","1,95,05,00,969.59","88,413"
"10-Jun-2025","EQ","114.50","119.40","112.36","113.59","118.75","118.47","116.11","236.60","86.25","81,28,765","94,38,41,958.96","48,149"
"09-Jun-2025","EQ","107.11","114.00","107.11","106.69","113.60","113.59","111.86","236.60","86.25","60,79,660","68,00,94,643.49","37,001"
"06-Jun-2025","EQ","106.60","108.19","106.07","106.82","106.89","106.69","107.00","236.60","86.25","13,84,319","14,81,19,932.84","10,086"
"05-Jun-2025","EQ","109.55","110.80","106.31","108.83","106.70","106.82","108.43","236.60","86.25","17,15,479","18,60,17,345.96","13,796"
"04-Jun-2025","EQ","105.60","109.39","104.01","105.95","108.85","108.83","107.33","236.60","86.25","24,24,227","26,01,80,722.49","18,942"
"03-Jun-2025","EQ","107.75","108.75","105.50","106.77","106.00","105.95","106.99","236.60","86.25","17,69,563","18,93,29,397.62","19,222"
"02-Jun-2025","EQ","101.30","108.50","101.07","102.59","106.25","106.77","106.07","236.60","86.25","37,01,048","39,25,60,014.65","33,230"
"30-May-2025","EQ","104.64","105.11","102.04","104.33","102.66","102.59","102.99","236.60","86.25","21,12,282","21,75,42,509.27","15,806"
