ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,537.50","2,579.20","2,497.10","2,520.80","2,505.00","2,510.00","2,536.42","3,030.00","1,675.00","36,969","9,37,68,903.10","7,343"
"11-Aug-2025","EQ","2,520.00","2,547.90","2,495.50","2,522.40","2,519.80","2,520.80","2,524.01","3,030.00","1,675.00","53,465","13,49,46,096.30","7,931"
"08-Aug-2025","EQ","2,523.90","2,547.50","2,492.50","2,517.30","2,505.30","2,522.40","2,526.70","3,030.00","1,675.00","50,845","12,84,69,850.20","8,186"
"07-Aug-2025","EQ","2,533.00","2,583.70","2,486.90","2,541.70","2,520.00","2,517.30","2,531.33","3,030.00","1,675.00","78,343","19,83,11,685.60","11,161"
"06-Aug-2025","EQ","2,594.90","2,600.00","2,524.60","2,590.70","2,533.00","2,541.70","2,545.30","3,030.00","1,675.00","40,315","10,26,13,699.60","7,067"
"05-Aug-2025","EQ","2,625.10","2,630.00","2,577.00","2,638.80","2,597.00","2,590.70","2,599.74","3,030.00","1,675.00","89,252","23,20,31,739.30","16,782"
"04-Aug-2025","EQ","2,470.00","2,692.00","2,463.00","2,476.60","2,606.00","2,638.80","2,647.80","3,030.00","1,675.00","5,30,840","1,40,55,58,710.30","66,645"
"01-Aug-2025","EQ","2,536.80","2,545.80","2,466.80","2,551.70","2,470.00","2,476.60","2,502.25","3,030.00","1,675.00","24,753","6,19,38,162.40","7,013"
"31-Jul-2025","EQ","2,520.40","2,591.70","2,505.00","2,582.30","2,545.80","2,551.70","2,554.26","3,030.00","1,675.00","48,560","12,40,35,075.40","13,036"
"30-Jul-2025","EQ","2,573.40","2,589.10","2,555.80","2,560.60","2,570.00","2,582.30","2,580.07","3,030.00","1,675.00","27,869","7,19,03,913.50","6,371"
"29-Jul-2025","EQ","2,539.70","2,612.00","2,520.80","2,554.10","2,602.00","2,560.60","2,548.28","3,030.00","1,675.00","53,584","13,65,46,916.80","12,135"
"28-Jul-2025","EQ","2,578.00","2,600.00","2,531.50","2,579.40","2,544.00","2,554.10","2,569.36","3,030.00","1,675.00","39,422","10,12,89,483.80","9,728"
"25-Jul-2025","EQ","2,648.90","2,649.00","2,572.00","2,639.00","2,575.00","2,579.40","2,600.33","3,030.00","1,675.00","31,085","8,08,31,158.00","7,496"
"24-Jul-2025","EQ","2,646.00","2,666.70","2,623.00","2,623.20","2,660.00","2,639.00","2,641.60","3,030.00","1,675.00","64,317","16,98,99,590.60","13,691"
"23-Jul-2025","EQ","2,615.00","2,662.70","2,591.40","2,616.00","2,623.40","2,623.20","2,630.64","3,030.00","1,675.00","55,855","14,69,34,627.60","11,812"
"22-Jul-2025","EQ","2,628.90","2,646.90","2,610.00","2,628.90","2,612.80","2,616.00","2,626.76","3,030.00","1,675.00","20,924","5,49,62,372.20","5,217"
