ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","202.85","204.50","199.61","202.08","200.82","201.24","202.03","255.45","142.20","15,73,524","31,78,96,463.22","25,969"
"12-Aug-2025","EQ","204.75","204.75","200.20","203.03","201.86","202.08","202.09","255.45","142.20","12,64,566","25,55,56,719.98","24,670"
"11-Aug-2025","EQ","195.41","204.30","195.41","199.28","202.00","203.03","201.61","255.45","142.20","22,37,404","45,10,78,872.44","31,705"
"08-Aug-2025","EQ","203.17","204.52","198.50","203.24","198.85","199.28","200.70","255.45","142.20","10,16,810","20,40,71,160.17","22,746"
"07-Aug-2025","EQ","204.65","204.89","198.18","204.97","203.70","203.24","201.57","255.45","142.20","20,29,392","40,90,74,586.32","38,203"
"06-Aug-2025","EQ","210.63","212.00","204.12","210.15","204.50","204.97","206.57","255.45","142.20","13,48,119","27,84,85,085.63","23,239"
"05-Aug-2025","EQ","212.00","213.80","209.21","211.17","210.32","210.15","211.04","255.45","142.20","10,86,132","22,92,20,131.68","14,408"
"04-Aug-2025","EQ","206.55","211.90","205.57","206.94","211.65","211.17","209.54","255.45","142.20","18,05,332","37,82,95,714.06","26,662"
"01-Aug-2025","EQ","213.50","213.55","206.29","213.79","206.50","206.94","209.70","268.40","142.20","21,33,327","44,73,62,577.94","31,127"
"31-Jul-2025","EQ","213.70","216.30","212.00","215.73","213.30","213.79","214.62","268.40","142.20","18,89,145","40,54,42,709.58","24,574"
"30-Jul-2025","EQ","217.25","219.27","214.41","216.54","215.34","215.73","216.64","268.40","142.20","17,28,627","37,44,89,080.64","23,842"
"29-Jul-2025","EQ","216.00","219.14","213.81","216.48","217.00","216.54","216.36","268.40","142.20","26,05,197","56,36,58,682.25","31,605"
"28-Jul-2025","EQ","226.20","228.69","215.28","229.38","216.45","216.48","220.62","268.40","142.20","35,11,923","77,48,06,416.38","49,203"
"25-Jul-2025","EQ","233.90","236.00","227.11","234.71","230.00","229.38","231.19","273.40","142.20","24,12,302","55,76,93,426.10","30,254"
"24-Jul-2025","EQ","240.85","241.90","233.30","240.60","233.50","234.71","236.02","273.40","142.20","18,43,233","43,50,37,299.88","22,697"
"23-Jul-2025","EQ","242.95","243.00","238.50","242.23","240.40","240.60","240.10","273.40","142.20","11,13,272","26,72,96,503.07","15,386"
