ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","231.39","233.65","227.80","231.39","229.17","229.06","229.61","289.90","175.28","8,84,524","20,30,95,707.17","28,714"
"12-Aug-2025","EQ","226.20","232.95","225.21","226.20","231.50","231.39","230.61","289.90","175.28","7,84,828","18,09,92,847.24","24,043"
"11-Aug-2025","EQ","232.20","232.30","224.35","228.81","226.13","226.20","227.26","289.90","175.28","6,07,954","13,81,61,096.34","17,496"
"08-Aug-2025","EQ","223.63","231.61","221.54","223.64","226.55","228.81","228.18","289.90","175.28","7,51,070","17,13,81,521.17","16,028"
"07-Aug-2025","EQ","225.00","232.00","220.02","225.17","224.25","223.64","222.70","289.90","175.28","4,97,730","11,08,46,295.20","18,205"
"06-Aug-2025","EQ","225.00","237.90","222.35","219.33","225.00","225.17","228.84","289.90","175.28","44,99,334","1,02,96,22,111.86","71,835"
"05-Aug-2025","EQ","223.75","225.05","218.25","223.75","220.40","219.33","220.38","289.90","175.28","2,88,005","6,34,70,637.30","11,727"
"04-Aug-2025","EQ","225.56","227.45","220.57","225.56","226.95","223.75","223.37","289.90","175.28","3,18,639","7,11,74,730.00","11,796"
"01-Aug-2025","EQ","222.96","231.39","220.21","222.96","225.00","225.56","227.18","289.90","175.28","5,24,246","11,90,98,417.94","13,630"
"31-Jul-2025","EQ","221.00","225.37","219.04","224.94","223.00","222.96","223.27","289.90","175.28","4,24,633","9,48,08,134.66","19,621"
"30-Jul-2025","EQ","217.99","229.00","216.60","217.99","224.23","224.94","222.81","289.90","175.28","8,19,893","18,26,82,242.13","28,524"
"29-Jul-2025","EQ","216.05","219.20","214.00","218.05","218.00","217.99","217.27","289.90","175.28","6,11,836","13,29,32,525.13","29,689"
"28-Jul-2025","EQ","226.70","228.00","216.52","226.25","217.91","218.05","220.18","289.90","175.28","4,78,632","10,53,85,128.86","20,942"
"25-Jul-2025","EQ","231.35","232.00","225.10","232.35","227.60","226.25","227.42","289.90","175.28","2,51,563","5,72,10,931.44","13,684"
"24-Jul-2025","EQ","232.43","234.56","229.90","232.43","232.90","232.35","232.29","289.90","175.28","2,86,854","6,66,32,468.55","10,443"
"23-Jul-2025","EQ","232.00","233.44","228.86","231.90","232.13","232.43","230.47","289.90","175.28","2,79,565","6,44,30,329.24","11,904"
"22-Jul-2025","EQ","232.95","234.50","230.58","232.89","231.60","231.90","232.13","289.90","175.28","3,65,996","8,49,60,224.75","11,623"
"21-Jul-2025","EQ","236.77","236.77","232.00","234.62","233.00","232.89","233.34","289.90","175.28","1,91,668","4,47,23,297.69","7,152"
"18-Jul-2025","EQ","238.60","240.00","232.18","237.53","235.00","234.62","235.41","289.90","175.28","3,04,930","7,17,83,921.56","9,710"
"17-Jul-2025","EQ","236.20","238.70","235.39","236.20","236.32","237.53","236.91","289.90","175.28","2,21,010","5,23,60,136.17","11,665"
"16-Jul-2025","EQ","236.38","238.00","231.54","236.38","236.87","236.20","234.59","289.90","175.28","5,06,242","11,87,58,616.50","10,456"
"15-Jul-2025","EQ","237.42","238.95","235.52","237.42","236.00","236.38","236.86","289.90","175.28","1,96,796","4,66,12,903.08","9,051"
"14-Jul-2025","EQ","238.20","238.50","235.00","236.25","237.35","237.42","237.18","289.90","175.28","3,92,621","9,31,22,347.99","10,425"
"11-Jul-2025","EQ","233.46","237.55","233.00","233.90","236.68","236.25","235.40","289.90","175.28","3,07,350","7,23,50,147.18","9,440"
"10-Jul-2025","EQ","233.41","235.92","232.42","232.31","234.00","233.90","233.71","289.90","175.28","4,63,573","10,83,43,390.66","14,677"
"09-Jul-2025","EQ","232.00","234.55","228.16","232.00","232.99","232.31","231.81","289.90","175.28","4,96,853","11,51,75,522.81","10,858"
"08-Jul-2025","EQ","230.53","237.31","230.53","230.53","231.50","232.00","233.46","289.90","175.28","6,56,179","15,31,92,745.44","13,150"
"07-Jul-2025","EQ","236.78","236.79","230.00","236.78","230.50","230.53","231.29","289.90","175.28","6,18,857","14,31,33,796.69","15,621"
"04-Jul-2025","EQ","240.55","240.88","236.00","240.88","237.20","236.78","237.73","289.90","175.28","3,08,893","7,34,33,417.75","9,047"
"03-Jul-2025","EQ","240.52","241.90","238.75","240.52","241.00","240.88","240.44","289.90","175.28","2,44,749","5,88,47,464.41","8,519"
"02-Jul-2025","EQ","242.99","243.80","238.16","242.84","240.15","240.52","240.45","289.90","175.28","3,44,383","8,28,06,763.17","11,526"
"01-Jul-2025","EQ","244.80","251.00","241.62","243.59","243.67","242.84","245.25","289.90","175.28","6,59,849","16,18,29,042.55","14,902"
"30-Jun-2025","EQ","241.75","246.36","240.00","241.63","243.50","243.59","243.95","289.90","175.28","6,10,775","14,89,99,338.47","25,947"
"27-Jun-2025","EQ","237.40","242.24","237.40","237.11","241.50","241.63","241.27","289.90","175.28","4,08,099","9,84,61,607.92","11,202"
"26-Jun-2025","EQ","239.91","240.80","236.11","239.69","237.12","237.11","237.30","289.90","175.28","2,13,064","5,05,59,421.97","6,752"
"25-Jun-2025","EQ","233.78","240.48","233.78","232.60","239.88","239.69","238.25","289.90","175.28","5,46,965","13,03,16,469.81","14,886"
"24-Jun-2025","EQ","236.10","236.17","231.51","233.81","232.95","232.60","233.75","289.90","175.28","3,66,098","8,55,77,031.87","11,229"
"23-Jun-2025","EQ","233.65","236.10","231.57","233.73","233.50","233.81","234.17","289.90","175.28","3,86,108","9,04,13,271.41","17,721"
"20-Jun-2025","EQ","230.89","234.99","229.04","230.89","234.69","233.73","233.29","289.90","175.28","3,96,473","9,24,91,970.68","14,642"
"19-Jun-2025","EQ","238.00","238.79","229.55","237.55","230.20","230.89","233.59","289.90","175.28","4,09,218","9,55,89,494.38","11,129"
"18-Jun-2025","EQ","242.27","242.94","237.05","242.27","237.50","237.55","239.49","289.90","175.28","3,71,224","8,89,05,868.62","13,265"
"17-Jun-2025","EQ","237.98","247.30","237.95","237.08","242.30","242.27","243.48","289.90","175.28","18,55,601","45,18,01,109.08","36,865"
"16-Jun-2025","EQ","243.45","243.99","235.20","243.46","237.89","237.08","237.55","289.90","175.28","8,63,652","20,51,58,450.26","18,135"
"13-Jun-2025","EQ","234.71","245.88","234.01","239.97","242.50","243.46","242.81","289.90","175.28","13,83,244","33,58,63,182.19","24,177"
"12-Jun-2025","EQ","239.85","242.07","237.60","239.85","239.20","239.97","239.99","289.90","175.28","3,58,350","8,60,00,258.74","12,003"
"11-Jun-2025","EQ","241.50","243.00","238.60","240.51","240.38","239.85","241.12","289.90","175.28","2,72,210","6,56,35,531.10","8,910"
"10-Jun-2025","EQ","241.30","244.75","236.80","240.06","241.00","240.51","241.37","289.90","175.28","5,49,065","13,25,27,050.09","12,479"
"09-Jun-2025","EQ","241.49","243.93","238.60","239.91","240.40","240.06","240.81","289.90","175.28","4,19,690","10,10,66,027.10","16,220"
"06-Jun-2025","EQ","242.00","242.90","238.06","240.47","240.29","239.91","240.02","289.90","169.60","4,25,527","10,21,36,654.47","13,067"
"05-Jun-2025","EQ","239.70","244.95","238.77","238.44","241.75","240.47","241.56","289.90","169.60","5,44,633","13,15,59,654.10","16,344"
"04-Jun-2025","EQ","239.00","240.47","233.72","239.02","238.82","238.44","237.78","289.90","169.60","8,41,714","20,01,42,819.81","25,718"
"03-Jun-2025","EQ","240.70","254.00","237.50","239.31","238.50","239.02","246.27","289.90","169.60","23,60,902","58,14,28,913.20","54,308"
"02-Jun-2025","EQ","247.99","247.99","238.57","247.00","239.50","239.31","242.20","289.90","169.60","6,46,773","15,66,48,565.75","20,205"
"30-May-2025","EQ","247.20","250.00","244.32","247.55","247.00","247.00","247.24","289.90","169.60","12,38,080","30,61,07,080.02","23,427"
"29-May-2025","EQ","246.83","248.80","243.16","244.63","247.00","247.55","246.57","289.90","169.60","17,08,518","42,12,65,627.88","26,685"
"28-May-2025","EQ","238.20","245.00","237.13","238.34","244.90","244.63","242.47","289.90","169.60","12,02,407","29,15,44,872.11","19,492"
"27-May-2025","EQ","240.95","244.31","236.00","239.18","238.00","238.34","240.54","289.90","169.60","12,31,300","29,61,82,722.33","23,998"
"26-May-2025","EQ","235.00","241.60","235.00","238.18","239.80","239.18","239.71","289.90","169.60","5,72,097","13,71,35,317.88","13,224"
"23-May-2025","EQ","242.00","242.01","236.42","237.20","238.00","238.18","239.15","289.90","169.60","7,21,782","17,26,15,687.75","16,330"
"22-May-2025","EQ","233.28","238.93","232.50","233.28","236.51","237.20","236.79","289.90","169.60","4,91,038","11,62,72,547.55","13,829"
"21-May-2025","EQ","232.46","234.50","229.02","232.46","233.40","233.28","232.39","289.90","169.60","6,82,888","15,86,98,648.48","14,770"
"20-May-2025","EQ","238.20","241.35","231.20","238.22","233.65","232.46","236.55","289.90","169.60","10,70,798","25,32,98,329.10","21,385"
"19-May-2025","EQ","240.00","245.00","235.25","234.62","238.80","238.22","240.42","289.90","169.60","30,52,527","73,38,99,169.40","35,916"
"16-May-2025","EQ","232.30","235.00","229.27","231.09","234.80","234.62","233.98","289.90","169.60","10,59,069","24,78,05,412.56","25,075"
"15-May-2025","EQ","228.25","233.25","227.25","228.25","231.08","231.09","230.78","289.90","169.60","8,89,173","20,51,99,366.04","30,040"
"14-May-2025","EQ","230.10","233.90","224.00","232.26","228.50","228.25","227.71","289.90","169.60","11,46,375","26,10,40,702.15","24,531"
"13-May-2025","EQ","231.11","234.56","226.00","230.61","231.90","232.26","231.08","289.90","169.60","12,88,519","29,77,50,261.34","21,614"
"12-May-2025","EQ","212.00","233.70","211.80","208.07","233.00","230.61","225.96","289.90","169.60","58,44,386","1,32,06,15,518.01","86,302"
