ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,789.20","2,825.00","2,750.00","2,774.60","2,810.00","2,775.80","2,774.79","3,524.95","2,000.00","87,691","24,33,24,053.40","8,096"
"12-Aug-2025","EQ","2,950.00","2,950.00","2,750.00","2,776.60","2,775.00","2,774.60","2,792.79","3,524.95","2,000.00","29,003","8,09,99,180.60","5,722"
"11-Aug-2025","EQ","2,727.00","2,785.90","2,727.00","2,739.30","2,785.00","2,776.60","2,760.35","3,524.95","2,000.00","39,988","11,03,80,904.00","3,634"
"08-Aug-2025","EQ","2,831.70","2,831.70","2,727.70","2,816.90","2,735.00","2,739.30","2,765.24","3,524.95","2,000.00","12,481","3,45,12,987.90","4,470"
"07-Aug-2025","EQ","2,847.10","2,875.80","2,776.10","2,846.20","2,810.00","2,816.90","2,818.63","3,524.95","2,000.00","12,871","3,62,78,593.90","4,366"
"06-Aug-2025","EQ","2,752.80","2,865.50","2,744.00","2,752.80","2,865.00","2,846.20","2,808.54","3,524.95","2,000.00","21,431","6,01,89,847.60","6,537"
"05-Aug-2025","EQ","2,790.00","2,801.00","2,713.20","2,762.30","2,750.00","2,752.80","2,754.17","3,524.95","2,000.00","28,792","7,92,98,048.50","5,932"
"04-Aug-2025","EQ","2,677.00","2,781.00","2,643.10","2,663.30","2,780.00","2,762.30","2,726.25","3,524.95","2,000.00","12,569","3,42,66,268.20","4,980"
"01-Aug-2025","EQ","2,754.20","2,773.90","2,639.90","2,760.30","2,676.80","2,663.30","2,682.30","3,524.95","2,000.00","39,506","10,59,67,120.50","5,189"
"31-Jul-2025","EQ","2,766.80","2,802.70","2,719.70","2,788.40","2,750.00","2,760.30","2,769.16","3,524.95","2,000.00","11,698","3,23,93,614.90","3,086"
"30-Jul-2025","EQ","2,817.70","2,825.30","2,785.00","2,840.10","2,786.10","2,788.40","2,799.12","3,524.95","2,000.00","9,822","2,74,92,981.50","3,721"
"29-Jul-2025","EQ","2,860.00","2,880.00","2,784.50","2,871.00","2,835.00","2,840.10","2,851.70","3,524.95","2,000.00","11,937","3,40,40,761.00","1,670"
"28-Jul-2025","EQ","2,864.10","2,913.60","2,851.50","2,860.60","2,860.00","2,871.00","2,877.43","3,524.95","2,000.00","17,737","5,10,37,021.60","5,246"
"25-Jul-2025","EQ","2,876.60","2,876.60","2,853.90","2,861.50","2,864.00","2,860.60","2,862.42","3,524.95","2,000.00","11,664","3,33,87,256.90","2,795"
"24-Jul-2025","EQ","2,870.00","2,908.40","2,825.20","2,867.50","2,855.00","2,861.50","2,856.61","3,524.95","2,000.00","27,224","7,77,68,342.70","6,905"
"23-Jul-2025","EQ","2,952.70","2,959.30","2,862.10","2,937.20","2,875.00","2,867.50","2,901.08","3,524.95","2,000.00","22,151","6,42,61,864.40","4,897"
"22-Jul-2025","EQ","2,899.00","2,950.00","2,848.00","2,876.70","2,940.00","2,937.20","2,910.77","3,524.95","2,000.00","1,10,671","32,21,37,521.00","5,367"
"21-Jul-2025","EQ","2,829.00","2,890.00","2,820.00","2,829.40","2,860.00","2,876.70","2,863.45","3,524.95","2,000.00","32,622","9,34,11,506.00","4,559"
"18-Jul-2025","EQ","2,830.00","2,841.60","2,800.20","2,823.40","2,825.50","2,829.40","2,830.24","3,524.95","2,000.00","10,622","3,00,62,801.80","2,865"
"17-Jul-2025","EQ","2,823.20","2,838.10","2,793.00","2,823.20","2,820.00","2,823.40","2,816.20","3,524.95","2,000.00","16,413","4,62,22,269.90","3,306"
"16-Jul-2025","EQ","2,767.50","2,840.00","2,723.70","2,740.10","2,820.00","2,823.20","2,805.08","3,524.95","2,000.00","21,011","5,89,37,548.90","4,787"
"15-Jul-2025","EQ","2,685.50","2,749.90","2,685.50","2,698.50","2,740.00","2,740.10","2,738.36","3,524.95","2,000.00","18,998","5,20,23,441.70","3,451"
"14-Jul-2025","EQ","2,715.40","2,729.10","2,669.70","2,701.20","2,685.50","2,698.50","2,700.49","3,524.95","2,000.00","24,821","6,70,28,948.50","3,875"
"11-Jul-2025","EQ","2,717.90","2,725.20","2,683.80","2,704.90","2,689.10","2,701.20","2,702.79","3,524.95","2,000.00","21,265","5,74,74,844.60","3,523"
"10-Jul-2025","EQ","2,748.40","2,749.50","2,698.00","2,748.40","2,710.00","2,704.90","2,716.42","3,524.95","2,000.00","19,768","5,36,98,123.70","3,825"
"09-Jul-2025","EQ","2,700.00","2,755.20","2,700.00","2,702.50","2,755.10","2,748.40","2,736.41","3,524.95","2,000.00","22,819","6,24,42,034.30","6,630"
"08-Jul-2025","EQ","2,660.00","2,712.40","2,655.00","2,698.60","2,700.00","2,702.50","2,699.87","3,524.95","2,000.00","27,014","7,29,34,170.40","4,861"
"07-Jul-2025","EQ","2,700.40","2,719.40","2,663.20","2,700.40","2,702.30","2,698.60","2,702.34","3,524.95","2,000.00","14,723","3,97,86,497.30","4,025"
"04-Jul-2025","EQ","2,724.00","2,764.00","2,687.60","2,704.40","2,700.20","2,700.40","2,713.35","3,524.95","2,000.00","22,956","6,22,87,670.80","3,832"
"03-Jul-2025","EQ","2,735.60","2,737.20","2,684.00","2,721.30","2,709.00","2,704.40","2,708.66","3,524.95","2,000.00","12,363","3,34,87,180.20","2,390"
"02-Jul-2025","EQ","2,672.40","2,729.90","2,642.80","2,672.40","2,725.00","2,721.30","2,686.43","3,524.95","2,000.00","52,297","14,04,92,113.30","6,491"
"01-Jul-2025","EQ","2,650.00","2,684.90","2,636.90","2,641.80","2,671.00","2,672.40","2,667.50","3,524.95","2,000.00","54,776","14,61,14,724.10","8,407"
"30-Jun-2025","EQ","2,594.00","2,651.00","2,580.00","2,580.40","2,646.00","2,641.80","2,625.13","3,524.95","2,000.00","54,078","14,19,61,693.60","5,910"
"27-Jun-2025","EQ","2,589.00","2,596.80","2,560.00","2,577.10","2,580.10","2,580.40","2,578.28","3,524.95","2,000.00","27,253","7,02,65,746.80","4,358"
"26-Jun-2025","EQ","2,643.50","2,650.00","2,570.00","2,629.70","2,589.00","2,577.10","2,595.60","3,524.95","2,000.00","23,020","5,97,50,782.60","5,290"
"25-Jun-2025","EQ","2,695.90","2,695.90","2,615.00","2,688.00","2,628.10","2,629.70","2,643.97","3,524.95","2,000.00","17,204","4,54,86,821.50","4,101"
"24-Jun-2025","EQ","2,684.90","2,707.20","2,641.00","2,665.00","2,687.80","2,688.00","2,682.71","3,524.95","2,000.00","35,382","9,49,19,783.40","7,801"
"23-Jun-2025","EQ","2,697.20","2,709.00","2,641.70","2,703.00","2,673.00","2,665.00","2,660.32","3,524.95","2,000.00","31,502","8,38,05,368.60","6,191"
"20-Jun-2025","EQ","2,700.60","2,724.40","2,658.00","2,702.90","2,697.00","2,703.00","2,697.13","3,524.95","2,000.00","71,347","19,24,31,951.60","8,199"
"19-Jun-2025","EQ","2,863.20","2,879.60","2,676.10","2,848.20","2,700.10","2,702.90","2,706.16","3,524.95","2,000.00","4,06,945","1,10,12,59,369.20","10,992"
"18-Jun-2025","EQ","2,900.00","2,914.10","2,834.30","2,914.10","2,834.30","2,848.20","2,878.36","3,524.95","2,000.00","12,294","3,53,86,498.70","3,251"
"17-Jun-2025","EQ","2,972.00","2,982.10","2,900.40","2,971.90","2,902.10","2,914.10","2,942.79","3,524.95","2,000.00","13,675","4,02,42,662.90","3,375"
"16-Jun-2025","EQ","2,877.10","3,019.00","2,865.10","2,903.50","2,960.00","2,971.90","2,979.63","3,524.95","2,000.00","2,16,850","64,61,33,565.50","17,999"
"13-Jun-2025","EQ","2,821.00","2,919.80","2,820.40","2,893.50","2,900.00","2,903.50","2,893.45","3,524.95","2,000.00","16,590","4,80,02,258.30","3,916"
"12-Jun-2025","EQ","2,842.30","2,923.10","2,812.00","3,002.00","2,870.10","2,893.50","2,890.67","3,524.95","2,000.00","63,285","18,29,35,912.90","7,767"
"11-Jun-2025","EQ","3,015.00","3,048.00","2,927.00","3,008.80","3,032.00","3,002.00","2,970.02","3,524.95","2,000.00","39,541","11,74,37,363.80","7,710"
