ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","555.30","566.00","552.10","555.20","554.40","556.30","557.12","655.50","461.50","3,41,984","19,05,25,227.30","11,130"
"12-Aug-2025","EQ","561.90","567.95","550.00","551.05","554.90","555.20","557.22","655.50","461.50","1,99,152","11,09,70,578.60","10,475"
"11-Aug-2025","EQ","560.00","582.80","546.90","559.20","552.80","551.05","557.64","655.50","461.50","3,48,140","19,41,35,911.95","17,254"
"08-Aug-2025","EQ","567.50","567.50","557.00","564.00","558.00","559.20","560.08","655.50","461.50","52,301","2,92,92,838.30","3,931"
"07-Aug-2025","EQ","570.20","570.75","557.00","572.80","565.00","564.00","561.34","655.50","461.50","1,11,494","6,25,86,097.45","13,496"
"06-Aug-2025","EQ","572.05","583.15","568.00","574.50","570.15","572.80","575.39","655.50","461.50","2,04,901","11,78,97,765.05","11,760"
"05-Aug-2025","EQ","568.15","583.95","568.15","571.85","571.10","574.50","577.05","655.50","461.50","93,160","5,37,58,290.70","7,738"
"04-Aug-2025","EQ","574.90","574.90","561.15","572.30","570.45","571.85","566.64","655.50","461.50","56,247","3,18,71,926.60","6,949"
"01-Aug-2025","EQ","561.00","578.30","560.95","558.15","572.95","572.30","570.98","655.50","461.50","1,38,055","7,88,26,828.10","9,025"
"31-Jul-2025","EQ","551.10","562.95","551.00","558.45","559.90","558.15","559.09","655.50","461.50","1,72,922","9,66,79,020.30","9,462"
"30-Jul-2025","EQ","555.05","562.90","555.05","554.30","558.15","558.45","559.64","655.50","461.50","2,13,905","11,97,09,710.55","8,592"
"29-Jul-2025","EQ","555.00","557.00","548.40","555.20","554.45","554.30","552.00","655.50","461.50","1,69,430","9,35,24,989.65","8,716"
"28-Jul-2025","EQ","557.95","560.20","552.25","556.55","554.10","555.20","555.79","655.50","461.50","2,81,739","15,65,87,943.95","9,008"
"25-Jul-2025","EQ","563.25","567.90","554.00","563.05","557.05","556.55","562.76","655.50","461.50","2,60,146","14,63,98,618.35","11,306"
"24-Jul-2025","EQ","560.30","566.90","560.30","560.30","563.00","563.05","563.35","655.50","461.50","1,61,714","9,11,01,020.20","7,590"
"23-Jul-2025","EQ","561.50","563.00","557.00","559.35","559.00","560.30","560.16","655.50","461.50","1,18,686","6,64,83,039.10","6,400"
"22-Jul-2025","EQ","562.95","566.35","557.05","560.30","560.00","559.35","561.01","655.50","461.50","1,09,260","6,12,95,523.20","5,964"
"21-Jul-2025","EQ","559.40","565.00","554.20","558.85","560.30","560.30","559.56","655.50","461.50","1,58,669","8,87,84,203.70","8,522"
"18-Jul-2025","EQ","567.00","568.15","556.00","565.05","560.25","558.85","558.92","655.50","461.50","1,57,249","8,78,89,039.05","6,221"
"17-Jul-2025","EQ","565.00","577.95","555.10","563.10","565.00","565.05","568.78","655.50","461.50","2,06,420","11,74,07,120.50","10,750"
"16-Jul-2025","EQ","572.00","573.95","561.10","572.20","561.95","563.10","567.31","655.50","461.50","1,17,752","6,68,01,731.65","6,739"
"15-Jul-2025","EQ","570.90","579.55","568.90","568.70","570.90","572.20","575.64","655.50","461.50","1,18,122","6,79,96,323.10","5,628"
"14-Jul-2025","EQ","571.95","576.10","562.75","573.25","567.00","568.70","570.16","655.50","461.50","1,52,533","8,69,68,165.60","11,801"
