ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","953.00","1,006.60","933.30","947.50","986.00","987.50","985.72","1,112.00","565.00","21,95,111","2,16,37,64,318.85","84,949"
"12-Aug-2025","EQ","916.40","959.85","914.75","914.75","951.90","947.50","941.08","1,112.00","565.00","6,34,028","59,66,73,655.80","36,662"
"11-Aug-2025","EQ","923.10","929.85","905.00","926.05","912.00","914.75","915.19","1,112.00","565.00","1,44,289","13,20,51,308.40","12,647"
"08-Aug-2025","EQ","933.50","948.00","921.10","932.60","921.10","926.05","934.00","1,112.00","565.00","1,81,249","16,92,87,186.95","10,922"
"07-Aug-2025","EQ","940.90","943.40","917.10","941.35","930.95","932.60","929.18","1,112.00","565.00","1,91,324","17,77,73,964.15","12,568"
"06-Aug-2025","EQ","974.00","993.80","930.00","968.60","941.50","941.35","963.71","1,112.00","565.00","8,42,103","81,15,45,853.60","42,794"
"05-Aug-2025","EQ","938.05","983.00","938.05","936.30","972.95","968.60","971.12","1,112.00","565.00","13,89,813","1,34,96,76,614.35","58,354"
"04-Aug-2025","EQ","935.00","948.00","926.70","933.40","937.00","936.30","939.26","1,112.00","565.00","1,58,713","14,90,72,813.55","10,971"
"01-Aug-2025","EQ","940.55","963.00","925.20","940.55","925.80","933.40","944.21","1,112.00","565.00","2,25,533","21,29,49,703.95","12,831"
"31-Jul-2025","EQ","953.00","956.95","934.10","963.00","937.20","940.55","948.20","1,112.00","565.00","1,68,316","15,95,97,644.30","11,606"
"30-Jul-2025","EQ","944.00","976.00","944.00","943.25","962.00","963.00","966.21","1,112.00","565.00","6,06,561","58,60,66,786.00","28,427"
"29-Jul-2025","EQ","929.00","950.70","920.20","931.75","944.00","943.25","941.69","1,112.00","565.00","2,86,351","26,96,52,836.90","19,510"
