ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","484.15","486.30","475.00","484.15","483.00","483.20","481.58","658.85","366.25","76,497","3,68,39,397.90","7,247"
"12-Aug-2025","EQ","484.80","487.05","480.85","484.80","484.05","484.15","484.79","658.85","366.25","55,950","2,71,24,052.80","4,742"
"11-Aug-2025","EQ","478.45","486.25","469.15","474.65","484.50","484.80","478.14","658.85","366.25","62,343","2,98,08,940.55","3,506"
"08-Aug-2025","EQ","482.00","496.75","473.00","476.95","475.50","474.65","484.71","658.85","366.25","2,08,709","10,11,62,992.00","12,887"
"07-Aug-2025","EQ","472.00","496.80","463.55","474.50","476.00","476.95","474.66","658.85","366.25","2,86,795","13,61,29,941.95","17,488"
"06-Aug-2025","EQ","480.00","480.00","472.00","476.45","474.70","474.50","475.03","658.85","366.25","76,231","3,62,11,716.40","3,506"
"05-Aug-2025","EQ","482.75","485.30","473.95","481.75","475.30","476.45","476.21","658.85","366.25","79,126","3,76,80,859.95","5,707"
"04-Aug-2025","EQ","472.00","485.00","471.60","475.40","481.00","481.75","478.13","658.85","366.25","51,137","2,44,50,141.70","5,965"
"01-Aug-2025","EQ","475.95","480.15","474.70","479.35","475.00","475.40","476.16","658.85","366.25","81,196","3,86,62,395.65","3,965"
"31-Jul-2025","EQ","480.00","485.00","473.10","485.00","477.80","479.35","479.09","658.85","366.25","94,963","4,54,95,932.95","4,988"
"30-Jul-2025","EQ","486.30","491.00","483.35","486.30","484.45","485.00","486.68","658.85","366.25","30,598","1,48,91,423.80","2,803"
"29-Jul-2025","EQ","490.40","490.70","480.90","487.15","486.05","486.30","484.77","658.85","366.25","42,293","2,05,02,434.20","3,423"
"28-Jul-2025","EQ","494.10","494.10","482.00","489.20","485.70","487.15","488.47","658.85","366.25","75,211","3,67,37,942.40","8,419"
"25-Jul-2025","EQ","485.30","495.90","483.40","490.35","494.00","489.20","489.20","658.85","366.25","1,01,779","4,97,90,200.45","6,122"
"24-Jul-2025","EQ","491.30","494.35","485.00","490.30","490.30","490.35","489.32","658.85","366.25","53,934","2,63,91,222.50","3,635"
"23-Jul-2025","EQ","491.95","492.80","486.00","490.50","490.00","490.30","489.75","658.85","366.25","62,211","3,04,67,871.00","3,134"
"22-Jul-2025","EQ","485.00","492.65","481.00","487.00","490.00","490.50","488.63","658.85","366.25","85,670","4,18,60,986.10","6,113"
"21-Jul-2025","EQ","488.60","490.00","481.00","489.50","486.10","487.00","485.51","658.85","366.25","93,029","4,51,66,603.60","5,424"
"18-Jul-2025","EQ","498.00","502.00","484.20","498.80","489.80","489.50","489.82","658.85","366.25","1,41,328","6,92,24,724.40","6,076"
"17-Jul-2025","EQ","495.00","501.85","490.60","496.35","498.15","498.80","498.99","658.85","366.25","68,020","3,39,41,600.30","6,227"
"16-Jul-2025","EQ","502.10","507.90","485.60","506.75","496.00","496.35","494.07","658.85","366.25","2,16,895","10,71,62,296.15","10,068"
"15-Jul-2025","EQ","490.00","511.95","490.00","489.55","506.00","506.75","505.41","658.85","366.25","2,46,675","12,46,73,002.90","12,806"
"14-Jul-2025","EQ","502.50","503.05","486.15","501.35","491.55","489.55","492.56","658.85","366.25","2,34,395","11,54,54,352.35","11,542"
"11-Jul-2025","EQ","505.00","508.00","499.55","506.35","500.00","501.35","502.69","658.85","366.25","72,219","3,63,03,865.25","4,131"
"10-Jul-2025","EQ","506.20","509.80","504.90","505.30","507.70","506.35","507.12","658.85","366.25","44,095","2,23,61,618.60","2,976"
"09-Jul-2025","EQ","504.25","510.80","503.00","506.80","510.00","505.30","506.07","658.85","366.25","1,21,888","6,16,84,351.00","4,239"
"08-Jul-2025","EQ","506.50","510.50","499.50","509.70","507.50","506.80","504.53","658.85","366.25","1,22,728","6,19,20,137.95","7,336"
