ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,823.30","1,834.00","1,802.50","1,813.80","1,802.50","1,809.40","1,819.65","2,055.00","1,255.10","17,997","3,27,48,325.40","3,710"
"11-Aug-2025","EQ","1,816.20","1,828.60","1,794.00","1,807.20","1,808.10","1,813.80","1,810.34","2,055.00","1,255.10","25,288","4,57,79,995.40","4,508"
"08-Aug-2025","EQ","1,859.00","1,859.00","1,800.00","1,849.70","1,808.80","1,807.20","1,823.88","2,055.00","1,255.10","22,368","4,07,96,535.10","4,402"
"07-Aug-2025","EQ","1,875.00","1,891.00","1,839.80","1,889.20","1,866.30","1,849.70","1,859.64","2,055.00","1,255.10","29,065","5,40,50,562.20","5,732"
"06-Aug-2025","EQ","1,876.40","1,900.30","1,829.00","1,876.40","1,882.00","1,889.20","1,868.46","2,055.00","1,255.10","35,717","6,67,35,736.10","6,543"
"05-Aug-2025","EQ","1,932.90","1,934.70","1,867.60","1,932.90","1,890.00","1,876.40","1,896.62","2,055.00","1,255.10","24,438","4,63,49,641.90","4,863"
"04-Aug-2025","EQ","1,913.70","1,958.00","1,896.20","1,913.70","1,933.00","1,932.90","1,931.68","2,055.00","1,255.10","32,950","6,36,48,767.60","8,873"
"01-Aug-2025","EQ","1,906.30","1,939.00","1,905.60","1,923.70","1,919.80","1,913.70","1,917.06","2,055.00","1,255.10","24,112","4,62,24,247.60","5,844"
"31-Jul-2025","EQ","1,915.00","1,973.60","1,881.00","1,975.00","1,919.70","1,923.70","1,931.26","2,055.00","1,255.10","74,535","14,39,46,596.40","13,261"
"30-Jul-2025","EQ","1,959.00","1,985.00","1,942.00","1,944.40","1,976.30","1,975.00","1,959.52","2,055.00","1,255.10","30,064","5,89,11,102.30","5,472"
"29-Jul-2025","EQ","1,935.10","1,962.60","1,911.00","1,952.80","1,945.00","1,944.40","1,930.16","2,055.00","1,255.10","31,170","6,01,63,059.40","5,426"
"28-Jul-2025","EQ","1,973.20","2,004.00","1,904.20","1,986.70","1,950.00","1,952.80","1,951.11","2,055.00","1,255.10","68,844","13,43,22,559.50","12,515"
"25-Jul-2025","EQ","2,011.60","2,019.90","1,972.40","2,011.60","1,982.60","1,986.70","1,990.08","2,055.00","1,251.55","54,079","10,76,21,375.00","9,668"
"24-Jul-2025","EQ","1,991.00","2,018.80","1,982.00","2,010.40","2,013.00","2,011.60","1,999.68","2,055.00","1,251.55","47,999","9,59,82,467.70","7,113"
"23-Jul-2025","EQ","2,035.40","2,035.40","1,986.60","2,025.20","2,009.00","2,010.40","2,009.98","2,055.00","1,251.55","47,888","9,62,54,154.40","9,801"
"22-Jul-2025","EQ","2,031.00","2,032.50","1,998.10","2,021.90","2,023.00","2,025.20","2,018.99","2,055.00","1,251.55","38,037","7,67,96,498.40","7,654"
"21-Jul-2025","EQ","2,026.90","2,031.70","1,985.00","2,001.30","2,018.50","2,021.90","2,015.80","2,055.00","1,251.55","52,305","10,54,36,191.10","10,255"
"18-Jul-2025","EQ","2,016.70","2,026.70","1,980.10","2,016.60","2,000.00","2,001.30","1,997.27","2,055.00","1,251.55","41,568","8,30,22,424.10","7,248"
"17-Jul-2025","EQ","1,960.40","2,055.00","1,945.50","1,944.80","2,019.90","2,016.60","1,992.55","2,055.00","1,251.55","3,33,455","66,44,24,648.10","41,616"
"16-Jul-2025","EQ","1,978.80","2,024.90","1,941.00","1,972.80","1,945.00","1,944.80","1,974.45","2,024.90","1,251.55","1,29,018","25,47,39,871.80","12,152"
"15-Jul-2025","EQ","1,946.30","1,987.00","1,942.10","1,928.00","1,966.10","1,972.80","1,972.51","1,999.90","1,251.55","45,061","8,88,83,081.30","5,435"
"14-Jul-2025","EQ","1,913.70","1,954.10","1,890.00","1,913.70","1,942.10","1,928.00","1,936.55","1,999.90","1,251.55","38,754","7,50,48,878.20","6,223"
"11-Jul-2025","EQ","1,939.00","1,943.90","1,890.10","1,940.70","1,916.00","1,913.70","1,913.16","1,999.90","1,251.55","30,263","5,78,97,829.50","4,578"
"10-Jul-2025","EQ","1,940.70","1,984.00","1,905.10","1,935.70","1,931.10","1,940.70","1,948.51","1,999.90","1,251.55","52,975","10,32,22,548.60","9,652"
"09-Jul-2025","EQ","1,930.90","1,954.00","1,921.10","1,925.30","1,938.00","1,935.70","1,938.11","1,999.90","1,251.55","21,983","4,26,05,485.80","4,686"
"08-Jul-2025","EQ","1,975.30","1,990.00","1,905.30","1,975.20","1,930.00","1,925.30","1,938.85","1,999.90","1,251.55","53,485","10,36,99,632.80","9,861"
"07-Jul-2025","EQ","1,969.60","1,999.00","1,946.00","1,969.50","1,975.00","1,975.20","1,973.89","1,999.90","1,251.55","39,968","7,88,92,478.90","8,197"
"04-Jul-2025","EQ","1,965.80","1,976.90","1,936.40","1,956.00","1,970.00","1,969.50","1,960.43","1,999.90","1,251.55","37,464","7,34,45,664.90","7,457"
"03-Jul-2025","EQ","1,933.00","1,999.90","1,920.50","1,923.30","1,956.00","1,956.00","1,971.47","1,999.90","1,251.55","1,22,895","24,22,84,385.40","14,957"
"02-Jul-2025","EQ","1,947.90","1,999.00","1,893.60","1,938.20","1,927.50","1,923.30","1,944.13","1,999.00","1,251.55","1,27,425","24,77,31,314.20","17,760"
"01-Jul-2025","EQ","1,954.00","1,958.10","1,901.50","1,926.50","1,947.90","1,938.20","1,924.72","1,974.00","1,251.55","54,864","10,55,97,589.80","9,126"
"30-Jun-2025","EQ","1,843.10","1,960.00","1,834.60","1,833.90","1,926.60","1,926.50","1,921.65","1,974.00","1,251.55","1,57,160","30,20,06,574.40","24,802"
"27-Jun-2025","EQ","1,834.00","1,859.00","1,814.50","1,817.30","1,830.00","1,833.90","1,831.45","1,974.00","1,251.55","39,459","7,22,67,259.40","7,300"
"26-Jun-2025","EQ","1,877.90","1,878.40","1,811.00","1,874.10","1,811.00","1,817.30","1,839.03","1,974.00","1,251.55","51,091","9,39,58,088.80","8,026"
"25-Jun-2025","EQ","1,851.90","1,900.00","1,851.30","1,842.90","1,875.00","1,874.10","1,881.65","1,974.00","1,251.55","36,665","6,89,90,762.30","5,827"
"24-Jun-2025","EQ","1,865.00","1,880.60","1,837.90","1,843.30","1,848.60","1,842.90","1,861.17","1,974.00","1,251.55","23,933","4,45,43,419.20","4,647"
"23-Jun-2025","EQ","1,863.00","1,898.30","1,835.20","1,888.80","1,848.90","1,843.30","1,862.39","1,974.00","1,251.55","37,475","6,97,93,079.20","8,210"
"20-Jun-2025","EQ","1,881.30","1,900.00","1,871.20","1,901.20","1,896.00","1,888.80","1,886.06","1,974.00","1,224.00","31,552","5,95,08,888.60","7,339"
"19-Jun-2025","EQ","1,928.00","1,947.40","1,892.20","1,926.30","1,900.00","1,901.20","1,914.01","1,974.00","1,224.00","40,954","7,83,86,203.60","8,604"
"18-Jun-2025","EQ","1,930.00","1,974.00","1,913.60","1,913.50","1,922.90","1,926.30","1,942.73","1,974.00","1,224.00","62,199","12,08,36,001.10","9,827"
"17-Jun-2025","EQ","1,950.00","1,970.00","1,905.20","1,944.50","1,913.40","1,913.50","1,932.57","1,970.00","1,224.00","50,768","9,81,12,882.60","8,246"
"16-Jun-2025","EQ","1,890.00","1,960.00","1,860.10","1,892.30","1,948.00","1,944.50","1,917.93","1,960.00","1,224.00","88,065","16,89,02,247.00","12,856"
"13-Jun-2025","EQ","1,830.00","1,899.80","1,822.30","1,879.30","1,895.00","1,892.30","1,871.06","1,926.00","1,224.00","32,440","6,06,97,162.60","7,130"
"12-Jun-2025","EQ","1,881.60","1,909.90","1,874.40","1,898.90","1,884.80","1,879.30","1,891.55","1,926.00","1,224.00","47,410","8,96,78,594.50","7,254"
"11-Jun-2025","EQ","1,898.20","1,925.00","1,870.30","1,898.10","1,901.10","1,898.90","1,900.44","1,926.00","1,224.00","38,311","7,28,07,626.40","6,325"
"10-Jun-2025","EQ","1,900.00","1,915.10","1,877.00","1,892.30","1,898.20","1,898.10","1,898.13","1,926.00","1,224.00","47,064","8,93,33,395.50","7,884"
"09-Jun-2025","EQ","1,899.80","1,926.00","1,878.50","1,881.20","1,900.00","1,892.30","1,897.15","1,926.00","1,224.00","72,702","13,79,26,391.10","10,172"
"06-Jun-2025","EQ","1,871.00","1,906.00","1,865.10","1,866.70","1,885.00","1,881.20","1,883.39","1,906.00","1,120.00","96,532","18,18,07,245.90","14,010"
"05-Jun-2025","EQ","1,853.30","1,902.00","1,853.30","1,850.10","1,871.00","1,866.70","1,878.02","1,902.00","1,120.00","1,04,763","19,67,46,652.80","15,900"
"04-Jun-2025","EQ","1,843.00","1,888.00","1,835.00","1,844.50","1,853.30","1,850.10","1,858.32","1,888.00","1,120.00","1,65,120","30,68,45,545.50","17,068"
"03-Jun-2025","EQ","1,760.00","1,882.20","1,738.10","1,743.60","1,849.10","1,844.50","1,835.35","1,882.20","1,120.00","6,27,342","1,15,13,94,382.10","59,239"
"02-Jun-2025","EQ","1,641.90","1,769.90","1,641.90","1,593.30","1,750.00","1,743.60","1,708.85","1,790.00","1,120.00","6,20,045","1,05,95,65,889.90","64,102"
"30-May-2025","EQ","1,609.40","1,622.40","1,580.00","1,601.30","1,600.00","1,593.30","1,595.95","1,790.00","1,120.00","2,09,822","33,48,64,489.10","7,452"
"29-May-2025","EQ","1,630.00","1,633.00","1,595.30","1,618.00","1,606.00","1,601.30","1,605.62","1,790.00","1,120.00","53,843","8,64,51,206.10","5,243"
"28-May-2025","EQ","1,618.30","1,625.00","1,591.10","1,609.80","1,620.00","1,618.00","1,607.44","1,790.00","1,120.00","39,463","6,34,34,431.70","4,151"
"27-May-2025","EQ","1,634.80","1,637.90","1,602.00","1,618.90","1,619.20","1,609.80","1,617.32","1,790.00","1,120.00","2,09,891","33,94,61,681.50","7,400"
"26-May-2025","EQ","1,609.50","1,644.50","1,600.60","1,609.10","1,620.00","1,618.90","1,621.76","1,790.00","1,120.00","65,170","10,56,90,167.00","9,032"
"23-May-2025","EQ","1,635.00","1,635.00","1,580.00","1,619.60","1,609.50","1,609.10","1,600.50","1,790.00","1,120.00","45,468","7,27,71,513.20","13,739"
"22-May-2025","EQ","1,629.00","1,640.10","1,611.00","1,637.00","1,617.00","1,619.60","1,619.42","1,790.00","1,120.00","18,007","2,91,60,843.20","2,748"
"21-May-2025","EQ","1,601.10","1,645.00","1,590.00","1,597.30","1,630.00","1,637.00","1,625.07","1,790.00","1,120.00","48,039","7,80,66,727.00","5,178"
"20-May-2025","EQ","1,620.70","1,650.00","1,585.50","1,620.70","1,606.80","1,597.30","1,624.14","1,790.00","1,120.00","40,775","6,62,24,414.70","7,240"
"19-May-2025","EQ","1,618.90","1,654.80","1,609.00","1,616.30","1,612.90","1,620.70","1,626.45","1,790.00","1,120.00","32,028","5,20,91,858.60","4,565"
"16-May-2025","EQ","1,617.60","1,637.00","1,601.10","1,617.60","1,618.90","1,616.30","1,621.74","1,790.00","1,120.00","46,355","7,51,75,873.60","5,339"
"15-May-2025","EQ","1,629.00","1,634.00","1,613.60","1,628.60","1,618.00","1,617.60","1,620.92","1,790.00","1,120.00","22,908","3,71,32,097.90","4,108"
"14-May-2025","EQ","1,624.50","1,637.80","1,592.00","1,592.50","1,633.00","1,628.60","1,613.21","1,790.00","1,120.00","72,553","11,70,43,151.10","7,849"
"13-May-2025","EQ","1,497.80","1,619.00","1,482.10","1,490.40","1,599.00","1,592.50","1,572.06","1,790.00","1,120.00","1,35,249","21,26,20,055.50","13,490"
"12-May-2025","EQ","1,470.70","1,520.00","1,470.70","1,468.30","1,485.80","1,490.40","1,500.92","1,790.00","1,120.00","39,196","5,88,30,140.90","6,068"
"09-May-2025","EQ","1,400.00","1,477.90","1,380.50","1,450.50","1,467.00","1,468.30","1,449.68","1,790.00","1,117.00","54,675","7,92,61,293.50","11,043"
"08-May-2025","EQ","1,450.00","1,488.70","1,440.00","1,451.70","1,450.00","1,450.50","1,461.39","1,790.00","1,117.00","22,061","3,22,39,776.70","4,975"
"07-May-2025","EQ","1,430.40","1,458.10","1,418.50","1,448.40","1,453.00","1,451.70","1,441.38","1,790.00","1,117.00","29,094","4,19,35,493.80","5,187"
"06-May-2025","EQ","1,479.90","1,491.40","1,439.70","1,463.70","1,451.50","1,448.40","1,471.49","1,790.00","1,117.00","53,210","7,82,98,114.70","10,129"
"05-May-2025","EQ","1,443.50","1,479.50","1,437.80","1,443.50","1,469.00","1,463.70","1,465.06","1,790.00","1,117.00","28,752","4,21,23,404.80","5,057"
"02-May-2025","EQ","1,437.90","1,459.00","1,429.90","1,435.20","1,430.00","1,443.50","1,445.59","1,790.00","1,117.00","29,134","4,21,15,843.10","5,743"
"30-Apr-2025","EQ","1,492.90","1,493.10","1,432.00","1,485.60","1,432.00","1,435.20","1,457.64","1,790.00","1,117.00","37,019","5,39,60,341.80","6,196"
"29-Apr-2025","EQ","1,499.00","1,519.60","1,473.00","1,501.80","1,490.00","1,485.60","1,488.24","1,790.00","1,117.00","42,250","6,28,78,137.80","6,907"
"28-Apr-2025","EQ","1,516.90","1,525.00","1,488.50","1,515.50","1,499.00","1,501.80","1,510.21","1,790.00","1,117.00","43,115","6,51,12,768.00","6,797"
"25-Apr-2025","EQ","1,529.00","1,544.90","1,479.60","1,524.50","1,520.00","1,515.50","1,509.87","1,790.00","1,117.00","67,361","10,17,06,473.40","16,340"
"24-Apr-2025","EQ","1,489.80","1,543.50","1,473.40","1,473.40","1,529.00","1,524.50","1,515.81","1,790.00","1,117.00","67,110","10,17,26,032.50","10,907"
"23-Apr-2025","EQ","1,478.00","1,488.00","1,443.00","1,471.80","1,483.60","1,473.40","1,466.38","1,790.00","1,117.00","37,547","5,50,58,063.60","7,086"
"22-Apr-2025","EQ","1,429.70","1,475.00","1,412.10","1,414.80","1,469.00","1,471.80","1,453.99","1,790.00","1,117.00","46,204","6,71,80,012.70","8,641"
"21-Apr-2025","EQ","1,430.00","1,430.00","1,394.00","1,408.00","1,422.00","1,414.80","1,410.20","1,790.00","1,117.00","29,491","4,15,88,066.30","4,787"
"17-Apr-2025","EQ","1,415.00","1,431.30","1,405.10","1,418.00","1,409.70","1,408.00","1,415.34","1,790.00","1,075.30","21,798","3,08,51,638.00","3,736"
"16-Apr-2025","EQ","1,419.60","1,422.50","1,398.40","1,405.40","1,415.00","1,418.00","1,410.38","1,790.00","1,075.30","20,370","2,87,29,369.00","3,670"
"15-Apr-2025","EQ","1,402.90","1,419.20","1,371.20","1,364.90","1,406.00","1,405.40","1,400.14","1,790.00","1,075.30","36,285","5,08,04,006.30","7,672"
"11-Apr-2025","EQ","1,345.00","1,389.00","1,341.70","1,315.35","1,368.00","1,364.90","1,374.56","1,790.00","1,075.30","37,821","5,19,87,318.30","7,586"
"09-Apr-2025","EQ","1,357.00","1,357.00","1,298.85","1,351.85","1,326.00","1,315.35","1,312.08","1,790.00","1,075.30","25,586","3,35,70,839.85","4,945"
"08-Apr-2025","EQ","1,300.00","1,358.00","1,300.00","1,297.50","1,357.00","1,351.85","1,344.85","1,790.00","1,075.30","41,483","5,57,88,541.05","8,474"
"07-Apr-2025","EQ","1,341.00","1,341.00","1,255.10","1,371.85","1,298.00","1,297.50","1,283.11","1,790.00","1,075.30","87,135","11,18,03,890.20","20,624"
"04-Apr-2025","EQ","1,418.85","1,418.85","1,352.60","1,414.05","1,369.95","1,371.85","1,377.64","1,790.00","1,075.30","24,600","3,38,90,062.00","4,726"
"03-Apr-2025","EQ","1,443.10","1,450.95","1,403.10","1,439.50","1,414.85","1,414.05","1,421.06","1,790.00","1,075.30","21,745","3,09,00,851.75","4,158"
"02-Apr-2025","EQ","1,407.00","1,458.90","1,395.00","1,410.95","1,428.00","1,439.50","1,425.91","1,790.00","1,075.30","24,416","3,48,15,070.60","5,602"
"01-Apr-2025","EQ","1,407.75","1,426.45","1,390.00","1,407.75","1,426.25","1,410.95","1,408.04","1,790.00","1,075.30","31,775","4,47,40,411.75","7,011"
"28-Mar-2025","EQ","1,436.85","1,448.95","1,405.00","1,429.70","1,405.35","1,407.75","1,421.70","1,790.00","1,068.65","22,356","3,17,83,499.30","4,876"
"27-Mar-2025","EQ","1,450.00","1,454.90","1,423.15","1,447.65","1,429.00","1,429.70","1,438.33","1,790.00","1,068.65","32,346","4,65,24,322.75","5,212"
