ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","849.40","857.05","835.95","845.90","839.00","843.90","844.62","1,559.00","780.00","2,70,478","22,84,51,680.80","25,635"
"11-Aug-2025","EQ","856.00","859.95","838.60","846.25","841.95","845.90","843.79","1,559.00","780.00","1,28,716","10,86,09,800.25","14,582"
"08-Aug-2025","EQ","860.00","861.45","841.00","857.80","844.00","846.25","850.51","1,559.00","780.00","1,04,033","8,84,81,116.30","10,881"
"07-Aug-2025","EQ","857.50","862.20","845.40","862.25","860.00","857.80","854.68","1,559.00","780.00","86,542","7,39,66,097.35","11,394"
"06-Aug-2025","EQ","878.80","883.10","857.05","877.35","861.00","862.25","864.75","1,559.00","780.00","1,28,468","11,10,92,493.85","11,064"
"05-Aug-2025","EQ","880.70","885.65","873.05","874.15","875.70","877.35","879.10","1,559.00","780.00","93,382","8,20,91,771.05","10,594"
"04-Aug-2025","EQ","870.05","879.90","864.95","878.00","878.00","874.15","872.09","1,559.00","780.00","1,00,489","8,76,35,210.00","10,306"
"01-Aug-2025","EQ","889.70","897.15","875.00","883.45","875.55","878.00","886.37","1,611.00","780.00","91,044","8,06,98,269.40","9,425"
"31-Jul-2025","EQ","890.25","897.70","882.00","895.05","883.00","883.45","887.79","1,611.00","780.00","2,36,999","21,04,05,844.85","14,447"
"30-Jul-2025","EQ","914.00","921.20","884.20","908.25","900.45","895.05","897.32","1,611.00","780.00","1,90,306","17,07,65,344.10","13,579"
"29-Jul-2025","EQ","888.05","913.95","881.20","888.55","908.00","908.25","897.45","1,611.00","780.00","1,25,776","11,28,77,949.90","11,979"
"28-Jul-2025","EQ","899.80","904.00","885.35","898.45","890.00","888.55","893.53","1,611.00","780.00","1,12,210","10,02,62,818.80","13,563"
"25-Jul-2025","EQ","922.00","922.00","896.20","919.50","898.00","898.45","903.81","1,611.00","780.00","2,04,701","18,50,09,799.55","18,222"
"24-Jul-2025","EQ","922.75","927.20","911.65","922.45","920.90","919.50","917.83","1,611.00","780.00","2,03,424","18,67,09,179.05","18,333"
"23-Jul-2025","EQ","926.00","928.00","917.65","921.40","922.35","922.45","921.07","1,611.00","780.00","2,32,253","21,39,22,003.95","11,515"
"22-Jul-2025","EQ","917.45","932.45","917.45","917.45","923.00","921.40","921.49","1,611.00","780.00","1,41,594","13,04,78,049.35","13,142"
"21-Jul-2025","EQ","931.00","939.70","916.00","928.90","918.15","917.45","925.28","1,611.00","780.00","2,67,200","24,72,35,828.70","18,665"
"18-Jul-2025","EQ","953.25","954.90","926.25","948.55","930.50","928.90","936.39","1,674.90","780.00","2,72,961","25,55,97,444.60","20,107"
"17-Jul-2025","EQ","959.00","961.45","944.00","958.95","948.00","948.55","950.91","1,674.90","780.00","2,02,230","19,23,01,787.75","13,920"
"16-Jul-2025","EQ","949.80","964.80","944.85","949.80","959.00","958.95","955.71","1,674.90","780.00","1,90,424","18,19,90,828.40","13,692"
"15-Jul-2025","EQ","951.05","956.65","943.20","950.85","948.00","949.80","950.72","1,674.90","780.00","1,50,947","14,35,08,127.85","10,540"
"14-Jul-2025","EQ","956.00","956.60","948.00","957.45","950.55","950.85","951.69","1,674.90","780.00","1,15,432","10,98,55,878.65","8,894"
