ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","579.00","582.00","571.00","576.85","572.00","571.95","573.54","943.75","570.00","5,03,800","28,89,47,795.20","23,647"
"11-Aug-2025","EQ","581.90","584.40","571.60","580.25","576.70","576.85","575.88","943.75","570.00","3,20,207","18,44,00,174.85","17,470"
"08-Aug-2025","EQ","585.20","592.45","575.00","584.45","582.00","580.25","584.61","943.75","570.00","5,22,581","30,55,04,315.00","26,344"
"07-Aug-2025","EQ","583.45","590.45","570.00","583.15","587.00","584.45","580.39","943.75","570.00","14,51,353","84,23,53,418.75","58,387"
"06-Aug-2025","EQ","607.55","607.55","582.00","602.30","582.00","583.15","586.87","943.75","582.00","7,69,062","45,13,42,583.65","37,971"
"05-Aug-2025","EQ","606.00","608.15","597.05","604.90","601.95","602.30","600.70","943.75","592.00","5,04,292","30,29,26,371.60","17,999"
"04-Aug-2025","EQ","604.00","609.90","595.15","598.25","605.00","604.90","602.05","943.75","592.00","14,10,335","84,90,97,377.85","37,741"
"01-Aug-2025","EQ","598.70","612.65","592.00","593.80","600.10","598.25","602.62","943.75","592.00","11,39,769","68,68,44,406.10","40,483"
"31-Jul-2025","EQ","610.00","620.00","592.00","610.55","593.75","593.80","605.69","943.75","592.00","14,57,114","88,25,59,704.80","62,509"
"30-Jul-2025","EQ","651.70","653.65","607.45","649.35","610.00","610.55","624.27","943.75","592.20","18,22,149","1,13,75,12,222.20","80,234"
"29-Jul-2025","EQ","650.00","660.15","592.20","670.15","650.00","649.35","635.90","943.75","592.20","35,88,486","2,28,19,10,563.50","1,21,232"
"28-Jul-2025","EQ","692.10","695.15","667.80","690.00","674.20","670.15","678.63","943.75","595.00","5,68,404","38,57,35,485.15","39,544"
"25-Jul-2025","EQ","721.60","725.50","685.55","722.10","689.00","690.00","699.57","943.75","595.00","12,47,048","87,24,00,648.65","57,608"
"24-Jul-2025","EQ","728.75","728.75","718.10","728.75","723.00","722.10","722.26","943.75","595.00","1,94,641","14,05,81,294.40","12,149"
"23-Jul-2025","EQ","725.60","732.00","716.10","723.80","728.05","728.75","725.32","943.75","595.00","2,76,137","20,02,86,401.45","20,213"
"22-Jul-2025","EQ","733.30","738.60","722.20","733.10","723.80","723.80","723.94","943.75","595.00","7,10,914","51,46,60,447.30","12,019"
"21-Jul-2025","EQ","729.90","735.00","722.00","729.65","731.85","733.10","728.86","943.75","595.00","2,73,870","19,96,13,833.15","14,682"
"18-Jul-2025","EQ","746.00","746.00","725.95","743.95","726.30","729.65","731.14","943.75","595.00","4,72,008","34,51,04,348.55","24,506"
