ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","366.80","369.00","360.35","366.85","367.70","367.05","365.35","422.30","270.00","8,17,520","29,86,83,329.30","17,808"
"12-Aug-2025","EQ","364.20","371.80","363.50","366.25","365.90","366.85","367.22","422.30","270.00","5,89,878","21,66,12,418.35","20,686"
"11-Aug-2025","EQ","366.30","370.60","361.80","368.35","364.20","366.25","366.46","422.30","270.00","8,12,377","29,77,07,036.65","22,334"
"08-Aug-2025","EQ","370.00","371.00","363.60","369.85","366.00","368.35","367.39","422.30","270.00","13,35,812","49,07,68,003.80","34,804"
"07-Aug-2025","EQ","349.70","372.90","345.65","351.40","372.00","369.85","363.82","422.30","270.00","41,50,651","1,51,00,97,103.65","82,010"
"06-Aug-2025","EQ","354.45","361.40","349.60","356.20","351.60","351.40","353.43","422.30","270.00","12,64,913","44,70,56,003.80","46,301"
"05-Aug-2025","EQ","343.00","357.20","339.05","343.90","355.90","356.20","351.26","422.30","270.00","26,43,623","92,85,95,602.80","55,662"
"04-Aug-2025","EQ","339.00","345.80","331.00","339.00","342.60","343.90","337.29","422.30","270.00","14,25,048","48,06,58,508.10","25,702"
"01-Aug-2025","EQ","341.90","342.40","331.55","341.70","338.30","339.00","337.55","422.30","257.20","16,28,915","54,98,47,913.90","39,983"
"31-Jul-2025","EQ","333.00","347.85","327.95","334.05","341.90","341.70","340.38","422.30","257.20","32,26,442","1,09,82,02,384.40","77,960"
"30-Jul-2025","EQ","332.00","348.05","326.75","330.00","335.50","334.05","334.62","422.30","257.20","30,76,483","1,02,94,67,442.50","66,814"
"29-Jul-2025","EQ","331.00","336.00","327.45","331.15","332.00","330.00","330.58","422.30","257.20","8,68,651","28,71,61,791.15","30,845"
"28-Jul-2025","EQ","337.00","338.85","328.10","338.45","333.00","331.15","332.26","422.30","257.20","7,95,431","26,42,87,083.00","23,536"
"25-Jul-2025","EQ","344.00","345.80","337.00","345.50","338.00","338.45","340.68","422.30","226.62","5,36,426","18,27,48,746.85","15,147"
"24-Jul-2025","EQ","348.00","349.70","345.00","348.00","345.00","345.50","346.62","422.30","226.62","4,36,452","15,12,83,080.95","13,461"
"23-Jul-2025","EQ","353.35","353.35","345.85","350.70","348.15","348.00","348.01","422.30","226.62","5,47,222","19,04,36,314.45","12,194"
"22-Jul-2025","EQ","355.00","355.50","349.45","352.30","350.75","350.70","351.63","422.30","226.62","3,70,408","13,02,45,179.60","11,316"
"21-Jul-2025","EQ","353.15","356.70","348.25","353.15","353.25","352.30","352.24","422.30","226.62","6,19,914","21,83,61,083.10","22,561"
"18-Jul-2025","EQ","358.55","358.55","348.00","356.85","352.80","353.15","352.51","422.30","226.62","6,27,396","22,11,62,796.15","22,674"
"17-Jul-2025","EQ","355.80","357.90","354.05","354.90","355.50","356.85","356.07","422.30","226.62","3,87,897","13,81,20,211.50","14,866"
"16-Jul-2025","EQ","359.55","363.60","353.75","359.00","354.90","354.90","358.20","422.30","226.62","7,21,918","25,85,87,516.55","20,430"
"15-Jul-2025","EQ","351.00","360.95","350.75","348.60","358.90","359.00","356.82","422.30","226.62","9,37,916","33,46,70,509.65","26,148"
"14-Jul-2025","EQ","352.05","356.30","344.50","354.00","350.00","348.60","348.43","422.30","226.62","11,21,341","39,07,08,529.10","36,235"
"11-Jul-2025","EQ","361.00","363.30","352.05","361.00","353.50","354.00","356.63","422.30","226.62","9,07,831","32,37,57,235.85","20,841"
"10-Jul-2025","EQ","368.00","369.60","359.75","366.65","361.00","361.00","362.44","422.30","226.62","7,12,049","25,80,74,280.70","19,924"
"09-Jul-2025","EQ","365.45","370.95","365.15","365.45","366.45","366.65","368.08","422.30","226.62","5,57,769","20,53,01,050.50","16,119"
"08-Jul-2025","EQ","371.80","372.05","360.10","370.05","365.00","365.45","365.16","422.30","226.62","9,36,892","34,21,15,977.10","25,407"
"07-Jul-2025","EQ","371.75","372.75","367.20","371.75","369.80","370.05","370.00","422.30","226.62","4,69,546","17,37,33,415.40","17,804"
"04-Jul-2025","EQ","368.55","373.05","368.00","368.10","370.95","371.75","370.69","422.30","208.45","6,68,612","24,78,48,442.10","14,225"
"03-Jul-2025","EQ","367.00","372.90","367.00","364.85","368.00","368.10","369.78","422.30","208.45","14,57,047","53,87,85,902.95","35,288"
"02-Jul-2025","EQ","358.90","370.90","358.55","357.90","364.90","364.85","366.07","422.30","208.45","23,24,555","85,09,44,204.60","43,127"
"01-Jul-2025","EQ","377.70","377.70","356.30","374.65","357.85","357.90","362.66","422.30","208.45","25,05,401","90,86,02,261.75","49,745"
"30-Jun-2025","EQ","382.75","384.25","372.10","382.75","375.50","374.65","375.84","422.30","208.45","18,53,908","69,67,67,323.30","36,589"
"27-Jun-2025","EQ","384.90","388.50","381.10","383.35","384.00","382.75","384.49","422.30","202.19","13,57,359","52,18,96,149.05","33,585"
"26-Jun-2025","EQ","390.80","391.90","381.00","388.85","382.00","383.35","384.58","422.30","202.19","13,42,313","51,62,21,922.10","32,064"
"25-Jun-2025","EQ","389.60","403.80","385.55","386.55","389.10","388.85","396.27","422.30","202.19","46,70,586","1,85,08,15,879.10","72,375"
"24-Jun-2025","EQ","385.00","388.00","380.00","377.00","384.70","386.55","385.09","422.30","202.19","12,12,706","46,70,03,634.85","29,240"
"23-Jun-2025","EQ","370.00","378.15","369.45","375.65","376.55","377.00","373.88","422.30","202.19","7,00,236","26,18,01,553.65","19,878"
"20-Jun-2025","EQ","371.00","377.20","368.70","371.90","376.00","375.65","373.33","422.30","197.15","7,38,097","27,55,51,393.50","24,465"
"19-Jun-2025","EQ","384.40","386.35","370.20","383.10","371.40","371.90","376.74","422.30","197.15","8,76,845","33,03,44,345.65","22,505"
"18-Jun-2025","EQ","386.70","394.00","380.35","385.70","383.50","383.10","387.15","422.30","197.15","15,36,838","59,49,79,838.05","30,319"
"17-Jun-2025","EQ","387.35","391.40","381.45","387.35","386.00","385.70","386.52","422.30","197.15","9,79,340","37,85,30,759.30","19,262"
"16-Jun-2025","EQ","380.20","388.60","374.55","380.20","387.50","387.35","381.88","422.30","197.15","11,04,709","42,18,65,081.70","24,006"
"13-Jun-2025","EQ","373.30","387.90","371.05","381.15","379.40","380.20","381.10","422.30","196.00","11,56,408","44,07,05,498.65","26,096"
"12-Jun-2025","EQ","389.00","392.45","380.00","386.85","381.30","381.15","386.28","422.30","196.00","11,32,640","43,75,14,298.80","26,821"
"11-Jun-2025","EQ","391.10","395.00","384.25","388.00","386.00","386.85","389.15","422.30","196.00","14,72,228","57,29,11,487.45","32,717"
"10-Jun-2025","EQ","376.60","391.00","373.50","374.65","389.00","388.00","384.04","422.30","196.00","29,64,816","1,13,86,11,671.50","52,027"
"09-Jun-2025","EQ","377.50","382.05","373.95","373.60","374.50","374.65","377.35","422.30","196.00","8,50,111","32,07,91,032.45","21,342"
"06-Jun-2025","EQ","375.00","378.00","371.75","374.00","373.00","373.60","374.18","422.30","176.25","7,28,562","27,26,12,069.40","18,526"
"05-Jun-2025","EQ","383.00","384.50","372.50","380.85","374.00","374.00","376.38","422.30","176.25","9,14,517","34,42,02,379.90","22,858"
"04-Jun-2025","EQ","382.10","382.95","375.50","380.95","381.05","380.85","379.61","422.30","176.25","8,61,515","32,70,41,359.70","15,402"
"03-Jun-2025","EQ","380.00","382.35","372.65","377.80","380.00","380.95","378.67","422.30","176.25","10,18,559","38,56,97,493.40","19,372"
"02-Jun-2025","EQ","371.40","388.85","369.60","371.45","378.90","377.80","381.45","422.30","176.25","23,15,033","88,30,60,119.25","51,323"
"30-May-2025","EQ","393.85","394.35","368.35","394.75","371.00","371.45","378.40","422.30","176.25","26,33,820","99,66,32,302.05","53,912"
"29-May-2025","EQ","388.00","398.00","387.25","386.40","393.90","394.75","393.87","422.30","176.25","19,84,220","78,15,31,879.00","38,946"
"28-May-2025","EQ","387.90","391.50","384.20","386.50","385.50","386.40","388.04","422.30","176.25","7,78,471","30,20,79,103.35","16,944"
"27-May-2025","EQ","388.80","388.80","380.40","388.85","387.20","386.50","384.74","422.30","176.25","12,47,660","48,00,28,032.40","26,295"
