ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","103.97","104.69","103.11","103.97","103.20","103.55","103.64","151.91","98.72","2,08,597","2,16,18,643.05","4,028"
"11-Aug-2025","EQ","102.80","104.50","102.25","102.80","104.49","103.97","103.35","151.91","98.72","3,29,440","3,40,47,654.78","5,515"
"08-Aug-2025","EQ","104.80","105.50","102.60","104.77","103.00","102.80","103.60","151.91","98.72","2,89,300","2,99,71,154.48","4,108"
"07-Aug-2025","EQ","104.75","105.62","102.15","105.16","104.90","104.77","103.83","151.91","98.72","3,54,162","3,67,71,496.68","5,904"
"06-Aug-2025","EQ","105.00","107.28","104.05","105.48","105.13","105.16","105.15","151.91","98.72","4,67,377","4,91,42,760.47","4,694"
"05-Aug-2025","EQ","107.50","108.49","103.40","107.63","106.25","105.48","105.36","151.91","98.72","7,74,683","8,16,16,984.18","9,915"
"04-Aug-2025","EQ","111.10","111.50","106.75","110.29","107.37","107.63","108.09","151.91","98.72","3,87,804","4,19,16,296.09","7,245"
"01-Aug-2025","EQ","110.26","112.00","109.11","110.26","109.50","110.29","110.67","151.91","98.72","4,56,435","5,05,11,441.00","6,653"
"31-Jul-2025","EQ","108.99","110.75","107.28","109.74","109.57","110.26","109.60","151.91","98.72","4,87,458","5,34,24,114.78","8,562"
"30-Jul-2025","EQ","106.90","112.30","106.23","106.42","109.50","109.74","110.02","151.91","98.72","9,54,796","10,50,45,895.53","12,798"
"29-Jul-2025","EQ","105.10","106.84","104.54","105.90","106.50","106.42","105.69","151.91","98.72","2,57,284","2,71,92,806.72","4,752"
"28-Jul-2025","EQ","106.05","107.95","105.11","105.49","105.98","105.90","106.44","151.91","98.72","3,89,741","4,14,82,218.40","6,894"
"25-Jul-2025","EQ","111.00","111.50","105.01","110.91","105.80","105.49","107.17","151.91","98.72","7,95,986","8,53,04,817.41","10,871"
