ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,459.70","1,479.90","1,416.70","1,468.00","1,425.90","1,427.60","1,442.16","2,484.20","1,244.75","21,240","3,06,31,402.30","3,829"
"11-Aug-2025","EQ","1,405.20","1,489.00","1,395.80","1,412.20","1,451.00","1,468.00","1,460.42","2,484.20","1,244.75","82,214","12,00,66,714.30","30,607"
"08-Aug-2025","EQ","1,394.90","1,434.00","1,373.40","1,391.30","1,409.80","1,412.20","1,410.45","2,484.20","1,244.75","24,697","3,48,33,974.10","5,889"
"07-Aug-2025","EQ","1,422.00","1,434.00","1,385.10","1,439.00","1,398.00","1,391.30","1,402.68","2,484.20","1,244.75","70,117","9,83,51,758.20","9,721"
"06-Aug-2025","EQ","1,461.30","1,461.30","1,416.90","1,454.00","1,421.20","1,439.00","1,436.99","2,484.20","1,244.75","1,19,653","17,19,40,575.30","10,390"
"05-Aug-2025","EQ","1,462.90","1,470.20","1,451.00","1,462.80","1,454.90","1,454.00","1,456.27","2,484.20","1,244.75","20,504","2,98,59,355.40","3,789"
"04-Aug-2025","EQ","1,482.90","1,484.90","1,440.10","1,483.80","1,462.80","1,462.80","1,457.15","2,484.20","1,244.75","78,116","11,38,26,791.90","7,336"
"01-Aug-2025","EQ","1,485.00","1,498.90","1,472.10","1,484.90","1,490.50","1,483.80","1,485.78","2,484.20","1,244.75","62,050","9,21,92,357.40","10,379"
"31-Jul-2025","EQ","1,468.80","1,489.90","1,460.00","1,490.70","1,485.00","1,484.90","1,480.12","2,484.20","1,244.75","47,275","6,99,72,696.50","7,277"
"30-Jul-2025","EQ","1,459.10","1,495.70","1,451.00","1,485.20","1,490.10","1,490.70","1,479.13","2,484.20","1,244.75","74,600","11,03,42,939.40","11,577"
