ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","858.00","873.85","857.00","859.00","873.50","871.15","867.03","1,485.00","775.55","51,733","4,48,54,166.45","3,592"
"12-Aug-2025","EQ","861.20","874.80","855.10","859.00","858.00","859.00","861.88","1,485.00","775.55","41,314","3,56,07,786.15","4,119"
"11-Aug-2025","EQ","859.90","869.35","854.40","859.05","864.00","859.00","860.67","1,485.00","775.55","35,142","3,02,45,794.00","3,299"
"08-Aug-2025","EQ","883.00","883.00","852.60","880.60","857.50","859.05","867.06","1,485.00","775.55","36,632","3,17,62,143.65","4,068"
"07-Aug-2025","EQ","856.35","887.70","850.05","862.15","880.00","880.60","869.00","1,485.00","775.55","42,233","3,67,00,608.90","4,146"
"06-Aug-2025","EQ","877.10","880.25","856.25","878.10","860.00","862.15","865.02","1,485.00","775.55","58,095","5,02,53,207.60","4,988"
"05-Aug-2025","EQ","909.30","911.75","866.05","911.80","877.00","878.10","882.25","1,485.00","775.55","90,860","8,01,60,961.30","9,211"
"04-Aug-2025","EQ","884.40","916.00","877.05","884.40","901.10","911.80","900.11","1,485.00","775.55","66,152","5,95,43,750.60","6,915"
"01-Aug-2025","EQ","894.00","910.20","872.00","894.20","881.00","884.40","896.21","1,485.00","775.55","55,278","4,95,40,784.90","4,656"
"31-Jul-2025","EQ","900.00","902.00","885.25","905.85","901.95","894.20","891.27","1,485.00","775.55","55,115","4,91,22,568.15","5,771"
"30-Jul-2025","EQ","902.40","909.80","894.50","900.60","899.80","905.85","902.70","1,485.00","775.55","39,167","3,53,55,884.30","3,732"
"29-Jul-2025","EQ","885.85","907.80","875.55","886.75","902.00","900.60","895.80","1,485.00","775.55","42,669","3,82,22,776.90","4,725"
"28-Jul-2025","EQ","888.00","909.90","873.20","887.90","877.30","886.75","893.63","1,485.00","775.55","80,148","7,16,22,810.15","7,735"
"25-Jul-2025","EQ","907.05","911.75","886.00","908.80","895.00","887.90","894.98","1,485.00","775.55","59,622","5,33,60,568.20","5,661"
"24-Jul-2025","EQ","894.45","915.55","890.45","894.45","909.00","908.80","910.88","1,485.00","775.55","1,04,508","9,51,94,281.65","5,617"
"23-Jul-2025","EQ","920.05","923.90","887.00","919.60","896.50","894.45","898.82","1,485.00","775.55","1,65,834","14,90,55,206.95","13,174"
"22-Jul-2025","EQ","925.00","936.00","907.40","942.35","922.65","919.60","926.70","1,485.00","775.55","1,68,449","15,61,02,034.20","11,483"
"21-Jul-2025","EQ","982.00","983.00","932.50","980.55","945.90","942.35","947.13","1,485.00","775.55","3,86,314","36,58,88,889.50","22,529"
"18-Jul-2025","EQ","991.00","994.00","966.00","990.95","982.10","980.55","975.84","1,485.00","775.55","95,999","9,36,79,819.70","8,734"
"17-Jul-2025","EQ","1,006.00","1,007.95","985.15","996.95","991.00","990.95","995.41","1,485.00","775.55","61,347","6,10,65,231.95","4,738"
"16-Jul-2025","EQ","1,012.40","1,020.00","990.00","1,007.05","992.05","996.95","1,006.00","1,485.00","775.55","78,672","7,91,43,688.85","8,272"
"15-Jul-2025","EQ","996.95","1,010.95","987.00","986.55","1,010.00","1,007.05","998.64","1,485.00","775.55","86,505","8,63,87,682.30","10,347"
"14-Jul-2025","EQ","995.05","996.80","982.00","995.70","983.55","986.55","988.40","1,485.00","775.55","49,092","4,85,22,416.25","4,441"
"11-Jul-2025","EQ","1,004.25","1,009.55","992.10","1,004.25","996.35","995.70","997.46","1,485.00","775.55","40,511","4,04,07,945.30","3,903"
"10-Jul-2025","EQ","1,015.10","1,020.00","999.85","1,010.05","1,005.00","1,004.25","1,008.24","1,485.00","775.55","53,615","5,40,56,547.90","3,811"
"09-Jul-2025","EQ","1,035.95","1,042.85","1,003.95","1,028.95","1,010.00","1,010.05","1,028.53","1,485.00","775.55","2,07,457","21,33,76,420.95","9,177"
"08-Jul-2025","EQ","1,050.00","1,050.00","1,009.55","1,031.55","1,027.30","1,028.95","1,027.44","1,485.00","775.55","1,21,023","12,43,43,876.10","9,324"
"07-Jul-2025","EQ","981.00","1,039.80","981.00","976.10","1,033.85","1,031.55","1,021.91","1,485.00","775.55","4,94,846","50,56,87,378.75","30,927"
"04-Jul-2025","EQ","970.00","981.00","960.25","971.00","981.00","976.10","971.32","1,485.00","775.55","49,328","4,79,13,164.50","3,419"
"03-Jul-2025","EQ","980.90","988.45","968.00","977.35","970.00","971.00","977.18","1,485.00","775.55","43,698","4,27,00,846.75","3,409"
"02-Jul-2025","EQ","982.70","985.55","971.00","982.70","975.00","977.35","976.09","1,485.00","775.55","42,536","4,15,18,824.20","4,199"
"01-Jul-2025","EQ","993.70","998.90","976.35","991.20","980.65","982.70","985.05","1,485.00","775.55","63,128","6,21,84,352.75","5,248"
"30-Jun-2025","EQ","980.90","998.00","980.60","980.60","990.00","991.20","990.85","1,485.00","775.55","44,825","4,44,14,833.60","4,291"
"27-Jun-2025","EQ","997.20","1,004.00","973.00","995.00","990.00","980.60","989.54","1,485.00","775.55","66,903","6,62,02,953.80","6,108"
"26-Jun-2025","EQ","1,008.00","1,008.00","985.30","996.30","997.00","995.00","996.44","1,485.00","775.55","51,052","5,08,70,503.40","5,144"
"25-Jun-2025","EQ","970.00","1,001.30","968.50","968.20","997.70","996.30","988.36","1,485.00","775.55","85,412","8,44,17,599.30","6,327"
"24-Jun-2025","EQ","960.00","989.00","960.00","956.20","965.90","968.20","971.39","1,485.00","775.55","69,070","6,70,93,699.20","6,136"
"23-Jun-2025","EQ","951.30","962.90","945.50","954.60","956.70","956.20","955.09","1,485.00","775.55","39,778","3,79,91,475.10","4,671"
"20-Jun-2025","EQ","935.20","964.40","934.20","937.20","957.00","954.60","950.68","1,485.00","775.55","60,527","5,75,41,564.40","5,707"
"19-Jun-2025","EQ","961.20","967.20","930.00","963.60","936.00","937.20","945.17","1,485.00","775.55","82,125","7,76,21,718.20","9,273"
"18-Jun-2025","EQ","963.10","978.00","956.20","963.10","961.20","963.60","965.64","1,485.00","775.55","60,821","5,87,30,963.20","5,947"
"17-Jun-2025","EQ","980.00","995.00","961.00","977.20","968.00","963.10","975.06","1,485.00","775.55","92,232","8,99,31,533.90","7,572"
"16-Jun-2025","EQ","987.00","997.80","965.00","986.40","983.00","977.20","976.20","1,485.00","775.55","1,56,385","15,26,63,237.80","13,959"
"13-Jun-2025","EQ","970.60","996.30","970.60","991.30","992.00","986.40","985.75","1,485.00","775.55","79,644","7,85,08,846.50","8,666"
"12-Jun-2025","EQ","1,013.70","1,019.70","987.70","1,007.90","990.20","991.30","1,001.46","1,485.00","775.55","1,16,530","11,67,00,540.00","9,718"
"11-Jun-2025","EQ","1,022.90","1,028.80","1,003.50","1,019.40","1,010.00","1,007.90","1,014.32","1,485.00","775.55","1,06,515","10,80,40,801.40","9,292"
"10-Jun-2025","EQ","1,042.40","1,048.70","1,012.20","1,034.10","1,022.90","1,019.40","1,027.42","1,485.00","775.55","1,47,358","15,13,98,689.60","11,026"
"09-Jun-2025","EQ","1,045.00","1,079.80","1,027.00","1,027.80","1,039.00","1,034.10","1,050.86","1,485.00","775.55","2,73,021","28,69,05,986.30","16,031"
"06-Jun-2025","EQ","1,021.00","1,044.00","1,016.10","1,020.60","1,027.00","1,027.80","1,031.34","1,485.00","737.05","1,83,121","18,88,60,108.70","11,869"
"05-Jun-2025","EQ","1,012.00","1,030.30","1,006.90","1,002.00","1,022.00","1,020.60","1,021.61","1,485.00","737.05","81,542","8,33,03,960.90","7,195"
"04-Jun-2025","EQ","1,011.10","1,014.20","996.20","1,005.60","1,000.20","1,002.00","1,004.61","1,485.00","737.05","68,729","6,90,46,156.60","6,181"
"03-Jun-2025","EQ","1,018.90","1,029.90","1,002.10","1,016.40","1,003.00","1,005.60","1,018.58","1,485.00","737.05","66,446","6,76,80,723.30","6,146"
"02-Jun-2025","EQ","999.50","1,032.80","996.50","1,006.20","1,020.00","1,016.40","1,017.46","1,485.00","737.05","89,443","9,10,04,505.40","8,472"
"30-May-2025","EQ","1,017.50","1,025.00","1,001.90","1,016.80","1,007.00","1,006.20","1,008.74","1,485.00","737.05","80,654","8,13,58,935.70","6,703"
"29-May-2025","EQ","1,019.00","1,023.80","1,008.30","1,019.90","1,020.00","1,016.80","1,015.93","1,485.00","737.05","62,772","6,37,71,645.00","5,035"
"28-May-2025","EQ","1,020.00","1,032.90","1,014.80","1,013.10","1,019.90","1,019.90","1,022.97","1,485.00","737.05","99,145","10,14,22,737.00","6,725"
"27-May-2025","EQ","1,023.10","1,023.10","1,007.00","1,016.70","1,015.90","1,013.10","1,012.36","1,485.00","737.05","65,683","6,64,94,926.00","4,794"
"26-May-2025","EQ","1,035.00","1,038.50","1,014.00","1,026.80","1,019.90","1,016.70","1,023.99","1,485.00","737.05","95,086","9,73,67,178.00","7,445"
"23-May-2025","EQ","1,030.00","1,037.30","1,012.60","1,019.80","1,026.00","1,026.80","1,025.09","1,485.00","737.05","1,06,697","10,93,73,963.90","7,615"
