ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","825.00","828.45","805.00","823.05","809.45","807.40","816.15","4,931.95","674.20","53,492","4,36,57,354.55","7,543"
"12-Aug-2025","EQ","822.60","835.20","813.50","822.60","823.00","823.05","823.30","4,931.95","674.20","29,390","2,41,96,678.45","5,965"
"11-Aug-2025","EQ","835.10","838.90","816.50","833.55","821.00","822.60","826.46","4,931.95","674.20","47,834","3,95,32,952.15","13,394"
"08-Aug-2025","EQ","868.80","868.80","807.05","863.20","833.00","833.55","846.41","4,931.95","674.20","22,769","1,92,71,892.60","3,958"
"07-Aug-2025","EQ","855.00","868.95","848.95","856.85","862.00","863.20","859.44","4,931.95","674.20","29,926","2,57,19,482.10","6,465"
"06-Aug-2025","EQ","882.00","893.40","847.80","877.65","858.00","856.85","860.35","4,931.95","674.20","43,208","3,71,73,872.55","6,221"
"05-Aug-2025","EQ","887.25","893.85","873.60","886.95","880.00","877.65","879.38","4,931.95","674.20","22,420","1,97,15,801.00","5,075"
"04-Aug-2025","EQ","900.90","904.00","881.50","895.10","891.00","886.95","888.80","4,931.95","674.20","22,949","2,03,97,013.65","5,655"
"01-Aug-2025","EQ","899.00","905.90","885.00","898.70","892.00","895.10","898.65","4,931.95","674.20","32,934","2,95,96,068.05","5,922"
"31-Jul-2025","EQ","910.00","913.00","882.60","912.55","908.00","898.70","898.52","4,931.95","674.20","48,424","4,35,09,690.80","7,484"
"30-Jul-2025","EQ","890.00","918.65","885.90","885.35","913.50","912.55","906.51","4,931.95","674.20","70,147","6,35,89,133.60","10,923"
"29-Jul-2025","EQ","888.00","896.70","880.00","888.60","890.00","885.35","886.80","4,931.95","674.20","31,294","2,77,51,381.25","8,242"
"28-Jul-2025","EQ","906.65","917.35","881.00","899.45","893.50","888.60","901.06","4,931.95","674.20","55,653","5,01,46,652.20","9,743"
"25-Jul-2025","EQ","923.15","927.95","896.25","933.15","897.95","899.45","909.01","4,931.95","674.20","59,213","5,38,25,204.30","8,239"
