ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","67.97","68.59","67.00","67.96","67.40","67.28","67.40","103.53","56.85","6,80,029","4,58,37,188.54","6,951"
"12-Aug-2025","EQ","66.51","68.28","66.12","66.51","67.88","67.96","67.46","103.53","56.85","10,30,220","6,95,03,606.15","12,744"
"11-Aug-2025","EQ","66.53","66.98","65.50","66.34","66.49","66.51","66.22","103.53","56.85","6,88,556","4,55,97,120.47","12,690"
"08-Aug-2025","EQ","65.68","67.39","65.15","65.67","66.00","66.34","66.39","107.66","56.85","10,86,286","7,21,16,161.02","10,236"
"07-Aug-2025","EQ","65.86","66.43","64.00","66.13","65.67","65.67","65.23","107.66","56.85","12,75,775","8,32,25,171.57","14,406"
"06-Aug-2025","EQ","67.40","67.79","65.44","67.43","66.07","66.13","66.27","107.66","56.85","12,17,921","8,07,17,505.37","14,136"
"05-Aug-2025","EQ","69.45","69.72","67.17","69.15","67.50","67.43","67.97","107.66","56.85","11,11,525","7,55,50,442.92","9,836"
"04-Aug-2025","EQ","68.20","69.85","67.61","68.34","69.00","69.15","68.62","107.66","56.85","13,23,018","9,07,89,752.45","12,398"
"01-Aug-2025","EQ","70.85","71.15","67.70","70.84","68.60","68.34","69.23","115.49","56.85","18,90,573","13,08,76,987.35","16,880"
"31-Jul-2025","EQ","70.00","74.00","69.71","71.29","70.85","70.84","71.94","115.49","56.85","42,44,970","30,53,69,485.75","29,342"
"30-Jul-2025","EQ","69.90","76.50","69.90","68.28","70.80","71.29","73.61","115.49","56.85","3,12,99,744","2,30,38,85,564.05","1,32,484"
"29-Jul-2025","EQ","63.89","69.20","62.90","63.89","68.90","68.28","67.07","115.49","56.85","79,46,108","53,29,67,331.26","42,919"
"28-Jul-2025","EQ","64.30","65.49","63.71","64.63","63.82","63.89","64.29","115.49","56.85","8,64,379","5,55,68,945.46","8,259"
"25-Jul-2025","EQ","65.03","65.59","64.05","65.03","64.36","64.63","64.82","115.49","56.85","8,41,820","5,45,66,749.82","6,711"
"24-Jul-2025","EQ","65.67","65.84","64.65","65.57","65.08","65.03","65.09","115.49","56.85","5,48,953","3,57,32,955.71","5,010"
"23-Jul-2025","EQ","64.56","65.70","64.56","64.51","65.53","65.57","65.22","115.49","56.85","6,92,820","4,51,88,533.87","5,917"
"22-Jul-2025","EQ","65.40","66.07","64.04","65.33","64.79","64.51","64.68","115.49","56.85","10,43,063","6,74,64,005.92","7,379"
"21-Jul-2025","EQ","65.85","66.07","65.00","65.85","65.75","65.33","65.43","115.49","56.85","6,80,204","4,45,06,955.63","5,921"
"18-Jul-2025","EQ","66.40","66.70","65.25","66.17","65.80","65.85","65.87","116.80","56.85","4,43,158","2,91,88,612.89","5,175"
"17-Jul-2025","EQ","66.74","67.09","66.01","66.47","66.11","66.17","66.50","116.80","56.85","8,55,247","5,68,76,380.77","7,587"
"16-Jul-2025","EQ","66.19","66.88","65.46","65.91","66.62","66.47","66.26","116.80","56.85","10,96,918","7,26,76,414.76","9,071"
"15-Jul-2025","EQ","66.30","66.98","65.72","65.92","65.99","65.91","66.20","116.80","56.85","7,41,064","4,90,58,329.91","6,610"
"14-Jul-2025","EQ","65.50","66.50","64.68","65.46","65.72","65.92","65.70","116.80","56.85","11,30,056","7,42,45,384.89","11,587"
"11-Jul-2025","EQ","66.94","67.00","64.84","66.99","65.36","65.46","65.60","116.80","56.85","10,71,354","7,02,79,844.93","10,070"
"10-Jul-2025","EQ","65.80","68.79","65.80","65.43","66.94","66.99","67.25","116.80","56.85","27,75,095","18,66,28,222.97","17,594"
"09-Jul-2025","EQ","66.00","66.78","65.20","65.47","65.40","65.43","65.78","116.80","56.85","5,34,447","3,51,57,512.82","5,459"
"08-Jul-2025","EQ","65.62","66.00","64.61","65.63","65.40","65.47","65.29","116.80","56.85","5,89,364","3,84,78,595.14","6,547"
"07-Jul-2025","EQ","66.17","66.85","65.25","66.17","65.40","65.63","65.92","116.80","56.85","6,58,175","4,33,86,666.74","7,269"
"04-Jul-2025","EQ","65.46","66.46","65.42","65.46","66.15","66.17","66.07","116.80","56.85","6,64,125","4,38,75,594.02","6,319"
"03-Jul-2025","EQ","65.85","66.14","65.30","65.63","65.40","65.46","65.67","116.80","56.85","6,22,199","4,08,61,871.85","5,246"
"02-Jul-2025","EQ","66.90","66.93","65.45","66.63","65.52","65.63","65.86","116.80","56.85","7,10,975","4,68,23,343.48","8,148"
"01-Jul-2025","EQ","66.00","67.01","66.00","65.99","66.55","66.63","66.50","116.80","56.85","7,61,287","5,06,25,139.92","6,574"
"30-Jun-2025","EQ","66.39","67.93","65.80","65.79","66.29","65.99","66.41","116.80","56.85","24,06,849","15,98,32,941.39","15,358"
"27-Jun-2025","EQ","65.62","66.54","65.55","65.62","65.66","65.79","65.89","116.80","56.85","12,49,812","8,23,48,401.72","9,600"
"26-Jun-2025","EQ","66.33","66.82","65.40","65.99","65.60","65.62","65.86","116.80","56.85","12,06,907","7,94,87,923.62","10,825"
"25-Jun-2025","EQ","64.13","66.27","64.00","63.84","66.10","65.99","65.28","116.80","56.85","15,78,726","10,30,54,026.39","11,828"
"24-Jun-2025","EQ","63.10","64.45","63.10","62.87","63.80","63.84","63.87","116.80","56.85","13,35,702","8,53,07,076.84","10,399"
"23-Jun-2025","EQ","62.10","66.00","62.10","62.02","62.80","62.87","64.14","116.80","56.85","82,45,838","52,88,88,487.75","55,381"
"20-Jun-2025","EQ","61.66","62.85","61.06","61.64","62.12","62.02","61.86","116.80","56.85","9,15,711","5,66,48,285.20","7,705"
"19-Jun-2025","EQ","63.00","63.56","61.21","63.29","61.60","61.64","62.23","116.80","56.85","12,21,307","7,60,04,300.81","10,765"
"18-Jun-2025","EQ","63.49","64.18","62.82","63.48","63.11","63.29","63.44","116.80","56.85","8,42,851","5,34,66,296.71","8,784"
"17-Jun-2025","EQ","64.10","65.21","63.15","64.41","63.49","63.48","64.15","116.80","56.85","10,57,749","6,78,57,285.45","11,845"
"16-Jun-2025","EQ","65.01","65.59","63.44","65.53","64.30","64.41","64.27","116.80","56.85","13,02,631","8,37,17,493.56","13,219"
"13-Jun-2025","EQ","64.88","66.33","63.71","65.59","66.00","65.53","65.23","116.80","56.85","11,79,997","7,69,75,736.14","16,609"
"12-Jun-2025","EQ","67.77","68.05","65.40","67.40","65.60","65.59","66.52","116.80","56.85","12,22,234","8,13,04,544.25","11,773"
"11-Jun-2025","EQ","67.95","69.35","66.63","67.86","67.38","67.40","68.21","116.80","56.85","25,69,508","17,52,72,020.89","17,156"
"10-Jun-2025","EQ","67.80","68.25","66.75","67.45","67.95","67.86","67.39","116.80","56.85","24,38,688","16,43,36,493.32","21,654"
"09-Jun-2025","EQ","66.95","67.85","66.76","66.74","67.50","67.45","67.42","116.80","56.85","9,84,246","6,63,62,416.87","9,827"
"06-Jun-2025","EQ","65.22","67.90","65.22","65.21","66.80","66.74","66.87","116.80","56.85","15,89,934","10,63,20,126.63","16,135"
"05-Jun-2025","EQ","66.05","66.67","65.01","65.41","65.49","65.21","65.94","116.80","56.85","8,18,050","5,39,40,948.17","9,890"
"04-Jun-2025","EQ","65.50","66.60","64.60","65.02","65.56","65.41","65.61","116.80","56.85","12,46,826","8,18,09,676.33","15,716"
"03-Jun-2025","EQ","66.09","66.78","64.71","66.09","65.49","65.02","65.76","116.80","56.85","8,42,030","5,53,71,002.96","11,259"
"02-Jun-2025","EQ","64.24","66.65","63.81","63.73","65.88","66.09","65.91","116.80","56.85","18,43,593","12,15,09,753.98","19,271"
"30-May-2025","EQ","65.68","66.35","62.25","65.75","63.93","63.73","63.59","116.80","56.85","1,09,58,514","69,68,29,854.08","46,623"
"29-May-2025","EQ","68.00","68.24","65.35","67.71","65.69","65.75","66.55","116.80","56.85","21,92,293","14,58,99,378.51","24,829"
"28-May-2025","EQ","64.90","70.90","63.80","64.80","67.45","67.71","68.18","116.80","56.85","1,05,35,858","71,83,22,061.48","80,169"
"27-May-2025","EQ","64.99","65.00","63.48","64.46","64.72","64.80","64.37","116.80","56.85","11,27,569","7,25,81,114.80","19,529"
"26-May-2025","EQ","62.70","64.90","62.00","61.79","64.40","64.46","63.87","116.80","56.85","13,33,840","8,51,85,943.16","20,774"
"23-May-2025","EQ","61.40","62.50","60.66","61.94","61.88","61.79","61.71","116.80","56.85","19,33,256","11,92,93,624.43","41,806"
"22-May-2025","EQ","62.54","62.78","61.30","62.27","61.90","61.94","62.01","116.80","56.85","14,53,899","9,01,55,760.60","35,429"
"21-May-2025","EQ","63.50","63.82","61.64","63.52","62.39","62.27","62.54","116.80","56.85","10,71,538","6,70,16,746.63","28,258"
"20-May-2025","EQ","65.42","65.53","63.25","65.18","63.50","63.52","64.08","116.80","56.85","11,23,956","7,20,20,327.97","31,519"
"19-May-2025","EQ","65.22","66.76","64.50","65.21","65.11","65.18","65.56","116.80","56.85","15,97,974","10,47,69,611.46","38,629"
"16-May-2025","EQ","64.84","66.00","63.75","64.04","64.80","65.21","64.60","116.80","56.85","10,21,659","6,60,00,576.25","26,880"
"15-May-2025","EQ","64.26","64.92","63.83","64.26","64.00","64.04","64.16","116.80","56.85","6,61,492","4,24,42,934.73","20,422"
"14-May-2025","EQ","63.40","65.14","63.02","63.06","64.12","64.26","64.17","116.80","56.85","11,55,012","7,41,12,599.69","24,548"
"13-May-2025","EQ","61.25","63.57","61.25","61.93","62.83","63.06","62.85","116.80","56.85","8,53,815","5,36,58,109.65","23,094"
"12-May-2025","EQ","60.01","62.51","60.01","59.45","61.90","61.93","61.95","116.80","56.85","8,22,582","5,09,59,470.90","15,426"
"09-May-2025","EQ","57.71","59.81","57.56","58.89","59.70","59.45","58.60","116.80","56.85","5,40,229","3,16,56,974.34","8,929"
