ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","972.00","973.90","952.20","973.95","956.00","958.85","962.82","1,420.00","797.50","1,45,796","14,03,75,625.00","10,188"
"12-Aug-2025","EQ","949.95","977.50","946.85","946.85","970.95","973.95","966.10","1,420.00","797.50","2,80,009","27,05,17,533.80","20,325"
"11-Aug-2025","EQ","929.20","950.50","925.30","930.85","945.95","946.85","939.89","1,420.00","797.50","1,88,667","17,73,25,536.95","12,942"
"08-Aug-2025","EQ","943.90","943.90","925.00","939.95","925.00","930.85","932.60","1,420.00","797.50","91,961","8,57,62,448.60","6,156"
"07-Aug-2025","EQ","921.00","944.35","921.00","932.05","939.00","939.95","931.30","1,420.00","797.50","1,55,562","14,48,75,629.55","15,332"
"06-Aug-2025","EQ","922.00","934.00","914.70","924.50","932.00","932.05","926.27","1,420.00","797.50","2,27,414","21,06,45,883.45","14,248"
"05-Aug-2025","EQ","930.05","936.70","921.35","930.50","923.80","924.50","926.28","1,420.00","797.50","1,35,062","12,51,05,839.95","9,591"
"04-Aug-2025","EQ","937.05","937.10","921.75","929.25","930.00","930.50","930.51","1,420.00","797.50","1,66,932","15,53,32,678.00","9,782"
"01-Aug-2025","EQ","928.00","944.85","913.10","939.90","940.00","929.25","927.23","1,420.00","797.50","2,93,566","27,22,04,367.00","19,701"
"31-Jul-2025","EQ","939.00","948.00","924.75","947.00","939.40","939.90","939.81","1,420.00","797.50","1,23,090","11,56,80,962.25","10,069"
"30-Jul-2025","EQ","957.95","960.40","943.00","958.15","945.70","947.00","948.33","1,420.00","797.50","1,45,547","13,80,26,353.20","8,404"
"29-Jul-2025","EQ","934.05","960.90","918.00","933.80","957.05","958.15","940.06","1,420.00","797.50","3,31,991","31,20,90,494.30","26,905"
"28-Jul-2025","EQ","957.05","966.30","930.40","961.85","932.00","933.80","947.79","1,420.00","797.50","1,89,017","17,91,49,134.80","13,332"
