ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","10,455.00","10,536.00","10,387.00","10,399.00","10,500.00","10,485.00","10,479.84","11,500.00","7,411.65","12,590","13,19,41,206.00","4,971"
"12-Aug-2025","EQ","10,330.00","10,500.00","10,325.00","10,326.00","10,404.00","10,399.00","10,418.49","11,500.00","7,411.65","15,211","15,84,75,579.00","6,469"
"11-Aug-2025","EQ","10,308.00","10,389.00","10,186.00","10,225.00","10,315.00","10,326.00","10,320.04","11,500.00","7,411.65","19,814","20,44,81,306.00","4,808"
"08-Aug-2025","EQ","10,670.00","10,670.00","10,054.00","10,649.00","10,249.00","10,225.00","10,384.47","11,500.00","7,411.65","17,904","18,59,23,481.00","6,946"
"07-Aug-2025","EQ","10,594.00","10,767.00","10,502.00","10,632.00","10,650.00","10,649.00","10,617.29","11,500.00","7,411.65","14,823","15,73,80,123.00","4,921"
"06-Aug-2025","EQ","10,725.00","11,100.00","10,573.00","10,720.00","10,604.00","10,632.00","10,797.03","11,500.00","7,411.65","32,229","34,79,77,514.00","11,148"
"05-Aug-2025","EQ","10,551.00","10,764.00","10,551.00","10,550.00","10,721.00","10,720.00","10,685.50","11,500.00","7,411.65","37,434","40,00,00,975.00","9,422"
"04-Aug-2025","EQ","10,722.00","10,732.00","10,389.00","10,712.00","10,571.00","10,550.00","10,542.48","11,500.00","7,411.65","33,617","35,44,06,668.00","11,560"
"01-Aug-2025","EQ","10,802.00","10,916.00","10,474.00","10,833.00","10,700.00","10,712.00","10,710.79","11,500.00","7,411.65","40,476","43,35,29,839.00","13,630"
"31-Jul-2025","EQ","10,608.00","11,281.00","10,430.00","10,642.00","10,760.00","10,833.00","10,913.04","11,500.00","7,411.65","1,62,247","1,77,06,07,671.00","44,307"
"30-Jul-2025","EQ","10,542.00","10,732.00","10,417.00","10,486.00","10,725.00","10,642.00","10,569.58","11,500.00","7,411.65","27,275","28,82,85,285.00","7,494"
"29-Jul-2025","EQ","10,599.00","10,684.00","10,301.00","10,554.00","10,490.00","10,486.00","10,431.47","11,500.00","7,411.65","24,320","25,36,93,367.00","8,039"
"28-Jul-2025","EQ","10,720.00","10,878.00","10,511.00","10,676.00","10,619.00","10,554.00","10,673.77","11,500.00","7,411.65","19,149","20,43,92,009.00","7,156"
"25-Jul-2025","EQ","11,000.00","11,000.00","10,640.00","10,946.00","10,675.00","10,676.00","10,756.48","11,500.00","7,411.65","16,542","17,79,33,711.00","7,374"
"24-Jul-2025","EQ","11,215.00","11,215.00","10,904.00","11,211.00","10,950.00","10,946.00","11,034.50","11,500.00","7,411.65","22,278","24,58,26,527.00","8,389"
"23-Jul-2025","EQ","11,080.00","11,267.00","11,070.00","11,052.00","11,200.00","11,211.00","11,200.19","11,500.00","7,411.65","27,070","30,31,89,156.00","9,918"
"22-Jul-2025","EQ","11,040.00","11,186.00","10,992.00","10,951.00","11,065.00","11,052.00","11,067.38","11,500.00","7,411.65","32,236","35,67,68,036.00","8,064"
"21-Jul-2025","EQ","11,300.00","11,301.00","10,922.00","11,258.00","11,000.00","10,951.00","11,090.15","11,500.00","7,411.65","22,149","24,56,35,784.00","9,057"
"18-Jul-2025","EQ","11,171.00","11,370.00","11,170.00","11,140.00","11,250.00","11,258.00","11,261.30","11,500.00","7,363.30","30,306","34,12,84,824.00","9,034"
"17-Jul-2025","EQ","10,955.00","11,270.00","10,950.00","10,952.00","11,110.00","11,140.00","11,164.89","11,500.00","7,363.30","51,537","57,54,05,076.00","19,208"
"16-Jul-2025","EQ","11,029.00","11,107.00","10,845.00","10,996.00","10,950.00","10,952.00","11,008.38","11,500.00","7,363.30","18,602","20,47,77,872.00","6,932"
"15-Jul-2025","EQ","10,725.00","11,500.00","10,720.00","10,691.00","10,998.00","10,996.00","11,170.33","11,500.00","7,363.30","1,44,676","1,61,60,78,842.00","40,673"
"14-Jul-2025","EQ","10,820.00","10,897.00","10,511.00","10,749.00","10,725.00","10,691.00","10,707.75","11,006.00","7,363.30","18,271","19,56,41,234.00","6,844"
"11-Jul-2025","EQ","10,490.00","10,960.00","10,489.00","10,442.00","10,750.00","10,749.00","10,812.65","11,006.00","7,152.75","57,228","61,87,86,339.00","18,794"
"10-Jul-2025","EQ","10,669.00","10,740.00","10,372.00","10,599.00","10,490.00","10,442.00","10,518.76","11,006.00","7,152.75","14,937","15,71,18,666.00","6,651"
"09-Jul-2025","EQ","10,691.00","10,823.00","10,556.00","10,692.00","10,600.00","10,599.00","10,650.77","11,006.00","7,152.75","15,002","15,97,82,841.00","5,501"
"08-Jul-2025","EQ","10,837.00","10,873.00","10,582.00","10,773.00","10,685.00","10,692.00","10,712.04","11,006.00","7,152.75","9,846","10,54,70,756.00","4,785"
"07-Jul-2025","EQ","10,700.00","10,879.00","10,647.00","10,689.00","10,680.00","10,773.00","10,788.16","11,006.00","7,152.75","22,005","23,73,93,353.00","9,071"
"04-Jul-2025","EQ","10,730.00","10,810.00","10,646.00","10,696.00","10,700.00","10,689.00","10,731.19","11,006.00","7,152.75","13,761","14,76,71,849.00","5,296"
"03-Jul-2025","EQ","10,688.00","10,842.00","10,618.00","10,688.00","10,730.00","10,696.00","10,732.62","11,006.00","7,152.75","17,318","18,58,67,598.00","5,810"
"02-Jul-2025","EQ","10,760.00","10,790.00","10,500.00","10,752.00","10,689.00","10,688.00","10,634.57","11,006.00","7,152.75","37,028","39,37,76,898.00","13,706"
"01-Jul-2025","EQ","10,909.00","10,996.00","10,692.00","10,909.50","10,760.00","10,752.00","10,826.09","11,006.00","7,152.75","27,223","29,47,18,718.00","9,827"
"30-Jun-2025","EQ","10,899.50","11,006.00","10,800.00","10,782.50","10,880.00","10,909.50","10,901.24","11,006.00","7,152.75","33,821","36,86,90,681.50","11,785"
"27-Jun-2025","EQ","10,780.50","10,960.00","10,722.00","10,780.50","10,799.50","10,782.50","10,836.20","10,960.00","7,152.75","42,517","46,07,22,915.00","14,109"
