ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,678.00","2,687.00","2,560.00","2,687.10","2,581.00","2,588.70","2,612.82","3,515.70","1,921.00","1,41,456","36,95,98,657.80","21,940"
"11-Aug-2025","EQ","2,651.00","2,712.60","2,611.10","2,651.00","2,679.00","2,687.10","2,661.84","3,515.70","1,921.00","56,444","15,02,44,811.20","15,551"
"08-Aug-2025","EQ","2,676.00","2,676.00","2,630.00","2,677.50","2,642.20","2,651.00","2,651.60","3,515.70","1,921.00","77,215","20,47,43,588.30","16,266"
"07-Aug-2025","EQ","2,720.00","2,721.20","2,645.00","2,734.90","2,676.00","2,677.50","2,675.69","3,515.70","1,921.00","1,24,214","33,23,58,159.80","30,062"
"06-Aug-2025","EQ","2,824.00","2,830.70","2,720.00","2,828.80","2,728.00","2,734.90","2,750.89","3,515.70","1,921.00","90,193","24,81,10,671.10","20,003"
"05-Aug-2025","EQ","2,869.00","2,895.00","2,811.10","2,869.00","2,821.10","2,828.80","2,846.45","3,515.70","1,921.00","1,00,660","28,65,24,088.90","19,393"
"04-Aug-2025","EQ","2,930.10","2,936.00","2,828.00","2,936.50","2,874.50","2,869.00","2,862.40","3,515.70","1,921.00","1,43,804","41,16,24,393.90","28,405"
"01-Aug-2025","EQ","3,162.90","3,184.30","2,890.00","3,162.60","2,900.00","2,936.50","2,995.20","3,515.70","1,921.00","2,82,736","84,68,52,273.40","44,233"
"31-Jul-2025","EQ","3,170.00","3,198.10","3,135.20","3,197.00","3,135.20","3,162.60","3,175.20","3,515.70","1,921.00","65,839","20,90,52,310.30","11,984"
"30-Jul-2025","EQ","3,150.80","3,200.00","3,150.20","3,150.20","3,195.00","3,197.00","3,188.73","3,515.70","1,921.00","96,877","30,89,14,163.60","18,234"
"29-Jul-2025","EQ","3,083.50","3,178.80","3,083.50","3,083.50","3,136.00","3,150.20","3,140.21","3,515.70","1,921.00","98,969","31,07,83,230.90","20,890"
"28-Jul-2025","EQ","3,144.20","3,161.90","3,072.50","3,144.20","3,081.00","3,083.50","3,110.44","3,515.70","1,921.00","54,855","17,06,23,113.70","10,399"
"25-Jul-2025","EQ","3,175.00","3,220.00","3,120.40","3,162.40","3,152.00","3,144.20","3,158.57","3,515.70","1,921.00","1,15,563","36,50,13,582.50","20,968"
"24-Jul-2025","EQ","3,130.00","3,177.90","3,100.00","3,131.40","3,156.00","3,162.40","3,140.70","3,515.70","1,921.00","68,929","21,64,85,323.80","15,643"
"23-Jul-2025","EQ","3,121.90","3,161.00","3,090.00","3,098.60","3,130.90","3,131.40","3,129.51","3,515.70","1,921.00","58,819","18,40,74,595.80","13,801"
"22-Jul-2025","EQ","3,134.00","3,152.20","3,088.00","3,119.10","3,101.00","3,098.60","3,107.03","3,515.70","1,921.00","55,167","17,14,05,405.40","13,233"
"21-Jul-2025","EQ","3,138.40","3,149.00","3,074.10","3,138.40","3,112.00","3,119.10","3,110.84","3,515.70","1,921.00","54,032","16,80,84,911.20","12,694"
"18-Jul-2025","EQ","3,184.00","3,195.60","3,112.50","3,173.60","3,130.10","3,138.40","3,145.29","3,515.70","1,921.00","52,526","16,52,09,286.80","13,727"
"17-Jul-2025","EQ","3,170.00","3,196.80","3,154.90","3,167.60","3,169.70","3,173.60","3,176.04","3,515.70","1,921.00","46,351","14,72,12,554.00","11,975"
"16-Jul-2025","EQ","3,198.00","3,200.50","3,153.90","3,199.30","3,170.00","3,167.60","3,178.00","3,515.70","1,921.00","45,839","14,56,76,440.90","9,572"
"15-Jul-2025","EQ","3,190.10","3,227.20","3,176.80","3,187.90","3,195.00","3,199.30","3,202.05","3,515.70","1,921.00","57,695","18,47,42,432.60","18,059"
"14-Jul-2025","EQ","3,243.80","3,254.90","3,171.60","3,243.80","3,189.70","3,187.90","3,198.92","3,515.70","1,921.00","77,362","24,74,75,069.00","18,401"
"11-Jul-2025","EQ","3,244.00","3,272.50","3,225.40","3,251.90","3,240.20","3,243.80","3,249.78","3,515.70","1,921.00","43,722","14,20,87,089.90","7,545"
"10-Jul-2025","EQ","3,309.10","3,319.90","3,246.00","3,309.00","3,253.00","3,251.90","3,267.19","3,515.70","1,921.00","45,314","14,80,49,573.40","8,228"
"09-Jul-2025","EQ","3,266.10","3,344.00","3,266.10","3,260.70","3,305.60","3,309.00","3,309.43","3,515.70","1,921.00","83,528","27,64,29,965.80","19,136"
"08-Jul-2025","EQ","3,280.00","3,339.00","3,246.10","3,285.00","3,260.00","3,260.70","3,278.75","3,515.70","1,921.00","75,369","24,71,15,754.50","15,223"
