ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,067.00","2,069.30","2,023.00","2,058.20","2,034.20","2,029.30","2,048.55","2,284.80","1,275.50","4,66,373","95,53,88,397.70","30,921"
"12-Aug-2025","EQ","2,049.30","2,073.90","2,035.20","2,049.30","2,053.40","2,058.20","2,058.12","2,284.80","1,275.50","3,85,694","79,38,04,432.10","29,591"
"11-Aug-2025","EQ","2,018.10","2,064.00","2,011.40","2,019.60","2,049.80","2,049.30","2,037.78","2,284.80","1,275.50","5,44,574","1,10,97,20,454.20","32,034"
"08-Aug-2025","EQ","2,065.00","2,065.00","2,014.00","2,062.80","2,022.10","2,019.60","2,029.75","2,284.80","1,275.50","2,97,540","60,39,33,293.70","21,061"
"07-Aug-2025","EQ","2,017.00","2,070.40","2,014.90","2,025.60","2,065.00","2,062.80","2,040.53","2,284.80","1,275.50","4,87,155","99,40,51,991.30","30,486"
"06-Aug-2025","EQ","2,040.00","2,045.00","2,005.10","2,052.60","2,020.50","2,025.60","2,018.98","2,284.80","1,275.50","8,91,973","1,80,08,71,217.60","51,096"
"05-Aug-2025","EQ","2,074.90","2,077.80","2,031.50","2,074.90","2,048.10","2,052.60","2,047.92","2,284.80","1,275.50","4,29,624","87,98,36,639.90","35,199"
"04-Aug-2025","EQ","2,067.80","2,098.00","2,056.40","2,067.80","2,069.90","2,074.90","2,076.93","2,284.80","1,275.50","7,02,572","1,45,91,89,607.30","47,547"
"01-Aug-2025","EQ","2,133.00","2,133.00","2,053.70","2,134.10","2,083.10","2,067.80","2,078.67","2,284.80","1,275.50","14,84,724","3,08,62,58,402.00","75,304"
"31-Jul-2025","EQ","2,121.00","2,177.70","2,114.70","2,153.60","2,114.70","2,134.10","2,145.36","2,284.80","1,275.50","9,94,348","2,13,32,30,400.10","54,291"
"30-Jul-2025","EQ","2,160.00","2,169.90","2,144.50","2,158.00","2,152.20","2,153.60","2,154.16","2,284.80","1,275.50","7,86,091","1,69,33,63,200.00","33,961"
"29-Jul-2025","EQ","2,140.00","2,165.80","2,120.00","2,144.40","2,165.80","2,158.00","2,142.14","2,284.80","1,275.50","10,66,676","2,28,49,64,781.00","46,011"
"28-Jul-2025","EQ","2,147.00","2,177.00","2,136.50","2,145.30","2,136.50","2,144.40","2,154.47","2,284.80","1,275.50","12,70,504","2,73,72,65,583.20","44,366"
"25-Jul-2025","EQ","2,145.00","2,166.10","2,132.00","2,144.20","2,141.60","2,145.30","2,151.65","2,284.80","1,275.50","10,95,311","2,35,67,27,041.30","59,627"
