ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","418.30","427.70","409.05","418.30","412.00","413.00","418.02","472.40","226.59","26,71,251","1,11,66,27,747.65","46,993"
"11-Aug-2025","EQ","402.15","421.50","399.20","402.05","416.40","418.30","411.97","472.40","226.59","23,68,443","97,57,27,839.05","35,752"
"08-Aug-2025","EQ","412.05","418.80","399.80","413.95","402.00","402.05","410.31","472.40","226.59","19,65,960","80,66,58,205.25","32,997"
"07-Aug-2025","EQ","394.80","420.80","390.10","396.15","413.00","413.95","412.72","472.40","226.59","87,83,197","3,62,50,10,748.05","1,11,211"
"06-Aug-2025","EQ","412.90","413.85","394.40","411.30","396.00","396.15","401.00","472.40","226.59","17,44,111","69,93,93,174.20","31,570"
"05-Aug-2025","EQ","409.00","418.45","405.20","408.55","410.50","411.30","411.07","472.40","226.59","31,23,510","1,28,39,67,073.65","46,026"
"04-Aug-2025","EQ","383.80","424.00","383.60","381.90","407.70","408.55","413.57","472.40","226.59","2,68,66,616","11,11,12,12,243.95","3,31,173"
"01-Aug-2025","EQ","394.35","397.00","379.70","393.80","381.50","381.90","387.45","472.40","226.59","15,88,148","61,53,27,670.25","25,048"
"31-Jul-2025","EQ","397.45","407.50","391.30","402.85","393.80","393.80","398.21","472.40","226.59","16,89,462","67,27,53,457.95","31,101"
"30-Jul-2025","EQ","412.00","417.55","401.00","411.10","402.40","402.85","408.87","472.40","226.59","14,81,677","60,58,16,916.70","26,149"
"29-Jul-2025","EQ","408.80","415.95","398.00","409.45","412.00","411.10","407.64","472.40","226.59","31,47,060","1,28,28,59,117.30","51,095"
"28-Jul-2025","EQ","420.00","443.00","403.25","434.40","408.45","409.45","422.39","472.40","226.59","49,67,571","2,09,82,51,465.70","75,096"
"25-Jul-2025","EQ","451.90","455.20","431.95","452.45","433.70","434.40","440.15","472.40","226.59","28,85,717","1,27,01,42,167.00","41,070"
"24-Jul-2025","EQ","456.75","461.10","451.00","457.90","452.00","452.45","455.14","472.40","226.59","29,01,924","1,32,07,94,583.60","42,663"
"23-Jul-2025","EQ","461.75","472.40","449.15","457.50","456.00","457.90","462.47","472.40","226.59","1,11,61,977","5,16,20,65,649.40","1,17,527"
