ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","117.07","118.75","115.86","117.07","118.04","118.24","117.58","169.25","89.36","12,14,304","14,27,72,682.59","9,567"
"12-Aug-2025","EQ","115.10","118.00","114.51","116.22","117.00","117.07","116.47","169.25","89.36","13,69,073","15,94,51,108.72","11,170"
"11-Aug-2025","EQ","112.30","116.61","111.42","114.23","116.30","116.22","114.66","169.25","89.36","17,09,668","19,60,23,823.16","13,103"
"08-Aug-2025","EQ","114.00","114.60","112.13","114.48","114.00","114.23","113.48","169.25","89.29","11,29,678","12,81,97,249.02","9,995"
"07-Aug-2025","EQ","109.35","115.25","105.50","109.45","115.00","114.48","110.83","169.25","89.29","20,17,195","22,35,66,403.24","15,456"
"06-Aug-2025","EQ","109.01","110.29","107.21","109.01","110.00","109.45","108.62","169.25","89.29","8,81,360","9,57,30,474.74","9,430"
"05-Aug-2025","EQ","111.00","112.24","108.26","112.05","108.80","109.01","109.37","169.25","89.29","7,77,169","8,50,00,032.27","9,286"
"04-Aug-2025","EQ","107.50","114.00","105.50","105.07","111.90","112.05","109.61","169.25","89.29","18,98,126","20,80,58,345.08","17,159"
"01-Aug-2025","EQ","109.00","109.53","104.05","109.03","106.50","105.07","106.84","169.25","89.29","13,48,397","14,40,57,060.10","10,888"
"31-Jul-2025","EQ","113.10","113.10","108.00","114.02","108.90","109.03","109.86","169.25","89.29","25,11,269","27,58,86,453.71","16,903"
"30-Jul-2025","EQ","114.70","116.30","112.69","114.05","113.00","114.02","114.47","169.25","89.29","7,08,810","8,11,40,076.35","7,227"
"29-Jul-2025","EQ","112.00","114.80","112.00","113.76","113.95","114.05","113.40","169.25","89.29","7,39,930","8,39,06,796.15","8,219"
"28-Jul-2025","EQ","112.40","116.50","111.18","112.46","113.75","113.76","114.35","169.25","89.29","17,57,495","20,09,66,961.74","12,626"
"25-Jul-2025","EQ","115.09","115.11","112.00","114.82","112.51","112.46","113.15","169.25","89.29","11,64,218","13,17,31,854.35","10,063"
"24-Jul-2025","EQ","115.41","117.50","114.06","115.32","114.50","114.82","115.48","169.25","89.29","11,64,638","13,44,89,033.10","10,509"
"23-Jul-2025","EQ","116.00","116.39","114.42","115.61","115.59","115.32","115.06","169.25","89.29","5,09,849","5,86,61,048.27","6,623"
"22-Jul-2025","EQ","116.29","117.03","115.12","115.70","116.25","115.61","115.65","169.25","89.29","13,41,424","15,51,40,967.71","8,004"
"21-Jul-2025","EQ","115.99","117.00","114.00","115.69","115.80","115.70","115.44","169.25","89.29","11,06,111","12,76,88,033.96","10,678"
"18-Jul-2025","EQ","118.41","119.06","115.10","118.32","115.84","115.69","116.56","169.25","89.29","11,35,870","13,24,01,604.94","9,564"
"17-Jul-2025","EQ","120.99","121.99","118.00","120.34","118.38","118.32","119.68","169.25","89.29","13,08,221","15,65,64,243.10","10,771"
"16-Jul-2025","EQ","121.90","124.00","119.60","120.89","120.46","120.34","121.23","169.25","89.29","29,76,426","36,08,34,737.95","24,175"
"15-Jul-2025","EQ","114.00","122.00","114.00","113.86","121.00","120.89","119.31","169.25","89.29","44,65,425","53,27,85,340.63","30,125"
"14-Jul-2025","EQ","113.99","114.89","112.12","113.78","113.80","113.86","113.65","169.25","89.29","8,12,598","9,23,54,940.90","8,369"
"11-Jul-2025","EQ","114.99","116.49","112.50","115.08","113.20","113.78","115.08","169.25","89.21","9,58,432","11,02,97,323.46","7,024"
"10-Jul-2025","EQ","116.31","117.30","114.31","115.29","115.30","115.08","115.83","169.25","89.21","10,46,630","12,12,31,536.86","8,319"
"09-Jul-2025","EQ","117.05","118.20","114.97","117.62","115.27","115.29","116.28","169.25","89.21","16,62,054","19,32,64,482.76","10,063"
"08-Jul-2025","EQ","118.10","118.96","115.45","119.05","117.45","117.62","117.35","169.25","89.21","16,83,760","19,75,88,495.02","14,269"
"07-Jul-2025","EQ","119.90","121.50","117.62","118.65","118.50","119.05","119.43","169.25","89.21","22,60,860","27,00,16,491.70","14,951"
"04-Jul-2025","EQ","119.90","119.90","116.00","118.39","118.65","118.65","118.06","169.25","83.45","22,88,644","27,01,89,835.36","14,779"
"03-Jul-2025","EQ","118.75","119.26","116.82","117.50","118.95","118.39","118.16","169.25","83.45","31,55,689","37,28,90,597.36","19,830"
"02-Jul-2025","EQ","115.71","118.65","114.00","116.31","117.60","117.50","116.73","169.25","83.45","36,97,657","43,16,28,643.78","23,177"
"01-Jul-2025","EQ","115.20","117.39","113.10","114.86","115.70","116.31","115.66","169.25","83.45","27,77,435","32,12,31,614.10","18,313"
"30-Jun-2025","EQ","113.76","118.24","113.40","114.68","115.00","114.86","115.58","169.25","83.45","55,26,710","63,87,73,240.97","25,944"
"27-Jun-2025","EQ","108.20","116.00","107.03","107.56","114.30","114.68","112.84","169.25","82.11","1,02,86,713","1,16,07,97,537.85","56,508"
"26-Jun-2025","EQ","108.70","109.53","106.66","108.39","107.99","107.56","107.54","169.25","82.11","47,65,194","51,24,65,004.90","9,903"
"25-Jun-2025","EQ","104.50","109.25","104.50","104.47","108.75","108.39","107.40","169.25","82.11","20,05,110","21,53,54,808.58","18,237"
"24-Jun-2025","EQ","106.89","106.91","103.57","104.91","104.00","104.47","104.86","169.25","82.11","15,54,262","16,29,86,498.82","17,224"
"23-Jun-2025","EQ","103.00","106.00","102.34","103.63","105.00","104.91","103.90","169.25","82.11","11,09,406","11,52,72,151.06","12,455"
"20-Jun-2025","EQ","103.99","108.00","102.00","103.45","103.62","103.63","104.50","169.25","82.11","41,43,727","43,30,38,441.25","44,547"
"19-Jun-2025","EQ","105.80","106.55","103.00","105.80","103.10","103.45","104.60","169.25","82.11","8,68,186","9,08,15,789.13","10,136"
"18-Jun-2025","EQ","106.45","107.42","104.58","106.12","105.73","105.80","106.15","169.25","82.11","8,39,037","8,90,66,954.68","10,655"
"17-Jun-2025","EQ","109.48","109.48","105.50","108.74","106.10","106.12","106.54","169.25","82.11","8,30,538","8,84,88,925.43","12,961"
"16-Jun-2025","EQ","107.85","109.50","104.76","107.01","108.50","108.74","106.98","169.25","82.11","13,53,333","14,47,77,696.20","12,867"
"13-Jun-2025","EQ","101.31","108.50","101.31","109.41","107.98","107.01","106.93","169.25","70.51","15,69,528","16,78,23,186.38","14,033"
"12-Jun-2025","EQ","112.00","112.77","108.88","111.82","109.10","109.41","110.41","169.25","70.51","11,55,773","12,76,08,199.78","10,550"
"11-Jun-2025","EQ","114.02","115.60","111.30","113.48","111.90","111.82","113.09","169.25","70.51","17,12,776","19,37,03,691.92","10,750"
"10-Jun-2025","EQ","113.35","115.60","112.57","112.80","113.37","113.48","114.09","169.25","70.51","17,84,185","20,35,52,545.86","14,574"
"09-Jun-2025","EQ","110.14","115.50","110.14","109.93","113.00","112.80","113.15","169.25","70.51","25,45,290","28,80,11,014.68","15,417"
"06-Jun-2025","EQ","111.45","111.56","109.40","111.01","110.00","109.93","110.00","169.25","62.45","12,95,085","14,24,56,871.99","10,743"
"05-Jun-2025","EQ","112.00","113.34","110.56","110.95","110.80","111.01","111.69","169.25","62.45","13,07,830","14,60,67,024.93","12,081"
"04-Jun-2025","EQ","113.40","113.96","110.65","112.67","111.15","110.95","111.33","169.25","62.45","14,47,679","16,11,74,045.48","10,022"
"03-Jun-2025","EQ","114.08","115.75","112.40","112.94","112.59","112.67","114.07","169.25","62.45","8,81,951","10,05,99,836.64","13,719"
"02-Jun-2025","EQ","114.28","114.89","112.50","114.47","113.10","112.94","113.55","169.25","62.45","11,29,069","12,82,06,461.26","16,992"
"02-Jun-2025","EQ","114.28","114.89","112.50","114.47","113.10","112.94","113.55","169.25","62.45","11,29,069","12,82,06,461.26","16,992"
"30-May-2025","EQ","115.40","115.50","113.05","115.85","113.90","114.47","114.02","169.25","62.45","12,15,714","13,86,18,893.02","12,376"
"29-May-2025","EQ","114.48","116.87","112.57","113.89","116.20","115.85","114.80","169.25","62.45","12,77,629","14,66,66,323.66","10,661"
"28-May-2025","EQ","116.22","116.49","113.30","115.87","113.76","113.89","114.12","169.25","62.45","15,08,984","17,22,00,881.70","12,005"
"27-May-2025","EQ","117.31","117.79","115.50","117.31","115.90","115.87","116.03","169.25","62.45","10,09,836","11,71,72,385.52","9,824"
"26-May-2025","EQ","118.90","119.39","116.00","118.71","117.15","117.31","117.18","169.25","62.45","16,38,135","19,19,52,824.11","14,295"
"23-May-2025","EQ","119.34","120.64","116.60","118.15","118.65","118.71","118.30","169.25","62.45","12,34,192","14,60,08,783.04","10,890"
"22-May-2025","EQ","118.00","120.74","117.22","117.48","117.95","118.15","118.84","169.25","62.45","11,36,948","13,51,17,930.86","11,113"
"21-May-2025","EQ","121.56","122.31","116.15","121.43","117.45","117.48","118.17","169.25","62.45","20,39,310","24,09,75,438.08","19,606"
"20-May-2025","EQ","123.00","126.22","120.92","125.77","122.00","121.43","122.88","169.25","62.45","19,30,797","23,72,55,031.21","19,608"
"19-May-2025","EQ","128.50","129.89","123.60","127.55","126.00","125.77","125.84","169.25","62.45","16,69,545","21,01,02,579.80","15,728"
"16-May-2025","EQ","122.40","128.30","122.37","121.03","128.00","127.55","126.10","169.25","58.55","31,16,513","39,29,79,389.86","21,028"
"15-May-2025","EQ","119.00","124.95","119.00","117.38","121.90","121.03","122.18","169.25","58.55","31,85,718","38,92,44,570.12","24,598"
"14-May-2025","EQ","115.48","119.00","114.20","114.20","117.41","117.38","117.36","169.25","58.55","22,42,279","26,31,48,614.90","15,095"
"13-May-2025","EQ","115.50","116.76","113.00","114.93","114.12","114.20","114.63","169.25","58.55","18,07,105","20,71,39,412.00","14,610"
"12-May-2025","EQ","112.25","116.00","110.51","105.25","115.25","114.93","113.47","169.25","58.55","22,70,394","25,76,20,225.19","22,536"
"09-May-2025","EQ","105.60","106.99","102.51","108.62","105.60","105.25","104.77","169.25","58.55","21,25,102","22,26,45,465.66","19,264"
"08-May-2025","EQ","111.48","113.71","107.61","110.48","107.81","108.62","111.14","169.25","58.55","14,79,648","16,44,53,754.34","11,998"
"07-May-2025","EQ","105.94","111.27","105.52","108.74","111.00","110.48","108.63","169.25","58.55","18,53,923","20,13,85,271.22","16,903"
"06-May-2025","EQ","114.99","115.13","108.00","115.40","108.49","108.74","111.19","169.25","58.55","20,37,321","22,65,30,912.13","13,393"
"05-May-2025","EQ","112.48","116.80","111.12","111.41","115.15","115.40","114.08","169.25","58.55","16,86,010","19,23,47,948.80","13,693"
"02-May-2025","EQ","114.90","116.00","110.75","113.46","111.45","111.41","112.88","169.25","58.55","18,76,055","21,17,66,605.03","14,484"
"30-Apr-2025","EQ","119.30","119.80","112.90","119.21","113.11","113.46","115.60","169.25","58.55","15,48,841","17,90,53,101.37","13,437"
"29-Apr-2025","EQ","121.80","124.65","118.10","121.76","118.50","119.21","121.32","169.25","58.55","11,53,550","13,99,48,694.20","10,795"
"28-Apr-2025","EQ","121.10","124.92","119.95","122.23","123.88","121.76","122.53","169.25","58.55","24,62,627","30,17,34,640.82","20,216"
"25-Apr-2025","EQ","131.20","133.05","120.60","132.37","122.44","122.23","124.29","169.25","57.60","43,21,234","53,70,96,877.62","34,798"
"24-Apr-2025","EQ","132.43","135.00","131.70","132.94","132.45","132.37","133.03","169.25","57.60","15,83,261","21,06,22,261.09","12,295"
"23-Apr-2025","EQ","137.00","138.85","131.60","136.25","132.80","132.94","134.33","169.25","57.60","28,41,210","38,16,66,881.29","15,963"
"22-Apr-2025","EQ","135.05","141.01","131.72","134.63","135.80","136.25","136.26","169.25","57.60","45,21,099","61,60,49,978.58","25,389"
"21-Apr-2025","EQ","135.49","137.25","133.82","134.13","134.10","134.63","135.05","169.25","57.60","21,44,968","28,96,79,530.90","21,288"
