ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,205.50","1,206.50","1,185.30","1,200.50","1,198.00","1,198.80","1,195.90","1,541.85","979.50","8,86,544","1,06,02,14,137.50","35,795"
"12-Aug-2025","EQ","1,200.00","1,208.80","1,189.40","1,200.00","1,198.30","1,200.50","1,199.36","1,541.85","979.50","11,19,857","1,34,31,11,671.50","49,392"
"11-Aug-2025","EQ","1,187.10","1,203.10","1,159.60","1,186.10","1,200.00","1,200.00","1,188.90","1,541.85","979.50","9,40,924","1,11,86,67,560.50","41,127"
"08-Aug-2025","EQ","1,215.20","1,246.00","1,182.90","1,220.00","1,184.20","1,186.10","1,205.10","1,541.85","979.50","20,18,271","2,43,22,20,924.30","75,310"
"07-Aug-2025","EQ","1,197.00","1,225.00","1,193.20","1,202.60","1,222.00","1,220.00","1,209.24","1,541.85","979.50","11,21,402","1,35,60,48,026.30","32,993"
"06-Aug-2025","EQ","1,219.40","1,220.60","1,188.00","1,219.40","1,200.70","1,202.60","1,205.71","1,541.85","979.50","11,70,361","1,41,11,18,026.30","44,455"
"05-Aug-2025","EQ","1,254.90","1,254.90","1,213.40","1,249.40","1,224.30","1,219.40","1,225.49","1,541.85","979.50","14,42,317","1,76,75,48,543.70","46,681"
"04-Aug-2025","EQ","1,269.90","1,269.90","1,226.20","1,266.50","1,249.90","1,249.40","1,246.87","1,541.85","979.50","17,63,667","2,19,90,56,180.80","65,420"
"01-Aug-2025","EQ","1,270.00","1,290.00","1,257.10","1,259.00","1,260.00","1,266.50","1,272.57","1,541.85","979.50","15,65,728","1,99,25,03,401.90","1,11,327"
"31-Jul-2025","EQ","1,207.30","1,265.50","1,205.10","1,216.60","1,259.00","1,259.00","1,251.19","1,541.85","979.50","16,00,452","2,00,24,62,767.60","67,193"
"30-Jul-2025","EQ","1,215.40","1,220.10","1,202.30","1,210.60","1,214.10","1,216.60","1,209.66","1,541.85","979.50","18,93,697","2,29,07,31,634.10","41,008"
"29-Jul-2025","EQ","1,214.80","1,215.90","1,202.20","1,215.00","1,213.00","1,210.60","1,210.14","1,541.85","979.50","7,89,889","95,58,77,108.50","43,243"
"28-Jul-2025","EQ","1,215.00","1,236.50","1,205.80","1,217.10","1,215.10","1,215.00","1,221.45","1,541.85","979.50","14,68,450","1,79,36,36,494.40","45,702"
"25-Jul-2025","EQ","1,224.40","1,224.90","1,210.10","1,224.40","1,216.70","1,217.10","1,217.59","1,541.85","979.50","4,87,767","59,39,01,148.90","20,564"
"24-Jul-2025","EQ","1,233.70","1,239.40","1,222.00","1,232.50","1,223.00","1,224.40","1,226.66","1,541.85","979.50","6,04,864","74,19,62,572.90","23,916"
"23-Jul-2025","EQ","1,246.00","1,249.50","1,229.10","1,242.40","1,235.60","1,232.50","1,235.34","1,541.85","979.50","5,24,821","64,83,34,972.20","25,920"
"22-Jul-2025","EQ","1,240.10","1,249.80","1,230.20","1,238.70","1,246.80","1,242.40","1,240.10","1,541.85","979.50","9,20,681","1,14,17,36,230.30","28,605"
"21-Jul-2025","EQ","1,251.30","1,255.60","1,236.40","1,251.30","1,239.90","1,238.70","1,244.43","1,541.85","979.50","6,25,660","77,85,86,988.40","32,298"
"18-Jul-2025","EQ","1,278.20","1,279.80","1,245.80","1,278.20","1,252.50","1,251.30","1,252.76","1,541.85","979.50","6,46,598","81,00,32,800.10","21,873"
"17-Jul-2025","EQ","1,267.30","1,283.00","1,262.40","1,264.80","1,277.00","1,278.20","1,278.05","1,541.85","979.50","5,06,788","64,76,98,661.20","32,548"
"16-Jul-2025","EQ","1,270.00","1,270.10","1,253.60","1,270.10","1,261.30","1,264.80","1,262.21","1,541.85","979.50","9,22,089","1,16,38,66,115.30","32,700"
"15-Jul-2025","EQ","1,268.30","1,278.30","1,261.20","1,266.60","1,271.60","1,270.10","1,269.24","1,541.85","979.50","8,56,686","1,08,73,38,113.60","55,492"
"14-Jul-2025","EQ","1,288.00","1,289.30","1,264.30","1,285.00","1,266.30","1,266.60","1,272.36","1,541.85","979.50","8,88,983","1,13,11,02,945.70","38,154"
"11-Jul-2025","EQ","1,284.10","1,306.00","1,280.00","1,286.70","1,288.20","1,285.00","1,293.31","1,541.85","979.50","9,79,619","1,26,69,48,277.20","62,927"
"10-Jul-2025","EQ","1,290.00","1,291.60","1,282.30","1,293.80","1,284.40","1,286.70","1,286.61","1,541.85","979.50","6,50,984","83,75,59,554.60","27,213"
