ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,099.00","1,220.10","1,098.80","1,095.70","1,169.80","1,175.30","1,183.25","1,390.00","766.00","13,66,882","1,61,73,67,386.70","78,293"
"12-Aug-2025","EQ","1,094.50","1,106.50","1,090.00","1,093.60","1,095.00","1,095.70","1,098.51","1,390.00","766.00","23,594","2,59,18,270.20","3,252"
"11-Aug-2025","EQ","1,100.50","1,115.10","1,078.30","1,100.60","1,094.50","1,093.60","1,090.49","1,390.00","766.00","40,932","4,46,36,033.60","5,550"
"08-Aug-2025","EQ","1,105.00","1,109.50","1,095.00","1,108.60","1,100.40","1,100.60","1,100.23","1,390.00","766.00","1,36,174","14,98,23,091.20","9,975"
"07-Aug-2025","EQ","1,137.80","1,142.70","1,095.00","1,137.80","1,102.50","1,108.60","1,113.82","1,390.00","766.00","1,58,457","17,64,93,367.90","12,104"
"06-Aug-2025","EQ","1,140.10","1,144.90","1,130.10","1,137.90","1,137.80","1,137.80","1,137.45","1,390.00","766.00","80,085","9,10,92,812.80","5,638"
"05-Aug-2025","EQ","1,125.00","1,142.00","1,118.50","1,120.20","1,140.10","1,137.90","1,129.61","1,390.00","766.00","45,199","5,10,57,232.40","4,258"
"04-Aug-2025","EQ","1,119.90","1,124.70","1,110.50","1,114.80","1,120.10","1,120.20","1,118.64","1,390.00","766.00","37,232","4,16,49,208.70","4,114"
"01-Aug-2025","EQ","1,147.40","1,147.40","1,106.20","1,147.40","1,114.00","1,114.80","1,125.28","1,390.00","766.00","40,474","4,55,44,668.20","4,844"
"31-Jul-2025","EQ","1,137.00","1,152.00","1,114.20","1,138.20","1,133.10","1,147.40","1,139.26","1,390.00","766.00","82,748","9,42,71,742.30","7,460"
"30-Jul-2025","EQ","1,121.00","1,141.20","1,110.60","1,117.20","1,139.00","1,138.20","1,128.84","1,390.00","766.00","57,885","6,53,42,996.40","5,552"
"29-Jul-2025","EQ","1,130.60","1,130.60","1,090.60","1,130.80","1,114.10","1,117.20","1,107.08","1,390.00","766.00","1,53,280","16,96,93,836.00","17,229"
"28-Jul-2025","EQ","1,128.00","1,148.50","1,118.00","1,135.80","1,119.00","1,130.80","1,136.44","1,390.00","766.00","1,44,827","16,45,87,088.50","14,534"
"25-Jul-2025","EQ","1,127.00","1,140.80","1,116.40","1,130.50","1,135.00","1,135.80","1,128.20","1,390.00","766.00","94,026","10,60,80,295.40","7,448"
"24-Jul-2025","EQ","1,129.20","1,137.50","1,125.50","1,129.20","1,127.80","1,130.50","1,132.56","1,390.00","766.00","49,085","5,55,91,715.80","5,380"
"23-Jul-2025","EQ","1,148.70","1,148.70","1,118.00","1,144.40","1,129.20","1,129.20","1,128.76","1,390.00","766.00","89,016","10,04,77,529.90","6,884"
"22-Jul-2025","EQ","1,140.00","1,146.90","1,124.50","1,136.30","1,143.00","1,144.40","1,138.13","1,390.00","766.00","1,15,328","13,12,58,018.20","9,539"
"21-Jul-2025","EQ","1,160.90","1,162.50","1,128.70","1,154.70","1,140.90","1,136.30","1,140.83","1,390.00","766.00","71,035","8,10,39,202.60","7,093"
"18-Jul-2025","EQ","1,147.00","1,158.90","1,131.00","1,146.80","1,156.80","1,154.70","1,147.76","1,390.00","766.00","1,10,236","12,65,24,020.30","8,011"
"17-Jul-2025","EQ","1,147.00","1,161.00","1,131.50","1,146.50","1,145.00","1,146.80","1,145.59","1,390.00","766.00","1,13,391","12,98,99,181.70","9,049"
"16-Jul-2025","EQ","1,128.90","1,184.00","1,121.80","1,121.80","1,145.00","1,146.50","1,156.23","1,390.00","766.00","9,08,029","1,04,98,94,910.20","49,062"
"15-Jul-2025","EQ","1,104.90","1,124.50","1,090.00","1,096.70","1,121.00","1,121.80","1,109.02","1,390.00","766.00","1,38,950","15,40,98,505.60","11,904"
"14-Jul-2025","EQ","1,105.50","1,119.00","1,082.00","1,095.60","1,091.00","1,096.70","1,094.66","1,390.00","766.00","1,16,468","12,74,92,780.40","15,396"
"11-Jul-2025","EQ","1,135.20","1,136.20","1,092.20","1,134.00","1,099.80","1,095.60","1,107.56","1,390.00","766.00","1,11,112","12,30,63,135.60","10,296"
"10-Jul-2025","EQ","1,142.00","1,151.40","1,130.10","1,146.10","1,133.90","1,134.00","1,139.71","1,390.00","766.00","67,265","7,66,62,603.30","7,888"
"09-Jul-2025","EQ","1,154.10","1,168.90","1,143.00","1,152.70","1,144.30","1,146.10","1,152.73","1,390.00","766.00","1,07,472","12,38,86,398.40","11,393"
"08-Jul-2025","EQ","1,164.00","1,169.80","1,148.00","1,168.70","1,153.60","1,152.70","1,156.18","1,390.00","766.00","75,502","8,72,93,589.00","7,105"
"07-Jul-2025","EQ","1,169.00","1,178.00","1,145.00","1,165.30","1,177.00","1,168.70","1,160.35","1,390.00","766.00","1,72,559","20,02,29,347.10","11,641"
"04-Jul-2025","EQ","1,168.90","1,235.00","1,150.10","1,159.00","1,162.00","1,165.30","1,197.84","1,390.00","766.00","11,81,701","1,41,54,84,374.90","59,880"
