ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","199.25","205.00","197.00","198.24","203.70","204.29","202.07","1,122.90","145.75","36,10,278","72,95,20,461.40","42,955"
"12-Aug-2025","EQ","196.57","200.00","195.02","196.57","197.25","198.24","198.12","1,122.90","145.75","17,36,803","34,41,02,338.67","20,054"
"11-Aug-2025","EQ","187.88","197.20","186.00","187.88","196.00","196.57","193.11","1,122.90","145.75","19,38,612","37,43,61,335.40","23,382"
"08-Aug-2025","EQ","190.90","193.48","186.12","191.06","187.34","187.88","190.20","1,166.95","145.75","7,23,543","13,76,16,781.83","9,062"
"07-Aug-2025","EQ","188.89","192.00","185.32","190.49","190.90","191.06","188.47","1,166.95","145.75","12,75,245","24,03,43,034.81","17,666"
"06-Aug-2025","EQ","192.00","193.80","187.00","199.97","190.06","190.49","190.16","1,166.95","145.75","38,34,262","72,91,14,952.14","42,319"
"05-Aug-2025","EQ","198.00","201.90","195.50","196.40","200.00","199.97","199.18","1,166.95","145.75","24,59,781","48,99,26,880.89","26,001"
"04-Aug-2025","EQ","189.91","197.70","188.10","189.05","196.90","196.40","193.94","1,166.95","145.75","18,82,386","36,50,75,491.60","21,894"
"01-Aug-2025","EQ","194.00","194.09","188.00","194.19","188.27","189.05","190.92","1,166.95","145.75","6,87,623","13,12,83,186.69","9,257"
"31-Jul-2025","EQ","191.65","198.20","191.65","195.37","194.00","194.19","195.68","1,166.95","145.75","12,70,820","24,86,68,251.27","16,299"
"30-Jul-2025","EQ","195.00","197.40","194.00","194.14","195.85","195.37","195.74","1,166.95","145.75","16,01,540","31,34,81,497.57","14,249"
"29-Jul-2025","EQ","188.49","194.76","188.15","188.65","194.21","194.14","191.79","1,166.95","145.75","10,23,448","19,62,82,390.89","11,059"
"28-Jul-2025","EQ","188.10","190.68","187.92","189.02","188.61","188.65","188.78","1,166.95","145.75","4,82,642","9,11,10,849.55","8,374"
"25-Jul-2025","EQ","193.00","194.25","188.00","194.02","188.10","189.02","190.51","1,166.95","145.75","8,06,225","15,35,90,980.47","9,480"
"24-Jul-2025","EQ","193.99","194.50","191.70","192.96","194.40","194.02","193.30","1,166.95","145.75","10,23,928","19,79,20,838.27","11,639"
"23-Jul-2025","EQ","194.00","194.65","192.00","193.05","192.50","192.96","192.74","1,166.95","145.75","5,67,734","10,94,25,082.03","6,597"
"22-Jul-2025","EQ","193.00","195.20","192.00","192.78","193.10","193.05","193.47","1,166.95","145.75","8,71,005","16,85,12,923.46","10,446"
"21-Jul-2025","EQ","193.60","194.27","192.00","192.08","193.00","192.78","192.98","1,166.95","145.75","10,98,642","21,20,20,410.81","15,650"
"18-Jul-2025","EQ","192.69","193.90","190.17","191.48","191.80","192.08","192.24","1,223.95","145.75","11,87,938","22,83,68,241.36","16,701"
