ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","455.10","466.60","451.95","455.10","460.00","460.35","461.40","721.00","422.00","7,78,530","35,92,16,100.05","18,973"
"12-Aug-2025","EQ","442.55","460.90","440.00","440.55","455.30","455.10","450.39","721.00","422.00","20,97,834","94,48,37,002.25","40,759"
"11-Aug-2025","EQ","439.15","444.80","439.15","439.55","440.05","440.55","441.55","721.00","422.00","5,87,525","25,94,24,088.15","15,324"
"08-Aug-2025","EQ","452.00","454.40","438.30","450.00","439.20","439.55","444.09","721.00","422.00","8,25,371","36,65,38,751.75","17,584"
"07-Aug-2025","EQ","434.00","452.80","434.00","439.35","450.35","450.00","445.81","721.00","422.00","22,78,957","1,01,59,88,105.45","44,923"
"06-Aug-2025","EQ","447.00","449.05","432.60","448.70","440.00","439.35","439.71","721.00","422.00","13,07,558","57,49,51,532.80","34,708"
"05-Aug-2025","EQ","454.00","458.20","443.20","454.00","449.60","448.70","447.99","721.00","422.00","7,67,391","34,37,82,898.60","15,487"
"04-Aug-2025","EQ","457.00","460.45","447.05","451.75","453.00","454.00","453.80","721.00","422.00","11,07,534","50,26,03,101.40","23,085"
"01-Aug-2025","EQ","475.95","477.00","450.45","474.90","451.70","451.75","460.34","721.00","422.00","13,07,539","60,19,09,029.40","23,614"
"31-Jul-2025","EQ","484.00","487.40","473.85","492.15","475.00","474.90","479.21","721.00","422.00","9,40,607","45,07,51,724.85","21,305"
"30-Jul-2025","EQ","492.00","497.50","487.65","490.45","492.00","492.15","492.45","721.00","422.00","9,55,819","47,06,91,837.55","21,815"
"29-Jul-2025","EQ","464.00","492.00","464.00","463.20","489.05","490.45","480.66","721.00","422.00","18,19,374","87,45,09,193.45","36,378"
"28-Jul-2025","EQ","469.55","480.55","461.45","469.10","464.95","463.20","469.32","721.00","422.00","9,04,522","42,45,12,024.70","22,414"
"25-Jul-2025","EQ","475.00","477.75","466.25","476.65","469.55","469.10","470.53","721.00","422.00","5,52,079","25,97,70,795.75","16,485"
"24-Jul-2025","EQ","476.00","485.65","474.35","475.85","474.60","476.65","479.42","721.00","422.00","6,98,309","33,47,82,666.00","23,210"
"23-Jul-2025","EQ","479.45","480.05","472.55","477.10","476.15","475.85","475.40","721.00","422.00","5,00,010","23,77,05,609.10","13,106"
