ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","539.10","545.35","536.55","537.10","539.75","539.00","540.49","623.35","365.75","2,43,658","13,16,93,966.10","10,901"
"12-Aug-2025","EQ","523.30","539.00","521.05","523.30","536.00","537.10","531.36","623.35","365.75","5,04,019","26,78,13,981.30","15,156"
"11-Aug-2025","EQ","523.30","527.50","518.95","523.35","522.80","523.30","523.72","623.35","365.75","2,65,094","13,88,35,347.20","12,941"
"08-Aug-2025","EQ","531.00","531.05","519.50","530.95","520.10","523.35","526.29","623.35","365.75","3,50,051","18,42,27,178.15","15,225"
"07-Aug-2025","EQ","535.20","535.75","524.40","536.05","529.95","530.95","530.94","623.35","365.75","3,69,389","19,61,24,749.45","16,965"
"06-Aug-2025","EQ","536.80","547.50","533.00","532.15","534.10","536.05","541.15","623.35","365.75","10,15,472","54,95,20,317.05","24,397"
"05-Aug-2025","EQ","528.00","538.50","525.70","527.10","533.55","532.15","532.59","623.35","365.75","3,71,654","19,79,39,426.45","13,175"
"04-Aug-2025","EQ","528.00","533.45","518.50","527.25","526.85","527.10","526.00","623.35","365.75","9,35,089","49,18,58,815.85","26,373"
"01-Aug-2025","EQ","574.00","581.45","518.30","572.75","527.05","527.25","544.88","623.35","365.75","28,21,921","1,53,76,05,666.95","58,493"
"31-Jul-2025","EQ","553.00","589.00","544.70","554.70","572.70","572.75","580.28","623.35","365.75","65,80,600","3,81,85,66,760.00","1,29,780"
"30-Jul-2025","EQ","551.40","561.35","551.40","550.40","554.90","554.70","557.31","623.35","365.75","3,38,032","18,83,90,059.00","10,918"
"29-Jul-2025","EQ","539.00","553.50","534.90","539.50","553.00","550.40","547.54","623.35","365.75","3,74,886","20,52,64,158.40","10,434"
"28-Jul-2025","EQ","542.00","555.00","536.20","542.30","539.80","539.50","545.25","623.35","365.75","4,53,759","24,74,14,220.15","15,017"
"25-Jul-2025","EQ","563.65","564.80","539.75","563.65","539.75","542.30","548.99","623.35","365.75","7,01,654","38,51,99,172.85","20,806"
"24-Jul-2025","EQ","578.50","583.35","560.25","575.75","562.85","563.65","572.98","623.35","365.75","7,21,304","41,32,95,836.70","18,005"
"23-Jul-2025","EQ","565.65","579.50","564.55","562.65","578.90","575.75","572.17","623.35","365.75","6,37,338","36,46,64,885.50","14,755"
"22-Jul-2025","EQ","578.00","583.75","556.00","576.75","562.50","562.65","569.61","623.35","365.75","5,97,917","34,05,78,160.05","18,727"
"21-Jul-2025","EQ","578.00","587.20","574.15","579.15","576.40","576.75","579.20","623.35","365.75","5,45,349","31,58,65,611.45","15,367"
"18-Jul-2025","EQ","585.00","590.65","576.00","579.10","577.00","579.15","582.30","623.35","365.75","7,05,946","41,10,70,637.40","18,080"
"17-Jul-2025","EQ","580.00","592.00","576.50","587.15","578.00","579.10","584.35","623.35","365.75","9,68,961","56,62,11,449.75","22,543"
"16-Jul-2025","EQ","587.00","595.70","584.15","584.65","587.50","587.15","589.47","623.35","365.75","11,19,891","66,01,46,613.45","24,417"
"15-Jul-2025","EQ","595.00","597.90","580.50","585.30","583.20","584.65","590.22","623.35","365.75","20,78,111","1,22,65,50,273.65","42,361"
"14-Jul-2025","EQ","565.15","590.00","562.10","562.40","588.40","585.30","582.46","623.35","365.75","39,01,462","2,27,24,43,885.70","75,220"
"11-Jul-2025","EQ","565.00","572.20","560.15","564.65","561.00","562.40","566.86","623.35","365.75","4,11,590","23,33,13,213.45","13,006"
"10-Jul-2025","EQ","562.00","575.60","560.45","559.60","565.00","564.65","567.88","623.35","365.75","6,96,957","39,57,87,409.85","16,777"
"09-Jul-2025","EQ","558.00","566.90","556.85","557.80","559.50","559.60","561.70","623.35","365.75","4,02,715","22,62,04,682.30","11,007"
"08-Jul-2025","EQ","555.50","564.40","548.80","555.50","556.00","557.80","556.18","623.35","365.75","3,90,568","21,72,24,464.55","12,050"
"07-Jul-2025","EQ","565.05","565.30","552.35","564.30","553.25","555.50","557.89","623.35","365.75","3,53,718","19,73,34,152.90","9,158"
"04-Jul-2025","EQ","567.50","572.25","561.05","566.70","564.05","564.30","565.90","623.35","365.75","3,49,224","19,76,27,350.35","8,401"
"03-Jul-2025","EQ","564.20","569.20","560.40","563.40","566.60","566.70","565.83","623.35","365.75","5,13,919","29,07,90,718.10","12,482"
"02-Jul-2025","EQ","573.05","575.60","558.40","572.85","562.85","563.40","564.18","623.35","365.75","6,96,675","39,30,51,308.90","20,590"
"01-Jul-2025","EQ","570.00","584.05","568.45","566.20","572.00","572.85","575.69","623.35","365.75","12,24,210","70,47,64,162.40","32,358"
"30-Jun-2025","EQ","571.90","577.70","560.15","569.75","565.00","566.20","570.47","623.35","365.75","11,47,797","65,47,86,695.55","31,040"
"27-Jun-2025","EQ","559.00","582.00","557.40","557.35","570.30","569.75","571.12","623.35","365.75","34,20,418","1,95,34,78,822.70","73,243"
"26-Jun-2025","EQ","558.30","563.70","553.50","558.30","555.70","557.35","557.32","623.35","365.75","3,64,360","20,30,64,456.90","10,584"
"25-Jun-2025","EQ","553.00","567.80","553.00","550.50","557.00","558.30","562.18","623.35","365.75","10,31,215","57,97,32,171.95","26,082"
"24-Jun-2025","EQ","560.55","564.00","548.20","560.55","553.00","550.50","557.02","623.35","365.75","6,45,880","35,97,67,849.65","18,478"
"23-Jun-2025","EQ","545.00","564.45","536.95","545.00","556.00","560.55","553.68","623.35","365.75","13,14,112","72,75,95,489.25","21,716"
"20-Jun-2025","EQ","535.00","548.45","534.00","538.00","545.00","545.00","542.25","623.35","365.75","4,64,734","25,20,00,475.25","16,331"
"19-Jun-2025","EQ","553.00","554.90","533.10","553.70","534.70","538.00","545.48","623.35","365.75","7,00,462","38,20,84,722.85","22,605"
"18-Jun-2025","EQ","535.95","558.90","529.10","538.15","553.05","553.70","546.91","623.35","365.75","15,99,691","87,48,93,747.55","34,837"
"17-Jun-2025","EQ","540.20","544.70","533.00","538.45","535.00","538.15","538.72","623.35","365.75","6,18,959","33,34,46,196.40","17,097"
"16-Jun-2025","EQ","523.45","541.00","512.60","523.35","540.60","538.45","528.32","623.35","365.75","7,24,513","38,27,72,327.20","24,235"
"13-Jun-2025","EQ","531.00","531.30","521.05","533.95","523.50","523.35","524.51","623.35","365.75","7,55,346","39,61,89,662.25","18,396"
"12-Jun-2025","EQ","550.05","555.30","531.05","550.00","533.35","533.95","540.51","623.35","365.75","7,89,034","42,64,80,811.95","21,293"
"11-Jun-2025","EQ","555.15","567.50","545.40","552.95","549.00","550.00","556.98","623.35","365.75","10,13,264","56,43,67,407.65","23,929"
"10-Jun-2025","EQ","555.50","564.80","552.00","553.95","554.00","552.95","557.01","623.35","365.75","8,19,772","45,66,24,523.25","19,670"
"09-Jun-2025","EQ","545.00","557.40","544.10","542.00","553.40","553.95","551.73","623.35","365.75","5,96,954","32,93,57,443.40","15,472"
"06-Jun-2025","EQ","556.70","557.90","539.80","555.00","542.75","542.00","547.42","623.35","365.75","10,03,918","54,95,69,557.70","21,724"
"05-Jun-2025","EQ","573.00","580.75","553.00","570.15","556.10","555.00","566.50","623.35","365.75","17,84,753","1,01,10,63,709.60","37,858"
"04-Jun-2025","EQ","557.10","592.70","548.00","555.25","571.50","570.15","577.46","623.35","365.75","48,55,660","2,80,39,34,516.55","83,318"
"03-Jun-2025","EQ","550.20","566.85","545.40","544.80","553.25","555.25","556.93","623.35","365.75","15,99,931","89,10,42,574.85","44,933"
"02-Jun-2025","EQ","545.75","551.75","541.35","546.15","549.45","544.80","546.21","623.35","365.75","4,11,710","22,48,81,082.05","12,984"
"30-May-2025","EQ","554.00","568.50","537.70","553.25","543.65","546.15","557.83","623.35","365.75","26,48,003","1,47,71,25,895.70","50,550"
