ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","215.50","216.65","212.51","213.83","214.30","214.12","214.27","319.50","154.50","13,84,213","29,65,91,278.22","17,630"
"12-Aug-2025","EQ","206.70","219.69","206.37","206.68","214.10","213.83","214.71","319.50","154.50","51,12,610","1,09,77,20,643.44","53,202"
"11-Aug-2025","EQ","205.97","208.52","203.26","206.28","206.71","206.68","206.30","319.50","154.50","13,60,899","28,07,52,298.92","18,324"
"08-Aug-2025","EQ","209.53","209.64","205.00","209.53","205.70","206.28","207.11","319.50","153.11","10,53,857","21,82,64,824.78","12,437"
"07-Aug-2025","EQ","204.15","210.77","202.90","206.60","209.47","209.53","207.23","319.50","153.11","23,75,377","49,22,59,733.46","27,985"
"06-Aug-2025","EQ","210.95","212.45","204.58","210.35","205.99","206.60","207.66","319.50","153.11","18,51,229","38,44,34,402.14","21,444"
"05-Aug-2025","EQ","214.70","222.70","209.20","213.32","210.40","210.35","215.28","319.50","153.11","55,64,646","1,19,79,68,654.14","52,078"
"04-Aug-2025","EQ","217.35","217.97","211.35","218.18","213.30","213.32","213.97","319.50","153.11","25,73,069","55,05,71,200.93","30,893"
"01-Aug-2025","EQ","227.44","231.00","217.00","226.21","217.61","218.18","223.76","319.50","153.11","63,87,490","1,42,92,56,287.62","58,651"
"31-Jul-2025","EQ","211.10","244.30","211.10","212.11","226.49","226.21","233.53","319.50","153.11","5,53,28,752","12,92,08,34,597.64","3,68,973"
"30-Jul-2025","EQ","199.90","215.90","197.20","198.90","212.89","212.11","211.49","319.50","153.11","1,48,18,567","3,13,39,42,867.39","1,38,872"
"29-Jul-2025","EQ","195.69","199.72","194.01","196.69","199.00","198.90","196.90","319.50","153.11","9,24,712","18,20,72,973.31","12,774"
"28-Jul-2025","EQ","200.15","202.70","195.53","200.15","195.76","196.69","198.84","319.50","153.11","10,42,784","20,73,49,824.36","15,387"
"25-Jul-2025","EQ","208.80","208.80","199.55","208.81","200.10","200.15","203.06","319.50","148.05","14,39,474","29,23,00,183.05","18,464"
"24-Jul-2025","EQ","204.80","214.69","203.16","203.54","208.50","208.81","210.65","319.50","148.05","34,13,569","71,90,70,033.55","47,722"
"23-Jul-2025","EQ","203.75","207.00","202.00","204.23","204.40","203.54","203.76","319.50","148.05","13,67,345","27,86,12,881.55","18,842"
"22-Jul-2025","EQ","206.95","208.28","203.48","205.96","204.33","204.23","205.21","319.50","148.05","6,32,912","12,98,80,094.71","11,119"
"21-Jul-2025","EQ","207.00","208.55","205.00","207.01","206.28","205.96","206.63","319.50","148.05","8,09,112","16,71,85,613.69","12,206"
"18-Jul-2025","EQ","210.90","211.89","206.56","209.91","206.81","207.01","208.35","319.50","148.05","8,78,755","18,30,88,023.49","13,395"
"17-Jul-2025","EQ","212.60","214.53","209.18","211.95","209.46","209.91","211.79","319.50","148.05","11,53,513","24,43,05,912.68","15,061"
"16-Jul-2025","EQ","214.70","216.75","210.99","212.48","211.39","211.95","213.73","319.50","148.05","24,22,321","51,77,22,298.70","32,403"
"15-Jul-2025","EQ","203.98","215.60","203.11","203.06","212.79","212.48","211.79","319.50","148.05","50,29,940","1,06,52,70,720.10","64,567"
"14-Jul-2025","EQ","201.31","203.90","200.06","201.33","203.01","203.06","202.10","319.50","148.05","10,39,524","21,00,91,052.97","16,251"
