ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","277.75","277.75","267.65","275.70","269.05","268.55","270.87","427.00","202.81","1,13,274","3,06,82,651.30","8,286"
"12-Aug-2025","EQ","273.50","278.90","273.50","274.90","275.00","275.70","276.69","427.00","202.81","53,237","1,47,30,362.30","3,447"
"11-Aug-2025","EQ","272.20","276.00","266.50","269.85","273.95","274.90","272.72","427.00","202.81","52,784","1,43,95,054.50","3,175"
"08-Aug-2025","EQ","269.25","275.35","266.80","269.25","270.00","269.85","272.91","427.00","202.81","4,42,055","12,06,42,345.00","6,293"
"07-Aug-2025","EQ","272.05","273.15","265.55","272.05","270.00","269.25","269.70","427.00","202.81","49,268","1,32,87,435.95","4,270"
"06-Aug-2025","EQ","275.00","285.00","270.00","271.80","270.50","272.05","273.04","427.00","202.81","6,45,662","17,62,88,409.60","16,099"
"05-Aug-2025","EQ","273.50","278.30","270.10","273.55","273.50","271.80","273.57","427.00","202.81","1,11,627","3,05,37,749.75","6,927"
"04-Aug-2025","EQ","280.45","280.50","265.40","280.40","276.90","273.55","272.54","427.00","202.81","5,24,434","14,29,30,157.05","23,277"
"01-Aug-2025","EQ","294.80","297.85","277.55","293.85","280.25","280.40","290.42","427.00","202.81","1,75,021","5,08,30,063.95","11,039"
"31-Jul-2025","EQ","300.00","304.35","286.15","319.95","293.00","293.85","294.50","427.00","202.81","10,99,329","32,37,47,008.15","43,782"
"30-Jul-2025","EQ","326.00","327.70","310.20","327.30","322.00","319.95","318.31","427.00","202.81","2,97,538","9,47,10,308.40","20,493"
"29-Jul-2025","EQ","316.55","329.50","316.00","320.25","327.55","327.30","321.82","427.00","202.81","3,97,498","12,79,22,547.45","18,527"
"28-Jul-2025","EQ","320.50","335.20","316.15","320.50","316.15","320.25","322.99","427.00","202.81","9,55,676","30,86,72,347.75","29,826"
"25-Jul-2025","EQ","315.80","322.00","312.35","317.50","321.30","320.50","317.35","427.00","202.81","2,20,570","6,99,97,320.55","13,537"
"24-Jul-2025","EQ","317.00","322.80","310.55","315.00","316.00","317.50","317.02","427.00","202.81","6,72,004","21,30,40,122.20","23,013"
"23-Jul-2025","EQ","294.65","323.00","289.60","291.75","317.95","315.00","306.57","427.00","202.81","39,51,173","1,21,13,18,837.95","78,720"
"22-Jul-2025","EQ","291.00","296.00","290.45","291.65","294.95","291.75","291.77","427.00","202.81","5,12,682","14,95,83,938.65","14,334"
"21-Jul-2025","EQ","289.70","295.70","285.65","289.80","291.00","291.65","291.54","427.00","202.81","1,87,634","5,47,02,517.30","9,485"
"18-Jul-2025","EQ","293.90","293.90","282.70","291.55","289.70","289.80","285.86","427.00","202.81","1,93,875","5,54,21,789.80","5,556"
"17-Jul-2025","EQ","294.00","297.95","290.15","291.70","291.00","291.55","294.95","427.00","202.81","2,56,067","7,55,26,555.20","7,760"
"16-Jul-2025","EQ","291.90","296.90","289.95","290.95","293.80","291.70","293.06","427.00","202.81","3,11,224","9,12,06,215.25","12,998"
"15-Jul-2025","EQ","283.80","293.50","283.80","286.05","291.60","290.95","290.28","427.00","202.81","1,44,506","4,19,46,875.10","8,275"
"14-Jul-2025","EQ","282.65","289.00","277.10","282.00","283.85","286.05","283.82","427.00","202.81","95,689","2,71,58,890.95","12,180"
"11-Jul-2025","EQ","280.60","285.45","277.00","282.40","282.65","282.00","281.20","427.00","202.81","1,22,424","3,44,25,636.75","4,096"
"10-Jul-2025","EQ","291.95","291.95","281.00","289.75","282.80","282.40","285.12","427.00","202.81","62,889","1,79,30,989.30","5,040"
"09-Jul-2025","EQ","290.00","290.95","284.00","289.15","290.00","289.75","288.58","427.00","202.81","79,622","2,29,77,206.00","5,373"
"08-Jul-2025","EQ","292.00","292.00","285.15","289.95","287.60","289.15","288.38","427.00","202.81","81,379","2,34,67,709.00","5,382"
"07-Jul-2025","EQ","297.80","297.80","282.35","290.55","288.05","289.95","288.35","427.00","202.81","2,03,638","5,87,19,678.35","10,741"
"04-Jul-2025","EQ","276.00","295.70","274.45","278.05","291.00","290.55","289.78","427.00","202.81","6,24,990","18,11,08,844.90","22,433"
"03-Jul-2025","EQ","278.95","279.50","273.40","279.00","278.00","278.05","276.68","427.00","202.81","1,41,543","3,91,62,636.40","4,956"
"02-Jul-2025","EQ","271.80","281.05","268.30","271.55","279.00","279.00","276.50","427.00","202.81","1,99,902","5,52,71,965.90","11,507"
"01-Jul-2025","EQ","271.40","275.00","266.55","268.80","270.50","271.55","270.71","427.00","202.81","1,03,262","2,79,54,234.30","8,341"
"30-Jun-2025","EQ","268.25","270.00","265.20","267.20","267.00","268.80","267.62","427.00","202.81","60,626","1,62,25,000.00","3,588"
"27-Jun-2025","EQ","269.70","271.40","266.00","267.30","269.00","267.20","268.70","427.00","202.81","68,025","1,82,78,537.50","3,857"
"26-Jun-2025","EQ","265.10","271.45","263.00","266.40","267.95","267.30","266.56","427.00","202.81","84,439","2,25,08,480.40","3,724"
"25-Jun-2025","EQ","267.00","271.00","265.00","265.45","266.00","266.40","267.69","427.00","202.81","89,011","2,38,27,055.20","4,826"
"24-Jun-2025","EQ","262.70","266.90","262.70","261.40","264.80","265.45","264.52","427.00","202.81","79,411","2,10,05,554.85","6,570"
"23-Jun-2025","EQ","260.00","264.70","258.55","264.15","260.05","261.40","261.00","427.00","202.81","1,02,122","2,66,53,861.35","8,453"
"20-Jun-2025","EQ","262.00","266.80","256.65","261.50","265.90","264.15","262.64","427.00","202.81","83,627","2,19,63,780.35","5,249"
"19-Jun-2025","EQ","261.60","266.00","258.25","260.60","262.00","261.50","262.00","427.00","202.81","1,48,278","3,88,48,947.50","6,436"
"18-Jun-2025","EQ","267.95","269.35","259.20","268.00","262.00","260.60","263.23","427.00","202.81","1,35,446","3,56,53,024.15","8,269"
"17-Jun-2025","EQ","269.95","271.60","265.60","272.10","268.00","268.00","268.33","427.00","202.81","1,06,854","2,86,72,527.40","5,609"
"16-Jun-2025","EQ","270.00","273.30","264.00","270.70","270.00","272.10","268.17","427.00","202.81","97,957","2,62,69,175.95","6,871"
"13-Jun-2025","EQ","269.00","274.95","264.30","273.05","270.40","270.70","268.93","427.00","202.81","1,52,666","4,10,56,431.20","7,167"
"12-Jun-2025","EQ","282.10","284.00","271.35","281.15","272.35","273.05","275.43","427.00","202.81","1,94,363","5,35,34,134.75","10,023"
"11-Jun-2025","EQ","273.00","283.70","270.25","272.95","283.70","281.15","277.45","427.00","202.81","2,92,891","8,12,63,133.50","14,624"
"10-Jun-2025","EQ","273.40","282.90","268.35","273.40","273.15","272.95","272.24","427.00","202.81","2,31,596","6,30,48,641.40","14,276"
"09-Jun-2025","EQ","275.00","283.00","272.35","272.15","273.15","273.40","276.42","427.00","202.81","3,28,075","9,06,85,101.45","13,280"
"06-Jun-2025","EQ","269.00","274.35","267.05","267.05","271.05","272.15","270.04","427.00","202.81","3,94,159","10,64,38,908.10","15,233"
"05-Jun-2025","EQ","262.80","279.70","262.80","261.50","269.95","267.05","271.13","427.00","202.81","4,12,458","11,18,29,791.00","21,598"
"04-Jun-2025","EQ","256.20","263.20","256.20","256.15","262.00","261.50","261.30","427.00","202.81","4,84,017","12,64,72,751.55","11,647"
"03-Jun-2025","EQ","258.00","262.00","254.00","259.10","256.60","256.15","256.21","427.00","202.81","3,74,768","9,60,19,619.05","18,029"
"02-Jun-2025","EQ","253.25","263.50","252.00","255.14","258.40","259.10","260.40","427.00","202.81","1,40,729","3,66,46,269.35","8,943"
"30-May-2025","EQ","261.69","262.20","251.35","261.69","255.00","255.14","255.60","427.00","202.81","26,68,668","68,21,10,347.85","57,194"
"29-May-2025","EQ","262.56","264.09","260.00","262.56","261.41","261.69","261.48","427.00","202.81","1,79,747","4,70,00,145.96","13,559"
"28-May-2025","EQ","262.50","269.56","257.38","262.15","262.80","262.56","265.11","427.00","202.81","2,50,104","6,63,05,322.91","12,967"
"27-May-2025","EQ","255.00","266.00","254.11","261.53","260.78","262.15","261.09","427.00","202.81","6,11,626","15,96,90,599.14","36,355"
"26-May-2025","EQ","259.70","263.50","253.70","255.84","260.15","261.53","258.91","427.00","202.81","8,53,291","22,09,27,122.68","33,656"
"23-May-2025","EQ","250.30","260.66","240.82","251.62","255.00","255.84","251.01","427.00","202.81","7,42,410","18,63,51,850.15","29,028"
"22-May-2025","EQ","256.50","258.10","248.52","256.50","249.00","251.62","251.80","427.00","202.81","1,69,779","4,27,50,760.98","9,574"
"21-May-2025","EQ","252.00","257.33","247.00","252.07","255.50","256.50","254.00","427.00","202.81","1,99,810","5,07,51,515.71","8,507"
"20-May-2025","EQ","247.05","259.38","238.37","247.54","250.00","252.07","250.15","427.00","202.81","4,10,170","10,26,02,560.40","17,909"
"19-May-2025","EQ","251.30","258.00","246.00","253.38","247.56","247.54","250.02","427.00","202.81","2,05,745","5,14,40,188.47","12,605"
"16-May-2025","EQ","254.05","254.99","250.00","251.83","253.40","253.38","253.04","427.00","202.81","50,943","1,28,90,813.65","3,461"
"15-May-2025","EQ","253.80","255.99","249.08","251.30","250.50","251.83","252.69","427.00","202.81","96,254","2,43,22,123.94","6,502"
"14-May-2025","EQ","245.95","253.89","245.01","244.73","253.89","251.30","249.69","427.00","202.81","1,20,331","3,00,45,401.50","5,651"
"13-May-2025","EQ","235.00","246.75","231.50","231.81","246.00","244.73","237.79","427.00","202.81","5,40,607","12,85,48,972.73","6,139"
"12-May-2025","EQ","230.00","234.76","225.74","219.97","231.00","231.81","230.39","427.00","202.81","1,27,656","2,94,10,983.10","6,403"
"09-May-2025","EQ","213.65","222.70","213.65","222.66","222.44","219.97","217.79","427.00","202.81","79,749","1,73,68,172.62","5,893"
"08-May-2025","EQ","229.95","231.50","220.01","229.41","223.40","222.66","226.80","427.00","202.81","1,30,922","2,96,93,656.90","6,942"
"07-May-2025","EQ","230.00","231.69","226.31","233.84","229.52","229.41","228.94","427.00","202.81","79,056","1,80,99,307.00","4,708"
"06-May-2025","EQ","237.99","237.99","226.00","236.00","234.00","233.84","232.05","427.00","202.81","85,602","1,98,64,032.92","9,100"
"05-May-2025","EQ","231.86","238.00","229.20","230.47","237.00","236.00","234.00","427.00","202.81","60,221","1,40,91,505.81","4,932"
"02-May-2025","EQ","231.00","234.71","225.91","232.36","231.00","230.47","229.73","427.00","202.81","70,491","1,61,94,014.37","6,420"
"30-Apr-2025","EQ","232.99","235.01","228.30","232.99","235.00","232.36","231.72","427.00","202.81","2,73,622","6,34,03,584.84","6,327"
"29-Apr-2025","EQ","231.98","235.20","230.81","231.98","233.98","232.99","232.33","427.00","202.81","1,79,763","4,17,63,928.37","3,265"
"28-Apr-2025","EQ","233.56","239.25","231.50","233.56","232.01","231.98","233.46","427.00","202.81","73,480","1,71,54,900.61","6,601"
"25-Apr-2025","EQ","243.71","243.71","232.33","244.24","234.48","233.56","236.26","427.00","202.81","1,32,417","3,12,85,364.72","7,993"
"24-Apr-2025","EQ","242.60","248.75","240.55","243.03","242.71","244.24","245.26","427.00","202.81","1,04,100","2,55,31,508.49","9,913"
"23-Apr-2025","EQ","246.20","247.93","241.10","245.95","244.47","243.03","243.82","427.00","202.81","70,576","1,72,07,930.51","5,832"
"22-Apr-2025","EQ","242.30","251.27","235.50","239.14","246.50","245.95","246.23","427.00","202.81","1,50,108","3,69,60,807.71","10,854"
"21-Apr-2025","EQ","236.90","242.99","232.32","234.73","239.50","239.14","238.14","427.00","202.81","1,07,317","2,55,56,086.76","7,712"
"17-Apr-2025","EQ","236.90","236.90","232.53","234.98","235.00","234.73","234.62","427.00","202.81","95,119","2,23,16,966.86","6,114"
"16-Apr-2025","EQ","238.34","240.53","234.01","238.14","235.00","234.98","235.76","427.00","202.81","66,702","1,57,25,377.59","5,827"
"15-Apr-2025","EQ","230.00","238.94","230.00","227.65","238.35","238.14","235.97","427.00","202.81","97,145","2,29,23,046.06","10,744"
"11-Apr-2025","EQ","226.80","232.13","224.81","223.53","226.05","227.65","228.56","427.00","202.81","84,948","1,94,15,742.71","6,919"
"09-Apr-2025","EQ","227.45","229.50","221.14","226.58","226.00","223.53","222.92","427.00","202.81","41,332","92,13,733.12","5,753"
"08-Apr-2025","EQ","223.00","231.00","217.86","218.55","229.04","226.58","223.24","427.00","202.81","6,48,730","14,48,23,746.71","11,980"
"07-Apr-2025","EQ","212.40","233.00","202.81","217.85","232.80","218.55","211.15","427.00","202.81","2,93,637","6,20,01,417.75","15,706"
"04-Apr-2025","EQ","230.14","230.15","215.00","228.44","223.00","217.85","219.07","427.00","215.00","1,97,019","4,31,61,233.30","13,509"
"03-Apr-2025","EQ","231.25","232.04","227.22","230.69","229.50","228.44","229.21","427.00","222.85","1,07,673","2,46,80,154.68","5,523"
"02-Apr-2025","EQ","235.55","235.55","226.80","232.07","230.90","230.69","230.57","427.00","222.85","1,40,353","3,23,61,519.53","6,553"
"01-Apr-2025","EQ","226.85","236.66","225.93","226.90","232.00","232.07","232.63","427.00","222.85","91,016","2,11,72,602.76","5,288"
"28-Mar-2025","EQ","232.20","239.90","225.30","232.20","225.30","226.90","232.46","427.00","222.85","2,11,956","4,92,71,758.45","13,006"
"27-Mar-2025","EQ","234.00","235.45","230.85","235.85","232.85","232.20","232.44","427.00","222.85","2,10,416","4,89,08,096.95","12,952"
"26-Mar-2025","EQ","238.00","239.20","233.15","237.75","234.95","235.85","235.86","427.00","222.85","1,87,051","4,41,17,474.70","9,377"
"25-Mar-2025","EQ","238.30","242.50","234.00","235.20","237.00","237.75","237.33","427.00","222.85","2,57,325","6,10,69,824.85","13,022"
"24-Mar-2025","EQ","235.40","240.45","232.50","231.80","235.55","235.20","235.76","427.00","222.85","2,15,002","5,06,88,141.60","10,250"
"21-Mar-2025","EQ","233.20","236.30","228.30","230.85","233.40","231.80","232.26","427.00","222.85","2,85,898","6,64,02,762.85","16,139"
"20-Mar-2025","EQ","233.80","238.65","228.00","231.30","232.00","230.85","231.82","427.00","222.85","2,91,203","6,75,06,109.55","19,386"
"19-Mar-2025","EQ","227.75","234.50","227.05","226.95","231.25","231.30","231.54","427.00","222.85","1,50,478","3,48,41,984.10","4,197"
"18-Mar-2025","EQ","230.55","231.90","225.10","227.00","227.75","226.95","228.43","427.00","222.85","2,61,384","5,97,09,087.85","5,656"
"17-Mar-2025","EQ","229.85","231.60","222.85","228.30","225.25","227.00","227.23","427.00","222.85","1,73,150","3,93,44,149.10","7,266"
"13-Mar-2025","EQ","239.10","241.50","227.20","238.90","228.90","228.30","232.19","427.00","227.20","1,41,922","3,29,53,422.25","7,474"
"12-Mar-2025","EQ","245.00","246.40","236.40","244.65","239.95","238.90","240.40","427.00","233.15","1,22,092","2,93,50,656.35","5,285"
