ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","311.95","314.20","307.95","311.05","308.10","310.65","311.30","411.95","245.10","47,075","1,46,54,610.30","2,696"
"11-Aug-2025","EQ","310.05","311.80","305.30","309.30","310.30","311.05","308.85","411.95","245.10","40,626","1,25,47,342.20","2,038"
"08-Aug-2025","EQ","312.45","312.90","305.45","312.45","307.55","309.30","309.37","411.95","245.10","69,295","2,14,37,751.35","3,604"
"07-Aug-2025","EQ","300.10","315.00","298.70","302.25","310.05","312.45","308.46","411.95","245.10","1,13,464","3,49,99,419.10","6,066"
"06-Aug-2025","EQ","311.50","311.55","301.00","311.50","304.15","302.25","303.97","411.95","245.10","81,373","2,47,34,659.10","4,239"
"05-Aug-2025","EQ","316.25","317.90","310.60","316.35","310.80","311.50","313.56","411.95","245.10","43,994","1,37,94,717.55","3,618"
"04-Aug-2025","EQ","319.00","320.70","313.40","316.55","315.10","316.35","316.59","411.95","245.10","70,407","2,22,90,055.00","5,589"
"01-Aug-2025","EQ","325.60","332.00","315.00","322.40","316.00","316.55","323.55","411.95","245.10","1,55,689","5,03,73,261.05","8,128"
"31-Jul-2025","EQ","330.75","330.75","317.05","330.75","322.00","322.40","323.03","411.95","245.10","2,29,278","7,40,63,446.25","10,977"
"30-Jul-2025","EQ","330.75","349.00","328.65","332.80","332.95","330.75","337.04","411.95","245.10","2,15,688","7,26,95,870.70","11,912"
"29-Jul-2025","EQ","331.00","339.25","323.65","330.25","335.90","332.80","332.40","411.95","245.10","3,87,760","12,88,90,290.70","15,051"
"28-Jul-2025","EQ","330.00","342.80","324.15","331.75","330.00","330.25","334.34","411.95","245.10","2,28,357","7,63,49,611.50","13,316"
"25-Jul-2025","EQ","341.30","343.55","330.05","341.30","332.00","331.75","334.74","411.95","245.10","1,38,532","4,63,72,692.90","9,184"
"24-Jul-2025","EQ","341.00","351.95","338.80","339.40","342.00","341.30","346.56","411.95","245.10","3,76,228","13,03,84,495.60","13,571"
"23-Jul-2025","EQ","343.50","345.55","337.00","341.85","338.55","339.40","339.99","411.95","245.10","1,52,139","5,17,26,086.10","7,335"
"22-Jul-2025","EQ","326.35","349.00","323.80","326.60","345.25","341.85","337.72","411.95","245.10","4,86,726","16,43,74,838.00","15,193"
"21-Jul-2025","EQ","331.30","333.00","324.95","329.80","326.95","326.60","327.78","411.95","245.10","1,36,904","4,48,74,468.40","6,306"
"18-Jul-2025","EQ","329.90","333.00","326.00","329.70","329.10","329.80","329.48","411.95","245.10","1,32,883","4,37,81,902.55","6,356"
"17-Jul-2025","EQ","323.90","332.00","320.25","320.20","327.80","329.70","328.12","411.95","245.10","4,94,772","16,23,44,437.00","18,638"
