ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,855.00","2,996.00","2,809.80","2,856.90","2,860.00","2,857.00","2,863.00","5,378.10","2,317.35","66,796","19,12,36,767.00","10,715"
"12-Aug-2025","EQ","2,843.90","2,897.00","2,802.40","2,842.30","2,840.00","2,856.90","2,854.11","5,378.10","2,317.35","62,785","17,91,95,410.40","12,380"
"11-Aug-2025","EQ","2,938.00","2,940.00","2,780.70","3,170.70","2,844.00","2,842.30","2,868.53","5,378.10","2,317.35","2,26,223","64,89,28,123.00","35,295"
"08-Aug-2025","EQ","3,285.00","3,316.60","3,115.00","3,275.10","3,150.00","3,170.70","3,215.22","5,378.10","2,300.00","37,292","11,99,02,045.40","6,593"
"07-Aug-2025","EQ","3,180.00","3,300.00","3,114.00","3,234.50","3,284.40","3,275.10","3,197.34","5,378.10","2,300.00","70,329","22,48,65,524.90","13,502"
"06-Aug-2025","EQ","3,352.00","3,431.00","3,210.00","3,338.20","3,225.10","3,234.50","3,265.03","5,378.10","2,300.00","49,163","16,05,18,435.30","5,579"
"05-Aug-2025","EQ","3,347.00","3,354.00","3,288.00","3,347.50","3,331.00","3,338.20","3,313.97","5,378.10","2,300.00","30,541","10,12,12,023.60","4,559"
"04-Aug-2025","EQ","3,400.00","3,440.00","3,326.70","3,324.70","3,340.00","3,347.50","3,371.85","5,378.10","2,300.00","52,760","17,78,99,058.20","6,259"
"01-Aug-2025","EQ","3,498.90","3,498.90","3,304.00","3,458.60","3,348.00","3,324.70","3,380.06","5,378.10","2,300.00","38,129","12,88,78,376.70","5,248"
"31-Jul-2025","EQ","3,426.00","3,533.80","3,408.00","3,587.30","3,455.00","3,458.60","3,458.61","5,378.10","2,300.00","1,11,791","38,66,41,856.20","8,025"
"30-Jul-2025","EQ","3,636.00","3,646.60","3,535.80","3,585.90","3,575.00","3,587.30","3,584.92","5,378.10","2,300.00","26,385","9,45,88,082.70","6,203"
"29-Jul-2025","EQ","3,549.80","3,607.00","3,538.80","3,530.00","3,571.50","3,585.90","3,578.51","5,378.10","2,300.00","23,973","8,57,87,619.60","2,743"
"28-Jul-2025","EQ","3,602.00","3,669.50","3,513.70","3,675.90","3,525.00","3,530.00","3,582.62","5,378.10","2,300.00","30,475","10,91,80,284.00","4,734"
"25-Jul-2025","EQ","3,806.80","3,806.80","3,618.60","3,758.20","3,662.20","3,675.90","3,674.22","5,378.10","2,184.30","40,312","14,81,15,107.40","5,400"
"24-Jul-2025","EQ","3,705.00","3,780.00","3,663.40","3,665.60","3,757.10","3,758.20","3,741.93","5,378.10","2,184.30","26,012","9,73,35,080.50","4,590"
"23-Jul-2025","EQ","3,720.80","3,762.90","3,649.90","3,713.10","3,675.00","3,665.60","3,688.73","5,378.10","2,184.30","22,383","8,25,64,801.70","3,643"
