ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","305.45","314.70","301.40","303.75","302.90","302.80","306.48","469.70","261.45","7,30,311","22,38,26,069.05","18,575"
"12-Aug-2025","EQ","303.00","306.60","300.85","302.90","304.20","303.75","304.40","469.70","261.45","10,50,303","31,97,11,734.35","11,968"
"11-Aug-2025","EQ","304.45","309.65","300.35","304.50","303.00","302.90","303.74","469.70","261.45","3,42,263","10,39,60,098.85","17,988"
"08-Aug-2025","EQ","301.25","312.00","297.70","299.75","304.50","304.50","307.00","469.70","261.45","6,99,861","21,48,57,541.00","27,406"
"07-Aug-2025","EQ","301.50","304.60","296.40","303.65","302.90","299.75","299.86","469.70","261.45","2,48,107","7,43,97,953.70","13,728"
"06-Aug-2025","EQ","309.40","312.45","301.00","307.90","304.80","303.65","305.02","469.70","261.45","3,01,276","9,18,95,530.85","14,899"
"05-Aug-2025","EQ","307.00","311.40","304.30","305.30","307.00","307.90","307.65","469.70","261.45","2,01,636","6,20,33,482.30","10,756"
"04-Aug-2025","EQ","308.95","310.10","300.75","308.90","307.60","305.30","305.09","469.70","261.45","2,72,436","8,31,17,243.50","15,803"
"01-Aug-2025","EQ","316.75","317.55","308.25","315.25","309.10","308.90","311.62","469.70","261.45","2,30,309","7,17,68,201.85","12,866"
"31-Jul-2025","EQ","320.00","321.60","313.00","323.30","314.50","315.25","317.71","469.70","261.45","1,79,614","5,70,66,028.25","6,053"
"30-Jul-2025","EQ","319.50","323.95","319.50","320.95","323.50","323.30","322.88","469.70","261.45","2,49,401","8,05,27,068.30","8,821"
"29-Jul-2025","EQ","320.40","323.85","318.10","321.45","320.00","320.95","320.41","469.70","261.45","1,31,779","4,22,23,385.05","7,191"
"28-Jul-2025","EQ","323.40","326.95","320.10","323.55","320.70","321.45","323.10","469.70","261.45","2,36,129","7,62,92,383.50","14,158"
"25-Jul-2025","EQ","332.00","332.00","322.40","332.65","322.50","323.55","324.98","469.70","261.45","2,10,840","6,85,19,127.60","9,660"
"24-Jul-2025","EQ","330.40","333.20","329.60","331.65","332.60","332.65","331.62","469.70","261.45","1,72,762","5,72,91,609.10","6,228"
"23-Jul-2025","EQ","332.90","348.00","329.35","332.25","331.40","331.65","338.80","469.70","261.45","31,67,510","1,07,31,44,982.90","61,811"
"22-Jul-2025","EQ","328.60","338.40","328.60","329.65","332.70","332.25","334.45","469.70","261.45","5,49,122","18,36,53,179.00","14,334"
"21-Jul-2025","EQ","333.85","333.85","325.50","334.90","329.65","329.65","328.48","469.70","261.45","3,98,713","13,09,67,910.10","12,444"
"18-Jul-2025","EQ","337.65","338.75","331.15","335.80","333.10","334.90","335.67","469.70","261.45","2,95,541","9,92,04,346.05","11,446"
"17-Jul-2025","EQ","331.00","337.00","330.95","331.55","335.00","335.80","334.75","469.70","261.45","3,70,802","12,41,26,688.00","14,494"
"16-Jul-2025","EQ","323.95","333.50","323.95","323.95","331.90","331.55","329.28","469.70","261.45","3,64,061","11,98,77,328.75","18,118"
"15-Jul-2025","EQ","324.10","327.30","321.35","322.90","324.60","323.95","322.50","469.70","261.45","3,17,897","10,25,22,448.90","6,437"
"14-Jul-2025","EQ","328.45","328.45","322.10","327.45","322.90","322.90","324.59","469.70","261.45","2,79,322","9,06,65,098.90","10,257"
"11-Jul-2025","EQ","328.50","331.50","325.90","327.60","327.00","327.45","327.68","469.70","261.45","7,89,222","25,86,11,619.40","9,384"
"10-Jul-2025","EQ","332.95","332.95","325.60","331.75","327.55","327.60","327.96","469.70","261.45","2,88,712","9,46,84,707.00","16,268"
"09-Jul-2025","EQ","331.00","333.50","328.05","330.50","332.00","331.75","331.22","469.70","261.45","1,69,751","5,62,24,441.30","8,246"
"08-Jul-2025","EQ","333.00","335.15","327.55","334.15","330.00","330.50","330.05","469.70","261.45","4,00,700","13,22,52,887.25","19,277"
"07-Jul-2025","EQ","336.50","337.35","329.15","335.00","331.40","334.15","333.96","469.70","261.45","1,88,139","6,28,29,977.35","7,121"
"04-Jul-2025","EQ","341.55","341.55","334.05","339.00","334.85","335.00","336.24","469.70","261.45","3,28,406","11,04,22,328.15","9,016"
"03-Jul-2025","EQ","336.15","340.90","335.50","335.05","339.00","339.00","338.88","469.70","261.45","19,90,150","67,44,17,568.85","16,593"
"02-Jul-2025","EQ","335.15","338.90","332.00","335.15","336.15","335.05","335.14","469.70","261.45","13,37,979","44,84,13,725.70","13,558"
"01-Jul-2025","EQ","329.55","337.80","328.05","329.55","334.95","335.15","334.25","469.70","261.45","7,64,856","25,56,56,218.40","18,657"
"30-Jun-2025","EQ","330.20","334.00","324.35","330.20","328.60","329.55","328.48","469.70","261.45","4,70,802","15,46,47,636.55","19,270"
"27-Jun-2025","EQ","321.00","343.30","321.00","319.85","328.30","330.20","336.38","469.70","261.45","49,35,147","1,66,00,97,444.75","97,683"
"26-Jun-2025","EQ","320.00","321.80","317.35","320.00","319.50","319.85","319.43","469.70","261.45","2,32,533","7,42,78,491.70","9,114"
"25-Jun-2025","EQ","319.20","324.60","319.15","319.20","320.00","320.00","320.53","469.70","261.45","2,98,545","9,56,92,732.15","16,940"
"24-Jun-2025","EQ","322.90","322.90","317.00","318.50","318.00","319.20","319.24","469.70","261.45","2,15,690","6,88,56,801.45","12,146"
"23-Jun-2025","EQ","314.00","319.70","312.05","316.80","319.35","318.50","315.85","469.70","261.45","3,41,648","10,79,08,865.60","15,553"
"20-Jun-2025","EQ","314.60","320.80","312.90","314.60","314.95","316.80","317.02","469.70","261.45","4,69,090","14,87,11,308.05","15,554"
"19-Jun-2025","EQ","326.00","326.90","312.00","325.65","313.50","314.60","318.03","469.70","261.45","2,93,750","9,34,20,755.65","21,116"
"18-Jun-2025","EQ","328.00","330.30","325.05","329.55","325.10","325.65","326.75","469.70","261.45","1,45,630","4,75,84,814.25","8,583"
"17-Jun-2025","EQ","330.00","332.00","327.35","329.35","327.90","329.55","329.61","469.70","261.45","1,72,599","5,68,90,168.35","8,781"
"16-Jun-2025","EQ","329.10","331.15","324.05","330.45","329.05","329.35","328.22","469.70","261.45","1,46,254","4,80,03,046.60","8,814"
"13-Jun-2025","EQ","328.00","331.85","325.40","331.45","328.75","330.45","329.88","469.70","261.45","2,62,922","8,67,33,397.25","15,502"
"12-Jun-2025","EQ","337.00","337.55","330.05","336.85","331.45","331.45","333.34","469.70","261.45","2,61,405","8,71,36,937.40","18,786"
"11-Jun-2025","EQ","337.25","338.85","333.90","335.65","337.00","336.85","336.46","469.70","261.45","3,50,927","11,80,74,384.40","14,809"
"10-Jun-2025","EQ","334.95","340.95","331.65","334.05","336.40","335.65","334.31","469.70","261.45","19,13,552","63,97,21,713.75","19,756"
"09-Jun-2025","EQ","330.60","335.50","329.30","329.00","333.00","334.05","333.84","469.70","261.45","9,43,227","31,48,91,190.70","17,282"
"06-Jun-2025","EQ","333.00","333.20","328.20","331.95","329.60","329.00","329.78","469.70","260.05","2,51,204","8,28,41,380.35","12,363"
"05-Jun-2025","EQ","336.60","338.30","329.00","335.40","332.00","331.95","331.57","469.70","260.05","6,13,427","20,33,93,354.50","16,150"
"04-Jun-2025","EQ","333.65","336.85","329.65","331.95","334.00","335.40","334.00","469.70","260.05","2,28,276","7,62,43,296.75","11,706"
"03-Jun-2025","EQ","330.40","334.55","328.15","328.75","331.95","331.95","331.96","469.70","260.05","2,97,338","9,87,04,211.45","12,522"
"02-Jun-2025","EQ","330.00","330.30","325.90","328.80","327.75","328.75","328.71","469.70","260.05","31,22,105","1,02,62,54,333.05","12,125"
"30-May-2025","EQ","329.60","331.35","326.55","328.95","328.00","328.80","328.96","469.70","260.05","1,90,836","6,27,77,836.00","11,229"
"29-May-2025","EQ","328.00","330.65","325.00","327.00","329.00","328.95","327.69","469.70","260.05","2,71,217","8,88,74,874.40","19,225"
"28-May-2025","EQ","329.50","331.65","325.00","329.20","327.00","327.00","327.62","469.70","260.05","2,26,810","7,43,06,723.90","11,182"
"27-May-2025","EQ","333.60","336.30","327.20","333.60","328.60","329.20","329.86","469.70","260.05","5,29,812","17,47,64,826.45","17,417"
"26-May-2025","EQ","338.65","342.80","332.20","338.65","332.80","333.60","335.98","469.70","260.05","3,71,431","12,47,95,078.80","13,389"
"23-May-2025","EQ","338.00","343.95","333.80","347.50","338.65","338.65","339.60","469.70","260.05","6,91,648","23,48,80,830.85","26,316"
"22-May-2025","EQ","351.00","351.05","341.05","350.30","347.60","347.50","345.36","469.70","260.05","2,91,288","10,05,99,905.35","11,415"
"21-May-2025","EQ","342.85","355.10","342.85","344.60","351.00","350.30","350.11","469.70","260.05","17,08,495","59,81,64,422.55","33,671"
"20-May-2025","EQ","352.50","360.60","342.20","351.35","348.00","344.60","349.56","469.70","260.05","5,21,208","18,21,94,470.85","22,924"
"19-May-2025","EQ","354.10","358.45","347.15","350.40","349.05","351.35","352.53","469.70","260.05","3,23,491","11,40,40,425.40","14,100"
"16-May-2025","EQ","348.00","357.80","346.10","348.15","350.15","350.40","351.83","469.70","260.05","4,23,437","14,89,76,175.35","20,804"
"15-May-2025","EQ","346.70","352.00","340.75","346.70","348.35","348.15","346.82","469.70","260.05","5,61,736","19,48,20,763.55","24,942"
"14-May-2025","EQ","350.00","350.05","340.00","347.25","345.00","346.70","345.34","469.70","260.05","8,30,584","28,68,29,856.10","20,033"
"13-May-2025","EQ","330.00","355.00","328.00","329.85","347.20","347.25","341.86","469.70","260.05","9,82,950","33,60,32,372.15","21,501"
"12-May-2025","EQ","328.00","332.10","327.15","321.50","330.00","329.85","329.15","469.70","260.05","2,67,265","8,79,71,320.00","9,933"
"09-May-2025","EQ","312.95","325.95","309.45","314.65","325.00","321.50","316.97","469.70","260.05","4,53,342","14,36,95,952.65","20,717"
"08-May-2025","EQ","322.70","327.35","311.00","322.70","315.00","314.65","319.50","469.70","260.05","2,89,870","9,26,12,031.40","13,141"
"07-May-2025","EQ","315.10","324.20","313.80","319.00","322.40","322.70","320.85","469.70","260.05","2,70,770","8,68,75,742.80","14,741"
"06-May-2025","EQ","330.60","334.20","318.20","330.25","318.20","319.00","323.88","469.70","260.05","2,32,024","7,51,48,568.05","11,019"
"05-May-2025","EQ","318.00","332.20","316.95","318.75","329.70","330.25","326.75","469.70","260.05","4,11,510","13,44,62,115.85","20,971"
"02-May-2025","EQ","323.20","323.45","316.40","325.00","318.40","318.75","318.86","469.70","260.05","3,58,925","11,44,47,227.30","13,679"
"30-Apr-2025","EQ","329.90","329.90","318.20","329.95","319.90","325.00","324.76","469.70","260.05","7,37,190","23,94,09,815.75","25,306"
"29-Apr-2025","EQ","318.50","334.60","318.40","318.40","330.00","329.95","327.38","469.70","260.05","9,21,371","30,16,35,650.60","34,481"
"28-Apr-2025","EQ","321.30","321.75","314.10","321.30","318.60","318.40","317.77","469.70","260.05","3,44,220","10,93,82,954.05","22,304"
"25-Apr-2025","EQ","316.10","323.55","310.20","318.35","321.90","321.30","319.25","469.70","260.05","7,98,076","25,47,83,218.05","28,438"
"24-Apr-2025","EQ","321.00","324.20","315.20","320.50","320.60","318.35","318.89","469.70","260.05","4,24,092","13,52,39,277.45","17,776"
"23-Apr-2025","EQ","318.95","321.50","314.30","317.55","320.95","320.50","318.39","469.70","260.05","3,24,806","10,34,15,925.40","15,507"
"22-Apr-2025","EQ","319.25","328.40","312.25","318.70","318.85","317.55","320.98","469.70","260.05","6,33,828","20,34,48,339.90","23,948"
"21-Apr-2025","EQ","314.20","321.45","311.10","313.60","319.50","318.70","317.68","469.70","260.05","4,14,398","13,16,44,891.95","16,678"
"17-Apr-2025","EQ","311.60","314.25","304.80","310.00","312.60","313.60","310.72","469.70","260.05","9,02,316","28,03,69,616.10","50,754"
"16-Apr-2025","EQ","314.00","316.05","308.70","314.30","309.95","310.00","311.05","469.70","260.05","4,39,084","13,65,75,291.55","17,598"
"15-Apr-2025","EQ","316.15","319.25","307.65","314.25","315.05","314.30","312.55","469.70","260.05","12,14,203","37,95,05,205.65","39,705"
"11-Apr-2025","EQ","300.40","317.55","294.00","294.40","314.00","314.25","309.34","469.70","260.05","16,59,579","51,33,79,538.25","48,266"
"09-Apr-2025","EQ","291.50","298.00","287.05","291.45","292.50","294.40","291.90","469.70","260.05","3,37,543","9,85,29,682.50","14,085"
"08-Apr-2025","EQ","289.00","292.75","286.45","286.10","291.50","291.45","290.10","469.70","260.05","3,28,121","9,51,87,104.60","13,076"
"07-Apr-2025","EQ","275.00","289.85","271.50","289.85","288.35","286.10","281.39","469.70","260.05","6,03,230","16,97,45,446.35","22,598"
"04-Apr-2025","EQ","298.00","298.00","287.05","298.35","290.15","289.85","290.46","469.70","260.05","3,91,063","11,35,88,447.05","14,760"
"03-Apr-2025","EQ","289.05","300.00","289.05","293.65","298.00","298.35","296.75","469.70","260.05","5,46,018","16,20,29,469.70","13,226"
"02-Apr-2025","EQ","294.00","294.45","286.75","294.05","293.80","293.65","291.57","469.70","260.05","3,47,676","10,13,71,329.45","14,897"
"01-Apr-2025","EQ","292.00","295.50","289.35","291.30","293.00","294.05","292.83","469.70","260.05","5,05,949","14,81,59,324.50","18,844"
"28-Mar-2025","EQ","295.50","299.75","289.55","297.10","290.95","291.30","293.18","469.70","260.05","7,64,458","22,41,26,626.60","36,428"
"27-Mar-2025","EQ","287.90","300.05","286.00","287.90","295.00","297.10","293.44","469.70","260.05","7,69,760","22,58,76,929.25","28,477"
"26-Mar-2025","EQ","288.95","292.75","286.75","288.95","288.40","287.90","288.79","469.70","260.05","6,88,847","19,89,34,207.85","29,134"
"25-Mar-2025","EQ","295.50","297.05","286.55","293.55","287.50","288.95","290.23","469.70","260.05","5,47,886","15,90,11,990.10","23,808"
