ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","4,439.00","4,568.60","4,425.00","4,409.40","4,526.30","4,524.40","4,514.33","5,165.00","3,046.05","27,11,914","12,24,24,76,143.40","1,28,586"
"12-Aug-2025","EQ","4,467.00","4,489.60","4,325.00","4,444.90","4,420.00","4,409.40","4,399.09","5,165.00","3,046.05","29,42,539","12,94,45,04,888.40","2,03,187"
"11-Aug-2025","EQ","4,460.00","4,545.00","4,439.00","4,440.60","4,444.00","4,444.90","4,474.49","5,165.00","3,046.05","10,22,011","4,57,29,79,403.50","81,635"
"08-Aug-2025","EQ","4,542.00","4,549.90","4,433.50","4,550.60","4,439.00","4,440.60","4,470.98","5,165.00","3,046.05","6,59,530","2,94,87,45,274.50","51,901"
"07-Aug-2025","EQ","4,502.90","4,560.00","4,483.00","4,538.60","4,549.00","4,550.60","4,529.05","5,165.00","3,046.05","7,19,816","3,26,00,83,993.80","56,261"
"06-Aug-2025","EQ","4,619.00","4,619.00","4,509.50","4,578.20","4,527.00","4,538.60","4,547.06","5,165.00","3,046.05","8,80,916","4,00,55,77,181.20","70,540"
"05-Aug-2025","EQ","4,537.00","4,586.00","4,500.00","4,537.90","4,575.00","4,578.20","4,540.50","5,165.00","3,046.05","7,76,247","3,52,45,49,371.70","71,729"
"04-Aug-2025","EQ","4,438.70","4,544.90","4,424.20","4,438.70","4,544.00","4,537.90","4,517.07","5,165.00","3,046.05","7,42,464","3,35,37,60,936.00","59,011"
"01-Aug-2025","EQ","4,533.90","4,540.90","4,428.00","4,533.90","4,431.00","4,438.70","4,472.31","5,165.00","3,046.05","6,49,120","2,90,30,67,759.30","60,807"
"31-Jul-2025","EQ","4,464.00","4,577.40","4,464.00","4,545.00","4,532.70","4,533.90","4,537.54","5,165.00","3,046.05","7,70,343","3,49,54,64,908.70","61,929"
"30-Jul-2025","EQ","4,525.00","4,560.00","4,500.90","4,498.00","4,546.00","4,545.00","4,536.06","5,165.00","3,046.05","7,27,643","3,30,06,32,252.20","55,398"
"29-Jul-2025","EQ","4,470.10","4,519.00","4,401.00","4,506.60","4,517.00","4,498.00","4,463.52","5,165.00","3,046.05","14,31,472","6,38,93,96,761.30","1,25,423"
"28-Jul-2025","EQ","4,549.90","4,595.00","4,476.50","4,552.70","4,505.00","4,506.60","4,533.41","5,165.00","3,046.05","6,89,011","3,12,35,66,417.70","65,411"
"25-Jul-2025","EQ","4,680.00","4,680.10","4,543.10","4,680.60","4,554.90","4,552.70","4,587.46","5,165.00","3,046.05","9,73,552","4,46,61,26,130.40","1,05,258"
"24-Jul-2025","EQ","4,715.80","4,746.20","4,670.00","4,715.80","4,678.30","4,680.60","4,691.67","5,165.00","3,046.05","8,61,599","4,04,23,35,957.50","67,092"
"23-Jul-2025","EQ","4,771.00","4,779.50","4,666.00","4,758.20","4,730.00","4,715.80","4,704.67","5,165.00","3,046.05","8,66,289","4,07,56,04,023.90","68,186"
"22-Jul-2025","EQ","4,775.00","4,809.90","4,748.10","4,751.00","4,757.80","4,758.20","4,776.26","5,165.00","3,046.05","9,08,904","4,34,11,65,321.10","77,391"
"21-Jul-2025","EQ","4,651.70","4,758.10","4,633.00","4,651.70","4,751.70","4,751.00","4,706.93","5,165.00","3,046.05","11,26,412","5,30,19,38,582.40","97,335"
"18-Jul-2025","EQ","4,804.80","4,808.90","4,643.30","4,789.30","4,649.00","4,651.70","4,693.65","5,535.00","3,046.05","16,77,004","7,87,12,67,652.20","1,40,843"
