Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-03,EQ,"1,277.00","1,277.00","1,266.00","1,266.00","1,270.10",1271.0,"1,271.16","1,465.85","1,024.50","4,22,147","53,66,17,126.90","24,742",1335.8688703653622,1326.9716029818053,1298.9066682922853
2023-11-06,EQ,"1,263.50","1,270.00","1,252.75","1,271.00","1,265.10",1262.5,"1,260.84","1,465.85","1,024.50","15,93,562","2,00,92,29,928.15","46,600",1332.991659762799,1325.694937576225,1298.544412886392
2023-11-07,EQ,"1,265.00","1,265.00","1,245.05","1,262.50","1,255.00",1253.0,"1,252.73","1,465.85","1,024.50","5,78,997","72,53,29,409.30","26,151",1329.8547319289637,1324.2554338618445,1298.0912346487166
2023-11-08,EQ,"1,257.95","1,263.15","1,249.15","1,253.00","1,255.25",1252.05,"1,255.08","1,465.85","1,024.50","9,68,745","1,21,58,56,763.60","33,711",1326.803565970965,1322.8256232903225,1297.6331129109185
2023-11-09,EQ,"1,259.85","1,260.25","1,247.00","1,252.05","1,256.00",1253.15,"1,253.09","1,465.85","1,024.50","4,12,408","51,67,85,731.00","19,590",1323.915190834849,1321.4459079776427,1297.190494872004
2023-11-10,EQ,"1,255.00","1,262.00","1,244.30","1,253.15","1,256.65",1257.4,"1,255.21","1,465.85","1,024.50","3,72,182","46,71,67,390.70","19,814",1321.3067519785805,1320.177672176105,1296.7945695498947
2023-11-12,EQ,"1,265.05","1,267.95","1,256.40","1,257.40","1,264.40",1263.3,"1,263.54","1,465.85","1,024.50","53,621","6,77,52,413.40","3,523",1319.0319773911851,1319.051381637964,1296.461290250891
2023-11-13,EQ,"1,262.00","1,263.60","1,244.00","1,263.30","1,252.50",1250.7,"1,252.53","1,465.85","1,024.50","4,72,505","59,18,28,950.40","18,771",1316.3522920032956,1317.6978889322618,1296.0059540294892
2023-11-15,EQ,"1,261.00","1,270.00","1,253.70","1,250.70","1,267.05",1262.05,"1,263.08","1,465.85","1,024.50","5,53,895","69,96,11,967.15","30,313",1314.2227903561077,1316.5959505375636,1295.6680838401412
2023-11-16,EQ,"1,269.00","1,282.70","1,262.05","1,262.05","1,275.05",1279.15,"1,275.46","1,465.85","1,024.50","5,98,909","76,38,82,475.80","20,301",1312.847386812731,1315.8544465665225,1295.5037247969558
2023-11-17,EQ,"1,279.95","1,286.45","1,271.30","1,279.15","1,280.30",1280.75,"1,279.55","1,465.85","1,024.50","4,87,287","62,35,06,366.30","26,745",1311.5886657612514,1315.1593090107497,1295.3569215651453
2023-11-20,EQ,"1,284.70","1,285.00","1,273.00","1,280.75","1,277.00",1275.75,"1,277.20","1,465.85","1,024.50","3,38,939","43,28,93,841.75","19,556",1310.1832278882612,1314.3789266541012,1295.1618278182286
2023-11-21,EQ,"1,280.20","1,307.55","1,275.75","1,275.75","1,298.00",1298.9,"1,296.45","1,465.85","1,024.50","9,19,344","1,19,18,84,543.05","34,671",1309.7407483632314,1314.07241325501,1295.199023561331
2023-11-22,EQ,"1,304.95","1,309.60","1,298.00","1,298.90","1,305.00",1306.0,"1,305.62","1,465.85","1,024.50","5,90,510","77,09,84,349.35","25,026",1309.5940523489871,1313.912563487584,1295.306495963706
2023-11-23,EQ,"1,309.80","1,315.00","1,297.05","1,306.00","1,301.10",1301.45,"1,304.08","1,465.85","1,024.50","2,43,581","31,76,49,228.75","13,008",1309.274677747066,1313.6657800521864,1295.3676253571018
2023-11-24,EQ,"1,304.95","1,305.10","1,285.70","1,301.45","1,291.10",1294.3,"1,294.85","1,465.85","1,024.50","4,71,600","61,06,49,021.20","22,808",1308.6874354824754,1313.282299259074,1295.3570022192202
2023-11-28,EQ,"1,294.30","1,294.35","1,278.00","1,294.30","1,281.90",1281.25,"1,285.90","1,465.85","1,024.50","4,46,363","57,39,78,014.05","37,620",1307.6114576204177,1312.6479963034485,1295.216634037935
2023-11-29,EQ,"1,293.90","1,295.15","1,284.20","1,281.25","1,290.70",1288.05,"1,289.88","1,465.85","1,024.50","5,68,761","73,36,34,359.25","30,744",1306.8443416353032,1312.1609072677368,1295.1453242465127
2023-11-30,EQ,"1,292.70","1,308.10","1,282.30","1,288.05","1,305.00",1302.65,"1,298.73","1,465.85","1,024.50","10,03,617","1,30,34,30,182.90","30,457",1306.679857649605,1311.9725724703558,1295.2199976370946
2023-12-01,EQ,"1,315.00","1,320.00","1,306.00","1,302.65","1,311.00",1312.45,"1,312.47","1,465.85","1,024.50","4,06,906","53,40,51,399.95","34,198",1306.9061377417777,1311.9820264808436,1295.3914404466757
2023-12-04,EQ,"1,321.00","1,324.90","1,308.60","1,312.45","1,314.90",1313.7,"1,314.42","1,465.85","1,024.50","5,74,357","75,49,49,147.95","38,624",1307.172563712688,1312.016045758451,1295.5736151685994
2023-12-05,EQ,"1,313.85","1,321.00","1,305.00","1,313.70","1,318.00",1317.55,"1,314.84","1,465.85","1,024.50","3,89,012","51,14,87,927.20","26,928",1307.5795219984652,1312.1256290107583,1295.7922856644343
2023-12-06,EQ,"1,320.10","1,339.90","1,320.10","1,317.55","1,322.15",1324.45,"1,330.72","1,465.85","1,024.50","6,58,995","87,69,39,892.05","30,952",1308.2411093710746,1312.369675961041,1296.077437050858
