ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-Jun-2025","EQ","32.34","33.36","31.22","32.27","33.10","33.16","32.44","57.50","21.97","2,99,50,626","97,16,96,855.91","51,739"
"13-Jun-2025","EQ","33.10","33.55","29.05","34.53","32.44","32.27","32.65","57.50","21.97","6,19,24,679","2,02,20,22,576.20","86,179"
"12-Jun-2025","EQ","36.22","36.44","34.36","36.19","34.63","34.53","35.25","57.50","21.97","3,36,28,915","1,18,54,23,738.86","44,668"
"11-Jun-2025","EQ","36.55","37.39","35.59","36.39","36.12","36.19","36.63","57.50","21.97","4,68,62,169","1,71,64,10,707.20","54,489"
"10-Jun-2025","EQ","36.30","36.89","35.83","36.12","36.26","36.39","36.40","57.50","21.97","3,86,29,560","1,40,61,11,816.61","45,997"
"09-Jun-2025","EQ","35.07","36.37","34.93","34.83","36.03","36.12","35.79","57.50","21.97","3,44,19,276","1,23,17,16,086.54","48,264"
"06-Jun-2025","EQ","35.49","35.53","34.60","35.22","34.79","34.83","34.94","57.50","21.97","2,03,58,783","71,13,35,036.48","32,005"
"05-Jun-2025","EQ","34.50","35.70","34.27","34.23","35.11","35.22","35.14","57.50","21.97","4,46,93,556","1,57,03,63,065.88","55,097"
"04-Jun-2025","EQ","32.87","34.84","32.26","32.77","34.28","34.23","33.73","57.50","21.97","3,75,52,061","1,26,66,58,130.77","51,500"
"03-Jun-2025","EQ","34.33","34.50","32.62","34.41","32.75","32.77","33.36","57.50","21.97","2,30,29,703","76,82,22,255.69","37,837"
"02-Jun-2025","EQ","33.80","34.69","33.54","33.79","34.18","34.41","34.28","57.50","21.97","4,43,49,800","1,52,05,21,935.98","52,445"
"30-May-2025","EQ","32.00","34.33","31.15","31.88","33.74","33.79","33.11","57.50","21.97","7,07,80,338","2,34,36,00,536.19","89,084"
"29-May-2025","EQ","31.99","32.69","31.70","31.77","31.88","31.88","32.05","57.50","21.97","1,91,13,918","61,25,87,887.82","27,753"
"28-May-2025","EQ","31.80","32.22","31.50","31.61","31.80","31.77","31.87","57.50","21.97","1,94,04,737","61,84,51,044.17","27,440"
"27-May-2025","EQ","30.99","32.35","30.83","31.11","31.58","31.61","31.63","57.50","21.97","3,73,55,997","1,18,15,83,976.63","44,237"
"26-May-2025","EQ","29.60","31.57","29.37","29.40","31.06","31.11","30.95","57.50","21.97","5,52,91,679","1,71,14,48,874.92","73,639"
"23-May-2025","EQ","29.25","29.80","28.82","29.20","29.37","29.40","29.36","57.50","21.97","2,04,98,977","60,18,17,639.62","28,881"
"22-May-2025","EQ","29.24","29.90","28.86","29.34","29.21","29.20","29.32","57.50","21.97","1,41,38,829","41,45,56,722.54","23,441"
"21-May-2025","EQ","29.32","29.61","28.71","29.29","29.38","29.34","29.17","57.50","21.97","1,91,20,913","55,78,07,373.33","33,931"
"20-May-2025","EQ","30.69","30.69","29.12","30.36","29.46","29.29","29.73","57.50","21.97","2,56,84,749","76,36,06,880.36","42,338"
"19-May-2025","EQ","30.66","31.24","30.10","30.42","30.27","30.36","30.70","57.50","21.97","3,56,99,505","1,09,60,02,048.02","51,908"
"16-May-2025","EQ","28.15","30.69","27.86","28.13","30.50","30.42","29.39","57.50","21.97","5,64,02,326","1,65,75,28,077.00","65,294"
"15-May-2025","EQ","27.75","28.49","27.75","27.74","28.10","28.13","28.19","57.50","21.97","1,68,75,069","47,56,37,002.47","27,211"
"14-May-2025","EQ","27.61","28.39","27.30","27.54","27.83","27.74","27.92","57.50","21.97","2,27,18,944","63,42,79,089.99","40,077"
"13-May-2025","EQ","26.31","27.70","26.04","26.31","27.50","27.54","27.02","57.50","21.97","2,74,95,990","74,30,44,938.82","37,880"
"12-May-2025","EQ","25.82","26.43","25.21","24.31","26.28","26.31","25.96","57.50","21.97","2,58,90,627","67,22,49,071.84","41,432"
"09-May-2025","EQ","23.41","24.50","23.29","23.90","24.43","24.31","24.03","57.50","21.97","2,04,94,280","49,25,79,860.37","40,191"
"08-May-2025","EQ","24.96","25.45","23.55","24.86","23.78","23.90","24.71","57.50","21.97","1,34,45,366","33,22,08,669.09","25,509"
