ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","213.30","218.51","212.60","212.47","215.99","214.98","215.42","258.00","182.42","2,63,854","5,68,39,028.22","7,010"
"12-Aug-2025","EQ","212.60","214.77","211.34","211.59","212.89","212.47","212.71","258.00","182.42","74,425","1,58,31,056.78","2,779"
"11-Aug-2025","EQ","211.00","214.40","209.11","210.24","210.51","211.59","211.84","258.00","182.42","58,185","1,23,25,750.08","3,522"
"08-Aug-2025","EQ","211.90","212.94","209.93","211.17","210.59","210.24","210.97","258.00","182.42","55,970","1,18,08,148.42","3,043"
"07-Aug-2025","EQ","210.00","213.28","208.30","210.32","211.70","211.17","210.93","258.00","182.42","88,596","1,86,87,227.53","8,311"
"06-Aug-2025","EQ","213.57","214.88","208.41","213.57","210.99","210.32","211.18","258.00","182.42","89,277","1,88,53,221.01","3,545"
"05-Aug-2025","EQ","213.50","216.40","212.21","213.17","213.55","213.57","214.35","258.00","182.42","1,53,183","3,28,35,059.70","7,585"
"04-Aug-2025","EQ","211.59","216.00","211.01","210.80","212.81","213.17","214.46","258.00","182.42","1,15,009","2,46,64,359.57","7,966"
"01-Aug-2025","EQ","212.00","216.78","209.10","212.90","210.10","210.80","213.08","258.00","182.42","1,97,157","4,20,10,313.11","9,900"
"31-Jul-2025","EQ","214.00","214.95","210.86","215.81","212.90","212.90","213.19","258.00","182.42","79,519","1,69,52,609.98","5,486"
"30-Jul-2025","EQ","217.00","217.70","214.48","217.70","216.00","215.81","216.01","258.00","182.42","2,84,433","6,14,41,738.08","11,663"
"29-Jul-2025","EQ","210.98","221.70","210.98","210.22","216.41","217.70","216.82","258.00","182.42","5,62,458","12,19,53,355.30","12,949"
"28-Jul-2025","EQ","212.53","216.64","209.42","212.43","210.98","210.22","212.67","258.00","182.42","1,50,367","3,19,78,948.04","6,250"
"25-Jul-2025","EQ","214.10","215.93","211.78","214.64","212.51","212.43","213.53","258.00","182.42","81,345","1,73,69,966.77","4,802"
"24-Jul-2025","EQ","218.30","218.33","213.40","217.58","214.39","214.64","215.60","258.00","182.42","1,76,701","3,80,97,118.96","7,506"
"23-Jul-2025","EQ","214.40","218.45","212.86","213.58","217.00","217.58","216.57","258.00","182.42","4,99,795","10,82,38,500.98","9,778"
"22-Jul-2025","EQ","215.00","216.11","212.65","214.17","214.00","213.58","214.18","258.00","182.42","2,14,150","4,58,67,554.66","5,709"
"21-Jul-2025","EQ","212.80","216.75","212.46","211.99","214.01","214.17","214.82","258.00","182.42","3,17,417","6,81,86,043.09","7,693"
"18-Jul-2025","EQ","212.60","215.40","209.47","212.25","211.90","211.99","212.14","258.00","182.42","2,58,808","5,49,03,666.20","4,627"
"17-Jul-2025","EQ","216.00","217.80","211.21","213.13","212.10","212.25","214.88","258.00","182.42","4,69,559","10,09,00,590.66","9,743"
"16-Jul-2025","EQ","212.64","216.49","210.90","212.88","213.50","213.13","213.15","258.00","182.42","2,20,853","4,70,74,235.34","4,523"
"15-Jul-2025","EQ","215.65","215.65","212.33","215.24","212.64","212.88","213.55","258.00","182.42","1,60,746","3,43,27,884.33","4,414"
"14-Jul-2025","EQ","214.00","218.40","213.16","211.78","215.20","215.24","215.78","258.00","182.42","6,28,683","13,56,55,930.03","12,866"
