ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","73.54","73.84","71.80","73.19","71.94","71.99","72.71","171.00","71.60","45,13,554","32,81,62,958.63","20,907"
"11-Aug-2025","EQ","73.00","73.87","72.25","72.95","73.19","73.19","73.08","171.00","71.60","44,95,272","32,85,16,739.86","23,235"
"08-Aug-2025","EQ","73.95","74.47","72.60","73.96","72.75","72.95","73.62","171.00","71.60","37,33,818","27,48,72,877.49","16,094"
"07-Aug-2025","EQ","72.65","74.28","72.15","72.86","74.23","73.96","73.18","171.00","71.60","66,86,300","48,93,16,415.05","23,702"
"06-Aug-2025","EQ","74.11","74.60","72.57","74.02","72.87","72.86","73.15","171.00","71.60","1,05,62,288","77,26,23,700.19","32,506"
"05-Aug-2025","EQ","75.15","75.54","73.65","75.01","74.11","74.02","74.30","171.00","71.60","46,77,682","34,75,31,827.92","20,160"
"04-Aug-2025","EQ","73.50","75.29","73.26","73.26","75.29","75.01","74.28","171.00","71.60","1,17,14,562","87,01,32,666.16","25,190"
"01-Aug-2025","EQ","75.60","76.10","72.94","75.57","73.16","73.26","74.48","171.00","71.60","74,40,393","55,41,69,122.95","28,282"
"31-Jul-2025","EQ","76.47","77.05","75.41","77.00","75.90","75.57","75.94","171.00","71.60","1,18,44,443","89,94,22,596.80","29,155"
"30-Jul-2025","EQ","78.75","79.10","76.75","78.67","76.85","77.00","77.74","171.00","71.60","58,60,749","45,56,12,745.32","25,683"
"29-Jul-2025","EQ","76.38","78.99","75.92","76.38","78.45","78.67","77.80","171.00","71.60","1,04,64,692","81,41,85,641.81","41,080"
"28-Jul-2025","EQ","75.91","79.00","75.46","75.94","76.29","76.38","77.43","171.00","71.60","1,31,12,568","1,01,53,05,669.17","47,345"
"25-Jul-2025","EQ","79.29","79.78","75.40","79.25","75.90","75.94","77.09","171.00","71.60","1,90,87,592","1,47,13,83,772.36","61,520"
"24-Jul-2025","EQ","81.00","81.32","79.05","80.71","79.18","79.25","79.79","171.00","71.60","72,23,726","57,64,14,503.72","31,804"
"23-Jul-2025","EQ","80.64","81.62","79.87","80.32","80.85","80.71","80.61","171.00","71.60","61,75,205","49,77,52,733.99","25,349"
"22-Jul-2025","EQ","82.13","82.94","80.01","81.73","80.85","80.32","81.08","171.00","71.60","71,37,619","57,86,85,490.47","28,531"
"21-Jul-2025","EQ","81.56","82.29","80.93","81.56","81.90","81.73","81.75","171.00","71.60","45,51,018","37,20,33,652.24","17,979"
"18-Jul-2025","EQ","82.63","83.00","81.08","82.61","81.55","81.56","81.82","171.00","71.60","52,34,128","42,82,64,889.68","20,750"
"17-Jul-2025","EQ","83.50","83.67","82.51","83.37","82.63","82.61","83.02","171.00","71.60","42,35,645","35,16,55,327.62","16,483"
