ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","997.80","1,005.00","981.00","989.80","993.10","995.30","988.05","1,665.20","928.55","41,330","4,08,35,918.70","5,149"
"12-Aug-2025","EQ","991.20","1,009.00","986.10","995.50","993.90","989.80","994.68","1,665.20","928.55","44,974","4,47,34,900.90","6,406"
"11-Aug-2025","EQ","1,014.90","1,018.80","988.50","992.70","991.10","995.50","999.41","1,665.20","928.55","78,955","7,89,08,245.10","8,323"
"08-Aug-2025","EQ","965.00","997.80","959.00","965.00","992.00","992.70","988.19","1,665.20","928.55","73,610","7,27,40,950.60","8,265"
"07-Aug-2025","EQ","997.00","997.00","963.00","996.40","964.90","965.00","971.17","1,665.20","928.55","1,37,604","13,36,37,525.70","13,788"
"06-Aug-2025","EQ","1,035.00","1,038.50","988.20","1,028.20","997.00","996.40","1,005.56","1,665.20","928.55","1,23,273","12,39,58,092.20","17,772"
"05-Aug-2025","EQ","1,038.00","1,041.20","1,021.90","1,032.00","1,028.50","1,028.20","1,030.98","1,665.20","928.55","34,674","3,57,48,201.90","5,270"
"04-Aug-2025","EQ","1,027.80","1,039.50","1,016.10","1,027.10","1,039.30","1,032.00","1,025.98","1,665.20","928.55","39,463","4,04,88,074.70","6,176"
"01-Aug-2025","EQ","1,035.10","1,043.90","1,025.00","1,038.50","1,027.40","1,027.10","1,033.81","1,711.55","928.55","39,515","4,08,51,179.50","5,382"
"31-Jul-2025","EQ","1,040.00","1,055.50","1,035.50","1,055.80","1,042.00","1,038.50","1,044.11","1,711.55","928.55","51,147","5,34,02,965.70","6,377"
"30-Jul-2025","EQ","1,040.00","1,059.90","1,039.10","1,039.70","1,055.20","1,055.80","1,052.04","1,711.55","928.55","49,373","5,19,42,419.80","6,826"
"29-Jul-2025","EQ","1,040.00","1,065.50","1,036.20","1,046.20","1,040.00","1,039.70","1,047.18","1,711.55","928.55","63,483","6,64,78,301.50","8,268"
"28-Jul-2025","EQ","1,065.50","1,065.50","1,039.50","1,062.20","1,039.70","1,046.20","1,052.72","1,711.55","928.55","47,928","5,04,54,602.10","9,087"
"25-Jul-2025","EQ","1,077.00","1,077.30","1,060.00","1,077.30","1,066.00","1,062.20","1,068.31","1,760.55","928.55","50,500","5,39,49,404.70","7,248"
"24-Jul-2025","EQ","1,084.50","1,086.30","1,071.50","1,084.50","1,077.40","1,077.30","1,077.78","1,760.55","928.55","38,466","4,14,57,734.30","5,999"
"23-Jul-2025","EQ","1,079.80","1,090.00","1,069.50","1,079.30","1,076.00","1,084.50","1,078.70","1,760.55","928.55","49,141","5,30,08,218.90","6,593"
"22-Jul-2025","EQ","1,090.00","1,103.10","1,076.00","1,088.90","1,079.60","1,079.30","1,086.57","1,760.55","928.55","67,939","7,38,20,629.60","8,537"
"21-Jul-2025","EQ","1,103.00","1,106.00","1,086.00","1,101.70","1,094.40","1,088.90","1,093.70","1,760.55","928.55","55,773","6,09,98,910.40","6,912"
"18-Jul-2025","EQ","1,121.40","1,122.00","1,090.00","1,115.60","1,100.00","1,101.70","1,102.84","1,879.90","928.55","66,220","7,30,29,920.70","7,923"
"17-Jul-2025","EQ","1,112.00","1,123.90","1,103.60","1,103.50","1,115.00","1,115.60","1,114.96","1,879.90","928.55","2,16,309","24,11,76,654.90","9,775"
"16-Jul-2025","EQ","1,081.00","1,117.00","1,075.00","1,082.40","1,101.00","1,103.50","1,103.14","1,879.90","928.55","1,67,444","18,47,14,458.80","13,333"
"15-Jul-2025","EQ","1,071.20","1,089.20","1,071.20","1,071.20","1,080.50","1,082.40","1,079.93","1,879.90","928.55","66,839","7,21,81,470.30","6,271"
"14-Jul-2025","EQ","1,094.70","1,094.70","1,063.40","1,087.60","1,070.10","1,071.20","1,074.77","1,879.90","928.55","1,00,141","10,76,28,304.40","7,782"
"11-Jul-2025","EQ","1,121.00","1,143.00","1,082.10","1,114.40","1,087.30","1,087.60","1,113.98","1,879.90","928.55","2,93,058","32,64,61,739.50","19,545"
"10-Jul-2025","EQ","1,065.00","1,123.90","1,064.20","1,064.20","1,114.00","1,114.40","1,104.04","1,879.90","928.55","3,54,878","39,17,98,136.50","25,274"
"09-Jul-2025","EQ","1,054.20","1,069.80","1,049.90","1,050.80","1,065.00","1,064.20","1,062.98","1,879.90","928.55","83,793","8,90,70,203.70","11,432"
"08-Jul-2025","EQ","1,060.30","1,063.10","1,046.00","1,060.30","1,050.10","1,050.80","1,051.64","1,879.90","928.55","98,220","10,32,92,399.00","7,306"
"07-Jul-2025","EQ","1,063.00","1,069.50","1,053.40","1,062.20","1,060.90","1,060.30","1,060.49","1,879.90","928.55","91,069","9,65,77,882.10","8,229"
"04-Jul-2025","EQ","1,057.00","1,064.80","1,053.40","1,054.40","1,062.50","1,062.20","1,060.00","1,879.90","928.55","46,033","4,87,94,850.30","5,787"
"03-Jul-2025","EQ","1,046.00","1,057.00","1,044.10","1,040.60","1,053.00","1,054.40","1,051.56","1,879.90","928.55","68,443","7,19,71,615.10","5,144"
"02-Jul-2025","EQ","1,092.00","1,092.00","1,036.20","1,085.00","1,040.00","1,040.60","1,048.99","1,879.90","928.55","2,11,619","22,19,86,956.20","15,972"
"01-Jul-2025","EQ","1,084.10","1,092.10","1,075.40","1,078.00","1,081.80","1,085.00","1,084.03","1,879.90","928.55","80,650","8,74,26,660.80","6,448"
"30-Jun-2025","EQ","1,059.40","1,084.00","1,058.00","1,050.20","1,078.00","1,078.00","1,073.89","1,879.90","928.55","1,64,076","17,61,99,885.60","10,930"
"27-Jun-2025","EQ","1,068.60","1,073.10","1,047.90","1,062.30","1,050.00","1,050.20","1,059.11","1,879.90","928.55","1,04,431","11,06,03,535.90","7,491"
"26-Jun-2025","EQ","1,049.50","1,065.00","1,046.40","1,040.10","1,062.50","1,062.30","1,057.04","1,879.90","928.55","99,006","10,46,53,314.70","8,379"
"25-Jun-2025","EQ","1,040.30","1,064.80","1,038.00","1,036.60","1,040.00","1,040.10","1,051.00","1,879.90","928.55","1,19,356","12,54,42,837.50","9,070"
"24-Jun-2025","EQ","1,050.00","1,067.00","1,033.00","1,013.20","1,037.40","1,036.60","1,050.02","1,879.90","928.55","3,44,532","36,17,65,813.20","22,492"
"23-Jun-2025","EQ","996.00","1,017.10","994.80","1,003.90","1,010.00","1,013.20","1,007.29","1,879.90","928.55","1,10,413","11,12,17,516.00","9,175"
"20-Jun-2025","EQ","1,013.00","1,024.00","1,002.00","1,017.40","1,003.10","1,003.90","1,010.49","1,879.90","928.55","1,51,790","15,33,82,713.20","12,063"
"19-Jun-2025","EQ","1,021.70","1,037.90","1,008.00","1,026.80","1,018.00","1,017.40","1,018.57","1,879.90","928.55","77,487","7,89,25,669.30","7,992"
"18-Jun-2025","EQ","1,018.10","1,040.00","1,012.70","1,022.60","1,025.10","1,026.80","1,028.92","1,879.90","928.55","70,627","7,26,69,732.00","6,968"
"17-Jun-2025","EQ","1,060.10","1,064.70","1,016.10","1,052.50","1,019.90","1,022.60","1,036.77","1,879.90","928.55","2,02,058","20,94,86,884.70","19,074"
"16-Jun-2025","EQ","1,059.00","1,066.40","1,025.10","1,059.50","1,050.00","1,052.50","1,043.59","1,879.90","928.55","1,20,942","12,62,13,625.10","13,965"
"13-Jun-2025","EQ","1,070.00","1,075.90","1,051.30","1,077.70","1,060.00","1,059.50","1,063.51","1,879.90","928.55","1,16,000","12,33,67,637.40","11,885"
"12-Jun-2025","EQ","1,127.90","1,143.40","1,065.70","1,103.40","1,084.90","1,077.70","1,107.53","1,879.90","928.55","3,17,223","35,13,33,521.00","22,551"
"11-Jun-2025","EQ","1,105.00","1,115.00","1,088.00","1,103.20","1,100.10","1,103.40","1,105.72","1,879.90","928.55","65,080","7,19,60,543.00","7,300"
"10-Jun-2025","EQ","1,100.20","1,123.80","1,098.00","1,100.10","1,100.00","1,103.20","1,111.16","1,879.90","928.55","1,30,657","14,51,80,799.70","11,305"
"09-Jun-2025","EQ","1,091.70","1,105.40","1,081.00","1,087.40","1,096.50","1,100.10","1,094.69","1,879.90","928.55","1,34,498","14,72,33,319.20","11,231"
"06-Jun-2025","EQ","1,058.00","1,090.90","1,057.60","1,049.30","1,090.00","1,087.40","1,075.14","1,879.90","928.55","1,08,612","11,67,72,788.80","12,026"
"05-Jun-2025","EQ","1,061.00","1,082.60","1,040.60","1,060.10","1,056.30","1,049.30","1,064.00","1,879.90","928.55","1,74,799","18,59,85,468.90","16,477"
"04-Jun-2025","EQ","1,074.10","1,079.70","1,053.80","1,074.00","1,058.40","1,060.10","1,061.64","1,879.90","928.55","1,16,907","12,41,12,779.00","12,528"
"03-Jun-2025","EQ","1,127.00","1,129.40","1,069.30","1,131.50","1,073.00","1,074.00","1,084.80","1,879.90","928.55","3,55,508","38,56,55,020.90","33,529"
"02-Jun-2025","EQ","1,120.50","1,136.60","1,113.00","1,119.80","1,135.00","1,131.50","1,129.69","1,879.90","928.55","56,166","6,34,50,369.70","7,865"
"30-May-2025","EQ","1,136.00","1,139.90","1,115.00","1,131.30","1,119.00","1,119.80","1,122.51","1,879.90","928.55","65,280","7,32,77,449.60","10,676"
"29-May-2025","EQ","1,128.00","1,135.50","1,116.00","1,109.80","1,128.60","1,131.30","1,125.19","1,879.90","928.55","97,757","10,99,95,204.30","10,516"
"28-May-2025","EQ","1,121.50","1,133.30","1,105.00","1,112.40","1,120.00","1,109.80","1,114.98","1,879.90","928.55","93,677","10,44,47,811.40","9,059"
"27-May-2025","EQ","1,124.00","1,135.30","1,108.00","1,126.40","1,110.00","1,112.40","1,122.61","1,879.90","928.55","96,256","10,80,57,910.00","8,409"
"26-May-2025","EQ","1,141.20","1,155.30","1,111.00","1,137.90","1,118.80","1,126.40","1,130.24","1,879.90","928.55","1,38,802","15,68,79,456.50","14,157"
"23-May-2025","EQ","1,165.00","1,198.00","1,132.60","1,159.40","1,139.90","1,137.90","1,162.72","1,879.90","928.55","1,83,663","21,35,47,850.40","16,154"
"22-May-2025","EQ","1,180.10","1,187.70","1,140.10","1,253.80","1,170.30","1,159.40","1,166.71","1,879.90","928.55","4,32,160","50,42,04,739.40","46,158"
"21-May-2025","EQ","1,234.90","1,263.40","1,220.50","1,234.90","1,251.10","1,253.80","1,247.11","1,879.90","928.55","1,12,809","14,06,84,729.40","10,863"
"20-May-2025","EQ","1,249.00","1,275.00","1,208.60","1,236.00","1,236.70","1,234.90","1,244.19","1,879.90","928.55","1,39,839","17,39,86,958.70","17,684"
"19-May-2025","EQ","1,229.90","1,269.80","1,217.60","1,227.30","1,231.90","1,236.00","1,242.18","1,879.90","928.55","1,22,978","15,27,60,767.80","12,644"
"16-May-2025","EQ","1,192.50","1,235.00","1,180.60","1,185.70","1,229.90","1,227.30","1,216.63","1,879.90","928.55","1,66,073","20,20,49,357.40","13,727"
"15-May-2025","EQ","1,156.00","1,196.00","1,148.80","1,149.70","1,192.00","1,185.70","1,173.59","1,879.90","928.55","96,601","11,33,69,655.90","8,514"
"14-May-2025","EQ","1,144.00","1,162.30","1,141.00","1,142.60","1,155.00","1,149.70","1,151.49","1,879.90","928.55","59,617","6,86,48,317.60","7,871"
"13-May-2025","EQ","1,131.90","1,155.00","1,125.70","1,131.30","1,148.00","1,142.60","1,141.14","1,879.90","928.55","62,545","7,13,72,450.00","9,034"
"12-May-2025","EQ","1,113.00","1,144.00","1,110.30","1,072.10","1,132.90","1,131.30","1,131.48","1,879.90","928.55","73,818","8,35,23,766.00","10,055"
"09-May-2025","EQ","1,041.00","1,077.40","1,041.00","1,080.20","1,075.00","1,072.10","1,067.41","1,879.90","928.55","54,261","5,79,18,966.00","13,293"
"08-May-2025","EQ","1,099.60","1,125.00","1,075.10","1,099.60","1,078.00","1,080.20","1,106.45","1,879.90","928.55","47,682","5,27,57,765.40","10,238"
