ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","270.00","275.55","264.60","269.55","267.85","268.20","269.13","464.75","264.60","3,77,292","10,15,41,268.20","16,117"
"11-Aug-2025","EQ","294.80","294.80","266.75","290.60","269.50","269.55","272.78","464.75","266.75","7,93,924","21,65,68,798.60","34,730"
"08-Aug-2025","EQ","285.00","298.00","285.00","292.75","289.50","290.60","290.59","464.75","281.00","4,45,063","12,93,30,904.80","18,629"
"07-Aug-2025","EQ","306.95","307.65","281.00","307.65","292.00","292.75","290.13","464.75","281.00","11,77,922","34,17,47,104.60","45,166"
"06-Aug-2025","EQ","315.00","318.45","302.50","316.05","307.00","307.65","308.99","464.75","302.50","2,40,645","7,43,57,647.70","11,442"
"05-Aug-2025","EQ","315.60","319.00","311.45","314.70","316.25","316.05","314.84","464.75","309.15","1,38,023","4,34,55,564.70","6,839"
"04-Aug-2025","EQ","318.00","320.00","312.55","317.25","315.25","314.70","315.46","464.75","309.15","1,43,947","4,54,09,525.50","9,027"
"01-Aug-2025","EQ","323.00","330.00","315.00","323.10","316.05","317.25","323.32","464.75","309.15","3,49,476","11,29,91,230.05","15,761"
"31-Jul-2025","EQ","325.00","328.00","322.00","329.80","323.00","323.10","324.85","464.75","309.15","1,70,966","5,55,38,087.10","6,960"
"30-Jul-2025","EQ","325.90","331.05","322.00","324.45","329.25","329.80","327.13","464.75","309.15","3,16,770","10,36,24,614.30","12,560"
"29-Jul-2025","EQ","323.00","332.40","320.30","323.50","325.30","324.45","325.78","464.75","309.15","2,40,742","7,84,29,686.50","10,668"
"28-Jul-2025","EQ","331.65","336.50","322.35","331.95","323.00","323.50","328.32","464.75","309.15","2,22,557","7,30,69,069.30","9,518"
"25-Jul-2025","EQ","337.45","338.20","330.25","338.55","332.15","331.95","333.34","464.75","309.15","1,44,539","4,81,81,149.90","7,434"
"24-Jul-2025","EQ","342.70","343.85","333.05","342.15","339.85","338.55","338.36","464.75","309.15","3,00,678","10,17,36,525.85","9,799"
"23-Jul-2025","EQ","339.40","343.50","338.35","337.95","342.20","342.15","341.54","464.75","309.15","1,52,167","5,19,70,964.85","5,195"
"22-Jul-2025","EQ","339.00","339.35","328.00","337.75","336.55","337.95","333.46","464.75","309.15","5,56,697","18,56,38,743.40","13,567"
"21-Jul-2025","EQ","344.00","345.30","337.10","343.25","337.90","337.75","339.23","464.75","309.15","1,70,388","5,78,00,705.00","6,202"
"18-Jul-2025","EQ","353.00","353.80","342.15","352.05","344.00","343.25","346.33","464.75","309.15","2,05,525","7,11,79,350.30","10,178"
"17-Jul-2025","EQ","346.55","355.00","345.15","346.90","352.00","352.05","351.45","464.75","309.15","2,92,091","10,26,54,323.75","11,748"
"16-Jul-2025","EQ","347.15","349.90","345.05","347.15","347.00","346.90","347.12","464.75","309.15","1,20,159","4,17,10,102.85","5,609"
"15-Jul-2025","EQ","343.70","348.95","343.60","342.85","347.80","347.15","346.45","464.75","309.15","2,21,871","7,68,67,255.85","11,149"
"14-Jul-2025","EQ","340.00","345.70","336.40","340.50","342.75","342.85","341.61","464.75","309.15","1,92,078","6,56,15,775.00","7,789"
"11-Jul-2025","EQ","340.00","345.45","339.10","340.05","340.00","340.50","341.89","464.75","309.15","1,64,590","5,62,72,056.60","7,867"
"10-Jul-2025","EQ","343.80","346.40","338.80","342.85","341.00","340.05","341.36","464.75","309.15","1,54,009","5,25,72,577.15","7,655"
"09-Jul-2025","EQ","344.85","346.50","341.95","344.00","342.45","342.85","343.62","464.75","309.15","1,42,929","4,91,13,789.65","6,784"
"08-Jul-2025","EQ","344.00","347.55","340.70","341.85","344.50","344.00","343.78","464.75","309.15","1,43,861","4,94,56,922.20","8,648"
"07-Jul-2025","EQ","345.90","349.90","340.95","345.45","341.80","341.85","344.04","464.75","309.15","1,53,882","5,29,42,046.55","6,394"
"04-Jul-2025","EQ","347.25","349.05","342.80","347.30","345.85","345.45","346.22","464.75","309.15","1,76,039","6,09,48,331.45","6,813"
"03-Jul-2025","EQ","346.55","350.00","344.45","346.55","347.25","347.30","347.47","464.75","309.15","2,29,867","7,98,72,331.10","10,576"
"02-Jul-2025","EQ","346.85","348.95","339.05","346.05","346.10","346.55","343.75","464.75","309.15","6,63,442","22,80,55,834.20","22,485"
"01-Jul-2025","EQ","355.95","361.90","343.35","358.90","345.80","346.05","348.97","464.75","309.15","9,36,452","32,67,97,973.00","30,557"
"30-Jun-2025","EQ","362.20","364.55","355.10","362.95","359.15","358.90","358.50","464.75","309.15","2,96,420","10,62,65,211.70","10,550"
"27-Jun-2025","EQ","360.90","364.05","357.80","359.70","361.00","362.95","361.05","464.75","307.90","1,67,346","6,04,20,487.45","8,083"
"26-Jun-2025","EQ","367.80","369.50","358.75","366.45","360.00","359.70","362.28","464.75","307.90","2,43,585","8,82,45,742.35","10,710"
"25-Jun-2025","EQ","361.80","372.70","361.80","366.80","366.80","366.45","367.86","464.75","307.90","1,89,251","6,96,17,588.15","9,819"
"24-Jun-2025","EQ","359.10","369.40","359.10","357.15","366.25","366.80","365.47","464.75","307.90","1,85,661","6,78,52,891.35","10,367"
"23-Jun-2025","EQ","355.00","362.10","354.55","359.45","356.40","357.15","357.63","464.75","307.90","1,55,341","5,55,54,124.10","8,741"
"20-Jun-2025","EQ","360.95","362.50","357.00","359.75","360.00","359.45","359.51","464.75","294.30","1,28,616","4,62,39,023.25","8,471"
"19-Jun-2025","EQ","365.70","369.00","357.25","365.55","358.00","359.75","361.93","464.75","294.30","1,47,976","5,35,56,251.80","9,543"
"18-Jun-2025","EQ","372.00","374.85","363.50","370.50","364.80","365.55","369.11","464.75","294.30","2,03,837","7,52,38,636.85","10,988"
"17-Jun-2025","EQ","380.00","382.30","369.00","375.90","371.55","370.50","376.32","464.75","294.30","2,65,969","10,00,90,038.45","12,139"
"16-Jun-2025","EQ","377.00","379.85","370.90","375.80","375.00","375.90","374.74","464.75","294.30","1,43,519","5,37,82,952.05","7,471"
"13-Jun-2025","EQ","374.85","377.85","371.40","379.15","375.90","375.80","374.37","464.75","291.80","1,73,076","6,47,94,067.15","7,705"
"12-Jun-2025","EQ","377.40","386.25","376.40","376.25","378.00","379.15","380.92","464.75","291.80","3,89,934","14,85,34,813.25","13,473"
"11-Jun-2025","EQ","377.80","380.65","374.30","376.85","375.55","376.25","378.58","464.75","291.80","2,86,852","10,85,97,715.65","9,965"
"10-Jun-2025","EQ","377.60","381.95","375.00","375.65","377.50","376.85","377.58","464.75","291.80","2,58,143","9,74,70,313.40","10,495"
"09-Jun-2025","EQ","372.95","377.00","372.40","372.35","376.45","375.65","374.62","464.75","291.80","2,12,631","7,96,55,928.15","9,189"
"06-Jun-2025","EQ","375.50","378.00","371.50","374.70","372.50","372.35","373.35","464.75","267.25","1,55,345","5,79,97,712.40","7,458"
"05-Jun-2025","EQ","379.60","382.70","373.25","378.95","374.90","374.70","377.82","464.75","267.25","2,08,566","7,88,00,396.35","10,363"
"04-Jun-2025","EQ","376.80","382.50","376.05","375.75","378.45","378.95","379.78","464.75","267.25","1,96,551","7,46,45,292.00","8,975"
"03-Jun-2025","EQ","376.00","380.00","374.10","375.80","376.90","375.75","376.88","464.75","267.25","2,04,505","7,70,73,474.35","8,338"
"02-Jun-2025","EQ","372.10","387.00","370.30","372.15","375.20","375.80","379.10","464.75","267.25","5,65,415","21,43,46,965.00","21,203"
"30-May-2025","EQ","371.95","379.55","371.35","371.90","372.75","372.15","373.99","464.75","267.25","2,83,505","10,60,27,532.15","11,458"
"29-May-2025","EQ","374.00","375.20","371.10","375.80","371.70","371.90","373.17","464.75","267.25","2,33,492","8,71,31,148.00","8,833"
"28-May-2025","EQ","375.00","379.80","374.15","372.45","375.05","375.80","376.78","464.75","267.25","3,27,760","12,34,94,871.45","17,295"
"27-May-2025","EQ","379.30","379.30","371.00","379.35","371.60","372.45","373.89","464.75","267.25","4,62,630","17,29,71,149.30","16,741"
"26-May-2025","EQ","398.00","398.00","376.00","404.70","379.85","379.35","381.80","464.75","267.25","10,44,610","39,88,33,239.05","28,952"
"23-May-2025","EQ","407.80","423.00","402.35","406.55","403.05","404.70","413.17","464.75","267.25","7,13,234","29,46,88,634.70","26,394"
"22-May-2025","EQ","401.00","410.95","400.55","404.60","406.80","406.55","405.48","464.75","267.25","2,43,044","9,85,50,371.15","11,121"
"21-May-2025","EQ","402.55","412.25","399.80","402.65","404.20","404.60","406.79","464.75","267.25","2,50,297","10,18,18,370.20","10,554"
"20-May-2025","EQ","405.90","414.40","400.25","404.75","403.90","402.65","406.89","464.75","267.25","3,88,653","15,81,39,600.75","17,482"
"19-May-2025","EQ","385.30","407.70","385.30","388.65","405.40","404.75","402.22","464.75","267.25","6,44,557","25,92,56,127.75","24,952"
"16-May-2025","EQ","395.45","396.75","386.10","392.40","388.00","388.65","390.48","464.75","267.25","5,42,964","21,20,16,532.55","19,689"
"15-May-2025","EQ","395.00","408.00","391.00","421.50","393.00","392.40","396.10","464.75","267.25","13,92,194","55,14,48,929.10","27,945"
"14-May-2025","EQ","411.70","449.25","403.70","407.60","420.00","421.50","430.51","464.75","267.25","17,50,890","75,37,77,468.80","55,071"
"13-May-2025","EQ","401.00","414.05","400.00","398.65","407.90","407.60","406.86","464.75","267.25","2,37,055","9,64,48,301.95","11,840"
"12-May-2025","EQ","393.30","402.40","391.10","387.00","399.00","398.65","397.65","464.75","267.25","2,21,331","8,80,11,610.95","14,420"
"09-May-2025","EQ","381.00","388.90","365.00","380.85","385.35","387.00","379.49","464.75","267.25","1,99,204","7,55,95,375.80","15,265"
"08-May-2025","EQ","390.20","394.25","377.25","388.20","382.00","380.85","386.72","464.75","267.25","1,96,456","7,59,73,968.15","10,975"
"07-May-2025","EQ","371.20","390.00","370.15","377.10","388.00","388.20","381.61","464.75","267.25","2,40,123","9,16,32,981.30","14,616"
"06-May-2025","EQ","399.00","399.20","373.25","397.75","375.00","377.10","383.71","464.75","267.25","3,03,470","11,64,45,969.10","16,235"
"05-May-2025","EQ","402.80","403.50","391.50","399.55","395.25","397.75","395.72","464.75","267.25","1,82,852","7,23,57,855.00","12,416"
"02-May-2025","EQ","390.80","408.70","380.30","387.75","403.00","399.55","392.89","464.75","267.25","2,85,920","11,23,36,478.85","16,022"
"30-Apr-2025","EQ","394.35","403.25","385.50","400.35","387.40","387.75","394.21","464.75","267.25","2,25,893","8,90,48,415.15","17,306"
"29-Apr-2025","EQ","400.90","404.50","394.25","399.30","398.40","400.35","399.18","464.75","267.25","1,69,841","6,77,96,739.40","11,100"
"28-Apr-2025","EQ","395.75","410.35","395.50","395.05","400.85","399.30","401.00","464.75","267.25","3,01,797","12,10,20,970.60","25,973"
"25-Apr-2025","EQ","418.00","429.95","391.55","416.75","395.75","395.05","404.44","464.75","267.25","8,60,226","34,79,07,547.85","52,151"
"24-Apr-2025","EQ","416.90","424.25","414.60","416.90","416.65","416.75","418.66","464.75","267.25","2,73,356","11,44,43,509.75","20,960"
"23-Apr-2025","EQ","412.90","424.45","410.80","410.95","417.00","416.90","418.30","464.75","267.25","5,35,438","22,39,74,077.30","28,365"
"22-Apr-2025","EQ","424.10","427.25","408.75","423.80","412.80","410.95","415.63","464.75","267.25","4,26,848","17,74,10,262.60","18,355"
"21-Apr-2025","EQ","434.00","438.15","421.50","431.60","423.60","423.80","428.65","464.75","267.25","3,71,469","15,92,28,754.55","22,849"
"17-Apr-2025","EQ","433.00","441.30","423.15","432.90","433.00","431.60","433.01","464.75","267.25","7,94,815","34,41,61,196.80","39,512"
"16-Apr-2025","EQ","417.70","456.75","416.60","414.60","432.00","432.90","441.33","464.75","267.25","33,61,083","1,48,33,47,783.35","96,405"
"15-Apr-2025","EQ","424.40","429.55","413.00","418.85","413.55","414.60","418.08","464.75","267.25","4,10,832","17,17,61,804.20","21,532"
"11-Apr-2025","EQ","391.00","432.05","388.15","383.45","418.50","418.85","416.99","464.75","267.25","9,82,456","40,96,75,295.90","43,511"
"09-Apr-2025","EQ","397.00","397.00","381.00","398.45","382.50","383.45","385.43","464.75","267.25","2,04,748","7,89,16,508.10","10,900"
"08-Apr-2025","EQ","398.95","404.30","391.30","390.20","400.00","398.45","397.81","464.75","267.25","1,34,177","5,33,77,346.50","11,124"
"07-Apr-2025","EQ","326.35","393.40","326.35","400.85","389.20","390.20","380.94","464.75","267.25","4,07,724","15,53,20,048.55","26,243"
"04-Apr-2025","EQ","425.65","429.60","397.20","425.65","408.20","400.85","413.71","464.75","266.40","6,87,972","28,46,22,596.00","27,551"
"03-Apr-2025","EQ","417.00","434.00","417.00","418.65","425.80","425.65","426.74","464.75","266.40","3,65,082","15,57,94,749.05","23,337"
"02-Apr-2025","EQ","401.20","422.85","394.75","401.20","418.85","418.65","413.92","464.75","266.40","4,07,241","16,85,63,846.20","25,635"
"01-Apr-2025","EQ","398.80","404.45","384.00","399.45","400.15","401.20","399.61","464.75","266.40","1,02,994","4,11,57,028.45","10,520"
"28-Mar-2025","EQ","405.05","409.10","394.60","405.05","399.00","399.45","400.36","464.75","262.40","1,05,254","4,21,39,307.15","7,414"
"27-Mar-2025","EQ","397.00","407.40","395.15","399.80","405.60","405.05","401.01","464.75","262.40","1,91,107","7,66,35,378.55","15,313"
"26-Mar-2025","EQ","408.95","412.05","397.25","407.70","397.80","399.80","403.55","464.75","262.40","1,52,187","6,14,15,220.65","9,295"
"25-Mar-2025","EQ","425.00","425.75","405.10","423.85","406.50","407.70","413.26","464.75","262.40","2,78,264","11,49,96,247.95","16,242"
"24-Mar-2025","EQ","412.00","425.20","412.00","410.45","424.20","423.85","419.66","464.75","262.40","3,41,848","14,34,59,604.00","18,552"
"21-Mar-2025","EQ","402.45","414.30","400.90","402.65","410.90","410.45","409.05","464.75","262.40","2,70,538","11,06,63,199.95","16,438"
"20-Mar-2025","EQ","405.80","413.20","400.00","403.95","405.00","402.65","405.93","464.75","262.40","2,51,037","10,19,03,816.40","13,936"
"19-Mar-2025","EQ","406.00","408.95","400.60","401.80","404.00","403.95","403.89","464.75","262.40","2,53,455","10,23,68,599.50","13,006"
"18-Mar-2025","EQ","387.20","405.00","384.60","383.35","404.65","401.80","398.91","464.75","262.40","3,71,733","14,82,88,234.10","19,179"
"17-Mar-2025","EQ","383.85","389.90","380.35","383.85","383.05","383.35","383.96","464.75","262.40","2,23,671","8,58,80,705.30","14,209"
"13-Mar-2025","EQ","390.35","392.90","378.10","390.70","384.55","383.85","382.82","464.75","260.30","1,52,464","5,83,66,138.35","10,312"
"12-Mar-2025","EQ","393.20","401.85","385.00","390.95","392.90","390.70","392.58","464.75","260.30","3,50,106","13,74,45,413.75","21,839"
"11-Mar-2025","EQ","368.00","393.00","363.25","370.75","392.50","390.95","385.89","464.75","260.30","5,69,948","21,99,38,100.05","29,222"
"10-Mar-2025","EQ","372.10","378.90","363.35","376.35","370.00","370.75","371.29","464.75","260.30","1,10,941","4,11,91,673.40","17,694"
"07-Mar-2025","EQ","373.50","378.95","370.35","373.90","376.85","376.35","375.87","464.75","260.30","1,24,297","4,67,19,990.90","10,148"
"06-Mar-2025","EQ","364.35","380.00","361.60","361.55","374.90","373.90","372.35","464.75","260.30","1,93,884","7,21,93,319.90","13,898"
"05-Mar-2025","EQ","357.05","366.35","357.05","358.25","363.50","361.55","362.42","464.75","260.30","1,59,045","5,76,40,488.55","10,012"
"04-Mar-2025","EQ","344.80","359.75","338.45","343.30","356.40","358.25","353.35","464.75","260.30","1,93,681","6,84,37,849.75","13,810"
"03-Mar-2025","EQ","351.00","353.80","336.00","350.70","343.00","343.30","341.58","464.75","260.30","2,71,754","9,28,24,702.25","13,075"
"28-Feb-2025","EQ","342.00","353.95","339.00","344.35","353.00","350.70","347.44","464.75","260.30","3,39,783","11,80,52,767.10","23,598"
"27-Feb-2025","EQ","343.00","348.30","340.00","343.00","348.20","344.35","343.49","464.75","260.30","1,20,202","4,12,87,701.70","7,848"
"25-Feb-2025","EQ","347.05","352.45","340.10","349.65","342.15","343.00","346.03","464.75","260.30","85,059","2,94,32,590.70","5,753"
"24-Feb-2025","EQ","355.00","355.10","348.10","357.65","350.00","349.65","351.00","464.75","260.30","1,03,508","3,63,31,153.00","11,934"
"21-Feb-2025","EQ","356.10","362.00","350.85","356.00","357.80","357.65","357.52","464.75","260.30","1,40,733","5,03,14,883.05","8,562"
"20-Feb-2025","EQ","350.65","358.45","347.55","350.65","353.25","356.00","352.68","464.75","260.30","1,02,162","3,60,30,881.25","9,518"
"19-Feb-2025","EQ","347.00","353.95","339.30","344.85","351.00","350.65","349.74","464.75","260.30","1,13,453","3,96,79,578.55","8,810"
"18-Feb-2025","EQ","346.80","347.45","334.40","347.05","346.95","344.85","340.47","464.75","260.30","1,70,385","5,80,10,837.40","14,927"
"17-Feb-2025","EQ","339.05","348.95","332.60","341.75","346.20","347.05","341.95","464.75","260.30","1,90,393","6,51,04,942.45","15,293"
"14-Feb-2025","EQ","351.70","352.30","336.10","349.15","339.25","341.75","341.95","464.75","260.30","1,66,801","5,70,37,851.90","13,945"
"13-Feb-2025","EQ","352.05","365.60","346.95","356.40","348.30","349.15","357.30","464.75","260.30","2,25,079","8,04,20,935.80","18,094"
"12-Feb-2025","EQ","348.30","359.40","334.55","348.30","357.85","356.40","348.23","464.75","260.30","3,00,750","10,47,29,341.95","25,343"
"11-Feb-2025","EQ","354.20","354.25","344.15","355.30","348.00","348.30","348.46","464.75","260.30","1,64,951","5,74,79,571.90","14,406"
"10-Feb-2025","EQ","370.00","370.00","350.00","376.90","355.00","355.30","355.11","464.75","260.30","4,21,710","14,97,55,295.15","28,683"
"07-Feb-2025","EQ","381.00","381.00","371.55","381.05","377.00","376.90","375.44","464.75","260.30","1,51,454","5,68,62,171.25","6,792"
"06-Feb-2025","EQ","374.95","385.00","372.75","374.85","381.00","381.05","378.45","464.75","260.30","5,42,474","20,53,01,322.05","22,607"
"05-Feb-2025","EQ","349.90","381.70","344.35","350.10","375.40","374.85","364.32","464.75","260.30","5,74,529","20,93,10,602.65","27,510"
