ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","240.00","243.70","239.40","239.26","242.00","242.20","241.99","353.00","183.82","19,05,629","46,11,34,016.62","22,379"
"12-Aug-2025","EQ","237.00","241.19","236.25","237.72","238.69","239.26","238.81","353.00","183.82","15,12,752","36,12,64,140.31","20,378"
"11-Aug-2025","EQ","237.30","239.00","234.10","238.85","237.80","237.72","237.11","353.00","183.82","17,01,818","40,35,11,585.38","25,336"
"08-Aug-2025","EQ","242.00","243.05","235.90","241.27","236.50","238.85","239.37","353.00","183.82","19,03,598","45,56,65,652.11","25,334"
"07-Aug-2025","EQ","243.20","245.30","236.23","244.83","241.00","241.27","241.74","353.00","183.82","33,25,765","80,39,68,929.52","34,113"
"06-Aug-2025","EQ","247.00","248.61","242.70","247.14","243.97","244.83","244.94","353.00","183.82","16,22,040","39,73,01,613.86","28,702"
"05-Aug-2025","EQ","243.98","252.00","241.32","243.98","246.00","247.14","245.02","353.00","183.82","31,94,824","78,28,07,710.90","29,194"
"04-Aug-2025","EQ","236.95","245.39","234.30","236.96","243.80","243.98","240.79","353.00","183.82","31,95,310","76,94,06,752.86","27,269"
"01-Aug-2025","EQ","243.00","245.52","235.96","243.35","237.36","236.96","240.50","353.00","183.82","35,20,184","84,65,88,776.53","31,012"
"31-Jul-2025","EQ","253.40","256.40","241.80","258.35","243.50","243.35","246.70","353.00","183.82","1,41,86,163","3,49,97,28,969.80","75,234"
"30-Jul-2025","EQ","258.95","262.25","253.55","258.40","260.80","258.35","257.33","353.00","183.82","1,23,81,244","3,18,60,84,944.90","39,263"
"29-Jul-2025","EQ","247.15","260.45","245.15","248.30","258.20","258.40","255.87","353.00","183.82","57,37,676","1,46,81,00,220.80","42,120"
"28-Jul-2025","EQ","256.70","259.00","247.40","259.00","248.80","248.30","251.36","353.00","183.82","84,86,576","2,13,31,67,078.20","39,139"
"25-Jul-2025","EQ","272.00","272.20","255.60","273.75","256.65","259.00","263.18","353.00","183.82","76,14,416","2,00,39,83,230.45","44,950"
"24-Jul-2025","EQ","277.35","279.50","273.00","276.05","273.40","273.75","275.54","353.00","183.82","26,60,076","73,29,65,265.50","23,866"
"23-Jul-2025","EQ","273.00","279.90","272.00","271.95","275.90","276.05","276.01","353.00","183.82","67,44,816","1,86,16,38,378.40","42,847"
"22-Jul-2025","EQ","275.00","281.80","271.20","273.80","271.70","271.95","276.35","353.00","183.82","54,75,399","1,51,31,35,944.95","40,402"
"21-Jul-2025","EQ","270.50","276.00","268.60","269.75","274.00","273.80","273.29","353.00","183.82","47,17,598","1,28,92,72,788.15","37,023"
"18-Jul-2025","EQ","268.00","271.50","266.75","267.65","268.75","269.75","269.42","353.00","183.82","34,69,486","93,47,38,970.65","27,056"
"17-Jul-2025","EQ","264.00","268.20","263.35","264.05","267.45","267.65","266.40","353.00","183.82","21,02,322","56,00,64,560.45","20,673"
"16-Jul-2025","EQ","262.00","266.75","260.05","262.05","263.50","264.05","262.75","353.00","183.82","20,42,529","53,66,65,316.05","18,509"
"15-Jul-2025","EQ","264.35","265.45","260.60","263.50","262.00","262.05","262.76","353.00","183.82","16,14,022","42,40,95,719.55","18,313"
