ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","411.50","413.30","406.70","408.05","411.85","411.10","410.32","457.15","287.55","35,43,374","1,45,39,28,463.60","41,527"
"12-Aug-2025","EQ","414.90","414.90","406.80","410.35","408.25","408.05","409.10","457.15","287.55","45,26,566","1,85,18,22,224.25","51,074"
"11-Aug-2025","EQ","414.05","418.00","400.60","409.50","409.95","410.35","408.51","457.15","287.55","87,13,932","3,55,97,38,335.20","77,395"
"08-Aug-2025","EQ","407.00","415.35","399.50","402.40","410.50","409.50","408.86","457.15","287.55","1,22,86,666","5,02,34,67,564.00","1,18,000"
"07-Aug-2025","EQ","401.00","403.20","392.15","401.40","403.00","402.40","397.92","457.15","287.55","63,18,838","2,51,43,99,810.20","66,251"
"06-Aug-2025","EQ","403.50","404.90","399.60","402.45","401.10","401.40","401.56","457.15","287.55","21,50,509","86,35,65,189.55","75,627"
"05-Aug-2025","EQ","405.90","405.90","394.50","408.65","401.00","402.45","400.67","457.15","287.55","79,73,897","3,19,49,23,729.40","91,395"
"04-Aug-2025","EQ","409.00","409.55","399.70","403.80","408.30","408.65","405.66","457.15","287.55","32,77,835","1,32,96,93,869.70","65,091"
"01-Aug-2025","EQ","420.90","421.00","402.10","418.45","403.80","403.80","408.94","457.15","287.55","37,87,580","1,54,89,07,831.75","50,878"
"31-Jul-2025","EQ","418.75","421.40","410.60","426.25","417.30","418.45","416.64","457.15","287.55","98,26,520","4,09,41,16,860.55","93,955"
"30-Jul-2025","EQ","424.00","435.90","416.00","425.80","426.05","426.25","426.42","457.15","287.55","68,90,461","2,93,82,53,514.75","56,567"
"29-Jul-2025","EQ","421.50","426.60","419.45","421.90","426.40","425.80","423.13","457.15","287.55","47,43,610","2,00,71,41,394.55","49,136"
"28-Jul-2025","EQ","422.50","430.90","419.50","421.80","422.70","421.90","423.72","457.15","287.55","25,51,271","1,08,10,20,115.55","38,772"
"25-Jul-2025","EQ","434.60","434.90","420.20","434.90","422.85","421.80","425.17","457.15","287.55","31,96,808","1,35,91,74,703.90","29,896"
"24-Jul-2025","EQ","435.30","437.00","432.40","434.50","435.25","434.90","434.65","457.15","287.55","28,05,754","1,21,95,26,810.45","27,591"
"23-Jul-2025","EQ","430.50","436.00","428.35","429.25","435.40","434.50","431.91","457.15","287.55","27,93,895","1,20,66,99,580.30","26,519"
"22-Jul-2025","EQ","433.00","437.60","428.45","431.70","429.25","429.25","431.10","457.15","287.55","42,16,517","1,81,77,58,284.00","53,542"
"21-Jul-2025","EQ","433.00","434.60","428.05","430.60","432.00","431.70","432.05","457.15","287.55","34,26,999","1,48,06,28,069.05","58,684"
"18-Jul-2025","EQ","440.00","441.85","429.50","440.00","431.50","430.60","433.42","457.15","287.55","37,96,647","1,64,55,55,234.80","51,941"
"17-Jul-2025","EQ","446.05","446.40","438.35","446.10","439.45","440.00","441.17","457.15","287.55","26,43,122","1,16,60,77,967.65","38,067"
"16-Jul-2025","EQ","434.45","448.55","433.70","433.45","446.60","446.10","442.90","457.15","287.55","66,90,619","2,96,32,56,277.05","60,073"
"15-Jul-2025","EQ","433.50","441.00","429.10","429.90","433.70","433.45","433.73","457.15","287.55","64,27,673","2,78,78,69,612.40","63,145"
"14-Jul-2025","EQ","435.90","437.50","428.00","435.90","428.90","429.90","431.30","457.15","287.55","45,75,393","1,97,33,58,875.15","34,818"
"11-Jul-2025","EQ","444.50","444.50","433.05","441.25","436.45","435.90","437.30","457.15","287.55","26,27,116","1,14,88,49,644.85","44,937"
"10-Jul-2025","EQ","445.45","450.50","440.05","445.45","440.30","441.25","443.16","457.15","287.55","44,70,700","1,98,12,36,196.15","44,552"
"09-Jul-2025","EQ","453.00","454.65","442.65","452.70","445.50","445.45","448.49","457.15","287.55","52,07,942","2,33,57,30,536.55","41,801"
"08-Jul-2025","EQ","447.00","455.00","444.70","447.90","453.20","452.70","451.60","457.15","287.55","38,60,453","1,74,33,68,766.60","66,630"
"07-Jul-2025","EQ","448.00","455.20","441.25","444.60","450.00","447.90","447.23","457.15","287.55","85,16,084","3,80,86,81,797.80","72,129"
"04-Jul-2025","EQ","438.80","446.55","436.15","436.60","445.00","444.60","440.31","457.15","287.55","43,18,402","1,90,14,48,095.65","48,126"
"03-Jul-2025","EQ","437.70","441.60","435.25","436.55","435.70","436.60","438.87","457.15","287.55","21,30,326","93,49,44,434.50","28,983"
"02-Jul-2025","EQ","444.00","446.85","433.30","440.45","437.00","436.55","438.78","457.15","287.55","35,66,248","1,56,48,01,817.70","36,580"
"01-Jul-2025","EQ","439.40","441.50","433.75","438.05","440.95","440.45","437.72","457.15","287.55","46,24,750","2,02,43,50,427.90","84,093"
"30-Jun-2025","EQ","440.00","443.20","436.25","439.00","437.20","438.05","438.99","457.15","287.55","33,98,554","1,49,19,33,442.50","48,161"
"27-Jun-2025","EQ","420.95","440.30","419.45","420.30","439.50","439.00","433.89","457.15","287.55","1,53,52,970","6,66,14,53,946.00","1,42,259"
