ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,269.60","1,269.90","1,231.00","1,282.20","1,232.00","1,237.00","1,248.45","1,519.00","878.40","2,70,459","33,76,53,728.10","23,084"
"11-Aug-2025","EQ","1,215.00","1,292.90","1,215.00","1,202.30","1,279.70","1,282.20","1,267.29","1,519.00","878.40","16,02,457","2,03,07,72,202.10","91,164"
"08-Aug-2025","EQ","1,224.00","1,234.90","1,194.00","1,219.20","1,200.40","1,202.30","1,204.77","1,519.00","878.40","2,11,570","25,48,93,032.10","23,423"
"07-Aug-2025","EQ","1,230.00","1,237.50","1,202.70","1,239.90","1,223.00","1,219.20","1,216.01","1,519.00","878.40","2,96,373","36,03,93,283.80","26,749"
"06-Aug-2025","EQ","1,274.90","1,274.90","1,220.00","1,280.00","1,238.80","1,239.90","1,235.14","1,519.00","878.40","3,34,193","41,27,75,687.90","29,350"
"05-Aug-2025","EQ","1,256.80","1,285.00","1,247.50","1,256.80","1,280.00","1,280.00","1,272.21","1,519.00","878.40","3,51,432","44,70,94,386.70","24,404"
"04-Aug-2025","EQ","1,196.00","1,264.50","1,186.70","1,197.30","1,262.80","1,256.80","1,232.09","1,519.00","878.40","5,02,203","61,87,57,774.90","35,974"
"01-Aug-2025","EQ","1,212.00","1,224.70","1,170.10","1,212.00","1,198.60","1,197.30","1,197.74","1,519.00","878.40","6,41,951","76,88,91,002.30","51,092"
"31-Jul-2025","EQ","1,255.00","1,272.40","1,202.50","1,266.10","1,208.90","1,212.00","1,232.70","1,519.00","878.40","7,24,378","89,29,42,343.30","54,769"
"30-Jul-2025","EQ","1,304.70","1,307.00","1,257.70","1,304.30","1,264.00","1,266.10","1,283.28","1,519.00","878.40","6,04,959","77,63,32,422.00","52,699"
