ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","283.00","304.70","282.75","269.30","284.40","285.15","294.75","547.00","197.51","2,07,76,543","6,12,38,37,153.05","2,65,459"
"12-Aug-2025","EQ","266.00","275.00","263.30","266.35","271.00","269.30","269.19","547.00","197.51","5,18,096","13,94,66,696.85","14,623"
"11-Aug-2025","EQ","257.85","268.95","255.45","258.70","266.00","266.35","264.31","547.00","197.51","3,15,421","8,33,67,754.40","11,280"
"08-Aug-2025","EQ","264.80","265.95","257.85","263.15","258.00","258.70","260.84","547.00","197.51","1,49,059","3,88,80,847.35","9,291"
"07-Aug-2025","EQ","260.50","270.85","258.45","262.55","263.30","263.15","264.16","547.00","197.51","4,74,450","12,53,31,580.50","19,733"
"06-Aug-2025","EQ","261.00","264.45","258.60","261.65","262.85","262.55","261.97","547.00","197.51","2,34,909","6,15,38,748.15","8,634"
"05-Aug-2025","EQ","265.40","269.85","257.35","265.40","261.90","261.65","261.93","547.00","197.51","4,94,826","12,96,07,955.50","24,637"
"04-Aug-2025","EQ","271.35","271.35","263.80","271.50","266.95","265.40","266.07","547.00","197.51","4,14,994","11,04,17,483.95","12,566"
"01-Aug-2025","EQ","271.30","276.80","270.10","271.95","272.25","271.50","274.06","547.00","197.51","1,69,733","4,65,16,919.60","8,370"
"31-Jul-2025","EQ","267.00","277.95","260.55","269.20","270.05","271.95","272.24","547.00","197.51","7,56,575","20,59,72,828.65","25,723"
"30-Jul-2025","EQ","264.00","270.95","263.00","265.25","268.35","269.20","265.10","547.00","197.51","8,99,382","23,84,27,945.40","20,515"
"29-Jul-2025","EQ","263.10","267.30","261.55","265.65","264.60","265.25","264.17","547.00","197.51","1,87,555","4,95,47,313.40","13,492"
"28-Jul-2025","EQ","265.00","267.40","260.50","263.70","265.50","265.65","263.00","547.00","197.51","4,28,585","11,27,18,961.15","10,482"
"25-Jul-2025","EQ","274.00","274.00","262.00","275.25","264.00","263.70","265.11","547.00","197.51","7,88,822","20,91,22,893.50","26,696"
"24-Jul-2025","EQ","274.70","277.65","273.10","274.25","274.35","275.25","275.48","547.00","197.51","2,80,593","7,72,96,405.80","17,028"
"23-Jul-2025","EQ","285.00","285.65","272.55","284.30","274.40","274.25","276.20","547.00","197.51","5,37,108","14,83,47,117.05","17,352"
"22-Jul-2025","EQ","281.90","286.15","281.00","281.70","284.00","284.30","283.20","547.00","197.51","1,76,081","4,98,66,237.90","8,666"
"21-Jul-2025","EQ","287.00","287.40","280.50","286.45","280.50","281.70","282.70","547.00","197.51","2,96,735","8,38,86,852.80","9,742"
"18-Jul-2025","EQ","294.45","295.90","285.50","294.45","285.70","286.45","288.53","547.00","197.51","3,02,826","8,73,73,206.25","12,886"
"17-Jul-2025","EQ","300.00","300.10","293.10","296.95","293.95","294.45","296.71","547.00","197.51","2,23,661","6,63,62,961.05","11,517"
"16-Jul-2025","EQ","299.00","299.60","295.35","299.60","297.15","296.95","296.99","547.00","197.51","2,38,274","7,07,65,939.30","7,647"
"15-Jul-2025","EQ","290.40","301.00","290.40","289.40","299.75","299.60","297.08","547.00","197.51","3,46,176","10,28,40,781.60","17,692"
"14-Jul-2025","EQ","296.80","296.80","286.60","294.25","290.50","289.40","288.91","547.00","197.51","6,46,650","18,68,21,416.10","29,703"
"11-Jul-2025","EQ","303.40","303.40","293.05","301.40","294.90","294.25","296.11","547.00","197.51","3,41,791","10,12,06,606.85","20,508"
"10-Jul-2025","EQ","304.30","304.80","298.45","301.70","302.10","301.40","301.18","547.00","197.51","1,94,500","5,85,78,680.15","7,119"
"09-Jul-2025","EQ","297.10","302.45","297.10","297.30","302.00","301.70","300.38","547.00","197.51","2,93,529","8,81,71,577.55","14,032"
"08-Jul-2025","EQ","296.25","308.50","294.15","296.35","297.90","297.30","300.99","547.00","197.51","9,60,234","28,90,16,862.60","27,634"
"07-Jul-2025","EQ","295.00","301.00","292.50","296.00","296.25","296.35","295.97","547.00","197.51","6,59,396","19,51,60,002.95","10,949"
"04-Jul-2025","EQ","299.90","299.90","293.25","298.45","294.50","296.00","295.79","547.00","197.51","4,39,048","12,98,66,150.80","10,584"
"03-Jul-2025","EQ","295.95","300.20","292.00","295.50","297.90","298.45","295.84","547.00","197.51","4,93,521","14,60,01,616.35","14,515"
"02-Jul-2025","EQ","302.50","302.50","292.30","302.80","294.80","295.50","295.37","547.00","197.51","7,34,379","21,69,13,435.80","19,936"
"01-Jul-2025","EQ","310.50","311.00","301.10","310.70","301.20","302.80","304.28","547.00","197.51","5,01,376","15,25,59,375.70","16,471"
"30-Jun-2025","EQ","312.40","313.80","307.55","310.40","309.60","310.70","309.88","547.00","197.51","2,62,535","8,13,55,243.10","12,402"
