ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","242.00","251.95","241.10","240.75","246.00","248.25","247.19","438.90","213.55","4,52,476","11,18,45,410.70","13,715"
"12-Aug-2025","EQ","232.95","243.65","226.85","232.70","241.95","240.75","239.26","438.90","213.55","3,86,274","9,24,19,381.20","9,438"
"11-Aug-2025","EQ","229.20","239.70","220.20","233.40","231.80","232.70","227.27","438.90","213.55","7,54,126","17,13,92,913.55","25,973"
"08-Aug-2025","EQ","242.90","250.00","232.05","241.30","233.95","233.40","238.01","438.90","213.55","2,24,415","5,34,13,104.65","10,497"
"07-Aug-2025","EQ","245.00","245.30","238.05","247.25","242.90","241.30","241.72","438.90","213.55","2,54,707","6,15,68,443.15","12,211"
"06-Aug-2025","EQ","258.60","261.95","246.50","259.30","248.80","247.25","250.96","438.90","213.55","2,48,159","6,22,78,011.85","10,251"
"05-Aug-2025","EQ","267.45","267.90","258.00","266.45","258.90","259.30","261.70","438.90","213.55","1,22,113","3,19,56,650.85","6,655"
"04-Aug-2025","EQ","264.95","268.45","258.15","260.65","266.50","266.45","263.68","438.90","213.55","1,04,604","2,75,82,133.05","6,408"
"01-Aug-2025","EQ","268.65","274.95","259.60","271.35","264.00","260.65","265.26","438.90","213.55","1,80,521","4,78,85,071.35","7,378"
"31-Jul-2025","EQ","272.00","276.75","261.20","282.00","271.10","271.35","269.15","438.90","213.55","7,04,055","18,94,96,260.45","17,948"
"30-Jul-2025","EQ","295.05","295.80","281.00","295.05","281.00","282.00","286.06","438.90","213.55","1,62,211","4,64,01,318.15","6,532"
"29-Jul-2025","EQ","296.40","298.55","291.65","296.65","295.00","295.05","295.36","438.90","213.55","85,316","2,51,98,971.30","4,197"
"28-Jul-2025","EQ","291.70","301.05","286.10","292.30","293.35","296.65","293.40","438.90","213.55","1,94,364","5,70,25,883.10","8,368"
