ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","89.99","90.52","87.83","89.88","88.62","88.38","89.07","106.32","65.89","37,56,982","33,46,50,124.86","16,089"
"11-Aug-2025","EQ","90.40","90.96","89.55","90.29","89.99","89.88","90.11","106.32","65.89","34,60,097","31,17,73,434.47","19,458"
"08-Aug-2025","EQ","90.01","91.44","89.40","89.49","90.10","90.29","90.57","106.32","65.89","47,94,452","43,42,12,239.08","28,290"
"07-Aug-2025","EQ","89.29","89.75","86.81","89.59","89.45","89.49","88.42","106.32","65.89","56,77,494","50,19,78,037.28","22,491"
"06-Aug-2025","EQ","91.00","91.19","89.40","90.67","89.52","89.59","90.04","106.32","65.89","39,66,531","35,71,39,550.63","16,707"
"05-Aug-2025","EQ","91.60","92.15","90.41","91.38","90.85","90.67","90.98","106.32","65.89","30,05,038","27,34,02,102.72","12,887"
"04-Aug-2025","EQ","90.98","91.62","90.00","90.19","91.60","91.38","90.98","106.32","65.89","43,34,822","39,43,93,724.44","20,562"
"01-Aug-2025","EQ","92.65","93.15","89.50","92.67","90.09","90.19","91.49","107.90","65.89","43,60,784","39,89,68,600.85","21,351"
"31-Jul-2025","EQ","92.25","93.45","92.20","94.17","92.65","92.67","92.80","107.90","65.89","39,98,736","37,10,72,621.76","18,941"
"30-Jul-2025","EQ","93.82","95.10","93.70","93.02","94.19","94.17","94.41","107.90","65.89","48,16,138","45,46,93,529.87","24,613"
"29-Jul-2025","EQ","92.30","93.45","91.80","92.30","93.25","93.02","92.69","107.90","65.89","36,38,714","33,72,65,070.88","20,818"
"28-Jul-2025","EQ","93.24","94.76","91.30","93.23","92.00","92.30","93.23","107.90","65.89","49,85,105","46,47,48,516.54","24,732"
"25-Jul-2025","EQ","96.75","96.75","92.77","96.75","93.30","93.23","94.38","107.90","65.89","65,13,038","61,47,02,465.08","29,132"
"24-Jul-2025","EQ","97.38","97.89","96.32","97.38","96.40","96.75","97.04","107.90","65.89","48,48,050","47,04,43,310.92","19,130"
"23-Jul-2025","EQ","95.95","97.70","95.70","95.26","97.50","97.38","96.81","107.90","65.89","73,22,103","70,88,54,760.13","28,702"
"22-Jul-2025","EQ","97.70","98.31","95.00","97.19","95.30","95.26","96.53","107.90","65.89","58,60,013","56,56,49,735.18","21,380"
"21-Jul-2025","EQ","98.75","98.89","96.66","98.57","97.19","97.19","97.38","107.90","65.89","91,38,488","88,99,17,016.54","34,258"
"18-Jul-2025","EQ","99.70","100.01","98.30","99.67","98.45","98.57","98.87","107.90","65.89","45,07,871","44,56,81,735.71","17,101"
"17-Jul-2025","EQ","101.00","101.30","99.40","100.63","99.70","99.67","100.19","107.90","65.89","42,24,044","42,32,12,511.82","15,474"
"16-Jul-2025","EQ","98.20","102.14","98.20","98.14","100.75","100.63","100.34","107.90","65.89","1,24,79,686","1,25,22,22,196.53","39,105"
"15-Jul-2025","EQ","98.70","100.60","98.00","100.26","98.10","98.14","98.93","107.90","65.89","74,69,803","73,89,68,064.39","28,124"
"14-Jul-2025","EQ","99.10","100.80","98.60","99.00","100.28","100.26","99.88","107.90","65.89","69,75,804","69,67,30,510.82","27,209"
