ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","6.60","6.63","6.45","6.60","6.48","6.47","6.54","16.55","6.29","31,78,47,247","2,07,95,89,905.43","1,00,988"
"11-Aug-2025","EQ","6.59","6.64","6.52","6.51","6.61","6.60","6.59","16.55","6.29","28,39,70,755","1,87,08,28,017.80","99,584"
"08-Aug-2025","EQ","6.74","6.75","6.48","6.72","6.56","6.51","6.60","16.55","6.29","37,33,43,824","2,46,29,22,906.39","1,76,222"
"07-Aug-2025","EQ","6.76","6.81","6.60","6.79","6.74","6.72","6.70","16.55","6.29","28,18,70,602","1,88,82,42,274.40","1,32,307"
"06-Aug-2025","EQ","6.93","6.94","6.75","6.91","6.80","6.79","6.81","16.55","6.29","25,90,02,701","1,76,40,70,710.61","1,01,267"
"05-Aug-2025","EQ","6.87","7.01","6.77","6.84","6.93","6.91","6.88","16.55","6.29","48,47,74,982","3,33,63,84,904.84","1,68,199"
"04-Aug-2025","EQ","6.77","6.88","6.60","6.60","6.86","6.84","6.77","16.55","6.29","41,31,54,881","2,79,85,34,865.57","2,18,305"
"01-Aug-2025","EQ","6.90","6.90","6.55","6.91","6.64","6.60","6.72","16.55","6.29","49,63,24,827","3,33,58,57,336.11","2,03,850"
"31-Jul-2025","EQ","6.97","7.01","6.86","7.00","6.91","6.91","6.94","16.55","6.29","35,52,28,408","2,46,39,65,053.95","1,55,731"
"30-Jul-2025","EQ","7.21","7.24","6.98","7.19","6.99","7.00","7.06","16.55","6.29","30,97,70,604","2,18,83,96,823.56","1,39,048"
"29-Jul-2025","EQ","7.19","7.24","7.12","7.13","7.21","7.19","7.18","16.55","6.29","29,83,76,818","2,14,14,52,575.38","1,27,711"
"28-Jul-2025","EQ","7.24","7.47","7.10","7.20","7.15","7.13","7.27","16.55","6.29","38,12,88,290","2,77,04,91,338.30","1,31,562"
"25-Jul-2025","EQ","7.40","7.42","7.17","7.37","7.22","7.20","7.27","16.55","6.29","29,80,53,583","2,16,60,26,178.18","1,14,059"
"24-Jul-2025","EQ","7.50","7.54","7.35","7.48","7.37","7.37","7.42","16.55","6.29","23,82,54,956","1,76,82,31,394.73","1,12,409"
"23-Jul-2025","EQ","7.42","7.52","7.37","7.37","7.49","7.48","7.45","16.55","6.29","26,82,04,946","1,99,73,05,473.33","1,40,252"
"22-Jul-2025","EQ","7.63","7.68","7.34","7.63","7.41","7.37","7.48","16.55","6.29","31,64,68,166","2,36,70,84,372.39","1,41,116"
"21-Jul-2025","EQ","7.69","7.73","7.61","7.72","7.63","7.63","7.66","16.55","6.29","22,83,23,974","1,74,95,00,271.22","1,50,406"
"18-Jul-2025","EQ","7.76","7.80","7.65","7.76","7.69","7.72","7.72","17.67","6.29","28,52,41,033","2,20,13,42,220.16","1,42,705"
"17-Jul-2025","EQ","7.84","7.94","7.73","7.83","7.75","7.76","7.82","17.67","6.29","34,51,41,447","2,69,79,14,399.99","1,53,141"
"16-Jul-2025","EQ","7.65","7.94","7.55","7.66","7.83","7.83","7.79","17.67","6.29","62,99,52,754","4,90,77,80,738.97","1,99,247"
"15-Jul-2025","EQ","7.71","7.75","7.60","7.71","7.66","7.66","7.66","17.67","6.29","34,27,36,162","2,62,59,45,264.44","1,50,199"
"14-Jul-2025","EQ","7.17","7.77","7.13","7.17","7.66","7.71","7.57","17.67","6.29","93,90,70,587","7,11,02,35,066.62","2,62,060"
"11-Jul-2025","EQ","7.33","7.33","7.12","7.33","7.17","7.17","7.20","17.67","6.29","34,18,30,457","2,46,20,92,121.20","1,51,643"
"10-Jul-2025","EQ","7.32","7.37","7.26","7.26","7.35","7.33","7.31","17.67","6.29","29,44,20,003","2,15,29,78,296.12","1,08,087"
"09-Jul-2025","EQ","7.35","7.43","7.24","7.29","7.28","7.26","7.32","17.67","6.29","34,08,17,121","2,49,60,54,581.35","1,26,445"
"08-Jul-2025","EQ","7.29","7.37","7.22","7.29","7.35","7.29","7.28","17.67","6.29","44,42,37,741","3,23,54,90,209.31","1,52,502"
"07-Jul-2025","EQ","7.30","7.40","7.25","7.36","7.27","7.29","7.34","17.67","6.29","33,19,96,862","2,43,52,46,952.37","1,34,383"
"04-Jul-2025","EQ","7.48","7.51","7.33","7.49","7.38","7.36","7.40","18.06","6.29","40,30,35,848","2,98,21,85,228.59","2,10,151"
"03-Jul-2025","EQ","7.51","7.77","7.44","7.52","7.45","7.49","7.59","18.06","6.29","71,14,37,304","5,40,18,72,616.00","2,08,276"
"02-Jul-2025","EQ","7.45","7.60","7.35","7.45","7.55","7.52","7.49","18.06","6.29","71,37,71,873","5,34,90,14,525.27","1,77,659"
"01-Jul-2025","EQ","7.47","7.59","7.36","7.43","7.43","7.45","7.45","18.06","6.29","66,81,15,067","4,98,06,86,201.92","1,67,680"
"30-Jun-2025","EQ","7.40","7.51","7.32","7.38","7.46","7.43","7.43","18.06","6.29","55,42,56,638","4,11,88,01,918.39","2,12,534"
"27-Jun-2025","EQ","7.25","7.55","7.25","7.24","7.40","7.38","7.42","19.18","6.29","80,55,73,085","5,97,55,76,366.85","2,34,965"
"26-Jun-2025","EQ","7.18","7.35","7.09","7.13","7.21","7.24","7.25","19.18","6.29","90,44,55,977","6,55,46,80,145.53","2,37,694"
"25-Jun-2025","EQ","6.87","7.27","6.80","6.86","7.14","7.13","7.11","19.18","6.29","1,07,12,02,528","7,61,62,59,367.88","2,86,297"
"24-Jun-2025","EQ","6.71","7.03","6.64","6.55","6.87","6.86","6.88","19.18","6.29","1,03,52,89,031","7,12,13,09,321.26","2,96,551"
"23-Jun-2025","EQ","6.50","6.62","6.43","6.56","6.57","6.55","6.54","19.18","6.29","32,29,70,787","2,11,18,08,393.71","1,94,145"
