ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","69.90","70.20","69.00","69.68","69.09","69.06","69.55","78.45","52.46","1,01,67,500","70,71,01,502.97","58,875"
"11-Aug-2025","EQ","69.11","70.17","69.11","69.11","69.74","69.68","69.70","78.45","52.46","1,28,40,750","89,49,91,654.10","70,474"
"08-Aug-2025","EQ","69.23","70.37","68.82","69.23","69.05","69.11","69.51","78.45","52.46","1,27,92,924","88,92,70,775.41","59,763"
"07-Aug-2025","EQ","68.30","69.49","67.62","68.74","69.28","69.23","68.42","78.45","52.46","1,34,67,202","92,14,82,003.36","65,096"
"06-Aug-2025","EQ","69.49","69.64","68.22","69.33","68.85","68.74","68.87","78.45","52.46","1,29,03,967","88,87,29,405.33","49,911"
"05-Aug-2025","EQ","69.63","69.71","68.92","69.33","69.38","69.33","69.33","78.45","52.46","1,09,49,883","75,91,04,050.58","48,784"
"04-Aug-2025","EQ","67.58","69.46","67.30","67.58","69.28","69.33","68.61","78.45","52.46","1,64,48,393","1,12,84,68,061.39","70,435"
"01-Aug-2025","EQ","68.90","68.95","67.46","68.76","67.65","67.58","68.02","78.45","52.46","1,38,17,940","93,99,36,437.84","65,198"
"31-Jul-2025","EQ","68.50","69.62","68.23","69.24","68.77","68.76","68.93","78.45","52.46","2,26,73,335","1,56,29,80,475.04","86,116"
"30-Jul-2025","EQ","70.31","70.31","69.02","70.31","69.24","69.24","69.51","78.45","52.46","1,60,71,445","1,11,72,05,446.28","62,705"
"29-Jul-2025","EQ","70.46","71.49","70.21","70.72","70.32","70.31","70.62","78.45","52.46","1,67,16,062","1,18,04,55,233.93","47,681"
"28-Jul-2025","EQ","69.89","71.55","69.23","70.70","70.70","70.72","70.66","78.45","52.46","3,62,97,662","2,56,46,79,491.23","79,352"
"25-Jul-2025","EQ","72.59","72.59","70.51","72.89","70.63","70.70","71.11","78.45","52.46","1,66,59,670","1,18,47,22,217.47","74,397"
"24-Jul-2025","EQ","72.69","73.04","72.33","72.70","72.93","72.89","72.76","78.45","52.46","1,48,60,639","1,08,11,99,024.65","47,544"
"23-Jul-2025","EQ","72.59","73.20","71.83","72.44","72.69","72.70","72.54","78.45","52.46","1,62,55,180","1,17,92,10,497.25","61,348"
"22-Jul-2025","EQ","74.00","74.10","72.25","73.99","72.35","72.44","72.97","78.45","52.46","1,18,50,067","86,46,97,450.94","57,772"
"21-Jul-2025","EQ","73.00","74.35","72.41","73.09","74.08","73.99","73.66","78.45","52.46","1,89,39,003","1,39,51,18,351.27","83,021"
"18-Jul-2025","EQ","73.46","73.72","72.75","73.48","73.05","73.09","73.14","78.80","52.46","1,59,97,903","1,17,00,23,492.67","72,779"
"17-Jul-2025","EQ","74.00","74.16","73.32","73.86","73.48","73.48","73.68","78.80","52.46","1,87,37,669","1,38,05,92,651.36","84,526"
"16-Jul-2025","EQ","73.00","74.48","73.00","72.93","73.69","73.86","73.83","78.80","52.46","1,89,13,170","1,39,62,93,026.96","67,595"
"15-Jul-2025","EQ","74.15","74.76","72.70","74.27","73.05","72.93","73.25","78.80","52.46","2,92,58,552","2,14,30,73,484.87","96,784"
"14-Jul-2025","EQ","75.20","76.35","72.60","75.23","74.49","74.27","74.41","78.80","52.46","3,37,62,394","2,51,21,64,795.62","1,10,893"
"11-Jul-2025","EQ","76.59","76.69","74.75","76.63","75.12","75.23","75.40","81.35","52.46","1,65,15,100","1,24,52,91,215.33","83,746"
"10-Jul-2025","EQ","77.80","78.04","76.30","77.45","76.59","76.63","77.34","81.35","52.46","2,57,62,507","1,99,24,17,864.06","58,183"
"09-Jul-2025","EQ","78.00","78.00","77.15","77.86","77.26","77.45","77.47","81.35","52.46","1,93,00,752","1,49,52,85,033.22","56,701"
"08-Jul-2025","EQ","77.71","78.02","77.25","77.71","77.84","77.86","77.71","81.35","52.46","2,55,88,562","1,98,85,55,611.74","64,982"
"07-Jul-2025","EQ","77.50","78.30","77.22","77.88","77.53","77.71","77.74","81.35","52.46","2,61,65,428","2,03,40,58,683.78","81,356"
"04-Jul-2025","EQ","78.15","78.45","77.16","77.66","77.95","77.88","77.89","82.20","52.46","3,01,98,806","2,35,21,77,437.73","84,316"
"03-Jul-2025","EQ","77.40","77.84","76.95","77.25","77.44","77.66","77.49","82.20","52.46","3,39,16,039","2,62,83,18,576.01","97,016"
"02-Jul-2025","EQ","77.25","77.55","76.82","77.24","77.03","77.25","77.13","82.20","52.46","3,75,92,039","2,89,94,92,286.79","96,559"
"01-Jul-2025","EQ","73.25","77.39","73.25","72.84","77.10","77.24","76.17","82.20","52.46","12,94,86,596","9,86,34,41,092.16","2,79,177"
"30-Jun-2025","EQ","72.38","73.35","72.21","72.36","72.77","72.84","72.78","82.20","52.46","1,84,65,058","1,34,38,88,085.54","83,496"
