ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","138.00","142.29","137.81","138.08","141.10","141.17","141.01","244.40","130.26","1,66,15,911","2,34,30,71,194.98","1,02,917"
"12-Aug-2025","EQ","137.37","139.13","135.90","137.90","138.00","138.08","138.04","244.40","130.26","1,09,17,993","1,50,71,66,712.21","70,520"
"11-Aug-2025","EQ","138.45","139.04","135.20","138.04","137.37","137.90","137.26","244.40","130.26","1,14,73,028","1,57,47,54,914.11","68,644"
"08-Aug-2025","EQ","133.46","139.80","132.64","133.46","138.04","138.04","137.81","244.40","130.26","2,90,27,613","4,00,03,85,790.27","1,29,256"
"07-Aug-2025","EQ","131.80","134.05","130.26","132.18","133.86","133.46","131.77","244.40","130.26","1,42,14,767","1,87,30,39,411.76","1,28,675"
"06-Aug-2025","EQ","133.49","133.53","131.10","133.49","132.40","132.18","132.27","244.40","130.65","1,18,70,382","1,57,01,23,238.51","68,457"
"05-Aug-2025","EQ","135.00","135.30","131.71","133.98","133.66","133.49","133.37","244.40","130.65","1,87,08,771","2,49,52,62,290.36","93,799"
"04-Aug-2025","EQ","133.30","134.45","130.65","132.09","133.97","133.98","133.12","244.40","130.65","1,26,54,592","1,68,45,42,039.65","75,836"
"01-Aug-2025","EQ","135.44","136.47","131.72","135.30","132.14","132.09","134.05","244.40","131.50","1,33,37,730","1,78,79,05,767.18","82,568"
"31-Jul-2025","EQ","135.00","141.50","133.75","136.05","135.88","135.30","137.53","244.40","131.50","2,83,69,765","3,90,16,85,230.00","1,53,950"
"30-Jul-2025","EQ","135.89","138.40","133.05","134.65","135.98","136.05","135.80","244.40","131.50","3,84,34,079","5,21,93,41,815.49","2,33,277"
"29-Jul-2025","EQ","137.30","138.54","132.00","139.12","134.99","134.65","134.42","244.40","131.50","4,65,88,839","6,26,26,77,316.10","2,53,687"
"28-Jul-2025","EQ","146.40","146.40","132.16","145.02","138.79","139.12","138.53","244.40","131.50","8,44,89,906","11,70,43,71,940.82","3,54,076"
"25-Jul-2025","EQ","137.80","149.40","136.41","132.32","144.80","145.02","144.56","244.40","131.50","29,84,71,535","43,14,67,51,880.30","8,51,665"
"24-Jul-2025","EQ","169.10","169.10","131.50","187.89","135.49","132.32","136.25","244.40","131.50","12,77,36,986","17,40,43,16,930.18","2,82,807"
"23-Jul-2025","EQ","192.70","193.41","186.61","192.56","187.90","187.89","188.41","244.40","151.00","92,14,590","1,73,60,92,029.40","61,591"
"22-Jul-2025","EQ","196.94","200.00","191.54","195.99","192.95","192.56","195.43","244.40","151.00","97,07,232","1,89,70,43,715.12","66,620"
"21-Jul-2025","EQ","202.01","205.00","195.18","203.14","197.39","195.99","199.62","244.40","151.00","78,36,870","1,56,44,05,070.84","63,727"
"18-Jul-2025","EQ","205.60","206.47","202.66","205.75","202.95","203.14","204.04","244.40","151.00","19,39,814","39,58,06,944.76","22,175"
"17-Jul-2025","EQ","208.01","208.99","204.60","208.31","205.60","205.75","206.18","244.40","151.00","46,45,862","95,78,80,812.83","39,066"
"16-Jul-2025","EQ","208.50","209.99","207.32","208.98","208.40","208.31","208.57","244.40","151.00","36,61,850","76,37,63,388.80","36,893"
"15-Jul-2025","EQ","207.06","209.40","206.30","207.13","208.80","208.98","208.29","244.40","151.00","30,61,720","63,77,13,776.61","27,997"
"14-Jul-2025","EQ","205.70","208.60","205.10","206.43","207.06","207.13","206.71","244.40","151.00","43,96,685","90,88,35,948.89","39,145"
"11-Jul-2025","EQ","205.50","208.00","203.20","206.38","206.25","206.43","205.88","244.40","151.00","35,43,960","72,96,21,458.54","38,043"
"10-Jul-2025","EQ","208.00","209.70","205.51","207.96","206.47","206.38","207.43","244.40","151.00","51,22,463","1,06,25,60,962.39","41,000"
