ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","53.10","53.58","52.41","53.18","52.47","52.78","53.08","80.83","36.20","28,92,417","15,35,17,668.55","13,369"
"11-Aug-2025","EQ","53.20","54.64","51.88","53.03","52.90","53.18","53.22","80.83","36.20","95,76,923","50,97,04,419.63","42,114"
"08-Aug-2025","EQ","54.60","54.88","52.61","54.54","52.90","53.03","53.80","80.83","36.20","39,16,819","21,07,21,158.77","17,155"
"07-Aug-2025","EQ","54.75","55.29","53.20","55.59","54.89","54.54","54.19","80.83","36.20","56,80,309","30,78,23,827.64","23,421"
"06-Aug-2025","EQ","57.08","57.25","54.61","57.09","55.79","55.59","55.57","80.83","36.20","46,59,220","25,88,93,819.61","21,442"
"05-Aug-2025","EQ","57.50","58.31","56.70","57.58","56.85","57.09","57.51","80.83","36.20","23,71,989","13,64,02,160.04","12,548"
"04-Aug-2025","EQ","58.19","58.39","57.20","57.96","57.48","57.58","57.65","80.83","36.20","29,29,703","16,88,95,247.29","15,414"
"01-Aug-2025","EQ","57.00","58.70","57.00","57.16","57.77","57.96","57.95","90.74","36.20","52,74,216","30,56,50,195.92","19,333"
"31-Jul-2025","EQ","57.01","58.26","56.90","58.49","57.09","57.16","57.61","90.74","36.20","44,14,282","25,43,27,122.50","16,917"
"30-Jul-2025","EQ","59.20","59.60","58.10","59.00","58.15","58.49","59.04","90.74","36.20","32,76,055","19,34,23,354.45","12,600"
"29-Jul-2025","EQ","57.95","59.85","57.12","58.15","59.30","59.00","58.68","90.74","36.20","68,63,221","40,27,00,968.92","25,492"
"28-Jul-2025","EQ","58.63","59.99","57.81","58.63","58.10","58.15","58.81","90.74","36.20","47,32,113","27,83,13,598.96","20,101"
"25-Jul-2025","EQ","60.75","60.80","58.39","60.76","58.60","58.63","59.40","91.40","36.20","45,43,362","26,98,64,615.27","19,354"
"24-Jul-2025","EQ","62.00","62.59","60.55","61.81","60.74","60.76","61.46","91.40","36.20","45,44,933","27,93,13,974.38","18,012"
"23-Jul-2025","EQ","60.44","62.38","60.06","60.24","61.72","61.81","61.55","91.40","36.20","77,21,588","47,52,38,815.11","28,603"
"22-Jul-2025","EQ","60.68","61.20","60.10","60.88","60.20","60.24","60.55","91.40","36.20","29,22,789","17,69,68,004.80","13,969"
"21-Jul-2025","EQ","61.15","61.70","60.70","61.18","60.95","60.88","61.13","91.40","36.20","28,77,073","17,58,81,592.84","14,354"
"18-Jul-2025","EQ","62.09","62.42","61.01","62.05","61.36","61.18","61.49","91.40","36.20","34,60,351","21,27,82,448.47","13,829"
"17-Jul-2025","EQ","62.50","62.69","61.76","62.35","62.04","62.05","62.17","91.40","36.20","31,41,835","19,53,22,251.20","14,087"
"16-Jul-2025","EQ","63.00","63.19","62.15","62.98","62.33","62.35","62.44","91.40","36.20","45,37,021","28,32,95,893.39","19,489"
"15-Jul-2025","EQ","63.00","64.40","62.55","62.91","62.86","62.98","63.43","91.40","36.20","93,87,749","59,54,19,340.13","28,554"
"14-Jul-2025","EQ","60.72","66.33","59.88","60.72","62.85","62.91","63.55","91.40","36.20","3,16,64,649","2,01,23,73,482.86","81,096"
"11-Jul-2025","EQ","61.40","61.42","60.21","61.42","60.86","60.72","60.70","91.40","36.20","41,74,962","25,34,04,788.68","16,854"
"10-Jul-2025","EQ","61.77","62.16","60.90","61.74","61.35","61.42","61.58","91.40","36.20","42,00,440","25,86,47,482.08","17,525"
"09-Jul-2025","EQ","61.40","63.60","61.40","61.25","61.43","61.74","62.23","91.40","36.20","1,04,19,028","64,84,02,049.38","30,427"
"08-Jul-2025","EQ","61.85","62.36","60.67","62.03","61.40","61.25","61.47","91.40","36.20","66,38,733","40,80,80,729.87","22,705"
"07-Jul-2025","EQ","62.75","62.88","61.90","62.58","61.97","62.03","62.29","91.40","36.20","44,74,935","27,87,36,092.43","17,641"
"04-Jul-2025","EQ","63.34","64.00","62.32","63.16","62.54","62.58","63.04","91.40","36.20","56,18,159","35,41,44,169.51","18,269"
"03-Jul-2025","EQ","64.40","64.40","63.00","63.98","63.12","63.16","63.48","91.40","36.20","59,67,972","37,88,61,011.49","21,250"
"02-Jul-2025","EQ","65.25","65.34","63.59","64.85","63.85","63.98","64.31","91.40","36.20","87,76,761","56,44,25,596.59","23,742"
"01-Jul-2025","EQ","65.50","65.60","63.72","65.17","64.76","64.85","64.73","91.40","36.20","1,10,25,880","71,36,54,133.88","28,593"
"30-Jun-2025","EQ","64.80","66.10","64.22","64.49","65.14","65.17","65.08","91.40","36.20","1,67,04,416","1,08,71,43,788.18","42,776"
"27-Jun-2025","EQ","63.35","65.15","62.65","63.11","64.39","64.49","63.84","91.40","36.20","1,88,81,905","1,20,54,53,900.33","43,481"
"26-Jun-2025","EQ","63.75","63.99","62.72","63.68","63.10","63.11","63.20","91.40","36.20","93,91,419","59,34,93,810.68","28,767"
"25-Jun-2025","EQ","61.90","65.50","61.26","61.61","63.58","63.68","63.47","91.40","36.20","3,75,89,086","2,38,58,48,913.74","1,24,320"
"24-Jun-2025","EQ","62.79","63.14","60.90","61.65","61.38","61.61","61.88","91.40","36.20","1,34,50,938","83,24,04,834.59","29,332"
"23-Jun-2025","EQ","60.00","63.10","59.78","59.96","61.39","61.65","61.25","91.40","36.20","2,16,95,616","1,32,88,88,418.61","54,673"
"20-Jun-2025","EQ","57.40","60.60","57.40","57.46","59.95","59.96","59.58","91.40","36.20","2,21,85,566","1,32,18,72,811.54","62,762"
