ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","333.00","343.00","332.70","334.25","336.80","336.55","337.48","642.30","282.00","7,62,644","25,73,76,450.20","20,154"
"12-Aug-2025","EQ","332.40","342.80","328.45","329.25","334.00","334.25","336.04","642.30","282.00","9,47,373","31,83,57,013.85","29,985"
"11-Aug-2025","EQ","343.50","344.00","328.05","345.05","329.20","329.25","332.69","642.30","282.00","9,66,333","32,14,85,689.15","34,690"
"08-Aug-2025","EQ","361.90","361.90","342.75","357.10","344.00","345.05","349.10","642.30","282.00","7,50,913","26,21,41,645.90","35,067"
"07-Aug-2025","EQ","360.05","366.00","352.95","366.05","358.00","357.10","358.38","642.30","282.00","5,66,761","20,31,16,607.10","24,423"
"06-Aug-2025","EQ","370.85","371.65","361.10","370.00","366.00","366.05","365.43","642.30","282.00","3,61,292","13,20,27,341.80","17,461"
"05-Aug-2025","EQ","377.85","383.50","368.85","377.80","369.90","370.00","374.13","642.30","282.00","3,60,059","13,47,08,982.30","14,754"
"04-Aug-2025","EQ","374.05","382.15","366.00","372.10","377.50","377.80","374.73","642.30","282.00","6,58,664","24,68,20,088.35","21,096"
"01-Aug-2025","EQ","396.00","397.90","370.60","394.15","372.80","372.10","381.20","642.30","282.00","11,75,101","44,79,53,487.60","38,364"
"31-Jul-2025","EQ","402.10","405.75","390.10","417.10","397.90","394.15","398.94","642.30","282.00","11,09,730","44,27,18,181.20","32,789"
"30-Jul-2025","EQ","419.00","442.00","411.60","406.90","414.55","417.10","425.76","642.30","282.00","74,36,543","3,16,61,58,965.20","1,27,207"
"29-Jul-2025","EQ","395.00","409.90","392.00","399.95","408.00","406.90","400.27","642.30","282.00","3,90,651","15,63,66,001.40","17,065"
"28-Jul-2025","EQ","405.95","408.85","393.00","404.90","400.00","399.95","399.51","642.30","282.00","6,98,569","27,90,81,937.05","29,584"
"25-Jul-2025","EQ","413.05","414.10","401.00","413.05","405.80","404.90","406.03","642.30","282.00","5,68,464","23,08,12,224.15","16,563"
"24-Jul-2025","EQ","407.65","419.90","402.20","404.90","411.20","413.05","414.40","642.30","282.00","18,36,975","76,12,38,329.65","47,699"
