ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","206.00","209.20","204.60","206.03","206.74","206.31","206.49","570.35","172.00","17,47,587","36,08,65,600.34","24,981"
"12-Aug-2025","EQ","203.70","208.83","202.63","202.63","206.39","206.03","206.72","570.35","172.00","28,08,234","58,05,20,817.00","33,293"
"11-Aug-2025","EQ","202.17","203.59","200.28","202.17","202.50","202.63","202.12","570.35","172.00","14,04,201","28,38,23,118.12","19,446"
"08-Aug-2025","EQ","204.90","206.26","201.80","205.46","202.50","202.17","203.50","570.35","172.00","9,95,233","20,25,32,582.38","15,830"
"07-Aug-2025","EQ","202.50","206.24","200.73","204.07","205.90","205.46","204.31","570.35","172.00","24,28,635","49,62,04,630.41","24,440"
"06-Aug-2025","EQ","206.00","207.10","203.23","206.87","203.48","204.07","205.28","570.35","172.00","13,22,613","27,15,10,339.51","25,327"
"05-Aug-2025","EQ","207.00","207.60","204.13","206.19","206.05","206.87","206.06","570.35","172.00","17,89,793","36,87,98,131.66","25,554"
"04-Aug-2025","EQ","202.11","207.00","200.69","201.54","206.90","206.19","204.63","570.35","172.00","28,12,084","57,54,38,284.07","28,199"
"01-Aug-2025","EQ","205.04","211.41","200.75","205.05","201.80","201.54","203.44","570.35","172.00","29,62,044","60,25,86,349.47","30,502"
"31-Jul-2025","EQ","199.98","208.79","199.20","203.17","205.80","205.05","205.64","570.35","172.00","79,64,273","1,63,77,84,943.70","59,961"
"30-Jul-2025","EQ","205.99","206.55","202.01","205.95","203.85","203.17","203.85","570.35","172.00","26,53,338","54,08,79,661.18","21,630"
"29-Jul-2025","EQ","204.92","208.26","202.70","204.00","205.10","205.95","205.95","570.35","172.00","41,55,694","85,58,66,154.78","42,351"
"28-Jul-2025","EQ","201.03","206.47","201.03","201.02","204.17","204.00","204.06","570.35","172.00","46,72,067","95,33,85,579.96","32,336"
"25-Jul-2025","EQ","207.23","208.94","200.05","207.23","201.60","201.02","203.21","570.35","172.00","29,73,899","60,43,21,562.58","28,680"
"24-Jul-2025","EQ","210.85","211.45","205.01","210.39","207.75","207.23","207.12","570.35","172.00","57,88,136","1,19,88,36,530.15","54,081"
"23-Jul-2025","EQ","214.07","215.49","209.36","212.88","210.75","210.39","211.26","570.35","172.00","46,76,390","98,79,22,467.56","63,795"
"22-Jul-2025","EQ","214.50","217.43","211.83","213.06","212.62","212.88","214.21","570.35","172.00","40,30,269","86,33,34,838.73","64,706"
"21-Jul-2025","EQ","215.00","215.42","211.39","215.07","213.40","213.06","213.08","570.35","172.00","16,28,405","34,69,77,248.30","35,194"
"18-Jul-2025","EQ","218.96","220.14","213.83","219.06","215.00","215.07","215.58","570.35","172.00","23,62,228","50,92,37,917.41","40,013"
"17-Jul-2025","EQ","220.00","221.15","218.50","219.76","219.20","219.06","219.67","570.35","172.00","30,70,007","67,43,96,050.41","42,048"
"16-Jul-2025","EQ","220.80","222.21","218.95","220.27","220.60","219.76","220.08","570.35","172.00","25,75,239","56,67,48,982.09","33,108"
"15-Jul-2025","EQ","216.99","220.89","215.60","217.27","220.80","220.27","219.00","570.35","172.00","19,75,256","43,25,84,253.64","25,167"
"14-Jul-2025","EQ","219.00","219.99","216.10","218.38","217.53","217.27","217.44","570.35","172.00","17,43,595","37,91,34,047.23","22,331"
"11-Jul-2025","EQ","220.00","222.15","217.15","220.62","219.00","218.38","219.14","570.35","172.00","18,64,121","40,85,09,266.69","22,198"
"10-Jul-2025","EQ","223.34","224.00","219.22","222.23","221.00","220.62","221.00","570.35","172.00","17,05,810","37,69,89,126.45","18,917"
"09-Jul-2025","EQ","228.45","228.55","221.67","227.98","222.34","222.23","223.82","570.35","172.00","20,85,443","46,67,61,898.88","24,974"
"08-Jul-2025","EQ","226.84","229.00","224.65","226.84","228.10","227.98","227.31","570.35","172.00","30,39,260","69,08,47,784.97","30,800"
"07-Jul-2025","EQ","227.00","228.50","224.40","226.10","227.29","226.84","226.61","570.35","172.00","29,48,895","66,82,48,075.95","35,035"
"04-Jul-2025","EQ","217.11","229.00","217.11","219.47","226.72","226.10","225.20","570.35","172.00","1,28,34,315","2,89,03,50,859.32","1,26,602"
"03-Jul-2025","EQ","221.65","222.54","218.87","220.72","219.47","219.47","220.50","570.35","172.00","23,43,929","51,68,47,676.61","31,807"
"02-Jul-2025","EQ","216.70","221.84","215.71","216.09","220.51","220.72","219.69","570.35","172.00","62,91,092","1,38,20,69,211.72","58,658"
"01-Jul-2025","EQ","218.80","218.80","214.41","217.87","216.11","216.09","216.32","570.35","172.00","27,97,448","60,51,40,043.37","33,760"
"30-Jun-2025","EQ","218.00","219.42","213.50","214.13","218.00","217.87","216.37","570.35","172.00","65,55,935","1,41,85,34,221.82","49,495"
