ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,581.10","1,602.20","1,538.40","1,589.00","1,548.00","1,544.00","1,565.95","2,189.00","1,236.80","1,53,067","23,96,96,030.90","15,632"
"11-Aug-2025","EQ","1,589.10","1,615.10","1,562.00","1,599.50","1,579.50","1,589.00","1,598.05","2,189.00","1,236.80","1,12,525","17,98,20,826.70","9,998"
"08-Aug-2025","EQ","1,625.00","1,626.10","1,592.00","1,623.20","1,599.90","1,599.50","1,607.51","2,189.00","1,236.80","1,32,547","21,30,70,836.60","13,789"
"07-Aug-2025","EQ","1,588.20","1,638.70","1,574.90","1,601.20","1,625.00","1,623.20","1,617.61","2,189.00","1,236.80","4,94,267","79,95,31,685.30","25,639"
"06-Aug-2025","EQ","1,573.50","1,625.70","1,550.10","1,571.80","1,590.00","1,601.20","1,587.47","2,189.00","1,236.80","6,02,469","95,64,02,320.80","26,187"
"05-Aug-2025","EQ","1,571.90","1,613.80","1,559.30","1,569.40","1,572.00","1,571.80","1,578.29","2,189.00","1,236.80","5,30,432","83,71,72,914.20","29,772"
"04-Aug-2025","EQ","1,607.00","1,610.10","1,563.30","1,601.80","1,571.90","1,569.40","1,577.29","2,189.00","1,236.80","2,10,870","33,26,02,896.30","12,593"
"01-Aug-2025","EQ","1,649.90","1,649.90","1,535.20","1,587.00","1,592.50","1,601.80","1,592.59","2,189.00","1,236.80","5,11,883","81,52,20,278.80","41,876"
"31-Jul-2025","EQ","1,572.50","1,612.20","1,547.00","1,578.70","1,594.00","1,587.00","1,590.40","2,189.00","1,236.80","1,95,725","31,12,80,697.00","12,614"
"30-Jul-2025","EQ","1,582.00","1,604.90","1,560.00","1,583.10","1,582.20","1,578.70","1,578.19","2,189.00","1,236.80","65,780","10,38,13,419.70","7,557"
"29-Jul-2025","EQ","1,571.30","1,597.80","1,569.60","1,580.00","1,581.00","1,583.10","1,583.61","2,189.00","1,236.80","77,307","12,24,23,810.20","9,189"
"28-Jul-2025","EQ","1,591.30","1,615.00","1,575.00","1,598.00","1,576.00","1,580.00","1,598.37","2,189.00","1,236.80","2,92,980","46,82,89,636.40","8,880"
